# index, flag, s, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,1.022108,-0.003500,0.022441,0.078332,-0.003500,0.022441,0.078332,-0.021377,-0.089549,-9.809568
1.000000,1.000000,0.988063,-0.002990,0.021333,0.078879,-0.002990,0.021333,0.078879,0.013494,-0.128006,-9.809156
2.000000,1.000000,0.974450,-0.003108,0.020818,0.078787,-0.003108,0.020818,0.078787,0.040407,-0.151908,-9.808741
3.000000,1.000000,1.015951,-0.002811,0.021869,0.078859,-0.002811,0.021869,0.078859,0.028644,-0.129936,-9.809098
4.000000,1.000000,1.006076,-0.003723,0.021757,0.078929,-0.003723,0.021757,0.078929,0.006471,-0.133232,-9.809093
5.000000,1.000000,0.967363,-0.002788,0.020403,0.078522,-0.002788,0.020403,0.078522,0.010272,-0.126877,-9.809174
6.000000,1.000000,0.975702,-0.003160,0.020824,0.078926,-0.003160,0.020824,0.078926,0.014706,-0.136657,-9.809037
7.000000,1.000000,1.004060,-0.003655,0.021886,0.078916,-0.003655,0.021886,0.078916,0.012829,-0.115418,-9.809313
8.000000,1.000000,1.010107,-0.002462,0.022677,0.078848,-0.002462,0.022677,0.078848,0.008286,-0.129929,-9.809136
9.000000,1.000000,0.966308,-0.003014,0.021352,0.078654,-0.003014,0.021352,0.078654,0.010642,-0.139056,-9.809009
10.000000,1.000000,0.993043,-0.002567,0.020768,0.079404,-0.002567,0.020768,0.079404,-0.008769,-0.133155,-9.809092
11.000000,1.000000,1.012017,-0.002721,0.020415,0.078878,-0.002721,0.020415,0.078878,-0.029441,-0.121514,-9.809203
12.000000,1.000000,1.022269,-0.002634,0.021814,0.078775,-0.002634,0.021814,0.078775,-0.027885,-0.113206,-9.809307
13.000000,1.000000,1.025634,-0.002692,0.021118,0.079090,-0.002692,0.021118,0.079090,-0.041649,-0.156123,-9.808669
14.000000,1.000000,1.025634,-0.002692,0.021118,0.079090,-0.002692,0.021118,0.079090,-0.041649,-0.156123,-9.808669
15.000000,1.000000,1.025634,-0.002692,0.021118,0.079090,-0.002692,0.021118,0.079090,-0.041649,-0.156123,-9.808669
16.000000,1.000000,1.030245,-0.002833,0.020745,0.078996,-0.002833,0.020745,0.078996,-0.035519,-0.142562,-9.808900
17.000000,1.000000,1.012031,-0.002351,0.020382,0.078775,-0.002351,0.020382,0.078775,-0.022503,-0.133410,-9.809067
18.000000,1.000000,1.012031,-0.002351,0.020382,0.078775,-0.002351,0.020382,0.078775,-0.022503,-0.133410,-9.809067
19.000000,1.000000,1.012031,-0.002351,0.020382,0.078775,-0.002351,0.020382,0.078775,-0.022503,-0.133410,-9.809067
20.000000,1.000000,0.964413,-0.002506,0.020970,0.078793,-0.002506,0.020970,0.078793,-0.011019,-0.143151,-9.808949
21.000000,1.000000,1.000004,-0.004125,0.021875,0.079787,-0.004125,0.021875,0.079787,-0.044542,-0.130526,-9.809030
22.000000,1.000000,1.000004,-0.004125,0.021875,0.079787,-0.004125,0.021875,0.079787,-0.044542,-0.130526,-9.809030
23.000000,1.000000,0.984210,-0.002183,0.020991,0.079037,-0.002183,0.020991,0.079037,-0.014299,-0.122049,-9.809230
24.000000,1.000000,1.022182,-0.003823,0.020803,0.079399,-0.003823,0.020803,0.079399,-0.041311,-0.124631,-9.809121
25.000000,1.000000,1.022182,-0.003823,0.020803,0.079399,-0.003823,0.020803,0.079399,-0.041311,-0.124631,-9.809121
26.000000,1.000000,1.022182,-0.003823,0.020803,0.079399,-0.003823,0.020803,0.079399,-0.041311,-0.124631,-9.809121
27.000000,1.000000,1.022182,-0.003823,0.020803,0.079399,-0.003823,0.020803,0.079399,-0.041311,-0.124631,-9.809121
28.000000,1.000000,1.022182,-0.003823,0.020803,0.079399,-0.003823,0.020803,0.079399,-0.041311,-0.124631,-9.809121
29.000000,1.000000,1.022182,-0.003823,0.020803,0.079399,-0.003823,0.020803,0.079399,-0.041311,-0.124631,-9.809121
30.000000,1.000000,1.022182,-0.003823,0.020803,0.079399,-0.003823,0.020803,0.079399,-0.041311,-0.124631,-9.809121
