# index, flag, s, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,1.041762,-0.003568,0.022475,0.078393,-0.003568,0.022475,0.078393,-3.373284,-7.312766,-9.734786
1.000000,1.000000,0.991955,-0.002911,0.021346,0.078838,-0.002911,0.021346,0.078838,-2.004764,-3.799342,-9.764808
2.000000,1.000000,0.986851,-0.002959,0.020820,0.078737,-0.002959,0.020820,0.078737,1.854633,2.600835,-9.842698
3.000000,1.000000,0.998608,-0.002770,0.021889,0.078838,-0.002770,0.021889,0.078838,0.401368,1.907300,-9.835217
4.000000,1.000000,1.015033,-0.003728,0.021757,0.078941,-0.003728,0.021757,0.078941,0.096834,1.463050,-9.829941
5.000000,1.000000,0.947022,-0.002845,0.020349,0.078533,-0.002845,0.020349,0.078533,1.133745,1.296850,-9.827374
6.000000,1.000000,1.008015,-0.003067,0.020865,0.078856,-0.003067,0.020865,0.078856,-0.083482,0.861601,-9.823419
7.000000,1.000000,0.981294,-0.003672,0.021890,0.078783,-0.003672,0.021890,0.078783,0.266771,3.206773,-9.848689
8.000000,1.000000,0.989840,-0.002583,0.022701,0.078929,-0.002583,0.022701,0.078929,0.914875,1.101306,-9.824569
9.000000,1.000000,1.023523,-0.003050,0.021350,0.078680,-0.003050,0.021350,0.078680,0.182868,0.222904,-9.813930
10.000000,1.000000,0.994928,-0.002622,0.020766,0.079385,-0.002622,0.020766,0.079385,0.016313,0.086372,-9.812117
11.000000,1.000000,1.002651,-0.002757,0.020397,0.078889,-0.002757,0.020397,0.078889,-0.649040,-0.684296,-9.800154
12.000000,1.000000,0.995133,-0.002646,0.021781,0.078768,-0.002646,0.021781,0.078768,-0.013329,-0.285615,-9.807241
13.000000,1.000000,1.049915,-0.002670,0.021138,0.079083,-0.002670,0.021138,0.079083,-0.452971,-0.062386,-9.808431
14.000000,1.000000,1.049915,-0.002670,0.021138,0.079083,-0.002670,0.021138,0.079083,-0.452971,-0.062386,-9.808431
15.000000,1.000000,1.049915,-0.002670,0.021138,0.079083,-0.002670,0.021138,0.079083,-0.452971,-0.062386,-9.808431
16.000000,1.000000,0.998815,-0.002847,0.020731,0.079008,-0.002847,0.020731,0.079008,-0.098544,-0.126896,-9.808896
17.000000,1.000000,0.985151,-0.002364,0.020387,0.078774,-0.002364,0.020387,0.078774,-0.410731,-0.254598,-9.806639
18.000000,1.000000,0.985151,-0.002364,0.020387,0.078774,-0.002364,0.020387,0.078774,-0.410731,-0.254598,-9.806639
19.000000,1.000000,0.985151,-0.002364,0.020387,0.078774,-0.002364,0.020387,0.078774,-0.410731,-0.254598,-9.806639
20.000000,1.000000,0.950831,-0.002538,0.020984,0.078781,-0.002538,0.020984,0.078781,-0.307574,-0.084263,-9.809464
21.000000,1.000000,1.008969,-0.004159,0.021817,0.079665,-0.004159,0.021817,0.079665,-0.009165,0.011592,-9.811051
22.000000,1.000000,1.008969,-0.004159,0.021817,0.079665,-0.004159,0.021817,0.079665,-0.009165,0.011592,-9.811051
