# index, flag, s, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.993618,-0.002911,0.021140,0.078918,-0.002911,0.021140,0.078918,-0.004324,-0.128756,-9.809154
1.000000,1.000000,0.991107,-0.002894,0.021062,0.078981,-0.002894,0.021062,0.078981,-0.002685,-0.129089,-9.809150
2.000000,1.000000,0.989228,-0.002882,0.021068,0.078994,-0.002882,0.021068,0.078994,-0.001637,-0.130274,-9.809135
3.000000,1.000000,0.992242,-0.002872,0.021093,0.079027,-0.002872,0.021093,0.079027,-0.001838,-0.129170,-9.809149
4.000000,1.000000,0.992337,-0.002902,0.021112,0.079057,-0.002902,0.021112,0.079057,-0.001895,-0.129544,-9.809144
5.000000,1.000000,0.986399,-0.002868,0.021057,0.079059,-0.002868,0.021057,0.079059,-0.000927,-0.129489,-9.809145
6.000000,1.000000,0.988101,-0.002866,0.021026,0.079089,-0.002866,0.021026,0.079089,0.000014,-0.130263,-9.809135
7.000000,1.000000,0.990514,-0.002869,0.021068,0.079104,-0.002869,0.021068,0.079104,0.000757,-0.130143,-9.809137
8.000000,1.000000,0.990071,-0.002868,0.021092,0.079138,-0.002868,0.021092,0.079138,0.001102,-0.130593,-9.809131
9.000000,1.000000,0.984336,-0.002862,0.021028,0.079120,-0.002862,0.021028,0.079120,0.002720,-0.131493,-9.809118
10.000000,1.000000,0.986008,-0.002838,0.020988,0.079180,-0.002838,0.020988,0.079180,0.002965,-0.131405,-9.809119
11.000000,1.000000,0.986249,-0.002865,0.020973,0.079190,-0.002865,0.020973,0.079190,0.003853,-0.131704,-9.809115
12.000000,1.000000,0.986112,-0.002858,0.021040,0.079193,-0.002858,0.021040,0.079193,0.005381,-0.131963,-9.809111
13.000000,1.000000,0.986083,-0.002873,0.021007,0.079222,-0.002873,0.021007,0.079222,0.007380,-0.132500,-9.809102
14.000000,1.000000,0.985735,-0.002887,0.021008,0.079248,-0.002887,0.021008,0.079248,0.009160,-0.133190,-9.809092
15.000000,1.000000,0.986060,-0.002867,0.021008,0.079249,-0.002867,0.021008,0.079249,0.011080,-0.133757,-9.809082
16.000000,1.000000,0.986605,-0.002871,0.020987,0.079262,-0.002871,0.020987,0.079262,0.013053,-0.133745,-9.809080
17.000000,1.000000,0.986430,-0.002873,0.020972,0.079276,-0.002873,0.020972,0.079276,0.015111,-0.133644,-9.809078
18.000000,1.000000,0.985896,-0.002873,0.020963,0.079291,-0.002873,0.020963,0.079291,0.017127,-0.133678,-9.809074
19.000000,1.000000,0.986170,-0.002907,0.020969,0.079320,-0.002907,0.020969,0.079320,0.018696,-0.133912,-9.809068
20.000000,1.000000,0.985775,-0.002905,0.020954,0.079347,-0.002905,0.020954,0.079347,0.020367,-0.134452,-9.809057
21.000000,1.000000,0.985500,-0.002916,0.020959,0.079360,-0.002916,0.020959,0.079360,0.021988,-0.134424,-9.809054
22.000000,1.000000,0.986667,-0.002929,0.021013,0.079380,-0.002929,0.021013,0.079380,0.023446,-0.133923,-9.809058
23.000000,1.000000,0.987694,-0.002897,0.020941,0.079403,-0.002897,0.020941,0.079403,0.025708,-0.134386,-9.809046
