# index, flag, s, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,1.021506,-0.003360,0.021588,0.078530,-0.003360,0.021588,0.078530,-0.794807,0.583361,-9.760331
1.000000,1.000000,1.024887,-0.003139,0.021700,0.078677,-0.003139,0.021700,0.078677,-0.564111,0.919598,-9.750498
2.000000,1.000000,1.004302,-0.003017,0.021043,0.078783,-0.003017,0.021043,0.078783,0.426284,1.446479,-9.693404
3.000000,1.000000,1.025432,-0.003246,0.021651,0.079112,-0.003246,0.021651,0.079112,-0.584819,0.794271,-9.760288
4.000000,1.000000,1.025432,-0.003246,0.021651,0.079112,-0.003246,0.021651,0.079112,-0.584819,0.794271,-9.760288
5.000000,1.000000,1.016415,-0.003163,0.021538,0.078713,-0.003163,0.021538,0.078713,-0.371388,0.749266,-9.774291
6.000000,1.000000,0.996369,-0.002954,0.021394,0.078848,-0.002954,0.021394,0.078848,0.362714,0.694110,-9.778689
7.000000,1.000000,0.987134,-0.003040,0.021205,0.078923,-0.003040,0.021205,0.078923,0.597006,1.016530,-9.738909
8.000000,1.000000,1.003285,-0.002910,0.021599,0.078990,-0.002910,0.021599,0.078990,0.291446,0.586772,-9.788098
9.000000,1.000000,1.001154,-0.002736,0.020791,0.079080,-0.002736,0.020791,0.079080,-0.022360,-0.088221,-9.809578
10.000000,1.000000,1.001154,-0.002736,0.020791,0.079080,-0.002736,0.020791,0.079080,-0.022360,-0.088221,-9.809578
11.000000,1.000000,1.011905,-0.002904,0.020824,0.079052,-0.002904,0.020824,0.079052,-0.288590,-0.050146,-9.805626
12.000000,1.000000,0.987715,-0.002834,0.021413,0.078973,-0.002834,0.021413,0.078973,-0.036857,-0.108111,-9.809335
13.000000,1.000000,0.961901,-0.002946,0.021236,0.079085,-0.002946,0.021236,0.079085,0.477114,-0.197026,-9.796405
14.000000,1.000000,1.000149,-0.002799,0.021182,0.079062,-0.002799,0.021182,0.079062,0.044202,-0.086108,-9.809530
15.000000,1.000000,1.007572,-0.002665,0.021287,0.078853,-0.002665,0.021287,0.078853,-0.192748,-0.006408,-9.808104
16.000000,1.000000,1.015214,-0.002625,0.021068,0.078853,-0.002625,0.021068,0.078853,-0.373195,0.077459,-9.802595
17.000000,1.000000,0.999357,-0.002537,0.020560,0.078819,-0.002537,0.020560,0.078819,-0.412039,-0.228256,-9.798685
18.000000,1.000000,0.990138,-0.002777,0.020995,0.078752,-0.002777,0.020995,0.078752,-0.113120,-0.114416,-9.808681
19.000000,1.000000,0.989023,-0.003520,0.020999,0.079143,-0.003520,0.020999,0.079143,-0.009527,0.050246,-9.809867
20.000000,1.000000,1.015563,-0.003074,0.020891,0.079108,-0.003074,0.020891,0.079108,0.044462,0.137695,-9.808933
21.000000,1.000000,1.003864,-0.002317,0.020744,0.078544,-0.002317,0.020744,0.078544,-0.031506,0.114169,-9.809285
22.000000,1.000000,1.007948,-0.002690,0.021223,0.079011,-0.002690,0.021223,0.079011,-0.044121,0.095855,-9.809432
23.000000,1.000000,1.001970,-0.002565,0.020713,0.079015,-0.002565,0.020713,0.079015,-0.176943,-0.169222,-9.806944
24.000000,1.000000,1.001970,-0.002565,0.020713,0.079015,-0.002565,0.020713,0.079015,-0.176943,-0.169222,-9.806944
25.000000,1.000000,1.001970,-0.002565,0.020713,0.079015,-0.002565,0.020713,0.079015,-0.176943,-0.169222,-9.806944
26.000000,1.000000,1.001970,-0.002565,0.020713,0.079015,-0.002565,0.020713,0.079015,-0.176943,-0.169222,-9.806944
27.000000,1.000000,1.001970,-0.002565,0.020713,0.079015,-0.002565,0.020713,0.079015,-0.176943,-0.169222,-9.806944
28.000000,1.000000,1.001970,-0.002565,0.020713,0.079015,-0.002565,0.020713,0.079015,-0.176943,-0.169222,-9.806944
29.000000,1.000000,1.001970,-0.002565,0.020713,0.079015,-0.002565,0.020713,0.079015,-0.176943,-0.169222,-9.806944
30.000000,1.000000,1.004816,-0.003212,0.021164,0.079320,-0.003212,0.021164,0.079320,-0.010519,0.081489,-9.809656
31.000000,1.000000,1.003874,-0.002973,0.020581,0.079178,-0.002973,0.020581,0.079178,-0.039681,0.135062,-9.808990
32.000000,1.000000,0.998807,-0.002750,0.020812,0.078991,-0.002750,0.020812,0.078991,-0.008483,0.261842,-9.806501
33.000000,1.000000,1.002248,-0.002514,0.020967,0.079055,-0.002514,0.020967,0.079055,-0.095050,0.017696,-9.809524
34.000000,1.000000,1.014001,-0.002675,0.021278,0.079137,-0.002675,0.021278,0.079137,-0.027289,0.533074,-9.795468
35.000000,1.000000,1.005088,-0.003084,0.020961,0.079309,-0.003084,0.020961,0.079309,-0.047545,0.513838,-9.796418
