# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.609254,0.692800,-0.003918,0.024110,0.077193,-0.282713,-2.765726,-4.645715,-2.519860,9.328998,-1.690029
1.000000,1.000000,0.769609,0.692800,-0.003177,0.021426,0.081589,0.403330,-3.054642,-0.364182,-2.820425,9.001906,2.692024
2.000000,1.000000,0.703757,0.692800,-0.002174,0.020472,0.080149,1.081172,-5.191016,-1.082481,-5.014930,8.175704,2.060205
3.000000,1.000000,0.761109,0.692800,-0.004790,0.025374,0.076544,0.895081,-4.648189,-0.948020,-4.462811,8.426222,2.306123
4.000000,1.000000,0.677926,0.692800,-0.002556,0.017925,0.083252,-0.556659,1.673900,-2.662099,1.795667,9.641804,0.217455
5.000000,1.000000,0.738596,0.692800,-0.005386,0.024942,0.076246,-0.191206,0.952804,-0.444697,1.164552,9.421013,2.474759
6.000000,1.000000,0.736408,0.692800,-0.001835,0.020514,0.080027,-0.211695,0.444703,-0.176789,0.607667,9.406684,2.716824
7.000000,1.000000,0.736408,0.692800,-0.001835,0.020514,0.080027,-0.211695,0.444703,-0.176789,0.607667,9.406684,2.716824
8.000000,1.000000,0.687275,0.692800,-0.002988,0.021546,0.079786,-0.881085,-1.031291,-1.038221,-0.979812,9.582964,1.855495
9.000000,1.000000,0.747189,0.692800,-0.005535,0.023105,0.077882,-0.050047,0.166185,0.054189,0.319690,9.331806,3.008537
10.000000,1.000000,0.763923,0.692800,-0.000532,0.017522,0.082611,-0.002799,-0.086461,0.126949,0.045610,9.305224,3.105933
11.000000,1.000000,0.763923,0.692800,-0.000532,0.017522,0.082611,-0.002799,-0.086461,0.126949,0.045610,9.305224,3.105933
12.000000,1.000000,0.725700,0.692800,-0.006656,0.023927,0.077860,-0.195844,-0.054680,-0.136536,0.091319,9.397857,2.812125
13.000000,1.000000,0.746744,0.692800,-0.004232,0.022163,0.077750,-0.149250,0.365453,-0.092675,0.491730,9.391662,2.791234
14.000000,1.000000,0.746744,0.692800,-0.004232,0.022163,0.077750,-0.149250,0.365453,-0.092675,0.491730,9.391662,2.791234
15.000000,1.000000,0.746744,0.692800,-0.004232,0.022163,0.077750,-0.149250,0.365453,-0.092675,0.491730,9.391662,2.791234
16.000000,1.000000,0.746744,0.692800,-0.004232,0.022163,0.077750,-0.149250,0.365453,-0.092675,0.491730,9.391662,2.791234
17.000000,1.000000,0.746744,0.692800,-0.004232,0.022163,0.077750,-0.149250,0.365453,-0.092675,0.491730,9.391662,2.791234
18.000000,1.000000,0.745165,0.692800,-0.004549,0.021199,0.078095,-0.353639,-0.148688,-0.365703,0.099494,9.500486,2.442736
19.000000,1.000000,0.732896,0.692800,-0.002168,0.021824,0.083237,0.053168,0.475339,0.170934,0.578962,9.258668,3.190293
20.000000,1.000000,0.760220,0.692800,-0.002917,0.021635,0.080281,-0.275829,-2.115388,-2.359908,-1.437106,9.701806,0.213964
21.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
22.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
23.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
24.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
25.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
26.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
27.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
28.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
29.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
30.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
31.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
32.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
33.000000,1.000000,0.007601,0.692800,-0.002932,0.020316,0.079484,4.479415,-8.311446,1.005411,-8.210785,4.932800,2.118157
