# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.935219,1.025517,-0.003591,0.020918,0.077872,-0.599754,3.801291,-2.012088,3.997697,9.903091,1.020905
1.000000,1.000000,1.051189,1.025517,-0.003572,0.023191,0.081115,-0.160211,-3.196121,-0.433974,-2.968555,9.539235,2.618505
2.000000,1.000000,0.986437,1.025517,-0.002320,0.021908,0.079489,-0.481475,3.219617,-1.273437,3.388599,9.708706,1.647803
3.000000,1.000000,1.047727,1.025517,-0.004599,0.022172,0.077641,-0.267580,-4.443595,-0.647578,-4.251932,9.572052,2.601897
4.000000,1.000000,0.941275,1.025517,-0.002997,0.020778,0.081588,-0.934213,0.763914,-2.240439,0.904770,10.074104,0.651960
5.000000,1.000000,1.031744,1.025517,-0.004937,0.023255,0.077295,-0.226670,-1.333048,-0.490237,-1.132894,9.496371,2.614011
6.000000,1.000000,1.043649,1.025517,-0.002322,0.020659,0.080064,-0.021552,0.381317,0.073130,0.563568,9.316964,3.042650
7.000000,1.000000,1.043649,1.025517,-0.002322,0.020659,0.080064,-0.021552,0.381317,0.073130,0.563568,9.316964,3.042650
8.000000,1.000000,0.950751,1.025517,-0.003284,0.021547,0.079858,-1.154541,-0.492865,-1.166090,-0.484260,9.814319,1.586464
9.000000,1.000000,1.058512,1.025517,-0.003739,0.022774,0.077495,0.126504,0.141237,0.260811,0.310912,9.241751,3.290282
10.000000,1.000000,1.065270,1.025517,-0.001923,0.017619,0.083020,0.079642,-0.055706,0.220062,0.082108,9.260628,3.243702
11.000000,1.000000,1.065270,1.025517,-0.001923,0.017619,0.083020,0.079642,-0.055706,0.220062,0.082108,9.260628,3.243702
12.000000,1.000000,1.011807,1.025517,-0.006447,0.024183,0.077555,-0.201290,0.007068,-0.144128,0.145995,9.400389,2.811209
13.000000,1.000000,1.043503,1.025517,-0.004231,0.022845,0.077819,-0.189511,0.380278,-0.135279,0.502306,9.409115,2.764540
14.000000,1.000000,1.043503,1.025517,-0.004231,0.022845,0.077819,-0.189511,0.380278,-0.135279,0.502306,9.409115,2.764540
15.000000,1.000000,1.043503,1.025517,-0.004231,0.022845,0.077819,-0.189511,0.380278,-0.135279,0.502306,9.409115,2.764540
16.000000,1.000000,1.043503,1.025517,-0.004231,0.022845,0.077819,-0.189511,0.380278,-0.135279,0.502306,9.409115,2.764540
17.000000,1.000000,1.043503,1.025517,-0.004231,0.022845,0.077819,-0.189511,0.380278,-0.135279,0.502306,9.409115,2.764540
