# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.859889,1.025517,-0.003591,0.020918,0.077872,-0.553288,-1.568961,-4.200834,-1.329740,9.641959,-1.215368
1.000000,1.000000,1.043672,1.025517,-0.003572,0.023191,0.081115,-0.032722,-1.809480,-0.649663,-1.588424,9.385173,2.373074
2.000000,0.000000,1.043672,1.025517,-0.002320,0.021908,0.079489,-0.032722,-1.809480,-0.649663,-1.588424,9.385173,2.373074
3.000000,1.000000,1.041787,1.025517,-0.004599,0.022172,0.077641,0.368064,-3.650974,-1.142174,-3.487882,8.936454,2.051951
4.000000,1.000000,0.931787,1.025517,-0.002997,0.020778,0.081588,-0.674058,0.115892,-2.551387,0.248053,9.799092,0.390354
5.000000,1.000000,1.044721,1.025517,-0.004937,0.023255,0.077295,0.156901,-2.471368,-0.414034,-2.262568,9.130802,2.783045
6.000000,1.000000,1.041478,1.025517,-0.002322,0.020659,0.080064,0.041126,0.452423,0.123329,0.638488,9.281031,3.109448
7.000000,1.000000,1.041478,1.025517,-0.002322,0.020659,0.080064,0.041126,0.452423,0.123329,0.638488,9.281031,3.109448
8.000000,0.000000,1.041478,1.025517,-0.003284,0.021547,0.079858,0.041126,0.452423,0.123329,0.638488,9.281031,3.109448
9.000000,1.000000,1.059565,1.025517,-0.003739,0.022774,0.077495,0.133369,0.137170,0.261824,0.307344,9.235647,3.294079
10.000000,1.000000,1.067079,1.025517,-0.001923,0.017619,0.083020,0.076256,-0.056952,0.212327,0.079776,9.260731,3.235522
11.000000,1.000000,1.067079,1.025517,-0.001923,0.017619,0.083020,0.076256,-0.056952,0.212327,0.079776,9.260731,3.235522
12.000000,1.000000,1.013435,1.025517,-0.006447,0.024183,0.077555,-0.180883,0.071278,-0.123958,0.213653,9.391807,2.825671
13.000000,1.000000,1.043772,1.025517,-0.004231,0.022845,0.077819,-0.188008,0.407091,-0.151754,0.528443,9.402318,2.748321
14.000000,1.000000,1.043772,1.025517,-0.004231,0.022845,0.077819,-0.188008,0.407091,-0.151754,0.528443,9.402318,2.748321
15.000000,1.000000,1.043772,1.025517,-0.004231,0.022845,0.077819,-0.188008,0.407091,-0.151754,0.528443,9.402318,2.748321
16.000000,1.000000,1.043772,1.025517,-0.004231,0.022845,0.077819,-0.188008,0.407091,-0.151754,0.528443,9.402318,2.748321
17.000000,1.000000,1.043772,1.025517,-0.004231,0.022845,0.077819,-0.188008,0.407091,-0.151754,0.528443,9.402318,2.748321
18.000000,1.000000,1.041967,1.025517,-0.004502,0.020061,0.078429,-0.365637,-0.365947,-0.383734,-0.104098,9.507152,2.416607
19.000000,1.000000,0.969691,1.025517,-0.002412,0.020838,0.083488,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
20.000000,0.000000,0.969691,1.025517,-0.002984,0.021652,0.080350,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
21.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
22.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
23.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
24.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
25.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
26.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
27.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
28.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
29.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
30.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
31.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
32.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
33.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
34.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
35.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
36.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
37.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
38.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
39.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
40.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
41.000000,0.000000,0.969691,1.025517,-0.002929,0.020316,0.079495,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
42.000000,0.000000,0.969691,1.025517,-0.003049,0.020257,0.080353,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
43.000000,0.000000,0.969691,1.025517,-0.003049,0.020257,0.080353,0.064183,0.860163,0.056204,0.982972,9.212711,3.224254
44.000000,1.000000,1.005452,1.025517,-0.003988,0.021105,0.076770,0.636922,1.147079,1.362968,1.037471,8.669823,4.472360
45.000000,1.000000,1.005452,1.025517,-0.003988,0.021105,0.076770,0.636922,1.147079,1.362968,1.037471,8.669823,4.472360
46.000000,1.000000,0.689060,1.025517,-0.002615,0.022521,0.079452,3.390788,7.778934,-2.277681,7.987457,5.269195,2.161039
47.000000,1.000000,1.065933,1.025517,-0.001876,0.021398,0.078143,0.108341,2.627794,-0.777634,2.902668,8.985899,2.658126
48.000000,1.000000,1.079953,1.025517,-0.002265,0.020523,0.079181,0.159044,-2.017069,-0.074024,-1.830728,9.135070,3.071652
49.000000,1.000000,1.079953,1.025517,-0.002265,0.020523,0.079181,0.159044,-2.017069,-0.074024,-1.830728,9.135070,3.071652
50.000000,1.000000,0.784070,1.025517,-0.004790,0.021512,0.080839,5.388642,-8.391113,0.121503,-7.322422,3.359004,5.597797
51.000000,1.000000,0.856861,1.025517,-0.002739,0.021318,0.079705,2.920269,1.722760,4.168705,3.160080,6.532794,6.600320
52.000000,1.000000,0.786841,1.025517,-0.002845,0.020414,0.078225,1.174652,0.721748,-9.030195,-1.251328,7.750121,-5.882693
53.000000,1.000000,0.847602,1.025517,-0.002512,0.020337,0.076823,-0.615864,-0.276051,-2.260147,0.000305,9.785241,0.700758
54.000000,1.000000,0.847602,1.025517,-0.002512,0.020337,0.076823,-0.615864,-0.276051,-2.260147,0.000305,9.785241,0.700758
55.000000,1.000000,0.847602,1.025517,-0.002512,0.020337,0.076823,-0.615864,-0.276051,-2.260147,0.000305,9.785241,0.700758
56.000000,1.000000,0.738660,1.025517,-0.004730,0.021602,0.078915,1.158022,3.257501,-7.886771,3.654680,7.767263,-4.748583
57.000000,1.000000,1.099238,1.025517,-0.002403,0.020481,0.076654,4.179609,-3.955096,4.205210,-4.153001,5.463003,7.010270
58.000000,1.000000,1.001137,1.025517,-0.002441,0.021232,0.078562,-0.066679,-2.896799,-1.583416,-2.614790,9.374700,1.230434
59.000000,1.000000,0.951404,1.025517,-0.003201,0.021098,0.077785,-0.385833,1.835746,-4.849105,2.372496,9.348188,-1.795566
60.000000,1.000000,0.976043,1.025517,-0.002198,0.021452,0.079110,-0.107889,-2.197243,-1.804974,-1.738444,9.608964,0.935697
61.000000,1.000000,1.039926,1.025517,-0.003123,0.020842,0.078595,1.016952,4.734467,-0.450249,4.851719,7.888013,3.233932
62.000000,1.000000,0.842444,1.025517,-0.003265,0.021797,0.079018,-0.240272,1.645411,-0.630607,1.887515,9.316714,2.423268
63.000000,1.000000,0.805838,1.025517,-0.002985,0.020356,0.078162,8.167837,-9.723168,-4.508764,-9.624861,1.165226,-1.506657
64.000000,1.000000,0.233922,1.025517,-0.001940,0.020061,0.079968,8.300533,9.022595,0.495277,8.959617,0.650709,3.942102
65.000000,1.000000,1.034083,1.025517,-0.003941,0.021793,0.077268,5.521911,-5.537253,3.545613,-5.561588,4.243085,6.877597
66.000000,1.000000,1.075019,1.025517,-0.004123,0.021171,0.082885,-0.186486,0.015244,-0.032671,0.197814,9.363226,2.920098
67.000000,1.000000,1.056637,1.025517,-0.004217,0.021320,0.078881,-0.183532,1.700886,-1.300398,1.425359,9.630856,1.206286
68.000000,1.000000,0.842021,1.025517,-0.003170,0.021553,0.079601,18.545992,0.120263,-5.993045,0.237616,-9.256333,-3.240387
69.000000,1.000000,0.586402,1.025517,-0.003802,0.020836,0.080551,6.772970,8.109431,-7.979023,2.692760,3.838968,-8.616755
70.000000,1.000000,0.875539,1.025517,-0.003727,0.020431,0.080481,-0.148327,0.064409,0.161571,0.449149,9.256601,3.217094
71.000000,1.000000,1.213146,1.025517,-0.001275,0.020553,0.079649,-0.260160,0.398522,-0.910540,-0.625858,9.361845,2.863610
72.000000,1.000000,1.213146,1.025517,-0.001275,0.020553,0.079649,-0.260160,0.398522,-0.910540,-0.625858,9.361845,2.863610
73.000000,1.000000,1.213146,1.025517,-0.001275,0.020553,0.079649,-0.260160,0.398522,-0.910540,-0.625858,9.361845,2.863610
74.000000,1.000000,1.213146,1.025517,-0.001275,0.020553,0.079649,-0.260160,0.398522,-0.910540,-0.625858,9.361845,2.863610
75.000000,1.000000,1.213146,1.025517,-0.001275,0.020553,0.079649,-0.260160,0.398522,-0.910540,-0.625858,9.361845,2.863610
76.000000,1.000000,0.913893,1.025517,-0.002826,0.020739,0.080251,0.207815,-2.239801,-0.081988,1.238212,8.378375,4.950134
77.000000,1.000000,0.836007,1.025517,-0.002737,0.023623,0.077658,3.963848,-6.412993,2.575503,6.048908,4.568944,6.226775
78.000000,1.000000,0.905523,1.025517,-0.002547,0.021164,0.079209,4.257871,-1.382279,4.971048,6.511051,7.264259,1.033741
79.000000,1.000000,0.867482,1.025517,-0.001287,0.021318,0.077500,3.855295,-6.438896,1.756713,5.572561,4.755984,6.524020
80.000000,1.000000,0.864764,1.025517,-0.003134,0.023128,0.078767,0.827404,-4.689332,-1.569923,1.289247,6.589037,7.152687
81.000000,1.000000,0.897402,1.025517,-0.003380,0.021651,0.076437,2.928340,-5.115634,2.047596,5.145367,6.162153,5.638292
82.000000,1.000000,0.983134,1.025517,-0.003165,0.022044,0.077082,0.766638,-3.796899,0.019717,2.205001,7.445562,5.994795
83.000000,1.000000,0.949839,1.025517,-0.004188,0.022316,0.077336,-0.598531,-2.158535,-3.908156,-2.156418,7.254013,6.242217
84.000000,1.000000,1.170888,1.025517,-0.003926,0.021861,0.079515,4.039031,5.304189,3.747422,2.715970,8.453042,-4.172013
85.000000,1.000000,1.271286,1.025517,-0.005195,0.022141,0.075838,-0.363783,-1.604427,-1.221670,-0.173418,8.507744,4.874647
86.000000,1.000000,1.027986,1.025517,-0.002953,0.021984,0.079235,1.370867,-5.685467,-1.322964,1.662690,5.709351,7.802247
87.000000,1.000000,0.948371,1.025517,-0.002432,0.022091,0.078075,1.351301,5.530699,-5.524918,-6.064097,7.616997,-1.201415
