# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.268267,0.294122,-0.001384,0.017937,0.081783,-0.109374,0.412733,-0.287231,0.832067,9.444977,2.569162
1.000000,1.000000,0.280843,0.294122,-0.003591,0.023178,0.074612,0.248350,-1.130574,0.814625,-0.550400,9.125182,3.829006
2.000000,1.000000,0.276619,0.294122,-0.001636,0.021650,0.081232,-0.014893,6.988014,-0.173716,7.398849,9.293963,1.993407
3.000000,1.000000,0.266947,0.294122,-0.001936,0.021980,0.075710,-0.198577,2.269814,-0.532151,2.659436,9.493666,2.122705
4.000000,1.000000,0.266269,0.294122,-0.003509,0.023640,0.075208,-1.863855,3.656708,-4.474781,3.517240,10.765434,-2.179847
5.000000,1.000000,0.267132,0.294122,-0.001263,0.019930,0.080521,-0.504462,-0.365273,-0.989612,-0.038024,9.701918,1.864175
6.000000,1.000000,0.248355,0.294122,-0.003804,0.023816,0.073220,-1.339108,1.248276,-3.129591,1.232178,10.373423,-0.505222
7.000000,1.000000,0.268013,0.294122,-0.002577,0.022625,0.080243,-0.599282,0.336478,-1.458705,0.607620,9.827903,1.360054
8.000000,1.000000,0.292870,0.294122,-0.002817,0.025687,0.071694,-0.304463,-0.574302,-0.355819,-0.173646,9.510604,2.509585
9.000000,1.000000,0.266046,0.294122,-0.001931,0.021457,0.077199,-1.428456,-1.051870,-1.153115,-0.856119,9.912900,1.325497
10.000000,1.000000,0.266046,0.294122,-0.001931,0.021457,0.077199,-1.428456,-1.051870,-1.153115,-0.856119,9.912900,1.325497
11.000000,1.000000,0.270768,0.294122,-0.002051,0.020239,0.079356,-0.425844,0.462192,-0.314027,0.798001,9.518088,2.343157
12.000000,1.000000,0.282120,0.294122,-0.003832,0.021612,0.075353,-0.061845,0.277258,0.024157,0.716325,9.367284,2.837514
13.000000,1.000000,0.282120,0.294122,-0.003832,0.021612,0.075353,-0.061845,0.277258,0.024157,0.716325,9.367284,2.837514
14.000000,1.000000,0.266938,0.294122,-0.001348,0.018284,0.078253,-0.514415,0.363452,-0.407798,0.663691,9.555232,2.245113
15.000000,1.000000,0.286243,0.294122,0.005476,0.020312,0.077992,-0.008106,0.146583,0.095063,0.561123,9.336676,2.963216
16.000000,1.000000,0.286243,0.294122,0.005476,0.020312,0.077992,-0.008106,0.146583,0.095063,0.561123,9.336676,2.963216
17.000000,1.000000,0.286243,0.294122,0.005476,0.020312,0.077992,-0.008106,0.146583,0.095063,0.561123,9.336676,2.963216
18.000000,1.000000,0.286243,0.294122,0.005476,0.020312,0.077992,-0.008106,0.146583,0.095063,0.561123,9.336676,2.963216
19.000000,1.000000,0.286243,0.294122,0.005476,0.020312,0.077992,-0.008106,0.146583,0.095063,0.561123,9.336676,2.963216
20.000000,1.000000,0.278187,0.294122,-0.003942,0.022036,0.078189,-0.128751,0.098692,-0.057431,0.483633,9.409638,2.736185
21.000000,1.000000,0.278187,0.294122,-0.003942,0.022036,0.078189,-0.128751,0.098692,-0.057431,0.483633,9.409638,2.736185
22.000000,1.000000,0.278187,0.294122,-0.003942,0.022036,0.078189,-0.128751,0.098692,-0.057431,0.483633,9.409638,2.736185
23.000000,1.000000,0.283016,0.294122,-0.003370,0.018411,0.077030,0.048445,0.619879,0.174749,1.040713,9.319860,2.948564
24.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
25.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
26.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
27.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
28.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
29.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
30.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
31.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
32.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
33.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
34.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
35.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
36.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
37.000000,1.000000,0.091456,0.294122,-0.002310,0.020587,0.077389,-2.247557,51.810372,-17.811704,54.913519,8.707009,-3.390836
