# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.945578,1.037378,-0.003286,0.021332,0.080453,-0.000007,0.000000,0.000002,0.427062,9.372824,2.864244
1.000000,1.000000,1.040921,1.037378,-0.003674,0.021801,0.075202,-0.000019,0.000000,0.000008,0.457746,9.377261,2.844916
2.000000,1.000000,1.024561,1.037378,-0.002242,0.024389,0.080168,-0.000020,0.000000,0.000009,0.452085,9.380378,2.835529
3.000000,1.000000,0.988218,1.037378,-0.001805,0.021197,0.076103,-0.000005,0.000000,0.000002,0.435775,9.378141,2.845464
4.000000,1.000000,1.045061,1.037378,-0.003213,0.022144,0.075666,-0.000002,-0.000000,0.000000,0.460032,9.381089,2.831898
5.000000,1.000000,1.006161,1.037378,-0.001666,0.023686,0.079722,-0.000013,0.000000,0.000006,0.441774,9.381706,2.832761
6.000000,1.000000,0.983070,1.037378,-0.003468,0.020548,0.073766,-0.000021,0.000000,0.000008,0.441976,9.374568,2.856262
7.000000,1.000000,1.046702,1.037378,-0.002840,0.024217,0.079746,-0.000007,-0.000000,0.000003,0.456685,9.380822,2.833323
8.000000,1.000000,0.962538,1.037378,-0.002639,0.024297,0.072015,-0.000016,0.000000,0.000008,0.434960,9.378587,2.844118
9.000000,1.000000,1.046721,1.037378,-0.002030,0.021447,0.077249,-0.000033,0.000002,0.000036,0.431869,9.369513,2.874336
10.000000,1.000000,1.046721,1.037378,-0.002030,0.021447,0.077249,-0.000033,0.000002,0.000036,0.431869,9.369513,2.874336
11.000000,1.000000,1.052949,1.037378,-0.003397,0.020245,0.079481,-0.000033,0.000002,0.000035,0.435867,9.367815,2.879263
12.000000,1.000000,1.043903,1.037378,-0.002284,0.021158,0.075110,-0.000035,0.000004,0.000036,0.445384,9.370564,2.868842
13.000000,1.000000,1.043903,1.037378,-0.002284,0.021158,0.075110,-0.000035,0.000004,0.000036,0.445384,9.370564,2.868842
14.000000,1.000000,1.033170,1.037378,-0.003034,0.018475,0.078529,-0.000033,0.000003,0.000035,0.428930,9.368068,2.879482
15.000000,1.000000,0.991510,1.037378,0.004404,0.018380,0.078684,-0.000034,0.000005,0.000033,0.372848,9.372883,2.871611
16.000000,1.000000,0.991510,1.037378,0.004404,0.018380,0.078684,-0.000034,0.000005,0.000033,0.372848,9.372883,2.871611
17.000000,1.000000,0.991510,1.037378,0.004404,0.018380,0.078684,-0.000034,0.000005,0.000033,0.372848,9.372883,2.871611
18.000000,1.000000,0.991510,1.037378,0.004404,0.018380,0.078684,-0.000034,0.000005,0.000033,0.372848,9.372883,2.871611
19.000000,1.000000,0.991510,1.037378,0.004404,0.018380,0.078684,-0.000034,0.000005,0.000033,0.372848,9.372883,2.871611
20.000000,1.000000,1.037428,1.037378,-0.003561,0.022251,0.077977,-0.000032,0.000003,0.000025,0.452266,9.374316,2.855477
21.000000,1.000000,1.037428,1.037378,-0.003561,0.022251,0.077977,-0.000032,0.000003,0.000025,0.452266,9.374316,2.855477
22.000000,1.000000,1.037428,1.037378,-0.003561,0.022251,0.077977,-0.000032,0.000003,0.000025,0.452266,9.374316,2.855477
23.000000,1.000000,1.028275,1.037378,-0.004608,0.017710,0.077728,-0.000035,0.000001,0.000025,0.426919,9.373178,2.863106
24.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
25.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
26.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
27.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
28.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
29.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
30.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
31.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
32.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
33.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
34.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
35.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
36.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
37.000000,1.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
38.000000,1.000000,0.984764,1.037378,-0.002717,0.022809,0.076745,-0.000020,0.000001,0.000005,0.426808,9.393233,2.796625
39.000000,1.000000,0.968592,1.037378,-0.003037,0.021314,0.076320,-0.000026,-0.000000,0.000010,0.457982,9.383254,2.825050
40.000000,1.000000,1.120671,1.037378,-0.000420,0.020029,0.078567,-0.000019,0.000001,0.000006,0.469526,9.376795,2.844531
41.000000,1.000000,0.910055,1.037378,-0.002453,0.018927,0.077133,-0.000037,0.000001,0.000014,0.397512,9.392431,2.803627
42.000000,1.000000,0.910055,1.037378,-0.002453,0.018927,0.077133,-0.000037,0.000001,0.000014,0.397512,9.392431,2.803627
43.000000,1.000000,0.952113,1.037378,-0.001866,0.022218,0.077162,-0.000015,0.000000,0.000005,0.460565,9.390546,2.800290
44.000000,1.000000,1.054808,1.037378,-0.002304,0.022181,0.076771,-0.000035,-0.000001,0.000012,0.444571,9.376226,2.850411
45.000000,1.000000,1.009790,1.037378,-0.002069,0.021148,0.078114,-0.000034,0.000001,0.000012,0.451937,9.378786,2.840814
46.000000,1.000000,0.927663,1.037378,-0.003181,0.021095,0.076717,-0.000027,-0.000000,0.000010,0.482633,9.380002,2.831736
47.000000,1.000000,0.951629,1.037378,-0.001447,0.021375,0.078021,-0.000026,-0.000000,0.000010,0.453010,9.371132,2.865792
48.000000,1.000000,1.052929,1.037378,-0.002973,0.021850,0.075006,-0.000022,-0.000000,0.000008,0.467127,9.371903,2.861001
49.000000,1.000000,1.108847,1.037378,-0.002763,0.021726,0.077110,-0.000051,0.000000,0.000018,0.458884,9.393647,2.790147
