# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.971355,1.024728,-0.001547,0.021762,0.079925,-0.000013,0.000001,0.000003,0.436185,9.487384,2.456703
1.000000,1.000000,1.032244,1.024728,-0.002119,0.021284,0.075108,-0.000018,0.000001,0.000006,0.491194,9.493734,2.421537
2.000000,1.000000,1.012440,1.024728,-0.001578,0.023246,0.079827,-0.000008,0.000000,0.000003,0.461476,9.494086,2.426000
3.000000,1.000000,0.996546,1.024728,-0.001743,0.020786,0.075488,-0.000004,0.000000,0.000001,0.427586,9.491628,2.441776
4.000000,1.000000,1.021390,1.024728,-0.003490,0.023319,0.074334,-0.000042,0.000001,0.000016,0.467993,9.489424,2.442933
5.000000,1.000000,1.040127,1.024728,-0.002022,0.021597,0.079149,0.000005,0.000000,-0.000003,0.488755,9.490535,2.434536
6.000000,1.000000,0.984507,1.024728,-0.001761,0.019339,0.076855,-0.000006,0.000000,0.000002,0.434362,9.491791,2.439946
7.000000,1.000000,1.037513,1.024728,-0.002897,0.022361,0.075204,-0.000028,0.000002,0.000008,0.448726,9.489776,2.445179
8.000000,1.000000,1.037513,1.024728,-0.002897,0.022361,0.075204,-0.000028,0.000002,0.000008,0.448726,9.489776,2.445179
9.000000,1.000000,1.037513,1.024728,-0.002897,0.022361,0.075204,-0.000028,0.000002,0.000008,0.448726,9.489776,2.445179
10.000000,1.000000,1.037513,1.024728,-0.002897,0.022361,0.075204,-0.000028,0.000002,0.000008,0.448726,9.489776,2.445179
11.000000,1.000000,1.037513,1.024728,-0.002897,0.022361,0.075204,-0.000028,0.000002,0.000008,0.448726,9.489776,2.445179
12.000000,1.000000,1.037513,1.024728,-0.002897,0.022361,0.075204,-0.000028,0.000002,0.000008,0.448726,9.489776,2.445179
13.000000,1.000000,1.037513,1.024728,-0.002897,0.022361,0.075204,-0.000028,0.000002,0.000008,0.448726,9.489776,2.445179
14.000000,1.000000,1.037513,1.024728,-0.002897,0.022361,0.075204,-0.000028,0.000002,0.000008,0.448726,9.489776,2.445179
15.000000,1.000000,1.037513,1.024728,-0.002897,0.022361,0.075204,-0.000028,0.000002,0.000008,0.448726,9.489776,2.445179
16.000000,1.000000,1.037513,1.024728,-0.002897,0.022361,0.075204,-0.000028,0.000002,0.000008,0.448726,9.489776,2.445179
