# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.962031,0.781972,-0.001922,0.019353,0.076204,0.279588,0.727291,0.601244,0.574076,8.693613,4.508617
1.000000,1.000000,0.971905,0.781972,-0.001791,0.022574,0.076526,0.074039,0.166372,0.221380,0.002242,8.900349,4.125517
2.000000,1.000000,0.846304,0.781972,-0.002041,0.021522,0.077231,0.669598,3.936043,-2.914919,4.083732,8.810814,1.388808
3.000000,1.000000,0.965585,0.781972,-0.003249,0.020822,0.075510,0.464288,0.703499,0.950181,0.490417,8.495633,4.880555
4.000000,1.000000,0.909529,0.781972,-0.000137,0.022304,0.079039,6.193187,5.430227,4.267019,5.146443,2.524595,7.960945
5.000000,1.000000,0.937872,0.781972,-0.000887,0.019576,0.076664,0.200255,-2.300073,0.501989,-2.356721,8.392334,4.500078
6.000000,1.000000,0.840764,0.781972,-0.003262,0.021811,0.076178,-0.740888,0.123611,-3.888536,-0.688357,9.783951,0.191216
7.000000,1.000000,0.659124,0.781972,-0.001961,0.021828,0.076115,0.968492,0.834201,-8.607742,-0.573045,8.536631,-4.799339
8.000000,1.000000,0.659124,0.781972,-0.001961,0.021828,0.076115,0.968492,0.834201,-8.607742,-0.573045,8.536631,-4.799339
9.000000,1.000000,1.044080,0.781972,-0.003572,0.020680,0.075306,1.417415,2.390532,1.806205,2.575507,7.788039,5.380457
10.000000,0.000000,1.044080,0.781972,-0.003572,0.020680,0.075306,1.417415,2.390532,1.806205,2.575507,7.788039,5.380457
11.000000,0.000000,1.044080,0.781972,-0.003572,0.020680,0.075306,1.417415,2.390532,1.806205,2.575507,7.788039,5.380457
12.000000,0.000000,1.044080,0.781972,-0.003572,0.020680,0.075306,1.417415,2.390532,1.806205,2.575507,7.788039,5.380457
13.000000,0.000000,1.044080,0.781972,-0.003572,0.020680,0.075306,1.417415,2.390532,1.806205,2.575507,7.788039,5.380457
14.000000,0.000000,1.044080,0.781972,-0.003572,0.020680,0.075306,1.417415,2.390532,1.806205,2.575507,7.788039,5.380457
15.000000,1.000000,0.939776,0.781972,-0.002126,0.021169,0.078145,1.960631,-5.601159,0.093410,-5.488371,6.523443,4.853718
16.000000,1.000000,0.939776,0.781972,-0.002126,0.021169,0.078145,1.960631,-5.601159,0.093410,-5.488371,6.523443,4.853718
