# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.552068,0.549512,-0.003646,0.022134,0.074886,-0.000103,0.000005,0.000037,-0.223662,9.052286,3.773884
1.000000,1.000000,0.552068,0.549512,-0.003646,0.022134,0.074886,-0.000103,0.000005,0.000037,-0.223662,9.052286,3.773884
2.000000,1.000000,0.373767,0.549512,-0.000090,0.020144,0.079750,-0.000328,0.000008,0.000091,-0.203998,9.058462,3.760154
3.000000,1.000000,0.475209,0.549512,-0.003777,0.021353,0.074198,0.000119,0.000002,-0.000046,-0.337339,9.056162,3.756093
4.000000,1.000000,0.547840,0.549512,-0.002198,0.020903,0.078148,-0.000034,0.000003,0.000013,-0.235852,9.035259,3.813735
5.000000,1.000000,0.543447,0.549512,-0.001476,0.019562,0.076292,-0.000047,0.000005,0.000018,-0.249963,9.025784,3.835210
6.000000,1.000000,0.543447,0.549512,-0.001476,0.019562,0.076292,-0.000047,0.000005,0.000018,-0.249963,9.025784,3.835210
7.000000,1.000000,0.581398,0.549512,-0.002356,0.021602,0.075994,-0.000068,-0.000000,0.000029,-0.174590,9.037549,3.811603
8.000000,1.000000,0.498350,0.549512,-0.002823,0.019393,0.078261,-0.000041,0.000000,0.000019,-0.205975,9.042248,3.798872
9.000000,1.000000,0.440521,0.549512,-0.002030,0.020394,0.077909,-0.000066,-0.000000,0.000029,-0.222348,9.042578,3.797163
10.000000,1.000000,0.482983,0.549512,-0.002295,0.021149,0.076858,0.000011,-0.000000,-0.000004,-0.215664,9.023578,3.842476
11.000000,1.000000,0.482983,0.549512,-0.002295,0.021149,0.076858,0.000011,-0.000000,-0.000004,-0.215664,9.023578,3.842476
12.000000,1.000000,0.482983,0.549512,-0.002295,0.021149,0.076858,0.000011,-0.000000,-0.000004,-0.215664,9.023578,3.842476
13.000000,1.000000,0.482983,0.549512,-0.002295,0.021149,0.076858,0.000011,-0.000000,-0.000004,-0.215664,9.023578,3.842476
14.000000,1.000000,0.482983,0.549512,-0.002295,0.021149,0.076858,0.000011,-0.000000,-0.000004,-0.215664,9.023578,3.842476
15.000000,1.000000,0.482983,0.549512,-0.002295,0.021149,0.076858,0.000011,-0.000000,-0.000004,-0.215664,9.023578,3.842476
16.000000,1.000000,0.482983,0.549512,-0.002295,0.021149,0.076858,0.000011,-0.000000,-0.000004,-0.215664,9.023578,3.842476
17.000000,1.000000,0.129657,0.549512,-0.002710,0.024410,0.077105,-0.000177,-0.000010,0.000086,-0.006471,9.123946,3.604119
18.000000,1.000000,0.129657,0.549512,-0.002710,0.024410,0.077105,-0.000177,-0.000010,0.000086,-0.006471,9.123946,3.604119
19.000000,1.000000,0.522791,0.549512,-0.002602,0.022788,0.077434,-0.000010,-0.000001,0.000003,-0.177156,9.078211,3.713597
20.000000,1.000000,0.501704,0.549512,-0.003398,0.020391,0.074044,-0.000066,0.000006,0.000021,-0.156426,9.087009,3.692953
21.000000,1.000000,0.501704,0.549512,-0.003398,0.020391,0.074044,-0.000066,0.000006,0.000021,-0.156426,9.087009,3.692953
22.000000,1.000000,0.451782,0.549512,-0.001502,0.020903,0.077025,-0.000077,-0.000000,0.000029,-0.156406,9.110223,3.635310
23.000000,1.000000,0.529520,0.549512,-0.003237,0.021557,0.075674,-0.000028,-0.000000,0.000004,-0.134282,9.090357,3.685576
24.000000,1.000000,0.559948,0.549512,-0.001848,0.021887,0.075433,0.000021,-0.000001,-0.000009,-0.058885,9.113461,3.630076
25.000000,1.000000,0.518459,0.549512,-0.002770,0.020435,0.076199,-0.000130,-0.000003,0.000050,-0.067285,9.108409,3.642589
26.000000,1.000000,0.397687,0.549512,-0.001670,0.021033,0.075177,0.000071,-0.000001,-0.000034,-0.132320,9.101912,3.657019
27.000000,1.000000,0.520211,0.549512,-0.000929,0.020043,0.076426,-0.000010,-0.000001,0.000005,-0.025771,9.115387,3.625624
28.000000,1.000000,0.501334,0.549512,-0.001234,0.017211,0.078010,-0.000098,0.000003,0.000037,-0.106955,9.118809,3.615520
29.000000,1.000000,0.525551,0.549512,-0.001323,0.020338,0.077008,-0.000128,0.000008,0.000040,-0.263917,9.110192,3.629166
30.000000,1.000000,0.525551,0.549512,-0.001323,0.020338,0.077008,-0.000128,0.000008,0.000040,-0.263917,9.110192,3.629166
31.000000,1.000000,0.483310,0.549512,0.001074,0.022195,0.077563,-0.000095,0.000001,0.000028,-0.408502,9.069360,3.716978
32.000000,1.000000,0.442357,0.549512,0.001376,0.021124,0.076544,-0.000193,0.000003,0.000065,-0.140581,9.085416,3.697506
33.000000,1.000000,0.546366,0.549512,0.000364,0.021002,0.076980,-0.000026,0.000000,0.000010,-0.227620,9.077566,3.712424
34.000000,1.000000,0.388897,0.549512,0.000562,0.020523,0.076706,0.000063,-0.000006,-0.000023,-0.153447,9.105845,3.646387
35.000000,1.000000,0.493626,0.549512,-0.000399,0.021056,0.076944,-0.000150,0.000002,0.000054,-0.169585,9.068993,3.736402
36.000000,1.000000,0.552830,0.549512,0.001964,0.018753,0.077384,-0.000024,0.000001,0.000011,-0.183107,9.081565,3.705098
37.000000,1.000000,0.584736,0.549512,0.000968,0.020029,0.077109,-0.000058,-0.000001,0.000023,-0.233507,9.040360,3.801772
38.000000,1.000000,0.491583,0.549512,-0.000006,0.020402,0.080594,-0.000084,0.000002,0.000048,-0.312197,9.006374,3.876064
39.000000,1.000000,0.456000,0.549512,-0.000901,0.022928,0.076344,-0.000178,0.000001,0.000055,-0.337069,8.993179,3.904513
40.000000,1.000000,0.530808,0.549512,0.000062,0.021467,0.075547,-0.000163,0.000012,0.000046,-0.317912,8.977675,3.941622
41.000000,1.000000,0.530808,0.549512,0.000062,0.021467,0.075547,-0.000163,0.000012,0.000046,-0.317912,8.977675,3.941622
42.000000,1.000000,0.530808,0.549512,0.000062,0.021467,0.075547,-0.000163,0.000012,0.000046,-0.317912,8.977675,3.941622
43.000000,1.000000,0.492538,0.549512,0.002241,0.023326,0.077767,0.000021,0.000001,-0.000006,-0.332410,8.976217,3.943747
44.000000,1.000000,0.459969,0.549512,0.002150,0.024507,0.075943,-0.000277,0.000004,0.000096,-0.208917,9.055863,3.766139
45.000000,1.000000,0.352846,0.549512,0.000970,0.026348,0.078517,0.000051,-0.000000,-0.000017,-0.074551,9.069827,3.737482
46.000000,1.000000,0.467091,0.549512,0.001421,0.024114,0.076217,-0.000007,0.000000,0.000002,-0.117932,9.085511,3.698065
47.000000,1.000000,0.564656,0.549512,0.001808,0.019543,0.079078,-0.000205,0.000024,0.000071,-0.248430,9.050808,3.775878
48.000000,1.000000,0.564656,0.549512,0.001808,0.019543,0.079078,-0.000205,0.000024,0.000071,-0.248430,9.050808,3.775878
49.000000,1.000000,0.508997,0.549512,0.001371,0.022776,0.077869,-0.000089,0.000009,0.000041,-0.208724,9.006341,3.883086
50.000000,1.000000,0.707898,0.549512,-0.001560,0.021892,0.079197,-0.000118,0.000006,0.000045,-0.107071,9.016161,3.864386
51.000000,1.000000,0.514184,0.549512,-0.002672,0.020530,0.077894,-0.000058,-0.000002,0.000018,-0.073296,9.011468,3.876103
52.000000,1.000000,0.514184,0.549512,-0.002672,0.020530,0.077894,-0.000058,-0.000002,0.000018,-0.073296,9.011468,3.876103
53.000000,1.000000,0.547239,0.549512,-0.001651,0.020064,0.075742,-0.000033,0.000003,0.000012,-0.002284,9.025716,3.843508
54.000000,1.000000,0.497909,0.549512,-0.002136,0.020918,0.077938,-0.000121,-0.000007,0.000048,-0.100363,9.036363,3.817088
55.000000,1.000000,0.536959,0.549512,-0.001543,0.020838,0.076177,0.000033,-0.000000,-0.000012,-0.115390,9.015540,3.865595
56.000000,1.000000,0.559905,0.549512,-0.004597,0.019596,0.076564,-0.000069,0.000001,0.000015,-0.071108,9.018061,3.860780
57.000000,1.000000,0.559905,0.549512,-0.004597,0.019596,0.076564,-0.000069,0.000001,0.000015,-0.071108,9.018061,3.860780
58.000000,1.000000,0.476732,0.549512,0.000166,0.022864,0.074050,0.000117,0.000026,-0.000037,-0.027885,9.001320,3.900201
59.000000,1.000000,0.592458,0.549512,-0.002327,0.019436,0.075799,0.000160,0.000004,-0.000049,-0.195298,9.060241,3.756326
60.000000,1.000000,0.592458,0.549512,-0.002327,0.019436,0.075799,0.000160,0.000004,-0.000049,-0.195298,9.060241,3.756326
61.000000,1.000000,0.522496,0.549512,-0.003204,0.019787,0.076639,-0.000024,-0.000000,0.000009,-0.074339,9.045387,3.796254
62.000000,1.000000,0.653325,0.549512,-0.002546,0.020955,0.076263,-0.000208,-0.000006,0.000063,-0.333692,9.088384,3.677774
63.000000,1.000000,0.463167,0.549512,-0.002826,0.021974,0.077143,-0.000042,0.000000,0.000016,-0.249904,9.077455,3.711261
64.000000,1.000000,0.444645,0.549512,-0.002680,0.022083,0.078709,-0.000330,-0.000008,0.000109,-0.158915,9.044713,3.795262
65.000000,1.000000,0.487479,0.549512,-0.001528,0.022262,0.077597,-0.000124,-0.000001,0.000043,-0.196697,9.042852,3.797926
66.000000,1.000000,0.467200,0.549512,-0.003123,0.021530,0.077283,-0.000106,-0.000000,0.000036,-0.071082,9.060511,3.760077
67.000000,1.000000,0.487557,0.549512,-0.002086,0.021679,0.076682,0.000080,0.000000,-0.000028,-0.205921,9.056236,3.765407
68.000000,1.000000,0.487557,0.549512,-0.002086,0.021679,0.076682,0.000080,0.000000,-0.000028,-0.205921,9.056236,3.765407
69.000000,1.000000,0.518913,0.549512,-0.002899,0.019345,0.076634,-0.000076,-0.000002,0.000031,-0.180491,9.062655,3.751241
70.000000,1.000000,0.518913,0.549512,-0.002899,0.019345,0.076634,-0.000076,-0.000002,0.000031,-0.180491,9.062655,3.751241
71.000000,1.000000,0.450978,0.549512,-0.002756,0.019914,0.076424,-0.000196,-0.000003,0.000063,-0.184020,9.041628,3.801473
72.000000,1.000000,0.450978,0.549512,-0.002756,0.019914,0.076424,-0.000196,-0.000003,0.000063,-0.184020,9.041628,3.801473
73.000000,1.000000,0.529237,0.549512,-0.003018,0.020974,0.078315,-0.000217,-0.000003,0.000075,-0.154836,9.062659,3.752379
74.000000,1.000000,0.515370,0.549512,-0.004591,0.020776,0.077077,-0.000094,-0.000022,0.000030,-0.065918,9.077754,3.718351
75.000000,1.000000,0.596503,0.549512,-0.004771,0.020383,0.075253,-0.000043,-0.000008,0.000012,-0.242286,9.052739,3.771647
76.000000,1.000000,0.535935,0.549512,-0.011137,0.023140,0.077952,0.000051,0.000005,-0.000017,-0.149640,9.078934,3.713040
77.000000,1.000000,0.649138,0.549512,-0.011302,0.021487,0.074479,-0.000087,-0.000008,0.000037,-0.204807,9.100206,3.657924
78.000000,1.000000,0.535244,0.549512,-0.007075,0.022130,0.078697,-0.000077,0.000004,0.000035,-0.358933,9.072160,3.715263
79.000000,1.000000,0.429054,0.549512,-0.007896,0.021563,0.077836,-0.000131,-0.000019,0.000029,-0.302655,9.089652,3.677326
80.000000,1.000000,0.489543,0.549512,-0.003358,0.018802,0.078338,0.000046,-0.000012,-0.000024,-0.413541,9.084162,3.680092
81.000000,1.000000,0.603226,0.549512,-0.003245,0.022832,0.076817,-0.000050,0.000003,0.000012,-0.201905,9.150351,3.530779
82.000000,1.000000,0.482758,0.549512,-0.003485,0.021071,0.075223,-0.000080,-0.000001,0.000026,-0.253505,9.131449,3.576096
83.000000,1.000000,0.593841,0.549512,-0.006546,0.021732,0.073096,-0.000065,-0.000007,0.000024,-0.223248,9.129303,3.583586
84.000000,1.000000,0.593841,0.549512,-0.006546,0.021732,0.073096,-0.000065,-0.000007,0.000024,-0.223248,9.129303,3.583586
85.000000,1.000000,0.524139,0.549512,-0.002091,0.020980,0.077267,-0.000084,0.000003,0.000031,-0.206288,9.153760,3.521679
86.000000,1.000000,0.594557,0.549512,-0.003264,0.021062,0.077543,-0.000094,0.000001,0.000031,-0.215047,9.167677,3.484761
87.000000,1.000000,0.556327,0.549512,-0.002819,0.021562,0.076833,-0.000015,0.000000,0.000003,-0.163734,9.166808,3.489831
88.000000,1.000000,0.556327,0.549512,-0.002819,0.021562,0.076833,-0.000015,0.000000,0.000003,-0.163734,9.166808,3.489831
89.000000,1.000000,0.538301,0.549512,-0.003242,0.021955,0.076160,-0.000065,0.000000,0.000020,-0.201950,9.156195,3.515596
90.000000,1.000000,0.469298,0.549512,-0.001778,0.020045,0.077516,-0.000204,0.000001,0.000067,-0.222896,9.167650,3.484338
91.000000,1.000000,0.606965,0.549512,0.000053,0.020990,0.078479,-0.000012,0.000003,0.000001,-0.131222,9.172694,3.475710
92.000000,1.000000,0.450231,0.549512,-0.001071,0.020645,0.077967,-0.000006,0.000003,0.000012,-0.237313,9.171191,3.474052
93.000000,1.000000,0.505318,0.549512,0.001155,0.024463,0.078590,-0.000007,0.000026,-0.000010,-0.269293,9.153829,3.517243
94.000000,1.000000,0.588167,0.549512,-0.000668,0.021292,0.076786,0.000025,-0.000000,-0.000005,-0.221652,9.130912,3.579584
95.000000,1.000000,0.484555,0.549512,-0.001030,0.020925,0.077247,-0.000032,-0.000000,0.000012,-0.211230,9.146648,3.539819
96.000000,1.000000,0.543492,0.549512,0.000372,0.017934,0.079258,-0.000235,-0.000003,0.000096,-0.251425,9.112864,3.623340
97.000000,1.000000,0.516984,0.549512,-0.003533,0.017960,0.079261,-0.000209,0.000007,0.000074,-0.214493,9.096177,3.667377
98.000000,1.000000,0.493535,0.549512,-0.002512,0.020380,0.077327,-0.000141,-0.000002,0.000042,-0.199305,9.100815,3.656711
99.000000,1.000000,0.493535,0.549512,-0.002512,0.020380,0.077327,-0.000141,-0.000002,0.000042,-0.199305,9.100815,3.656711
100.000000,1.000000,0.555940,0.549512,-0.002918,0.022290,0.077358,-0.000090,-0.000000,0.000022,-0.275936,9.117638,3.609520
101.000000,1.000000,0.398728,0.549512,-0.000964,0.021439,0.078323,-0.000140,-0.000000,0.000046,-0.164399,9.056160,3.767630
102.000000,1.000000,0.429863,0.549512,-0.001826,0.022516,0.077020,-0.000036,0.000001,0.000017,-0.144942,9.084481,3.699634
103.000000,1.000000,0.395483,0.549512,-0.001468,0.021426,0.077429,0.000005,-0.000000,0.000001,-0.266577,9.118758,3.607394
104.000000,1.000000,0.304516,0.549512,-0.002414,0.021507,0.077323,-0.000123,0.000000,0.000047,-0.170746,9.164842,3.494655
105.000000,1.000000,0.304516,0.549512,-0.002414,0.021507,0.077323,-0.000123,0.000000,0.000047,-0.170746,9.164842,3.494655
106.000000,1.000000,0.597537,0.549512,-0.002521,0.022026,0.077267,-0.000055,-0.000000,0.000021,-0.225252,9.100339,3.656391
107.000000,1.000000,0.597537,0.549512,-0.002521,0.022026,0.077267,-0.000055,-0.000000,0.000021,-0.225252,9.100339,3.656391
