# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.964336,0.850247,-0.003663,0.022059,0.075104,-0.495816,-2.144688,-2.521597,-2.074703,9.534889,1.010133
1.000000,1.000000,0.964336,0.850247,-0.003663,0.022059,0.075104,-0.495816,-2.144688,-2.521597,-2.074703,9.534889,1.010133
2.000000,1.000000,1.037751,0.850247,-0.000018,0.020822,0.079014,1.717781,2.689648,2.275343,2.109830,7.253777,6.258390
3.000000,1.000000,0.787902,0.850247,-0.003752,0.020162,0.075107,0.056001,2.603574,-1.029079,2.363324,9.017763,3.054628
4.000000,1.000000,0.989840,0.850247,-0.002934,0.021036,0.077966,-0.016620,0.430203,-0.013550,0.193528,9.052607,3.774778
5.000000,1.000000,0.893895,0.850247,-0.001332,0.020114,0.076066,4.123266,7.512599,-6.612881,7.088312,5.885016,-3.370243
6.000000,1.000000,0.893895,0.850247,-0.001332,0.020114,0.076066,4.123266,7.512599,-6.612881,7.088312,5.885016,-3.370243
7.000000,1.000000,0.956024,0.850247,-0.002025,0.021084,0.076213,-0.442152,-2.142945,-2.057472,-2.565571,9.272553,1.916860
8.000000,1.000000,1.046230,0.850247,-0.002771,0.019230,0.078476,0.077473,0.303130,0.250439,0.134441,8.976619,3.955142
9.000000,0.000000,1.046230,0.850247,-0.002041,0.020383,0.077905,0.077473,0.303130,0.250439,0.134441,8.976619,3.955142
10.000000,0.000000,1.046230,0.850247,-0.002250,0.021161,0.076736,0.077473,0.303130,0.250439,0.134441,8.976619,3.955142
11.000000,0.000000,1.046230,0.850247,-0.002250,0.021161,0.076736,0.077473,0.303130,0.250439,0.134441,8.976619,3.955142
12.000000,0.000000,1.046230,0.850247,-0.002250,0.021161,0.076736,0.077473,0.303130,0.250439,0.134441,8.976619,3.955142
13.000000,0.000000,1.046230,0.850247,-0.002250,0.021161,0.076736,0.077473,0.303130,0.250439,0.134441,8.976619,3.955142
14.000000,0.000000,1.046230,0.850247,-0.002250,0.021161,0.076736,0.077473,0.303130,0.250439,0.134441,8.976619,3.955142
15.000000,0.000000,1.046230,0.850247,-0.002250,0.021161,0.076736,0.077473,0.303130,0.250439,0.134441,8.976619,3.955142
16.000000,0.000000,1.046230,0.850247,-0.002250,0.021161,0.076736,0.077473,0.303130,0.250439,0.134441,8.976619,3.955142
17.000000,1.000000,0.236569,0.850247,-0.003512,0.023519,0.077223,0.563365,-0.921683,1.386930,-0.835699,8.408835,4.982836
18.000000,1.000000,0.236569,0.850247,-0.003512,0.023519,0.077223,0.563365,-0.921683,1.386930,-0.835699,8.408835,4.982836
19.000000,1.000000,0.896670,0.850247,-0.002143,0.022503,0.076640,0.065544,-2.558569,-1.355423,-2.354503,9.338146,1.868569
20.000000,1.000000,0.823678,0.850247,-0.003452,0.020134,0.074590,0.471651,1.292757,0.984170,0.194851,8.348040,5.148626
21.000000,1.000000,0.823678,0.850247,-0.003452,0.020134,0.074590,0.471651,1.292757,0.984170,0.194851,8.348040,5.148626
22.000000,1.000000,0.974277,0.850247,-0.001501,0.021319,0.077152,10.567722,-6.937347,3.464373,-9.655711,1.386599,-1.026648
23.000000,1.000000,1.007796,0.850247,-0.003251,0.021774,0.075582,-0.225343,-0.151056,-0.629260,0.332002,9.261022,3.218624
24.000000,1.000000,1.092791,0.850247,-0.001771,0.022048,0.075537,17.458635,-0.581185,-8.708140,1.735110,-8.368555,-4.816020
25.000000,1.000000,0.690282,0.850247,-0.002681,0.020305,0.076273,2.213716,0.407321,-10.466288,8.807343,4.313360,-0.253357
26.000000,1.000000,0.758176,0.850247,-0.002017,0.021119,0.075399,18.703752,0.424502,-5.853537,-1.369969,-9.139601,-3.291057
27.000000,1.000000,0.754813,0.850247,-0.001564,0.021091,0.076565,18.549487,-2.101284,-1.171420,-5.505700,-6.769951,-4.482317
28.000000,1.000000,0.143247,0.850247,-0.000736,0.019107,0.077727,9.894154,9.288564,-0.466792,-2.556977,-3.280967,8.884447
29.000000,1.000000,0.198079,0.850247,-0.001226,0.020074,0.076924,8.010922,7.092293,-9.640638,8.689125,-2.096704,4.041823
30.000000,1.000000,0.198079,0.850247,-0.001226,0.020074,0.076924,8.010922,7.092293,-9.640638,8.689125,-2.096704,4.041823
31.000000,1.000000,1.226739,0.850247,0.000593,0.022240,0.077713,1.071778,3.598488,-6.116339,6.457502,6.164548,4.068340
32.000000,1.000000,0.757644,0.850247,0.001033,0.021301,0.076478,0.083790,1.133416,-6.633502,6.188912,7.368219,1.908534
33.000000,1.000000,0.996104,0.850247,0.000126,0.020914,0.077027,18.370767,0.697769,0.148482,-5.142237,-8.339811,0.488931
34.000000,1.000000,0.607649,0.850247,0.000216,0.020590,0.076746,1.142946,-5.869954,-4.314378,0.650060,9.046364,-3.738596
35.000000,1.000000,0.874568,0.850247,-0.001335,0.020903,0.076999,4.539753,-2.045190,5.166909,-6.723888,6.162245,3.611923
36.000000,1.000000,0.867065,0.850247,0.001760,0.019055,0.077458,2.204904,6.800229,-2.884281,4.662723,4.300277,7.483499
37.000000,1.000000,0.679106,0.850247,0.000219,0.019973,0.077094,9.277843,3.841744,5.619975,-5.916951,-0.180971,7.822644
38.000000,1.000000,0.882613,0.850247,-0.000906,0.020013,0.080993,0.171920,0.416495,0.629934,-0.447335,8.705985,4.499070
39.000000,1.000000,0.445176,0.850247,-0.001615,0.022878,0.076706,1.699333,-6.114715,-5.724920,-3.873457,8.134272,-3.881526
