# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.001052,2.833639,-0.002634,0.020190,0.077925,-0.000071,-0.000001,0.000029,-0.370286,9.090555,3.668896
1.000000,1.000000,0.001052,2.833639,-0.002634,0.020190,0.077925,-0.000071,-0.000001,0.000029,-0.370286,9.090555,3.668896
2.000000,1.000000,3.081326,2.833639,-0.002591,0.021321,0.077015,0.000010,-0.000000,-0.000004,-0.356589,9.105568,3.632848
3.000000,1.000000,3.387792,2.833639,-0.002755,0.021243,0.077300,-0.000072,0.000001,0.000024,-0.341184,9.105627,3.634177
4.000000,1.000000,3.198225,2.833639,0.000147,0.020590,0.077525,-0.000119,-0.000002,0.000047,-0.381774,9.086574,3.677570
5.000000,1.000000,2.719103,2.833639,0.003130,0.020284,0.079182,-0.000072,-0.000002,0.000027,-0.341464,9.086289,3.682234
6.000000,1.000000,1.464844,2.833639,-0.000779,0.018630,0.079424,-0.000161,0.000005,0.000061,-0.326349,9.101106,3.646844
7.000000,1.000000,2.696429,2.833639,-0.001694,0.019292,0.077356,0.000034,-0.000002,-0.000013,-0.188111,9.038599,3.808470
8.000000,1.000000,2.696429,2.833639,-0.001694,0.019292,0.077356,0.000034,-0.000002,-0.000013,-0.188111,9.038599,3.808470
9.000000,1.000000,2.696429,2.833639,-0.001694,0.019292,0.077356,0.000034,-0.000002,-0.000013,-0.188111,9.038599,3.808470
10.000000,1.000000,3.485886,2.833639,-0.002046,0.022027,0.077360,-0.000022,0.000001,0.000009,-0.142623,9.035921,3.816790
11.000000,1.000000,3.477411,2.833639,-0.002923,0.020064,0.079008,-0.000212,0.000006,0.000072,-0.170766,9.030706,3.827962
12.000000,1.000000,3.477411,2.833639,-0.002923,0.020064,0.079008,-0.000212,0.000006,0.000072,-0.170766,9.030706,3.827962
13.000000,1.000000,3.410928,2.833639,-0.001661,0.021102,0.077142,-0.000059,-0.000000,0.000025,-0.043871,9.051998,3.780941
14.000000,1.000000,2.869130,2.833639,-0.001874,0.020550,0.076686,-0.000076,0.000001,0.000030,-0.095775,9.032956,3.825262
15.000000,1.000000,3.433235,2.833639,-0.002011,0.020521,0.077372,-0.000087,0.000009,0.000030,-0.076054,9.078267,3.716905
16.000000,1.000000,2.538156,2.833639,-0.005582,0.022147,0.076536,-0.000061,0.000002,0.000028,-0.118145,9.076748,3.719513
17.000000,1.000000,2.694432,2.833639,-0.001755,0.024948,0.074000,-0.000003,0.000010,0.000006,-0.108062,9.046584,3.792591
18.000000,1.000000,3.252506,2.833639,-0.002804,0.021707,0.073943,-0.000048,0.000002,0.000019,-0.215225,9.029647,3.828217
19.000000,1.000000,2.989308,2.833639,0.000139,0.021115,0.075684,-0.000058,0.000005,0.000015,-0.297832,9.057375,3.756508
20.000000,1.000000,2.989308,2.833639,0.000139,0.021115,0.075684,-0.000058,0.000005,0.000015,-0.297832,9.057375,3.756508
21.000000,1.000000,3.698798,2.833639,-0.003762,0.021278,0.073151,0.000009,-0.000003,-0.000009,-0.240812,9.042979,3.795082
22.000000,1.000000,3.117104,2.833639,-0.001411,0.024177,0.076074,-0.000084,0.000010,0.000024,-0.327858,9.105303,3.636217
23.000000,1.000000,3.258122,2.833639,-0.004169,0.019224,0.075518,-0.000086,-0.000003,0.000038,-0.326727,9.104955,3.637189
24.000000,1.000000,2.917879,2.833639,-0.002737,0.021190,0.075213,-0.000122,0.000001,0.000041,-0.328563,9.136667,3.556609
25.000000,1.000000,3.135476,2.833639,-0.001824,0.020929,0.077610,-0.000103,-0.000002,0.000031,-0.296793,9.134734,3.564358
26.000000,1.000000,3.423929,2.833639,-0.002085,0.021042,0.075732,-0.000074,0.000001,0.000024,-0.204823,9.160609,3.503912
27.000000,1.000000,3.423929,2.833639,-0.002085,0.021042,0.075732,-0.000074,0.000001,0.000024,-0.204823,9.160609,3.503912
28.000000,1.000000,3.423929,2.833639,-0.002085,0.021042,0.075732,-0.000074,0.000001,0.000024,-0.204823,9.160609,3.503912
29.000000,1.000000,2.719118,2.833639,-0.002033,0.019958,0.077382,-0.000034,-0.000000,0.000012,-0.239146,9.159185,3.505459
30.000000,1.000000,3.271557,2.833639,0.000766,0.019647,0.080047,-0.000104,0.000004,0.000036,-0.200216,9.152994,3.524020
31.000000,1.000000,3.205732,2.833639,0.000934,0.021617,0.076660,-0.000070,0.000001,0.000023,-0.302703,9.150379,3.523497
32.000000,1.000000,2.588447,2.833639,-0.001023,0.019196,0.077889,-0.000044,0.000006,0.000016,-0.247340,9.140898,3.552309
33.000000,1.000000,3.247543,2.833639,-0.002628,0.019726,0.076936,-0.000073,0.000001,0.000026,-0.301869,9.103661,3.642573
34.000000,1.000000,3.322815,2.833639,-0.001103,0.020238,0.078467,-0.000128,0.000004,0.000042,-0.291059,9.129065,3.579324
35.000000,1.000000,3.606144,2.833639,-0.001826,0.019774,0.078647,-0.000066,0.000000,0.000024,-0.313453,9.091658,3.671458
36.000000,1.000000,3.606144,2.833639,-0.001826,0.019774,0.078647,-0.000066,0.000000,0.000024,-0.313453,9.091658,3.671458
37.000000,1.000000,2.829294,2.833639,0.000512,0.023060,0.077252,-0.000006,-0.000000,0.000001,-0.296804,9.078422,3.705437
38.000000,1.000000,2.247390,2.833639,0.003375,0.021509,0.078530,-0.000094,-0.000005,0.000020,-0.199508,9.111892,3.629011
39.000000,1.000000,2.940252,2.833639,-0.002882,0.018876,0.080267,-0.000153,0.000009,0.000052,-0.304409,9.053970,3.764183
40.000000,1.000000,2.940252,2.833639,-0.002882,0.018876,0.080267,-0.000153,0.000009,0.000052,-0.304409,9.053970,3.764183
41.000000,1.000000,3.094382,2.833639,-0.003871,0.018518,0.080276,-0.000078,0.000007,0.000022,0.011022,9.044069,3.800105
42.000000,1.000000,3.094382,2.833639,-0.003871,0.018518,0.080276,-0.000078,0.000007,0.000022,0.011022,9.044069,3.800105
43.000000,1.000000,3.094382,2.833639,-0.003871,0.018518,0.080276,-0.000078,0.000007,0.000022,0.011022,9.044069,3.800105
44.000000,1.000000,3.011058,2.833639,-0.003988,0.015517,0.077647,-0.000070,0.000014,0.000021,0.007048,9.059523,3.763124
