# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,0.000000,0.000000,2.833639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1.000000,0.000217,2.833639,-0.002633,0.020188,0.077925,11.858810,-9.000042,-1.171804,-9.061002,-3.011157,2.251060
2.000000,1.000000,2.919055,2.833639,-0.002603,0.021320,0.077020,0.824452,-2.380333,1.011092,-2.733228,8.233261,4.580282
3.000000,1.000000,3.341766,2.833639,-0.002760,0.021241,0.077301,1.905673,4.819400,1.160358,4.529044,7.279719,4.767551
4.000000,1.000000,3.204167,2.833639,0.000140,0.020557,0.077535,0.091874,0.234108,0.415555,-0.142717,8.927299,4.064366
5.000000,1.000000,1.026717,2.833639,0.003115,0.020225,0.079152,0.017980,-0.589955,0.376791,-0.821920,8.859663,4.131212
6.000000,1.000000,0.000845,2.833639,-0.000818,0.018571,0.079393,-0.164686,0.159605,-0.071122,-0.328162,9.197162,3.397150
7.000000,1.000000,2.636860,2.833639,-0.001701,0.019280,0.077364,-0.010149,-0.113201,-0.110653,-0.287750,8.988498,3.919210
8.000000,1.000000,2.636860,2.833639,-0.001701,0.019280,0.077364,-0.010149,-0.113201,-0.110653,-0.287750,8.988498,3.919210
9.000000,1.000000,2.636860,2.833639,-0.001701,0.019280,0.077364,-0.010149,-0.113201,-0.110653,-0.287750,8.988498,3.919210
10.000000,1.000000,0.096215,2.833639,-0.001980,0.022029,0.077395,3.439675,6.860517,0.880920,0.646350,8.973428,-3.911000
11.000000,1.000000,3.499290,2.833639,-0.002882,0.020151,0.079040,0.013539,-0.060770,0.430692,0.209419,9.095599,3.669103
12.000000,1.000000,3.499290,2.833639,-0.002882,0.020151,0.079040,0.013539,-0.060770,0.430692,0.209419,9.095599,3.669103
13.000000,1.000000,3.259186,2.833639,-0.001653,0.021055,0.077140,0.062421,0.107582,0.328083,0.120439,9.164087,3.498729
14.000000,1.000000,2.937710,2.833639,-0.001884,0.020548,0.076679,0.150347,1.641397,0.162776,-1.171566,9.382205,2.614910
15.000000,1.000000,3.101606,2.833639,-0.002075,0.020523,0.077440,-0.103598,0.804013,-0.339085,-0.880805,9.120711,3.503272
16.000000,1.000000,2.908985,2.833639,-0.005520,0.021948,0.076576,0.057637,0.152029,0.274322,-0.033181,9.188756,3.435369
17.000000,1.000000,2.775746,2.833639,-0.001760,0.025074,0.073918,0.098581,0.461797,0.272952,0.001570,9.237140,3.303232
18.000000,1.000000,3.067410,2.833639,-0.002823,0.021699,0.073966,-0.021316,0.029286,0.145973,-0.073075,9.036983,3.816242
