# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,0.000000,0.000000,0.933621,-0.002606,0.019992,0.077962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.933621,-0.002606,0.019992,0.077962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1.000000,0.866803,0.933621,-0.002801,0.020843,0.076975,1.289429,-12.568168,3.033313,-12.941969,7.518501,6.364143
3.000000,1.000000,1.012810,0.933621,-0.003023,0.020555,0.077225,-1.624491,26.616599,-5.428164,26.275911,12.034326,-1.101406
4.000000,1.000000,1.127934,0.933621,-0.000076,0.019542,0.077279,0.331456,0.299578,1.075421,-0.091471,8.656691,4.759161
5.000000,1.000000,0.319956,0.933621,0.002620,0.020414,0.078771,0.049705,-0.553956,0.561580,-0.748248,8.814159,4.311099
6.000000,0.000000,0.319956,0.933621,0.000365,0.019235,0.079418,0.049705,-0.553956,0.561580,-0.748248,8.814159,4.311099
7.000000,1.000000,0.916833,0.933621,-0.001579,0.020337,0.076954,-0.073725,-0.051337,-0.188310,-0.404329,9.019344,3.842833
8.000000,1.000000,0.916833,0.933621,-0.001579,0.020337,0.076954,-0.073725,-0.051337,-0.188310,-0.404329,9.019344,3.842833
9.000000,1.000000,0.916833,0.933621,-0.001579,0.020337,0.076954,-0.073725,-0.051337,-0.188310,-0.404329,9.019344,3.842833
10.000000,1.000000,0.329679,0.933621,-0.003368,0.022792,0.076369,0.290114,5.638044,1.159040,-0.052609,11.278549,-1.455682
11.000000,1.000000,1.150861,0.933621,-0.002428,0.020607,0.079372,-0.052370,-0.120232,0.268597,0.079553,9.043817,3.809335
12.000000,1.000000,1.150861,0.933621,-0.002428,0.020607,0.079372,-0.052370,-0.120232,0.268597,0.079553,9.043817,3.809335
13.000000,1.000000,1.046151,0.933621,-0.001960,0.019393,0.076493,0.001594,0.397440,0.115723,-0.263894,9.189061,3.449045
14.000000,1.000000,0.914046,0.933621,-0.002564,0.021976,0.076695,0.001104,1.046272,0.113947,-0.853148,9.320853,3.120677
15.000000,1.000000,1.065790,0.933621,-0.002277,0.020261,0.077550,0.020082,0.835106,0.116295,-0.663886,9.295702,3.177208
16.000000,1.000000,0.919233,0.933621,-0.005268,0.022102,0.076871,-0.239235,0.172893,-0.461734,-0.564032,8.943899,4.023552
17.000000,1.000000,0.990461,0.933621,-0.002365,0.025947,0.074029,0.077413,0.370555,0.329286,0.030107,9.220847,3.383781
18.000000,1.000000,1.009160,0.933621,-0.003556,0.020978,0.074420,-0.045553,-0.001713,-0.021271,-0.287100,9.024305,3.836243
19.000000,1.000000,0.935907,0.933621,-0.000196,0.020092,0.075832,-0.347676,0.833776,-0.903630,-0.257924,9.535283,2.617982
20.000000,1.000000,0.935907,0.933621,-0.000196,0.020092,0.075832,-0.347676,0.833776,-0.903630,-0.257924,9.535283,2.617982
21.000000,1.000000,1.258893,0.933621,-0.004461,0.021703,0.073169,0.001164,-0.232400,-0.034620,-0.470397,8.995711,3.891238
22.000000,1.000000,1.084646,0.933621,-0.002148,0.024376,0.075672,-0.238790,0.631630,-0.485854,0.263292,9.308537,3.191468
23.000000,1.000000,1.030996,0.933621,-0.003956,0.019132,0.075511,-0.001304,-0.170824,0.141040,-0.538702,9.061213,3.726946
24.000000,1.000000,0.930794,0.933621,-0.002842,0.021275,0.075265,0.057765,-0.093807,0.428706,-0.690687,9.016403,3.828895
25.000000,1.000000,0.960533,0.933621,-0.001684,0.020866,0.077626,0.287794,0.391772,1.263378,-0.878636,8.636124,4.761399
26.000000,1.000000,0.850390,0.933621,-0.001817,0.021150,0.075830,0.164116,-0.078914,0.858335,-1.135164,9.053239,3.707315
27.000000,1.000000,0.850390,0.933621,-0.001817,0.021150,0.075830,0.164116,-0.078914,0.858335,-1.135164,9.053239,3.707315
28.000000,1.000000,0.850390,0.933621,-0.001817,0.021150,0.075830,0.164116,-0.078914,0.858335,-1.135164,9.053239,3.707315
29.000000,1.000000,0.905387,0.933621,-0.001921,0.019960,0.077332,-0.142135,-1.611268,-0.270422,-0.563878,9.718827,2.037183
30.000000,1.000000,0.942325,0.933621,0.000732,0.019682,0.079658,0.205101,0.426549,0.796991,-0.865485,8.892747,4.152120
31.000000,1.000000,0.998803,0.933621,0.000479,0.021313,0.076730,-0.083230,-0.080431,-0.078857,-0.307763,9.176777,3.455816
32.000000,1.000000,0.844129,0.933621,-0.002033,0.018920,0.077777,-0.036057,0.718523,0.029017,0.434552,9.073155,3.772605
33.000000,1.000000,1.075516,0.933621,-0.001788,0.019903,0.076928,-0.099364,-0.308546,-0.140268,-0.589707,9.170123,3.452769
34.000000,1.000000,1.304911,0.933621,-0.002178,0.020975,0.078469,0.366914,-0.191979,1.461468,-0.740491,8.598422,4.884553
35.000000,1.000000,0.993583,0.933621,-0.001690,0.019965,0.078687,-0.224152,1.563271,-0.435745,1.223717,9.326389,3.234093
36.000000,1.000000,0.993583,0.933621,-0.001690,0.019965,0.078687,-0.224152,1.563271,-0.435745,1.223717,9.326389,3.234093
37.000000,1.000000,0.964755,0.933621,0.000216,0.022639,0.077187,-0.249137,-0.589135,-0.812719,-0.908593,9.381770,2.912008
38.000000,1.000000,0.349731,0.933621,0.005710,0.022564,0.078423,-0.648198,-0.456195,-1.465294,-0.795829,9.667128,2.210528
39.000000,1.000000,0.459528,0.933621,-0.002513,0.018796,0.080503,-1.022397,-0.643671,-2.207741,-2.346856,9.628657,2.220430
40.000000,1.000000,0.459528,0.933621,-0.002513,0.018796,0.080503,-1.022397,-0.643671,-2.207741,-2.346856,9.628657,2.220430
41.000000,1.000000,0.991213,0.933621,-0.002598,0.019002,0.080032,-0.330898,0.807305,-0.595931,-0.930222,9.261216,3.291517
42.000000,1.000000,0.991213,0.933621,-0.002598,0.019002,0.080032,-0.330898,0.807305,-0.595931,-0.930222,9.261216,3.291517
43.000000,1.000000,0.991213,0.933621,-0.002598,0.019002,0.080032,-0.330898,0.807305,-0.595931,-0.930222,9.261216,3.291517
44.000000,1.000000,0.461355,0.933621,-0.001928,0.016367,0.077594,0.224140,1.486629,0.927630,-0.063765,9.759673,2.091285
45.000000,1.000000,0.896604,0.933621,-0.001929,0.020246,0.077909,-1.148629,-0.047019,-3.004881,-1.595533,7.968195,6.370849
46.000000,1.000000,1.132744,0.933621,-0.001450,0.022175,0.079825,0.182438,0.728424,0.391689,-0.416321,9.347639,3.071102
47.000000,1.000000,0.969282,0.933621,-0.003522,0.020345,0.078823,2.218978,5.183540,6.126201,-2.604740,12.087119,-3.559470
48.000000,1.000000,1.099019,0.933621,-0.001099,0.021335,0.076988,-0.182034,1.574717,-0.398994,-1.613171,9.102562,3.665953
49.000000,1.000000,1.160914,0.933621,-0.003107,0.020998,0.075226,0.502126,0.900205,1.471083,-0.248939,9.747177,2.088892
50.000000,1.000000,1.025164,0.933621,-0.003730,0.021832,0.077476,0.298331,1.167008,0.914511,-0.723767,9.582407,2.484337
51.000000,1.000000,0.718167,0.933621,-0.002219,0.021141,0.075325,-0.213358,0.081184,-0.175765,-0.264049,9.013035,3.873666
52.000000,1.000000,0.718167,0.933621,-0.002219,0.021141,0.075325,-0.213358,0.081184,-0.175765,-0.264049,9.013035,3.873666
53.000000,1.000000,0.718167,0.933621,-0.002219,0.021141,0.075325,-0.213358,0.081184,-0.175765,-0.264049,9.013035,3.873666
