# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.968740,1.007187,-0.002693,0.022831,0.074879,-0.011717,-0.197722,0.062250,-0.746361,9.251800,3.182041
1.000000,1.000000,1.004858,1.007187,-0.002105,0.018460,0.075655,-0.195942,0.182935,-0.354007,-0.305973,9.422686,2.747326
2.000000,1.000000,0.983700,1.007187,-0.001399,0.020096,0.074558,-0.187884,0.249050,-0.387473,-0.176916,9.418427,2.783917
3.000000,1.000000,1.065179,1.007187,-0.004871,0.021982,0.077217,1.418364,-5.427408,4.933656,-7.515280,8.129276,5.394401
4.000000,1.000000,0.933370,1.007187,0.003621,0.019929,0.077081,0.220930,-0.884544,1.317716,-1.954830,8.920880,3.911122
5.000000,1.000000,0.965455,1.007187,-0.002858,0.022029,0.076071,0.262210,0.463363,0.798457,-0.246305,9.029929,3.944161
6.000000,1.000000,0.904699,1.007187,-0.003136,0.019766,0.078263,0.099388,0.819729,0.262085,0.343402,9.306594,3.208182
7.000000,1.000000,0.904699,1.007187,-0.003136,0.019766,0.078263,0.099388,0.819729,0.262085,0.343402,9.306594,3.208182
8.000000,1.000000,0.933833,1.007187,-0.003915,0.024653,0.076317,0.547695,-1.960262,0.855927,-2.388603,8.852127,4.105339
9.000000,1.000000,0.835643,1.007187,0.003198,0.016113,0.076058,-0.240722,0.590422,-0.545787,-0.023017,9.485196,2.641054
10.000000,1.000000,0.839960,1.007187,0.001477,0.020870,0.076418,-0.054907,0.074840,0.116890,-0.399909,9.222101,3.322947
11.000000,1.000000,0.943640,1.007187,-0.001613,0.020134,0.077103,-1.601049,9.129845,-4.982171,0.285032,12.769837,-6.614247
12.000000,1.000000,0.953708,1.007187,-0.001975,0.020391,0.077507,0.309128,3.518039,0.355595,1.830723,10.234352,0.757879
13.000000,1.000000,1.016779,1.007187,-0.005818,0.020345,0.075727,0.126923,-1.185340,0.007908,-1.056228,8.882099,4.189851
14.000000,1.000000,0.813921,1.007187,0.000548,0.020046,0.076615,-0.615618,2.223487,-1.836207,0.254323,10.211332,0.658928
15.000000,1.000000,0.922588,1.007187,0.002428,0.023314,0.076049,-0.342577,0.181109,-1.079160,-1.031216,9.531065,2.369897
16.000000,1.000000,0.994329,1.007187,-0.002917,0.018036,0.076881,-0.046333,1.114693,0.105448,-0.065648,9.614291,2.244584
17.000000,1.000000,1.183648,1.007187,-0.006166,0.020547,0.075365,-0.005918,-0.450639,0.210510,-0.250992,9.120824,3.637304
18.000000,1.000000,1.055307,1.007187,-0.002431,0.023140,0.069278,-0.031189,0.177249,0.028856,-0.293456,9.262029,3.224538
19.000000,1.000000,0.894485,1.007187,-0.002604,0.019267,0.073702,-0.166459,-0.644986,-0.168921,-0.998486,9.420093,2.642337
20.000000,1.000000,0.798118,1.007187,-0.004788,0.016607,0.075374,-0.884942,-6.214361,-2.927982,-5.229961,10.629787,-1.732849
21.000000,1.000000,1.029652,1.007187,0.000472,0.015360,0.078060,0.125176,1.009574,0.165405,0.460112,9.164286,3.624737
22.000000,1.000000,0.959032,1.007187,-0.000877,0.017921,0.080111,-0.092626,0.123344,-0.108156,-0.531227,9.286932,3.120761
23.000000,1.000000,0.346537,1.007187,-0.000133,0.018874,0.085435,-0.059666,-0.295690,0.527700,1.530821,9.130380,3.421950
24.000000,1.000000,0.346537,1.007187,-0.000133,0.018874,0.085435,-0.059666,-0.295690,0.527700,1.530821,9.130380,3.421950
25.000000,1.000000,1.026933,1.007187,-0.002857,0.017427,0.072090,0.418692,-0.316868,1.102011,0.326738,9.602489,2.324004
26.000000,1.000000,1.026933,1.007187,-0.002857,0.017427,0.072090,0.418692,-0.316868,1.102011,0.326738,9.602489,2.324004
27.000000,1.000000,1.011802,1.007187,-0.003329,0.019661,0.076257,-0.818713,0.727215,-2.233749,-1.709335,8.550618,5.138101
28.000000,1.000000,1.078396,1.007187,-0.002088,0.022227,0.073297,-0.270842,-1.149076,-0.596876,0.534243,8.938524,4.216624
29.000000,1.000000,0.957665,1.007187,-0.002464,0.018538,0.080070,-0.835595,0.407019,-2.044363,-1.432719,8.566713,5.075340
30.000000,1.000000,1.334686,1.007187,-0.003853,0.023769,0.076750,-0.354972,0.434875,-1.268957,-1.170901,8.725035,4.573498
31.000000,1.000000,0.927151,1.007187,-0.004646,0.021573,0.070547,0.106825,0.421715,0.433392,-0.342212,9.445416,2.697681
32.000000,1.000000,0.661792,1.007187,-0.002223,0.022950,0.072434,0.044796,-0.157723,0.257873,-0.249132,9.214504,3.370815
33.000000,1.000000,1.122782,1.007187,-0.005377,0.022435,0.075602,-0.062319,-0.466538,-0.109190,-0.818780,9.052478,3.716528
34.000000,1.000000,1.011848,1.007187,-0.001033,0.021501,0.068213,0.083913,0.425056,0.164754,-0.248090,9.231389,3.337202
35.000000,1.000000,1.011848,1.007187,-0.001033,0.021501,0.068213,0.083913,0.425056,0.164754,-0.248090,9.231389,3.337202
36.000000,1.000000,0.972562,1.007187,-0.000775,0.019751,0.071453,-0.147329,0.559999,-0.095193,-0.075078,9.218132,3.401744
37.000000,1.000000,0.622071,1.007187,-0.002741,0.025832,0.069569,-0.103692,0.371564,-0.378921,-0.426299,9.181031,3.454380
38.000000,1.000000,0.719237,1.007187,0.001142,0.026301,0.067039,-0.331782,0.453109,-0.626401,-0.599923,9.041489,3.817387
39.000000,1.000000,0.967920,1.007187,-0.000075,0.019261,0.066042,-0.137297,0.150021,0.030870,-0.434205,9.244846,3.255897
40.000000,1.000000,0.226024,1.007187,-0.002794,0.018747,0.069881,-0.173485,0.742224,-0.855664,-0.236394,9.581527,2.352394
41.000000,1.000000,0.811642,1.007187,-0.002332,0.022264,0.072320,-0.183175,0.457682,-0.355273,0.048452,9.228444,3.372267
42.000000,1.000000,0.811642,1.007187,-0.002332,0.022264,0.072320,-0.183175,0.457682,-0.355273,0.048452,9.228444,3.372267
43.000000,1.000000,1.134349,1.007187,-0.005165,0.023896,0.070885,-0.018782,0.395833,0.467385,-0.714293,9.183549,3.414505
44.000000,1.000000,1.134349,1.007187,-0.005165,0.023896,0.070885,-0.018782,0.395833,0.467385,-0.714293,9.183549,3.414505
45.000000,1.000000,1.119825,1.007187,-0.004180,0.018227,0.075241,0.002343,0.215237,0.326479,-0.450343,9.321530,3.047586
46.000000,1.000000,1.119825,1.007187,-0.004180,0.018227,0.075241,0.002343,0.215237,0.326479,-0.450343,9.321530,3.047586
47.000000,1.000000,1.119825,1.007187,-0.004180,0.018227,0.075241,0.002343,0.215237,0.326479,-0.450343,9.321530,3.047586
48.000000,1.000000,1.074309,1.007187,-0.003700,0.021032,0.075999,-0.523869,2.653599,-1.844298,-1.553073,8.246299,6.068245
49.000000,1.000000,1.026027,1.007187,0.004260,0.020693,0.075180,-0.057429,0.520317,-0.159620,-0.575193,9.124877,3.597895
50.000000,1.000000,1.041016,1.007187,-0.003165,0.023537,0.079274,0.024537,-0.585671,0.093968,-0.177707,9.493771,2.536710
51.000000,1.000000,1.053512,1.007187,-0.005324,0.020854,0.076676,0.157133,0.285821,0.430274,-0.845849,9.154883,3.463959
52.000000,1.000000,1.053512,1.007187,-0.005324,0.020854,0.076676,0.157133,0.285821,0.430274,-0.845849,9.154883,3.463959
53.000000,1.000000,0.989387,1.007187,-0.001655,0.025390,0.075441,0.047724,-0.325451,0.293911,-0.477199,9.417824,2.738430
54.000000,1.000000,1.032665,1.007187,-0.004162,0.014443,0.077683,-0.376233,-0.671745,-0.749801,0.742983,9.387893,2.946538
55.000000,1.000000,0.999227,1.007187,0.000921,0.026279,0.073916,-0.294878,-4.384499,0.686222,1.198095,10.656645,-0.826308
56.000000,1.000000,1.028899,1.007187,-0.002515,0.022409,0.073761,-0.856481,-1.731196,-1.534136,2.088482,9.583369,2.491125
57.000000,1.000000,1.066047,1.007187,-0.002679,0.017494,0.080482,-0.340948,1.644675,-0.544644,-0.533539,8.763759,4.712459
58.000000,1.000000,0.727270,1.007187,-0.002732,0.020933,0.073706,3.614996,-20.910295,10.114534,0.065978,16.720565,-19.195507
59.000000,1.000000,0.976176,1.007187,0.001367,0.019096,0.081028,-0.195255,0.289875,-0.694102,0.240461,9.172566,3.545036
60.000000,1.000000,0.923876,1.007187,-0.003839,0.019485,0.076786,-0.129269,-0.666943,-0.342065,-0.364620,9.535807,2.403988
61.000000,1.000000,1.071569,1.007187,-0.005436,0.021148,0.080745,-0.410689,8.729224,0.180720,5.721651,7.631429,9.010472
62.000000,1.000000,0.803753,1.007187,-0.007143,0.025405,0.073583,-0.073011,0.007716,0.073001,-0.401533,9.228804,3.302383
63.000000,1.000000,0.961766,1.007187,-0.004161,0.016828,0.075156,0.268198,0.096495,0.689283,-0.968885,9.372796,2.826548
64.000000,1.000000,0.917415,1.007187,-0.007914,0.021182,0.074755,-0.162948,0.196904,-0.225341,-0.487857,9.152582,3.515006
65.000000,1.000000,0.832185,1.007187,-0.006661,0.023009,0.072310,-0.214070,0.357565,-0.247892,-0.908306,9.341331,2.912043
66.000000,1.000000,0.832185,1.007187,-0.006661,0.023009,0.072310,-0.214070,0.357565,-0.247892,-0.908306,9.341331,2.912043
67.000000,1.000000,1.004022,1.007187,-0.003299,0.027753,0.074727,0.123725,-0.556819,0.227173,-0.680990,8.991756,3.906657
