# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,2.360854,-1.000000,-0.003273,0.024396,0.083082,-0.000038,-0.000001,0.000012,-0.107996,9.435347,2.683032
1.000000,1.000000,2.360854,-1.000000,-0.003273,0.024396,0.083082,-0.000038,-0.000001,0.000012,-0.107996,9.435347,2.683032
2.000000,1.000000,2.807447,-1.000000,-0.003666,0.026904,0.081801,-0.000028,0.000000,0.000009,-0.150968,9.444250,2.649426
3.000000,1.000000,2.388244,-1.000000,-0.003171,0.024337,0.082599,-0.000006,0.000000,0.000002,-0.185767,9.474113,2.538260
4.000000,1.000000,3.276747,-1.000000,-0.002598,0.024736,0.082636,-0.000004,-0.000000,0.000001,-0.150626,9.447589,2.637511
5.000000,1.000000,2.890423,-1.000000,-0.002815,0.024693,0.083242,-0.000039,0.000001,0.000013,-0.141792,9.454529,2.613021
6.000000,1.000000,2.681496,-1.000000,-0.001897,0.027037,0.081468,-0.000025,-0.000000,0.000009,-0.126421,9.455240,2.611235
7.000000,1.000000,2.833889,-1.000000,-0.002671,0.026350,0.083057,-0.000031,-0.000000,0.000011,-0.155776,9.440241,2.663398
8.000000,1.000000,2.803058,-1.000000,0.000396,0.023335,0.082133,-0.000026,0.000000,0.000009,-0.145680,9.441291,2.660245
9.000000,1.000000,2.776740,-1.000000,-0.000124,0.024145,0.083344,-0.000018,0.000003,0.000008,-0.093434,9.453801,2.617828
10.000000,1.000000,2.489450,-1.000000,-0.001724,0.023124,0.083433,-0.000068,-0.000001,0.000024,-0.098913,9.427234,2.711747
11.000000,1.000000,2.517983,-1.000000,-0.000368,0.024488,0.079847,-0.000010,0.000000,0.000004,-0.076679,9.416608,2.749128
12.000000,1.000000,2.817394,-1.000000,-0.001196,0.023874,0.081362,-0.000027,-0.000000,0.000010,0.005003,9.398286,2.812169
13.000000,1.000000,2.817394,-1.000000,-0.001196,0.023874,0.081362,-0.000027,-0.000000,0.000010,0.005003,9.398286,2.812169
14.000000,1.000000,2.935312,-1.000000,-0.000516,0.022554,0.080546,-0.000006,-0.000000,0.000003,-0.002156,9.400218,2.805708
15.000000,1.000000,3.078104,-1.000000,-0.000950,0.019757,0.084385,0.000019,0.000000,-0.000010,0.052807,9.420335,2.736896
16.000000,1.000000,2.969072,-1.000000,-0.002770,0.022696,0.082485,-0.000011,0.000004,0.000005,0.113290,9.419549,2.737766
17.000000,1.000000,2.414281,-1.000000,-0.004013,0.014375,0.085661,0.000014,-0.000001,-0.000009,0.178525,9.397557,2.808943
18.000000,1.000000,2.870124,-1.000000,-0.001845,0.022282,0.090684,-0.000014,-0.000001,0.000002,0.228889,9.420092,2.728660
19.000000,1.000000,2.871249,-1.000000,-0.003396,0.023634,0.082292,-0.000028,-0.000004,0.000007,0.361310,9.443177,2.632862
20.000000,1.000000,2.934648,-1.000000,-0.002984,0.025777,0.083823,-0.000039,-0.000001,0.000013,0.351008,9.475239,2.516495
21.000000,1.000000,2.934648,-1.000000,-0.002984,0.025777,0.083823,-0.000039,-0.000001,0.000013,0.351008,9.475239,2.516495
22.000000,1.000000,2.407614,-1.000000,-0.002483,0.024699,0.081068,-0.000079,0.000000,0.000029,0.315457,9.450786,2.611366
23.000000,1.000000,2.440522,-1.000000,-0.002886,0.025976,0.082273,-0.000019,-0.000000,0.000006,0.298068,9.477973,2.513025
24.000000,1.000000,3.337213,-1.000000,-0.003596,0.025660,0.081804,-0.000052,0.000002,0.000016,0.314971,9.460184,2.577173
25.000000,1.000000,3.337213,-1.000000,-0.003596,0.025660,0.081804,-0.000052,0.000002,0.000016,0.314971,9.460184,2.577173
26.000000,1.000000,2.668151,-1.000000,-0.002172,0.022325,0.079863,-0.000047,0.000001,0.000014,0.335171,9.481400,2.495360
27.000000,1.000000,2.625456,-1.000000,-0.003095,0.026571,0.080968,-0.000041,0.000001,0.000013,0.338910,9.472384,2.528869
28.000000,1.000000,2.660878,-1.000000,-0.002702,0.025491,0.080903,-0.000057,-0.000002,0.000018,0.349782,9.473582,2.522894
29.000000,1.000000,2.747867,-1.000000,-0.002233,0.024318,0.082430,-0.000015,-0.000000,0.000005,0.362613,9.454245,2.592656
30.000000,1.000000,2.665500,-1.000000,-0.003181,0.024517,0.080905,-0.000009,-0.000000,0.000003,0.314557,9.450354,2.613038
31.000000,1.000000,2.742103,-1.000000,-0.002610,0.023731,0.078354,-0.000044,0.000001,0.000017,0.346592,9.458829,2.578085
32.000000,1.000000,1.165052,-1.000000,-0.001350,0.026961,0.085818,-0.000064,0.000002,0.000022,0.602777,9.501281,2.366099
