# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,2.123719,2.430496,-0.001602,0.025512,0.079325,-0.495315,-0.112042,-1.334632,-0.251329,9.785388,1.574889
1.000000,1.000000,2.302087,2.430496,-0.002197,0.023419,0.079523,-1.843142,-6.331137,-6.318951,-6.484722,11.231899,-3.409365
2.000000,1.000000,2.284741,2.430496,-0.002626,0.027125,0.075263,0.426442,5.755254,1.250651,5.642705,9.056388,4.161881
3.000000,1.000000,2.284741,2.430496,-0.002626,0.027125,0.075263,0.426442,5.755254,1.250651,5.642705,9.056388,4.161881
4.000000,1.000000,2.268456,2.430496,-0.001494,0.020180,0.080662,-2.888973,-4.956511,-4.942920,-5.204469,10.922325,-2.436723
5.000000,1.000000,2.136619,2.430496,-0.001515,0.022065,0.082221,6.188752,-17.817809,19.424580,-17.815192,2.996527,22.425961
6.000000,1.000000,1.752687,2.430496,0.003432,0.022374,0.083601,0.165216,-0.049693,0.469089,0.259604,9.101850,3.700280
7.000000,1.000000,1.752687,2.430496,0.003432,0.022374,0.083601,0.165216,-0.049693,0.469089,0.259604,9.101850,3.700280
8.000000,1.000000,2.059436,2.430496,-0.002653,0.023575,0.081154,-0.234921,1.031006,-0.307267,0.024483,9.666345,1.999796
9.000000,1.000000,2.126352,2.430496,-0.000411,0.023571,0.075028,-0.039701,1.024396,-0.197461,0.109483,9.640902,2.089060
10.000000,1.000000,1.938242,2.430496,0.002011,0.026155,0.079187,-0.344512,-0.797649,-2.074965,-1.856938,9.173860,3.626010
11.000000,1.000000,2.298601,2.430496,-0.003510,0.023751,0.082918,-0.009259,-0.121996,-0.014774,0.058860,9.273795,3.200684
12.000000,1.000000,2.193393,2.430496,-0.002623,0.023065,0.078180,-0.225450,0.083390,-0.384408,-0.432043,9.352789,2.963206
13.000000,1.000000,1.991421,2.430496,-0.001967,0.023619,0.077689,1.477551,-3.214173,3.470796,3.434060,8.213239,6.430487
14.000000,1.000000,1.870083,2.430496,0.000161,0.018960,0.081994,0.266758,0.098687,1.159405,1.272862,9.339654,2.964633
15.000000,1.000000,2.293586,2.430496,-0.001123,0.022171,0.083053,-0.083383,0.156611,-0.286684,-0.035473,9.281064,3.195782
16.000000,1.000000,2.293586,2.430496,-0.001123,0.022171,0.083053,-0.083383,0.156611,-0.286684,-0.035473,9.281064,3.195782
17.000000,1.000000,2.293586,2.430496,-0.001123,0.022171,0.083053,-0.083383,0.156611,-0.286684,-0.035473,9.281064,3.195782
18.000000,1.000000,2.292410,2.430496,-0.002329,0.025547,0.078204,-1.955833,-1.327476,-7.099106,0.889814,7.041762,10.109252
19.000000,1.000000,2.129892,2.430496,-0.001128,0.026050,0.079646,1.476513,-2.737365,5.336585,3.338746,10.899135,-2.170270
20.000000,1.000000,2.127150,2.430496,-0.003728,0.026042,0.074862,-0.066381,-0.328932,-0.122242,0.523360,9.324263,3.023908
21.000000,1.000000,2.120514,2.430496,-0.001288,0.023226,0.081623,0.284385,1.464834,0.531584,-1.293250,9.543532,2.430700
22.000000,1.000000,2.642181,2.430496,-0.002081,0.026981,0.076719,-1.380797,1.215024,-3.403614,-1.252174,8.363591,6.329989
23.000000,1.000000,2.175295,2.430496,0.000304,0.020801,0.083805,-0.372238,-0.286397,-0.720312,0.492380,9.119174,3.688969
24.000000,1.000000,2.412201,2.430496,0.002285,0.022339,0.089686,0.113288,-0.292740,0.305348,0.280609,9.438126,2.684254
25.000000,1.000000,2.454609,2.430496,0.001927,0.026459,0.084637,-0.074978,0.148000,-0.139079,0.163111,9.336174,3.017146
26.000000,1.000000,2.008460,2.430496,-0.003412,0.025075,0.079969,0.167296,-0.584430,0.507305,-0.459927,9.575723,2.215959
27.000000,1.000000,1.362630,2.430496,0.000667,0.020723,0.079019,0.280061,0.224885,0.798964,-0.953071,9.289339,3.138755
28.000000,1.000000,2.304219,2.430496,0.005328,0.019322,0.085733,-0.014398,0.083034,0.108477,-0.138175,9.311471,3.087257
29.000000,1.000000,1.981992,2.430496,0.006490,0.020743,0.090884,-0.199128,0.314608,-0.273296,-0.025871,9.440220,2.700068
30.000000,1.000000,1.815956,2.430496,-0.000804,0.022512,0.091211,-0.135161,0.346479,-0.335616,-0.075995,9.373810,2.909829
31.000000,1.000000,2.458567,2.430496,-0.001253,0.027334,0.076961,-0.090978,-0.031121,0.058993,0.164351,9.319102,3.060224
32.000000,1.000000,2.458567,2.430496,-0.001253,0.027334,0.076961,-0.090978,-0.031121,0.058993,0.164351,9.319102,3.060224
33.000000,1.000000,2.458567,2.430496,-0.001253,0.027334,0.076961,-0.090978,-0.031121,0.058993,0.164351,9.319102,3.060224
34.000000,1.000000,2.224305,2.430496,-0.006567,0.027376,0.076300,-0.138612,-0.140926,-0.334308,-0.368896,9.268618,3.217236
35.000000,1.000000,2.081017,2.430496,0.001087,0.023375,0.076020,0.518348,0.037492,1.196721,1.002928,9.075453,3.818327
36.000000,1.000000,2.097053,2.430496,-0.001653,0.019374,0.080887,0.122775,0.099028,0.321484,0.124993,9.279059,3.201333
37.000000,1.000000,1.948231,2.430496,-0.001759,0.026369,0.078913,0.043825,0.014429,0.203522,0.093061,9.241744,3.295707
38.000000,1.000000,2.428743,2.430496,-0.007674,0.024288,0.081851,-0.544246,0.743239,-1.322519,0.229456,9.813934,1.528378
39.000000,1.000000,2.240738,2.430496,0.003596,0.022024,0.078799,-0.483800,0.122126,-1.660981,-0.277228,9.866695,1.389707
40.000000,1.000000,0.471515,2.430496,0.001573,0.018550,0.082058,0.332164,-1.216108,0.581585,-0.492621,8.880381,4.368734
41.000000,1.000000,1.949703,2.430496,-0.001648,0.026144,0.079406,-0.246856,0.841808,-0.732998,-0.350960,9.641733,2.111319
42.000000,1.000000,2.078909,2.430496,0.000375,0.023715,0.078703,-0.355530,3.622956,-1.774040,0.250469,10.580913,-0.679550
43.000000,1.000000,2.026929,2.430496,-0.004009,0.024980,0.079615,-0.661370,1.341238,-1.717134,-0.913368,9.974277,1.078967
44.000000,1.000000,2.229283,2.430496,-0.000269,0.023803,0.079037,0.439070,-3.261452,2.169751,0.250284,8.082994,6.783948
45.000000,1.000000,2.100137,2.430496,-0.004763,0.026615,0.078393,-0.245726,0.221587,-0.753265,-0.531256,9.498884,2.529853
46.000000,1.000000,2.161723,2.430496,-0.009729,0.027307,0.071786,-0.159061,0.103123,-0.232165,-0.116071,9.388084,2.853530
47.000000,1.000000,2.023305,2.430496,-0.006963,0.026474,0.075472,-0.077837,-0.031327,-0.134488,-0.105718,9.417035,2.750914
48.000000,1.000000,2.233478,2.430496,0.000169,0.024016,0.075253,0.023381,-0.209115,-0.032518,-0.175968,9.456692,2.611753
49.000000,1.000000,2.117772,2.430496,-0.004393,0.024511,0.076948,-0.041710,-0.062431,0.097615,-0.126658,9.398663,2.809844
50.000000,1.000000,2.111198,2.430496,-0.000611,0.026728,0.078179,-0.567903,-6.833438,0.744276,-0.749337,11.370866,-3.753041
51.000000,1.000000,2.111198,2.430496,-0.000611,0.026728,0.078179,-0.567903,-6.833438,0.744276,-0.749337,11.370866,-3.753041
52.000000,1.000000,2.292615,2.430496,-0.001390,0.025819,0.079007,-0.450353,-6.944276,-0.341840,0.188636,11.412193,-3.792117
53.000000,1.000000,2.212494,2.430496,-0.004514,0.026353,0.078121,-0.231632,16.157262,0.139385,1.230268,4.810275,18.223378
54.000000,1.000000,2.273820,2.430496,0.000226,0.024636,0.079875,-0.201055,3.916232,-0.224904,0.589069,8.299980,6.507583
55.000000,1.000000,2.247742,2.430496,0.000486,0.023759,0.082033,-0.016580,0.296832,-0.015939,0.086560,9.315611,3.088110
56.000000,1.000000,2.127974,2.430496,0.001844,0.021761,0.084661,-0.151921,0.070434,-0.387263,0.237994,9.444804,2.672724
57.000000,1.000000,1.885891,2.430496,0.001427,0.021546,0.082704,-0.144499,-1.146789,-0.498379,-1.035896,9.607465,2.107921
58.000000,1.000000,2.037750,2.430496,0.003092,0.026690,0.085630,-0.059583,-0.344341,-0.035404,-0.388796,9.291139,3.145302
59.000000,1.000000,2.004778,2.430496,0.001871,0.025129,0.080413,-0.056179,-0.211859,-0.109986,-0.236927,9.283858,3.169540
60.000000,1.000000,2.157999,2.430496,-0.000088,0.025527,0.081811,-0.278442,0.753950,-1.140549,-1.014347,9.623638,2.169494
61.000000,1.000000,2.083394,2.430496,-0.002698,0.025062,0.080454,0.415021,-1.129433,0.899684,1.101584,8.940864,4.166512
62.000000,1.000000,1.766442,2.430496,-0.004583,0.022825,0.076486,-0.144853,0.075131,-0.244722,-0.150079,9.354418,2.964998
