# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.990003,1.157850,-0.001819,0.025314,0.079206,-0.000063,0.000001,0.000020,-0.157181,9.359917,2.933146
1.000000,1.000000,0.995760,1.157850,-0.002157,0.023341,0.079507,0.000012,-0.000000,-0.000006,-0.131735,9.369625,2.903252
2.000000,1.000000,0.978364,1.157850,-0.002676,0.027030,0.075402,-0.000013,-0.000000,0.000008,-0.126866,9.368335,2.907630
3.000000,1.000000,0.978364,1.157850,-0.002676,0.027030,0.075402,-0.000013,-0.000000,0.000008,-0.126866,9.368335,2.907630
4.000000,1.000000,0.959543,1.157850,-0.001427,0.020428,0.080475,-0.000064,0.000003,0.000031,-0.166589,9.380861,2.864925
5.000000,1.000000,0.949920,1.157850,-0.001511,0.021968,0.082209,-0.000012,0.000001,0.000005,-0.191936,9.370509,2.897036
6.000000,1.000000,0.780632,1.157850,0.003777,0.022165,0.084108,0.000070,-0.000003,0.000004,-0.012493,9.223869,3.340088
7.000000,1.000000,0.780632,1.157850,0.003777,0.022165,0.084108,0.000070,-0.000003,0.000004,-0.012493,9.223869,3.340088
8.000000,1.000000,0.894135,1.157850,-0.002709,0.023780,0.080985,-0.000038,-0.000002,0.000014,-0.032235,9.331293,3.026886
9.000000,1.000000,0.962482,1.157850,0.000785,0.024282,0.074711,-0.000066,0.000018,0.000017,0.101010,9.319932,3.060190
10.000000,1.000000,0.748164,1.157850,-0.006169,0.026404,0.083738,0.000180,-0.000009,-0.000216,0.426547,9.273969,3.169803
11.000000,1.000000,1.014199,1.157850,-0.002688,0.022937,0.082361,-0.000023,0.000002,0.000016,0.106559,9.319447,3.061479
12.000000,1.000000,0.956695,1.157850,-0.003224,0.022803,0.078665,-0.000019,0.000000,0.000001,-0.043110,9.313931,3.079762
13.000000,1.000000,0.966559,1.157850,-0.000560,0.023820,0.077440,0.000046,0.000002,-0.000018,0.052981,9.324839,3.046420
14.000000,1.000000,0.908242,1.157850,0.003603,0.019416,0.081177,-0.000150,0.000004,0.000052,0.094935,9.309561,3.091789
15.000000,1.000000,1.043095,1.157850,-0.001523,0.022174,0.083175,0.000019,0.000003,-0.000014,0.145256,9.347271,2.973807
16.000000,1.000000,1.043095,1.157850,-0.001523,0.022174,0.083175,0.000019,0.000003,-0.000014,0.145256,9.347271,2.973807
17.000000,1.000000,1.043095,1.157850,-0.001523,0.022174,0.083175,0.000019,0.000003,-0.000014,0.145256,9.347271,2.973807
18.000000,1.000000,0.965527,1.157850,-0.001766,0.025556,0.078020,0.000049,0.000003,-0.000016,0.158293,9.337780,3.002817
19.000000,1.000000,0.957141,1.157850,-0.001150,0.025959,0.079527,-0.000020,-0.000014,0.000008,0.218554,9.356146,2.941235
20.000000,1.000000,0.989723,1.157850,-0.003454,0.026178,0.075074,-0.000015,-0.000000,0.000006,0.187897,9.372886,2.889603
21.000000,1.000000,0.972593,1.157850,-0.001773,0.023074,0.081423,-0.000071,0.000004,0.000041,0.167605,9.371539,2.895215
22.000000,1.000000,0.916831,1.157850,-0.001928,0.027110,0.076290,-0.000120,-0.000000,0.000035,0.148088,9.418719,2.738958
23.000000,1.000000,0.988593,1.157850,0.000715,0.020354,0.083829,-0.000027,-0.000000,0.000005,0.160608,9.362798,2.923751
24.000000,1.000000,0.998711,1.157850,0.002151,0.022080,0.090544,0.000145,-0.000039,-0.000038,0.178828,9.365012,2.915592
25.000000,1.000000,1.027819,1.157850,0.000937,0.026490,0.084297,-0.000066,0.000006,0.000011,0.036176,9.400007,2.806182
26.000000,1.000000,1.006640,1.157850,-0.003768,0.024835,0.079921,-0.000079,-0.000002,0.000030,-0.021952,9.418561,2.743414
