# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
0.000000,1.000000,0.821689,-1.000000,-0.001897,0.024499,0.081295,-0.180925,1.283193,-1.228057,1.187393,9.631594,1.435428
1.000000,1.000000,0.821689,-1.000000,-0.001897,0.024499,0.081295,-0.180925,1.283193,-1.228057,1.187393,9.631594,1.435428
2.000000,1.000000,0.821689,-1.000000,-0.001897,0.024499,0.081295,-0.180925,1.283193,-1.228057,1.187393,9.631594,1.435428
3.000000,1.000000,0.821689,-1.000000,-0.001897,0.024499,0.081295,-0.180925,1.283193,-1.228057,1.187393,9.631594,1.435428
4.000000,1.000000,0.821689,-1.000000,-0.001897,0.024499,0.081295,-0.180925,1.283193,-1.228057,1.187393,9.631594,1.435428
5.000000,1.000000,0.821689,-1.000000,-0.001897,0.024499,0.081295,-0.180925,1.283193,-1.228057,1.187393,9.631594,1.435428
6.000000,1.000000,1.056623,-1.000000,-0.002740,0.023937,0.080887,4.528434,8.210607,-0.283929,8.080314,4.857677,2.722966
7.000000,0.000000,1.056623,-1.000000,-0.001381,0.027585,0.083459,4.528434,8.210607,-0.283929,8.080314,4.857677,2.722966
8.000000,1.000000,0.692346,-1.000000,-0.002349,0.014655,0.083192,2.854698,-7.653820,-1.924474,-7.693765,6.033540,0.799045
9.000000,1.000000,0.188631,-1.000000,-0.000168,0.031203,0.075973,7.826800,-9.704307,-4.285815,-9.627523,1.484634,-1.158780
10.000000,1.000000,0.816344,-1.000000,-0.007445,0.022412,0.075150,0.038035,0.266220,0.205774,0.009904,9.379030,2.875725
11.000000,1.000000,0.816344,-1.000000,-0.007445,0.022412,0.075150,0.038035,0.266220,0.205774,0.009904,9.379030,2.875725
12.000000,1.000000,0.448478,-1.000000,-0.008133,0.021806,0.074569,-0.373333,0.477883,-4.607019,3.819364,8.996445,0.845774
13.000000,1.000000,0.435440,-1.000000,-0.005555,0.023889,0.077231,2.263907,4.576826,-7.951530,7.538710,4.711822,4.147613
14.000000,1.000000,0.885240,-1.000000,-0.003908,0.022912,0.078758,-0.722270,0.195074,-3.018793,2.941251,9.192155,1.757675
15.000000,1.000000,0.223264,-1.000000,0.001949,0.023996,0.083471,12.191214,-1.963794,6.126506,-9.740125,-0.010058,1.168744
16.000000,1.000000,0.752599,-1.000000,-0.002938,0.025927,0.080804,1.824727,0.643525,3.426663,-3.650225,8.200316,3.958187
17.000000,1.000000,0.958975,-1.000000,-0.000553,0.020566,0.078594,-0.056411,-1.484075,-1.601913,1.401828,9.667442,0.900857
18.000000,1.000000,0.886233,-1.000000,-0.007501,0.026364,0.077701,-0.135642,0.110722,-0.302850,0.291722,9.419095,2.726106
19.000000,1.000000,0.720049,-1.000000,-0.005730,0.024297,0.073974,-0.004023,-0.281065,-0.255867,0.278591,9.439934,2.654455
20.000000,1.000000,0.720049,-1.000000,-0.005730,0.024297,0.073974,-0.004023,-0.281065,-0.255867,0.278591,9.439934,2.654455
21.000000,1.000000,0.919022,-1.000000,-0.001996,0.022729,0.083533,-0.183942,0.755982,-0.498621,-0.666925,9.355222,2.875957
22.000000,1.000000,0.949428,-1.000000,0.002019,0.023442,0.083948,-0.272692,-0.453412,-0.589380,0.577467,9.263485,3.176550
23.000000,1.000000,1.065057,-1.000000,-0.002396,0.022349,0.083181,0.027767,0.550925,0.051728,-0.398593,9.365602,2.891837
