# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636579.813555,1.000000,0.006075,0.692800,0.012466,0.103846,-0.082370,-0.000001,0.000715,-0.000032,-9.807921,-0.050466,0.195552
1.000000,1403636580.813555,1.000000,0.000000,0.692800,0.024059,-0.130473,0.134847,-0.000102,-0.003945,0.000002,-9.805445,0.256427,0.153596
2.000000,1403636581.813555,1.000000,0.000244,0.692800,0.022175,0.002815,-0.012449,-0.000013,0.001083,-0.000008,-9.806902,0.155815,0.191018
3.000000,1403636582.813555,1.000000,0.145898,0.692800,0.001893,0.050202,-0.046064,-0.000213,-0.003360,0.000072,-9.767834,0.508784,0.752766
4.000000,1403636583.813555,1.000000,0.000125,0.692800,0.033282,-0.142333,0.158816,0.000002,0.000484,0.000000,-9.805037,0.237298,0.202578
5.000000,1403636584.813555,1.000000,0.000348,0.692800,-0.048537,0.163272,-0.110122,-0.000052,-0.002219,-0.000044,-9.791640,0.269049,0.536190
6.000000,1403636585.813555,1.000000,0.000093,0.692800,0.025923,0.255368,-0.322911,0.000031,-0.003049,0.000056,-9.790169,-0.059293,0.620628
7.000000,1403636586.813555,1.000000,0.000045,0.692800,0.013365,-0.038054,0.021351,-0.000064,-0.004171,-0.000029,-9.802507,-0.209116,0.321304
8.000000,1403636587.813555,1.000000,2.485774,0.692800,0.024053,0.007471,-0.028534,-0.000005,-0.000273,0.000030,-9.689839,0.143684,1.523964
9.000000,1403636588.813555,1.000000,2.649968,0.692800,-0.087953,0.071446,0.092823,-0.000081,-0.003701,0.000325,-9.730267,-0.013971,1.248120
10.000000,1403636589.813555,1.000000,0.000000,0.692800,0.005918,-0.012074,0.034277,-0.000064,-0.004599,-0.000153,-9.781897,-0.444849,-0.593878
11.000000,1403636590.813555,1.000000,2.691533,0.692800,0.092609,-0.185385,0.063968,0.000005,-0.001174,0.000171,-9.699860,0.138385,1.459338
12.000000,1403636591.813555,1.000000,1.260320,0.692800,-0.076336,0.078704,0.033124,0.000012,-0.001800,0.000236,-9.439118,-0.267155,2.658529
13.000000,1403636592.813555,1.000000,0.000050,0.692800,-0.149280,0.240141,-0.031444,0.000039,-0.004383,0.000014,-9.711037,-0.267640,-1.363902
14.000000,1403636593.813555,1.000000,0.829166,0.692800,0.317223,-0.454581,0.049215,0.000163,-0.000950,0.000414,-8.950114,-0.503355,3.984745
15.000000,1403636594.813555,1.000000,0.000070,0.692800,-0.300836,0.343392,0.177785,0.000119,-0.003717,-0.000467,-9.717428,-0.742283,-1.121029
16.000000,1403636595.813555,1.000000,0.579200,0.692800,0.205922,-0.208151,-0.043751,-0.000049,-0.001867,0.000272,-9.557333,0.152991,2.206825
17.000000,1403636596.813555,1.000000,0.348081,0.692800,-0.227636,0.182454,0.196955,-0.000067,-0.003493,0.000175,-9.782245,0.250050,0.693731
18.000000,1403636597.813555,1.000000,0.000038,0.692800,-0.038102,0.014970,0.078958,-0.000055,-0.003031,-0.000117,-9.579923,0.486859,-2.055272
19.000000,1403636598.813555,1.000000,1.367548,0.692800,0.012388,-0.302796,0.300405,0.000006,-0.000739,-0.000022,-9.493503,0.371821,-2.443616
20.000000,1403636599.813555,1.000000,2.792342,0.692800,-0.002826,-0.023941,0.024417,-0.000006,-0.000592,0.000032,-9.704098,0.329150,-1.399372
21.000000,1403636600.813555,1.000000,15.906608,0.692800,-0.000057,-0.003016,0.020060,-0.000007,-0.000667,0.000037,-9.704493,0.296998,-1.403821
22.000000,1403636601.813555,1.000000,0.000000,0.692800,0.000112,-0.003490,0.020810,-0.000008,-0.000760,0.000042,-9.703850,0.298016,-1.408042
23.000000,1403636602.813555,1.000000,0.000000,0.692800,-0.000009,-0.003483,0.020670,-0.000008,-0.000761,0.000042,-9.704482,0.298039,-1.403674
24.000000,1403636603.813555,1.000000,0.000000,0.692800,0.000015,-0.003098,0.021277,-0.000008,-0.000749,0.000042,-9.704088,0.296650,-1.406690
25.000000,1403636604.813555,1.000000,84.838810,0.692800,0.000031,-0.003242,0.020806,-0.000006,-0.000656,0.000037,-9.706321,0.291924,-1.392196
26.000000,1403636605.813555,1.000000,89.669576,0.692800,-0.000010,-0.003369,0.020884,-0.000006,-0.000631,0.000035,-9.705273,0.288615,-1.400173
27.000000,1403636606.813555,1.000000,0.000000,0.692800,-0.000035,-0.003156,0.020588,-0.000008,-0.000754,0.000042,-9.704493,0.297200,-1.403777
28.000000,1403636607.813555,1.000000,122.927368,0.692800,0.000017,-0.003308,0.020909,-0.000007,-0.000654,0.000036,-9.703496,0.294971,-1.411118
29.000000,1403636608.813555,1.000000,0.000000,0.692800,-0.000047,-0.002862,0.020546,-0.000008,-0.000762,0.000043,-9.705035,0.297318,-1.400000
30.000000,1403636609.813555,1.000000,0.307156,0.692800,0.000192,-0.002921,0.020738,-0.000007,-0.000676,0.000038,-9.704832,0.297001,-1.401472
31.000000,1403636610.813555,1.000000,1.248079,0.692800,-0.000292,-0.002935,0.019813,-0.000007,-0.000686,0.000038,-9.704683,0.298485,-1.402189
32.000000,1403636611.813555,1.000000,0.002621,0.692800,0.000048,-0.003486,0.022067,-0.000007,-0.000680,0.000039,-9.705652,0.280880,-1.399113
33.000000,1403636612.813555,1.000000,59.823623,0.692800,0.000224,-0.003709,0.021358,-0.000002,-0.000463,0.000023,-9.697976,0.241771,-1.458394
34.000000,1403636613.813555,1.000000,0.001358,0.692800,-0.000063,-0.002761,0.020605,-0.000007,-0.000663,0.000037,-9.704916,0.293894,-1.401548
35.000000,1403636614.813555,1.000000,0.014367,0.692800,0.000040,-0.003164,0.021059,-0.000007,-0.000664,0.000037,-9.704846,0.296387,-1.401504
36.000000,1403636615.813555,1.000000,0.047889,0.692800,0.000000,-0.003168,0.020585,-0.000007,-0.000660,0.000037,-9.704601,0.296038,-1.403275
37.000000,1403636616.813555,1.000000,71.050237,0.692800,0.000003,-0.003241,0.020710,-0.000006,-0.000604,0.000034,-9.704950,0.293554,-1.401385
38.000000,1403636617.813555,1.000000,0.029344,0.692800,0.000036,-0.003313,0.020387,-0.000007,-0.000674,0.000038,-9.705728,0.295999,-1.395465
39.000000,1403636618.813555,1.000000,0.002638,0.692800,0.000111,-0.003644,0.021142,-0.000007,-0.000696,0.000040,-9.706518,0.294972,-1.390177
40.000000,1403636619.813555,1.000000,0.000000,0.692800,-0.000121,-0.002799,0.020861,-0.000008,-0.000774,0.000044,-9.706160,0.295671,-1.392527
41.000000,1403636620.813555,1.000000,3.760111,0.692800,0.000073,-0.003062,0.020681,-0.000007,-0.000692,0.000039,-9.706059,0.293648,-1.393658
42.000000,1403636621.813555,1.000000,37.979675,0.692800,0.000155,-0.003295,0.020510,-0.000006,-0.000673,0.000038,-9.706321,0.280914,-1.394464
43.000000,1403636622.813555,1.000000,6.043969,0.692800,0.002201,-0.005204,0.019420,-0.000008,-0.000696,0.000039,-9.706000,0.305123,-1.391607
44.000000,1403636623.813555,1.000000,0.000023,0.692800,0.037824,0.009744,0.005777,0.000001,-0.000820,0.000033,-9.698180,0.274075,-1.451303
45.000000,1403636624.813555,1.000000,0.035165,0.692800,-0.009779,0.043350,0.016800,-0.000007,-0.000698,-0.000013,-9.624824,1.008657,-1.606697
46.000000,1403636625.813555,1.000000,0.000000,0.692800,-0.021631,-0.039576,0.075293,-0.000046,-0.001961,-0.000008,-9.608066,0.750530,-1.832451
47.000000,1403636626.813555,1.000000,0.000160,0.692800,0.052586,0.015384,-0.073135,-0.000013,-0.001047,-0.000012,-9.573812,0.931801,-1.926129
48.000000,1403636627.813555,1.000000,0.000313,0.692800,0.070967,-0.105569,0.012684,-0.000038,-0.000758,-0.000029,-9.759866,0.492913,-0.859163
49.000000,1403636628.813555,1.000000,0.000067,0.692800,0.221752,-0.184255,-0.103710,-0.000037,-0.001449,-0.000017,-9.806788,0.237752,0.080530
50.000000,1403636629.813555,1.000000,0.284224,0.692800,0.116653,-0.154233,0.041991,0.000014,-0.000435,-0.000003,-9.397783,-0.700834,2.725180
51.000000,1403636630.813555,1.000000,0.132089,0.692800,-0.025178,0.009000,0.042311,-0.000022,-0.001398,-0.000004,-9.457130,-0.457685,2.566965
52.000000,1403636631.813555,1.000000,0.582861,0.692800,-0.081448,0.125980,-0.031634,-0.000020,-0.001106,0.000001,-9.478610,-0.150829,2.523746
53.000000,1403636632.813555,1.000000,0.109983,0.692800,-0.130209,0.124858,0.093157,0.000003,-0.001227,-0.000022,-9.797458,0.146807,0.473664
54.000000,1403636633.813555,1.000000,0.000067,0.692800,-0.025213,-0.023355,0.101654,-0.000009,-0.001226,0.000009,-9.799493,-0.008384,0.453842
55.000000,1403636634.813555,1.000000,0.078834,0.692800,-0.059191,0.069632,-0.021330,0.000004,-0.000907,-0.000014,-9.793012,0.459817,-0.348690
56.000000,1403636635.813555,1.000000,0.099200,0.692800,0.039130,-0.101252,0.175882,-0.000013,-0.001581,0.000005,-9.798458,0.340018,-0.332739
57.000000,1403636636.813555,1.000000,0.128316,0.692800,-0.043433,0.100111,-0.092125,0.000022,-0.000488,-0.000010,-9.772730,0.701085,-0.488187
58.000000,1403636637.813555,1.000000,0.000099,0.692800,-0.012358,0.038465,-0.020146,0.000008,-0.001605,-0.000024,-9.775970,0.431382,-0.693125
59.000000,1403636638.813555,1.000000,0.000057,0.692800,0.002607,-0.062477,0.097181,-0.000044,-0.001838,0.000004,-9.780422,0.308105,-0.696070
60.000000,1403636639.813555,1.000000,0.114041,0.692800,-0.076862,0.077152,0.045482,0.000005,-0.000834,0.000013,-9.723929,0.729392,-1.072050
61.000000,1403636640.813555,1.000000,0.059603,0.692800,0.006996,-0.014714,0.016456,-0.000006,-0.001117,-0.000008,-9.669747,0.847020,-1.419383
62.000000,1403636641.813555,1.000000,0.230892,0.692800,0.114729,-0.083078,-0.055334,-0.000039,-0.001567,-0.000005,-9.745840,0.809450,-0.774272
63.000000,1403636642.813555,1.000000,0.014097,0.692800,-0.009978,0.044067,-0.015018,-0.000012,-0.000577,-0.000006,-9.800487,0.328267,-0.280713
64.000000,1403636643.813555,1.000000,0.000000,0.692800,-0.005293,-0.083044,0.097070,-0.000053,-0.002258,-0.000034,-9.798523,0.225258,-0.417504
65.000000,1403636644.813555,1.000000,0.114061,0.692800,0.017545,0.053825,-0.045862,-0.000019,-0.000502,0.000002,-9.802535,0.366090,-0.111258
66.000000,1403636645.813555,1.000000,0.274045,0.692800,0.286246,-0.393330,0.001069,0.000013,-0.000971,0.000031,-9.767251,-0.181168,0.896712
67.000000,1403636646.813555,1.000000,0.000071,0.692800,0.000997,-0.005316,0.009370,-0.000009,-0.001471,-0.000009,-9.391189,-0.677228,2.753732
68.000000,1403636647.813555,1.000000,0.000317,0.692800,0.399315,-0.372951,-0.124448,0.000008,-0.001312,0.000173,-8.635382,-1.160824,4.507635
69.000000,1403636648.813555,1.000000,0.000055,0.692800,0.015065,-0.060518,0.058834,-0.000012,-0.000300,0.000005,-7.403444,-1.713358,6.203992
70.000000,1403636649.813555,1.000000,0.000161,0.692800,0.312160,-0.281483,-0.104416,-0.000035,-0.001945,0.000127,-6.409671,-1.973402,7.159462
71.000000,1403636650.813555,1.000000,0.059658,0.692800,-0.011523,-0.031695,0.046636,-0.000010,-0.001070,0.000003,-4.823008,-2.432287,8.188936
