# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636579.813555,1.000000,0.000183,0.692800,0.012267,0.103822,-0.082324,0.912729,0.571299,-1.962302,-9.604302,-1.088635,-1.675818
1.000000,1403636580.813555,1.000000,0.034601,0.692800,0.025053,-0.128680,0.136428,-0.695185,-2.121767,-0.767622,-9.741053,0.983758,-0.616608
2.000000,1403636581.813555,1.000000,0.000068,0.692800,0.023321,0.007015,-0.009936,-8.680756,6.759689,-2.587840,-3.633053,8.532359,-3.199355
3.000000,1403636582.813555,1.000000,0.000241,0.692800,0.001940,0.053112,-0.042809,-9.705005,7.426109,-0.925095,-0.462214,9.772412,-0.722791
4.000000,1403636583.813555,1.000000,0.000100,0.692800,0.034346,-0.142427,0.158376,-9.509442,11.386343,-0.438930,1.303454,9.582148,-1.649105
5.000000,1403636584.813555,1.000000,0.000187,0.692800,-0.046012,0.162916,-0.113241,-9.290634,8.299527,3.377722,0.247618,9.259700,3.229974
6.000000,1403636585.813555,1.000000,0.000161,0.692800,0.027468,0.256682,-0.322450,0.771242,16.738471,-4.657476,8.465355,-2.225837,-4.429392
7.000000,1403636586.813555,1.000000,0.029629,0.692800,0.013745,-0.037175,0.021609,4.633930,15.548015,-3.088453,8.232755,-5.107750,-1.539073
8.000000,1403636587.813555,1.000000,0.458941,0.692800,0.023564,0.004989,-0.028140,0.286391,7.270997,8.759715,0.477760,3.754977,9.050303
9.000000,1403636588.813555,1.000000,0.509981,0.692800,-0.088186,0.070710,0.093063,8.565685,11.963040,1.423830,5.310186,-6.764311,4.720394
10.000000,1403636589.813555,1.000000,0.000134,0.692800,0.005580,-0.014199,0.033342,-6.623816,14.576680,1.368454,6.774007,6.949226,-1.434289
11.000000,1403636590.813555,1.000000,0.255051,0.692800,0.099483,-0.186477,0.059841,9.619691,7.240364,-3.469805,0.236318,-9.693379,1.489514
12.000000,1403636591.813555,1.000000,0.438601,0.692800,-0.076913,0.073686,0.034828,-2.633465,12.787883,7.380419,5.332168,5.414067,6.204190
13.000000,1403636592.813555,1.000000,0.155956,0.692800,-0.156565,0.245805,-0.069642,-4.667362,15.335977,2.107980,7.909305,5.571077,1.625452
14.000000,1403636593.813555,1.000000,0.190165,0.692800,0.305220,-0.457344,0.023663,8.656712,5.826703,-5.974902,-1.207865,-9.734540,-0.126066
15.000000,1403636594.813555,1.000000,0.012001,0.692800,-0.313572,0.358630,0.134677,-5.214080,15.560821,2.186151,7.888159,5.827073,0.241391
16.000000,1403636595.813555,1.000000,0.396830,0.692800,0.201655,-0.210171,-0.048245,-9.183153,5.484153,0.461661,-3.385701,9.122315,-1.247592
17.000000,1403636596.813555,1.000000,0.260172,0.692800,-0.226750,0.183149,0.195785,3.799416,8.263240,8.827670,1.008240,-0.624809,9.738027
18.000000,1403636597.813555,1.000000,0.213309,0.692800,-0.037461,0.019010,0.081159,-7.595637,3.083708,3.994562,-4.544080,8.687429,0.340605
19.000000,1403636598.813555,1.000000,0.759078,0.692800,0.011739,-0.302587,0.301683,0.543590,-0.546506,-0.304214,-9.530458,-0.093849,-2.323288
20.000000,1403636599.813555,1.000000,0.000078,0.692800,-0.002913,-0.023976,0.024387,6.044382,17.100154,-1.943012,7.696868,-6.081835,-0.074810
21.000000,1403636600.813555,0.000000,0.000093,0.692800,-0.002922,-0.023986,0.024385,3.657843,3.082958,-7.093811,-4.979508,-3.226839,-7.812049
22.000000,1403636601.813555,0.000000,0.000093,0.692800,-0.002922,-0.023986,0.024385,3.657843,3.082958,-7.093811,-4.979508,-3.226839,-7.812049
23.000000,1403636602.813555,0.000000,0.000093,0.692800,-0.002922,-0.023986,0.024385,3.657843,3.082958,-7.093811,-4.979508,-3.226839,-7.812049
24.000000,1403636603.813555,0.000000,0.000093,0.692800,-0.002922,-0.023986,0.024385,3.657843,3.082958,-7.093811,-4.979508,-3.226839,-7.812049
25.000000,1403636604.813555,0.000000,0.000093,0.692800,-0.002922,-0.023986,0.024385,3.657843,3.082958,-7.093811,-4.979508,-3.226839,-7.812049
26.000000,1403636605.813555,0.000000,0.000093,0.692800,-0.002922,-0.023986,0.024385,3.657843,3.082958,-7.093811,-4.979508,-3.226839,-7.812049
27.000000,1403636606.813555,0.000000,0.000093,0.692800,-0.002922,-0.023986,0.024385,3.657843,3.082958,-7.093811,-4.979508,-3.226839,-7.812049
28.000000,1403636607.813555,0.000000,0.000093,0.692800,-0.002922,-0.023986,0.024385,3.657843,3.082958,-7.093811,-4.979508,-3.226839,-7.812049
29.000000,1403636608.813555,0.000000,0.000093,0.692800,-0.002922,-0.023986,0.024385,3.657843,3.082958,-7.093811,-4.979508,-3.226839,-7.812049
30.000000,1403636609.813555,1.000000,0.000000,0.692800,0.000192,-0.002921,0.020737,4.988286,0.946042,-1.312146,-8.216783,-4.683261,-2.605309
31.000000,1403636610.813555,0.000000,0.000000,0.692800,0.000192,-0.002921,0.020737,4.988286,0.946042,-1.312146,-8.216783,-4.683261,-2.605309
32.000000,1403636611.813555,0.000000,0.000000,0.692800,0.000192,-0.002921,0.020737,4.988286,0.946042,-1.312146,-8.216783,-4.683261,-2.605309
33.000000,1403636612.813555,0.000000,0.000000,0.692800,0.000192,-0.002921,0.020737,4.988286,0.946042,-1.312146,-8.216783,-4.683261,-2.605309
34.000000,1403636613.813555,0.000000,0.000000,0.692800,0.000192,-0.002921,0.020737,4.988286,0.946042,-1.312146,-8.216783,-4.683261,-2.605309
35.000000,1403636614.813555,0.000000,0.000000,0.692800,0.000192,-0.002921,0.020737,4.988286,0.946042,-1.312146,-8.216783,-4.683261,-2.605309
36.000000,1403636615.813555,0.000000,0.000000,0.692800,0.000192,-0.002921,0.020737,4.988286,0.946042,-1.312146,-8.216783,-4.683261,-2.605309
37.000000,1403636616.813555,0.000000,0.000000,0.692800,0.000192,-0.002921,0.020737,4.988286,0.946042,-1.312146,-8.216783,-4.683261,-2.605309
38.000000,1403636617.813555,1.000000,0.000000,0.692800,0.000037,-0.003301,0.020385,-6.706204,2.347972,-0.321260,-6.859779,6.945050,-0.972524
39.000000,1403636618.813555,1.000000,0.077419,0.692800,0.000112,-0.003644,0.021142,8.412169,4.190384,-0.500605,-5.237143,-8.198549,-1.261835
40.000000,1403636619.813555,1.000000,0.000000,0.692800,-0.000121,-0.002800,0.020861,1.703528,1.157575,-5.595887,-7.101666,-1.284025,-6.644826
41.000000,1403636620.813555,0.000000,0.000000,0.692800,-0.000121,-0.002800,0.020861,1.703528,1.157575,-5.595887,-7.101666,-1.284025,-6.644826
42.000000,1403636621.813555,0.000000,0.000000,0.692800,-0.000121,-0.002800,0.020861,1.703528,1.157575,-5.595887,-7.101666,-1.284025,-6.644826
43.000000,1403636622.813555,1.000000,4.648430,0.692800,0.002202,-0.005203,0.019419,-4.004304,2.663087,5.301490,-7.693522,4.080696,4.515942
44.000000,1403636623.813555,1.000000,0.000054,0.692800,0.037942,0.009667,0.005760,9.306049,11.977397,1.374399,2.041117,-9.369030,2.071526
45.000000,1403636624.813555,1.000000,0.014824,0.692800,-0.009830,0.043575,0.016760,-2.796383,9.834696,-9.288522,2.116442,2.131136,-9.338899
46.000000,1403636625.813555,1.000000,0.000969,0.692800,-0.021080,-0.039617,0.075443,-4.824648,14.603986,6.103833,4.994901,4.770215,6.966499
47.000000,1403636626.813555,1.000000,0.000158,0.692800,0.052759,0.015428,-0.072763,-6.016617,9.609701,-7.622901,2.386151,5.757718,-7.575689
48.000000,1403636627.813555,1.000000,0.000022,0.692800,0.068760,-0.106401,0.014766,-7.591459,7.109102,-5.611640,-1.480402,7.503015,-6.144044
49.000000,1403636628.813555,1.000000,0.030289,0.692800,0.223222,-0.183965,-0.101429,-0.255709,8.905898,-9.902486,-0.063780,-0.270982,-9.806049
50.000000,1403636629.813555,1.000000,0.000198,0.692800,0.116397,-0.154729,0.038186,4.611354,2.302318,-5.126339,-7.816719,-5.297971,-2.658290
51.000000,1403636630.813555,1.000000,0.000611,0.692800,-0.025114,0.008948,0.042245,-6.114239,6.631582,-7.193813,-4.595484,5.799495,-6.440767
52.000000,1403636631.813555,1.000000,0.000358,0.692800,-0.082954,0.124272,-0.032382,6.560415,10.265682,-7.245851,-0.310684,-6.671020,-7.185894
53.000000,1403636632.813555,1.000000,0.090287,0.692800,-0.131976,0.128733,0.089602,8.460302,5.385989,-3.395571,-3.963523,-8.454032,-3.009308
54.000000,1403636633.813555,1.000000,0.000217,0.692800,-0.024730,-0.022554,0.101252,7.395504,14.080133,-4.347681,4.898674,-7.422383,-4.140932
55.000000,1403636634.813555,1.000000,0.000280,0.692800,-0.058913,0.069653,-0.022708,8.099475,5.322641,-3.927594,-4.210852,-8.011051,-3.785220
56.000000,1403636635.813555,1.000000,0.000083,0.692800,0.039335,-0.100441,0.176292,4.424982,13.994449,-7.203859,5.241849,-4.660694,-6.858356
57.000000,1403636636.813555,1.000000,0.000190,0.692800,-0.042734,0.098475,-0.093229,8.212649,10.176286,-5.246707,0.245975,-8.289555,-5.240122
58.000000,1403636637.813555,1.000000,0.000124,0.692800,-0.011425,0.038886,-0.019760,5.775096,12.257444,-7.093844,3.494825,-6.203524,-6.748229
59.000000,1403636638.813555,1.000000,0.000185,0.692800,0.002346,-0.061633,0.097539,-8.333892,12.932255,2.648768,4.122345,8.555595,2.458487
60.000000,1403636639.813555,1.000000,0.001198,0.692800,-0.076600,0.077516,0.045368,4.432771,10.198446,8.840323,-0.240587,-4.324658,8.802020
61.000000,1403636640.813555,1.000000,0.021993,0.692800,0.007119,-0.014687,0.016438,9.773612,10.153177,-1.260106,0.381877,-9.752952,-0.984985
62.000000,1403636641.813555,1.000000,0.016357,0.692800,0.114010,-0.085541,-0.057394,6.546627,10.838200,-7.183909,2.113160,-6.730488,-6.816978
63.000000,1403636642.813555,1.000000,0.000378,0.692800,-0.009586,0.044255,-0.014863,-9.523565,7.699936,-1.018783,-1.488094,9.571278,-1.553162
64.000000,1403636643.813555,1.000000,0.000644,0.692800,-0.003296,-0.083125,0.096929,-2.472301,2.759682,-7.303964,-5.648153,2.170089,-7.721734
65.000000,1403636644.813555,1.000000,0.181037,0.692800,0.018417,0.056351,-0.044169,-6.109704,1.821923,-0.813241,-7.439564,6.258477,-1.311658
66.000000,1403636645.813555,1.000000,0.000125,0.692800,0.289078,-0.388416,0.005538,9.420031,10.282400,-3.495568,1.101430,-9.334939,-2.807466
