# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636579.813555,0.000000,0.000000,0.692800,0.011801,0.103484,-0.082393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1403636580.813555,0.000000,0.000000,0.692800,0.026214,-0.130027,0.135087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,1403636581.813555,0.000000,0.000000,0.692800,0.021586,-0.000031,-0.014601,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,1403636582.813555,0.000000,0.000000,0.692800,0.000338,0.052751,-0.043158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,1403636583.813555,0.000000,0.000000,0.692800,0.031443,-0.143623,0.158058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,1403636584.813555,0.000000,0.000000,0.692800,-0.046585,0.165607,-0.108485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,1403636585.813555,0.000000,0.000000,0.692800,0.027656,0.255353,-0.321739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,1403636586.813555,0.000000,0.000000,0.692800,0.013544,-0.035713,0.022150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,1403636587.813555,1.000000,0.450777,0.692800,0.023593,0.005070,-0.028298,0.141522,10.742977,8.260585,3.869388,3.886668,8.133794
9.000000,1403636588.813555,1.000000,0.605935,0.692800,-0.088251,0.070906,0.093069,1.010752,11.495621,8.322666,4.506576,2.825067,8.243063
10.000000,1403636589.813555,0.000000,0.605935,0.692800,0.005482,-0.014500,0.034583,1.010752,11.495621,8.322666,4.506576,2.825067,8.243063
11.000000,1403636590.813555,1.000000,0.089288,0.692800,0.099061,-0.186227,0.060791,-1.186467,5.488119,8.520946,-1.887599,4.927681,8.269886
12.000000,1403636591.813555,1.000000,0.621496,0.692800,-0.075452,0.077486,0.030649,1.185381,13.220334,7.532229,6.099615,1.862995,7.453861
13.000000,1403636592.813555,1.000000,0.211944,0.692800,-0.155435,0.246054,-0.068978,-2.305048,16.267779,1.869948,8.969753,3.247674,2.287412
14.000000,1403636593.813555,1.000000,0.535966,0.692800,0.311043,-0.450675,0.020335,-5.995747,13.250521,4.258711,4.225069,8.368000,2.891619
15.000000,1403636594.813555,1.000000,0.142480,0.692800,-0.309593,0.365845,0.135362,-3.766055,15.806928,3.485876,8.416854,4.737019,1.718521
16.000000,1403636595.813555,1.000000,0.438983,0.692800,0.197850,-0.220539,-0.042567,-9.788654,7.439186,-1.329909,-1.626152,9.131812,-3.194017
17.000000,1403636596.813555,1.000000,0.286806,0.692800,-0.226559,0.186936,0.194189,4.038749,7.922746,8.761727,0.687322,-0.871686,9.746992
18.000000,1403636597.813555,1.000000,0.271664,0.692800,-0.038413,0.022078,0.081736,-7.770985,6.596524,5.952613,-1.308115,9.333757,2.721382
19.000000,1403636598.813555,1.000000,0.847895,0.692800,0.011375,-0.302616,0.301911,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
20.000000,1403636599.813555,0.000000,0.847895,0.692800,-0.002924,-0.023985,0.024371,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
21.000000,1403636600.813555,0.000000,0.847895,0.692800,-0.000057,-0.003016,0.020060,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
22.000000,1403636601.813555,0.000000,0.847895,0.692800,0.000112,-0.003489,0.020809,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
23.000000,1403636602.813555,0.000000,0.847895,0.692800,-0.000008,-0.003480,0.020671,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
24.000000,1403636603.813555,0.000000,0.847895,0.692800,0.000016,-0.003091,0.021278,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
25.000000,1403636604.813555,0.000000,0.847895,0.692800,0.000031,-0.003242,0.020806,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
26.000000,1403636605.813555,0.000000,0.847895,0.692800,-0.000012,-0.003369,0.020884,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
27.000000,1403636606.813555,0.000000,0.847895,0.692800,-0.000035,-0.003159,0.020588,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
28.000000,1403636607.813555,0.000000,0.847895,0.692800,0.000018,-0.003308,0.020909,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
29.000000,1403636608.813555,0.000000,0.847895,0.692800,-0.000047,-0.002866,0.020546,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
30.000000,1403636609.813555,0.000000,0.847895,0.692800,0.000192,-0.002920,0.020738,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
31.000000,1403636610.813555,0.000000,0.847895,0.692800,-0.000290,-0.002939,0.019812,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
32.000000,1403636611.813555,0.000000,0.847895,0.692800,0.000047,-0.003486,0.022066,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
33.000000,1403636612.813555,0.000000,0.847895,0.692800,0.000226,-0.003709,0.021349,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
34.000000,1403636613.813555,0.000000,0.847895,0.692800,-0.000062,-0.002761,0.020605,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
35.000000,1403636614.813555,0.000000,0.847895,0.692800,0.000040,-0.003164,0.021059,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
36.000000,1403636615.813555,0.000000,0.847895,0.692800,0.000001,-0.003168,0.020585,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
37.000000,1403636616.813555,0.000000,0.847895,0.692800,0.000003,-0.003242,0.020710,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
38.000000,1403636617.813555,0.000000,0.847895,0.692800,0.000036,-0.003314,0.020385,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
39.000000,1403636618.813555,0.000000,0.847895,0.692800,0.000112,-0.003644,0.021141,0.106247,-0.416644,1.541831,-9.776197,0.554072,-0.595879
