# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636859.201667,1.000000,0.000497,0.983400,0.105942,-0.126810,0.072101,2.590521,6.306241,-9.392315,-3.193070,-2.836039,-8.831607
1.000000,1403636860.201667,1.000000,0.000499,0.983400,-0.027467,0.110529,-0.070313,5.966537,2.315217,-1.251414,-7.749486,-5.991363,0.533974
2.000000,1403636861.201667,1.000000,0.000117,0.983400,-0.017070,0.075154,-0.059303,-9.295366,6.172839,-2.539359,-1.944582,9.246550,-2.637426
3.000000,1403636862.201667,1.000000,0.000239,0.983400,0.059546,-0.174730,0.169370,-4.010920,8.793523,-8.921788,-0.832802,2.825382,-9.357337
4.000000,1403636863.201667,1.000000,0.000113,0.983400,-0.012776,0.123614,-0.104375,2.166833,15.540901,-7.872787,4.245650,-3.232971,-8.231552
5.000000,1403636864.201667,1.000000,0.000081,0.983400,0.018124,-0.046403,0.026634,-9.657253,7.885935,0.202373,0.102442,9.776933,-0.798234
6.000000,1403636865.201667,1.000000,0.000494,0.983400,-0.011587,-0.138541,0.170190,-8.942929,8.342700,3.038614,-1.478098,9.443971,2.205163
7.000000,1403636866.201667,1.000000,0.000070,0.983400,-0.028050,0.221961,-0.177757,-9.205254,10.444686,3.176233,2.157628,9.246545,2.466202
8.000000,1403636867.201667,1.000000,0.525889,0.983400,-0.001437,0.362067,-0.364921,-0.310334,-2.384534,-0.317409,-9.778722,0.266176,0.736099
9.000000,1403636868.201667,1.000000,0.224157,0.983400,-0.004375,-0.030564,0.054946,-4.139758,-2.261845,0.129766,-9.134626,3.534207,-0.551441
10.000000,1403636869.201667,1.000000,0.219156,0.983400,0.061343,-0.058526,-0.026624,5.701964,11.751546,-6.060828,5.081678,-7.760671,-3.191338
11.000000,1403636870.201667,1.000000,0.065665,0.983400,0.056760,-0.073738,-0.025456,8.039113,2.278157,-4.810762,-3.598985,-9.036288,1.276288
12.000000,1403636871.201667,1.000000,0.232816,0.983400,-0.113176,0.089627,0.086336,-4.787157,15.163100,-0.184598,7.488957,5.183435,-3.644672
13.000000,1403636872.201667,1.000000,0.162374,0.983400,0.014094,0.011759,0.002500,-7.924937,12.266101,1.818036,4.691905,8.012322,-3.166200
14.000000,1403636873.201667,1.000000,0.384988,0.983400,0.082042,-0.058020,-0.065933,-4.021477,11.713126,6.028808,5.305782,7.652606,3.085838
15.000000,1403636874.201667,1.000000,0.245794,0.983400,-0.076067,0.002484,0.111391,-1.484637,16.134115,-1.140838,9.111827,1.867182,-3.118387
16.000000,1403636875.201667,1.000000,0.000502,0.983400,0.304862,-0.359323,-0.233456,8.817747,9.885137,-4.337296,4.629838,-8.635016,-0.487037
17.000000,1403636876.201667,1.000000,0.000936,0.983400,-0.186089,0.087128,0.330552,3.847672,14.795784,-6.513759,5.508096,-3.918155,-7.109503
18.000000,1403636877.201667,1.000000,0.000088,0.983400,-0.182299,0.305511,-0.074264,7.296276,2.062656,-4.388801,-4.207839,-8.769723,-1.273637
19.000000,1403636878.201667,1.000000,0.000000,0.983400,0.258770,-0.391986,-0.070482,7.400073,7.779627,-7.824470,0.734143,-9.406949,-2.684484
20.000000,1403636879.201667,1.000000,0.000298,0.983400,-0.298092,0.312202,0.174914,6.060960,13.486203,-4.124950,6.629322,-6.219680,-3.688328
21.000000,1403636880.201667,1.000000,0.640740,0.983400,0.098434,-0.148376,0.029804,-3.676650,15.205778,4.274003,7.259278,6.337539,1.837002
22.000000,1403636881.201667,1.000000,0.837339,0.983400,-0.027069,-0.001117,0.137470,-0.752713,15.984078,4.207085,9.327165,2.535913,1.676076
23.000000,1403636882.201667,1.000000,0.536271,0.983400,-0.269130,0.051010,0.328456,-0.383408,18.501104,0.467214,9.698597,1.468734,-0.127007
24.000000,1403636883.201667,1.000000,0.165418,0.983400,-0.112968,0.008980,0.174535,8.715055,12.354936,-4.014317,3.154812,-8.781272,-3.028617
25.000000,1403636884.201667,1.000000,0.000220,0.983400,0.000559,-0.012662,0.030768,1.808405,0.769743,3.914454,-9.435088,-1.197702,2.404314
26.000000,1403636885.201667,0.000000,0.000528,0.983400,0.000559,-0.012662,0.030768,1.803429,0.770740,3.918391,-9.434644,-1.192827,2.408476
27.000000,1403636886.201667,1.000000,1.113849,0.983400,-0.000103,-0.002417,0.020222,9.125549,5.741318,-1.447442,-3.925274,-8.770180,-1.977946
28.000000,1403636887.201667,0.000000,1.113849,0.983400,-0.000103,-0.002417,0.020222,9.125549,5.741318,-1.447442,-3.925274,-8.770180,-1.977946
29.000000,1403636888.201667,1.000000,0.772969,0.983400,-0.000099,-0.003920,0.020151,2.873810,2.419298,5.887924,-8.304862,-2.385271,4.644982
30.000000,1403636889.201667,1.000000,0.492926,0.983400,0.000337,-0.003157,0.022363,3.151266,1.830295,4.996081,-8.713421,-2.625545,3.663182
31.000000,1403636890.201667,1.000000,0.784860,0.983400,0.000155,-0.002255,0.019436,0.873073,0.602910,-4.652816,-7.777655,-0.177913,-5.975996
32.000000,1403636891.201667,0.000000,0.784860,0.983400,0.000155,-0.002255,0.019436,0.873073,0.602910,-4.652816,-7.777655,-0.177913,-5.975996
33.000000,1403636892.201667,0.000000,0.784860,0.983400,0.000155,-0.002255,0.019436,0.873073,0.602910,-4.652816,-7.777655,-0.177913,-5.975996
34.000000,1403636893.201667,0.000000,0.784860,0.983400,0.000155,-0.002255,0.019436,0.873073,0.602910,-4.652816,-7.777655,-0.177913,-5.975996
35.000000,1403636894.201667,1.000000,0.500768,0.983400,0.000301,-0.002608,0.019956,8.476516,7.926391,4.465471,-2.965599,-8.318764,4.270772
36.000000,1403636895.201667,1.000000,0.188021,0.983400,-0.000823,0.001860,0.015746,9.793389,8.125856,0.304741,-1.991838,-9.603351,0.210561
37.000000,1403636896.201667,1.000000,0.214883,0.983400,-0.011353,0.008909,0.027501,-3.122517,6.017415,8.237574,-4.905158,3.357420,7.804054
38.000000,1403636897.201667,1.000000,0.000065,0.983400,0.050789,0.038887,-0.025459,5.488184,17.457201,0.037606,7.334362,-6.254189,1.824377
