# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403636859.201667,0.000000,0.000000,0.983400,0.106698,-0.125903,0.072881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1403636860.201667,1.000000,0.054761,0.983400,-0.027902,0.113768,-0.069012,6.490669,0.176927,4.910246,-9.237848,-5.702861,6.954069
2.000000,1403636861.201667,1.000000,0.152842,0.983400,-0.020576,0.072696,-0.060763,-15.816616,-1.367536,0.385899,-9.051865,16.187671,0.801003
3.000000,1403636862.201667,0.000000,0.152842,0.983400,0.058971,-0.174186,0.169709,-15.816616,-1.367536,0.385899,-9.051865,16.187671,0.801003
4.000000,1403636863.201667,0.000000,0.152842,0.983400,-0.015056,0.125561,-0.103273,-15.816616,-1.367536,0.385899,-9.051865,16.187671,0.801003
5.000000,1403636864.201667,1.000000,0.239771,0.983400,0.016330,-0.049162,0.024319,-10.832661,-1.642038,3.180069,-8.864314,11.539695,3.372504
6.000000,1403636865.201667,1.000000,0.060338,0.983400,-0.014371,-0.138894,0.171022,-21.569318,0.453150,2.456260,-10.035233,21.581862,0.785587
7.000000,1403636866.201667,0.000000,0.060338,0.983400,-0.027700,0.226336,-0.172902,-21.569318,0.453150,2.456260,-10.035233,21.581862,0.785587
8.000000,1403636867.201667,1.000000,0.809712,0.983400,0.002133,0.362308,-0.363653,-0.118922,-2.424190,-0.273380,-9.781585,0.202768,0.831044
9.000000,1403636868.201667,1.000000,0.285724,0.983400,-0.004336,-0.030713,0.054644,-1.019170,-3.256646,-0.550372,-9.859718,0.448363,0.578800
10.000000,1403636869.201667,1.000000,0.467917,0.983400,0.061066,-0.058280,-0.026449,-1.655284,-3.451486,5.142456,-9.601901,3.595245,4.595483
11.000000,1403636870.201667,1.000000,0.198269,0.983400,0.056632,-0.073493,-0.025112,8.739258,-4.176854,-6.227865,-10.089750,-10.656246,1.889262
12.000000,1403636871.201667,1.000000,0.718578,0.983400,-0.113490,0.089437,0.086706,-36.556161,-0.290399,14.342085,-10.650665,38.913566,-1.913737
13.000000,1403636872.201667,0.000000,0.718578,0.983400,0.013544,0.011393,0.003009,-36.556161,-0.290399,14.342085,-10.650665,38.913566,-1.913737
14.000000,1403636873.201667,1.000000,0.699268,0.983400,0.082271,-0.057992,-0.066171,-38.899091,4.826025,34.560894,-3.366239,51.676192,11.573903
15.000000,1403636874.201667,1.000000,0.145864,0.983400,-0.076028,0.002255,0.110234,-93.698567,1.641117,32.614239,-15.910220,97.037179,-16.061304
16.000000,1403636875.201667,0.000000,0.145864,0.983400,0.303209,-0.358557,-0.228172,-93.698567,1.641117,32.614239,-15.910220,97.037179,-16.061304
17.000000,1403636876.201667,1.000000,1.318285,0.983400,-0.186332,0.087776,0.332066,-10.260633,2.701546,15.671863,-1.388652,15.643477,14.037569
18.000000,1403636877.201667,0.000000,1.318285,0.983400,-0.176570,0.309603,-0.067912,-10.260633,2.701546,15.671863,-1.388652,15.643477,14.037569
19.000000,1403636878.201667,1.000000,1.103005,0.983400,0.273878,-0.381950,-0.054496,24.390695,-2.194127,-10.009141,-4.119439,-26.964601,7.100865
20.000000,1403636879.201667,1.000000,3.184293,0.983400,-0.299253,0.319406,0.175008,6.434836,-2.510346,34.513135,0.172417,5.886807,33.097970
21.000000,1403636880.201667,0.000000,3.184293,0.983400,0.093720,-0.158422,0.036550,6.434836,-2.510346,34.513135,0.172417,5.886807,33.097970
22.000000,1403636881.201667,1.000000,0.110396,0.983400,-0.029280,-0.006007,0.139626,16.353538,-0.995562,-19.515036,-9.421186,-22.178264,-12.617292
23.000000,1403636882.201667,1.000000,0.451457,0.983400,-0.271354,0.048196,0.328409,-13.580453,-0.466062,0.913660,-10.133956,13.264659,0.078002
24.000000,1403636883.201667,0.000000,0.451457,0.983400,-0.112883,0.009062,0.174603,-13.580453,-0.466062,0.913660,-10.133956,13.264659,0.078002
25.000000,1403636884.201667,0.000000,0.451457,0.983400,0.000557,-0.012677,0.030752,-13.580453,-0.466062,0.913660,-10.133956,13.264659,0.078002
26.000000,1403636885.201667,0.000000,0.451457,0.983400,0.000239,-0.003215,0.020398,-13.580453,-0.466062,0.913660,-10.133956,13.264659,0.078002
