# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403637133.088319,1.000000,0.532863,0.538155,-0.001731,0.021746,0.079817,-0.003715,0.334759,0.085917,0.764829,9.447424,2.529292
1.000000,1403637134.088319,1.000000,0.531273,0.538155,-0.002171,0.022846,0.075272,-0.058387,1.505053,-0.539093,1.920837,9.470288,1.691193
2.000000,1403637135.088319,1.000000,0.512387,0.538155,-0.001738,0.020603,0.079396,-0.405545,1.478017,-2.025073,1.658109,9.667037,0.187519
3.000000,1403637136.088319,1.000000,0.516352,0.538155,-0.001346,0.021849,0.076214,0.501913,-3.572871,-0.353264,-3.143277,8.904914,2.656769
4.000000,1403637137.088319,1.000000,0.560820,0.538155,-0.003755,0.024139,0.074051,1.255372,-3.865447,1.272601,-3.115396,8.213167,4.367413
5.000000,1403637138.088319,1.000000,0.513157,0.538155,-0.002041,0.021429,0.079365,0.257544,-3.795677,-1.857313,-3.563218,9.056937,1.229420
6.000000,1403637139.088319,1.000000,0.523309,0.538155,-0.001853,0.019772,0.076791,-0.025513,-0.667143,0.029104,-0.231306,9.480884,2.509071
7.000000,1403637149.088319,1.000000,0.516537,0.538155,-0.002766,0.022300,0.075123,4.505698,-9.110136,-4.145377,-8.727041,4.391744,-0.887384
8.000000,1403637149.088319,1.000000,0.516537,0.538155,-0.002766,0.022300,0.075123,4.505698,-9.110136,-4.145377,-8.727041,4.391744,-0.887384
9.000000,1403637149.088319,1.000000,0.516537,0.538155,-0.002766,0.022300,0.075123,4.505698,-9.110136,-4.145377,-8.727041,4.391744,-0.887384
10.000000,1403637149.088319,1.000000,0.516537,0.538155,-0.002766,0.022300,0.075123,4.505698,-9.110136,-4.145377,-8.727041,4.391744,-0.887384
11.000000,1403637149.088319,1.000000,0.516537,0.538155,-0.002766,0.022300,0.075123,4.505698,-9.110136,-4.145377,-8.727041,4.391744,-0.887384
12.000000,1403637149.088319,1.000000,0.516537,0.538155,-0.002766,0.022300,0.075123,4.505698,-9.110136,-4.145377,-8.727041,4.391744,-0.887384
13.000000,1403637149.088319,1.000000,0.516537,0.538155,-0.002766,0.022300,0.075123,4.505698,-9.110136,-4.145377,-8.727041,4.391744,-0.887384
14.000000,1403637149.088319,1.000000,0.516537,0.538155,-0.002766,0.022300,0.075123,4.505698,-9.110136,-4.145377,-8.727041,4.391744,-0.887384
15.000000,1403637149.088319,1.000000,0.516537,0.538155,-0.002766,0.022300,0.075123,4.505698,-9.110136,-4.145377,-8.727041,4.391744,-0.887384
16.000000,1403637149.088319,1.000000,0.516537,0.538155,-0.002766,0.022300,0.075123,4.505698,-9.110136,-4.145377,-8.727041,4.391744,-0.887384
17.000000,1403637152.088319,1.000000,0.521809,0.538155,-0.001862,0.020794,0.076518,15.861174,-2.714268,3.292016,-1.965184,-6.032273,7.482368
