# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403637133.088319,1.000000,0.534951,0.538155,-0.001733,0.021745,0.079818,0.022495,0.347439,0.206570,0.779777,9.421675,2.649639
1.000000,1403637134.088319,1.000000,0.527606,0.538155,-0.002027,0.022867,0.075213,-0.252817,2.685188,-0.780183,3.062971,9.644919,1.304393
2.000000,1403637135.088319,1.000000,0.514520,0.538155,-0.001669,0.020634,0.079392,-0.701762,2.699163,-1.957464,2.874875,9.978581,0.070634
3.000000,1403637136.088319,1.000000,0.508511,0.538155,-0.001369,0.021842,0.076190,-0.924645,6.322766,-2.588124,6.311046,10.134589,-1.098557
4.000000,1403637137.088319,1.000000,0.550444,0.538155,-0.003629,0.024117,0.073993,0.334659,-0.826869,1.208028,-0.158414,9.181210,3.761446
5.000000,1403637138.088319,1.000000,0.529158,0.538155,-0.001963,0.021432,0.079284,-0.450122,0.936962,-1.176612,1.217862,9.800476,1.077611
6.000000,1403637139.088319,1.000000,0.524053,0.538155,-0.001845,0.019773,0.076790,-0.047956,-0.716009,0.043607,-0.278089,9.502637,2.524869
7.000000,1403637149.088319,1.000000,0.563880,0.538155,-0.002746,0.022296,0.075192,0.028395,1.208085,-0.011084,1.652613,9.463110,2.324116
8.000000,1403637149.088319,1.000000,0.563880,0.538155,-0.002746,0.022296,0.075192,0.028395,1.208085,-0.011084,1.652613,9.463110,2.324116
9.000000,1403637149.088319,1.000000,0.563880,0.538155,-0.002746,0.022296,0.075192,0.028395,1.208085,-0.011084,1.652613,9.463110,2.324116
10.000000,1403637149.088319,1.000000,0.563880,0.538155,-0.002746,0.022296,0.075192,0.028395,1.208085,-0.011084,1.652613,9.463110,2.324116
11.000000,1403637149.088319,1.000000,0.563880,0.538155,-0.002746,0.022296,0.075192,0.028395,1.208085,-0.011084,1.652613,9.463110,2.324116
12.000000,1403637149.088319,1.000000,0.563880,0.538155,-0.002746,0.022296,0.075192,0.028395,1.208085,-0.011084,1.652613,9.463110,2.324116
13.000000,1403637149.088319,1.000000,0.563880,0.538155,-0.002746,0.022296,0.075192,0.028395,1.208085,-0.011084,1.652613,9.463110,2.324116
14.000000,1403637149.088319,1.000000,0.563880,0.538155,-0.002746,0.022296,0.075192,0.028395,1.208085,-0.011084,1.652613,9.463110,2.324116
15.000000,1403637149.088319,1.000000,0.563880,0.538155,-0.002746,0.022296,0.075192,0.028395,1.208085,-0.011084,1.652613,9.463110,2.324116
16.000000,1403637149.088319,1.000000,0.563880,0.538155,-0.002746,0.022296,0.075192,0.028395,1.208085,-0.011084,1.652613,9.463110,2.324116
17.000000,1403637152.088319,1.000000,0.505245,0.538155,-0.001821,0.020797,0.076505,-4.053589,-75.823403,-8.384395,-75.820871,13.560085,1.227366
18.000000,1403637152.088319,1.000000,0.505245,0.538155,-0.001821,0.020797,0.076505,-4.053589,-75.823403,-8.384395,-75.820871,13.560085,1.227366
19.000000,1403637152.088319,1.000000,0.505245,0.538155,-0.001821,0.020797,0.076505,-4.053589,-75.823403,-8.384395,-75.820871,13.560085,1.227366
20.000000,1403637153.088319,1.000000,0.547040,0.538155,-0.002062,0.021992,0.077238,-0.452409,-0.098985,-1.122067,0.263485,9.800152,1.262485
21.000000,1403637154.088319,1.000000,0.548533,0.538155,-0.001551,0.021263,0.076286,0.204898,-0.497318,0.695236,0.012612,9.314132,3.204164
22.000000,1403637155.088319,1.000000,0.490340,0.538155,-0.000926,0.019831,0.079203,-0.079015,0.726631,0.063647,1.152514,9.507662,2.243318
23.000000,1403637156.088319,1.000000,0.320709,0.538155,-0.000813,0.021443,0.080006,-0.580930,0.165898,-1.179971,-0.328330,9.727727,1.769145
24.000000,1403637157.088319,1.000000,0.491356,0.538155,-0.001074,0.020308,0.077874,-0.931897,-1.243688,-2.312439,-2.276586,9.712794,2.134035
25.000000,1403637159.088319,1.000000,0.472243,0.538155,-0.000258,0.021240,0.077452,-2.554103,3.228455,-7.268438,-5.343319,11.294657,-3.137182
26.000000,1403637159.088319,1.000000,0.472243,0.538155,-0.000258,0.021240,0.077452,-2.554103,3.228455,-7.268438,-5.343319,11.294657,-3.137182
27.000000,1403637160.088319,1.000000,0.486006,0.538155,0.000354,0.019852,0.078867,-0.061192,-0.292038,0.008875,0.679048,9.384472,2.791245
28.000000,1403637162.088319,1.000000,0.539124,0.538155,0.003853,0.020709,0.078187,-0.577465,2.536817,-2.891473,-2.853771,10.073604,1.012013
29.000000,1403637162.088319,1.000000,0.539124,0.538155,0.003853,0.020709,0.078187,-0.577465,2.536817,-2.891473,-2.853771,10.073604,1.012013
30.000000,1403637163.088319,1.000000,0.497188,0.538155,0.000510,0.019423,0.078489,0.029843,-0.976769,0.592338,1.895498,9.289904,2.788382
31.000000,1403637164.088319,1.000000,0.443696,0.538155,0.002494,0.022375,0.077657,0.082767,-0.176521,0.861428,1.534394,9.517180,2.013608
32.000000,1403637165.088319,1.000000,0.483587,0.538155,0.002168,0.023129,0.079149,-0.668894,-2.101565,-1.970793,1.393966,8.722745,5.142595
33.000000,1403637166.088319,1.000000,0.523471,0.538155,-0.001385,0.022713,0.077525,-0.513892,-0.459601,-1.509328,0.264235,9.138090,3.930550
34.000000,1403637167.088319,1.000000,0.523624,0.538155,-0.003450,0.017898,0.072898,2.021042,-1.253895,5.426483,5.294790,10.085726,-1.283789
35.000000,1403637168.088319,1.000000,0.511060,0.538155,-0.005942,0.022142,0.076744,0.626021,1.247089,2.149273,1.445990,10.035046,0.072600
36.000000,1403637169.088319,1.000000,0.458877,0.538155,-0.010752,0.022931,0.074043,-0.086473,-0.116087,-0.196110,0.608873,9.436483,2.621155
37.000000,1403637171.088319,1.000000,0.555778,0.538155,-0.003027,0.021398,0.076697,-0.277973,-2.272130,-1.820541,-2.188876,9.338345,3.531593
38.000000,1403637171.088319,1.000000,0.555778,0.538155,-0.003027,0.021398,0.076697,-0.277973,-2.272130,-1.820541,-2.188876,9.338345,3.531593
39.000000,1403637172.088319,1.000000,0.518267,0.538155,-0.002884,0.021711,0.073644,0.056433,0.779788,0.089881,1.110782,9.569020,2.008366
40.000000,1403637173.088319,1.000000,0.480525,0.538155,0.000082,0.018462,0.079837,0.175761,0.319517,0.343915,0.796892,9.489147,2.399054
41.000000,1403637174.088319,1.000000,0.547406,0.538155,-0.000752,0.022714,0.078960,-0.155539,-0.785289,-0.011878,0.630434,9.251314,3.294269
42.000000,1403637175.088319,1.000000,0.543514,0.538155,-0.001652,0.020198,0.080066,-0.392403,-1.773151,-0.603943,0.666952,8.961393,4.380493
43.000000,1403637176.088319,1.000000,0.268937,0.538155,-0.000243,0.022843,0.076230,-0.731158,-4.341225,-0.855240,1.694981,8.245282,6.726622
44.000000,1403637178.088319,1.000000,0.500610,0.538155,-0.004441,0.020082,0.077383,-0.073019,-1.966762,-0.984824,1.280734,8.932082,4.467905
45.000000,1403637178.088319,1.000000,0.500610,0.538155,-0.004441,0.020082,0.077383,-0.073019,-1.966762,-0.984824,1.280734,8.932082,4.467905
46.000000,1403637179.088319,1.000000,0.531931,0.538155,-0.004140,0.022005,0.075638,2.507769,-3.838021,7.015889,8.861078,9.377318,0.272182
47.000000,1403637180.088319,1.000000,0.602165,0.538155,-0.004180,0.022038,0.075625,0.190589,-1.004302,0.826472,1.979210,9.298193,2.751806
48.000000,1403637181.088319,1.000000,0.524225,0.538155,-0.005809,0.019934,0.078090,-1.748865,3.435042,-5.193618,-5.583246,9.563058,3.938280
49.000000,1403637182.088319,1.000000,0.591535,0.538155,-0.006954,0.017999,0.074792,0.084959,-4.681068,1.221456,4.753433,8.552098,4.858011
50.000000,1403637184.088319,1.000000,0.472343,0.538155,-0.002319,0.021451,0.074987,-3.542543,-9.903488,-7.566250,1.692349,5.853149,15.037385
51.000000,1403637184.088319,1.000000,0.472343,0.538155,-0.002319,0.021451,0.074987,-3.542543,-9.903488,-7.566250,1.692349,5.853149,15.037385
52.000000,1403637185.088319,1.000000,0.502079,0.538155,-0.001929,0.020643,0.078914,0.096508,-2.803900,0.239752,2.924753,8.838069,4.179029
53.000000,1403637186.088319,1.000000,0.595928,0.538155,0.000219,0.017802,0.077343,-3.119105,0.345365,-8.669425,-5.951396,8.365433,8.706186
54.000000,1403637187.088319,1.000000,0.310955,0.538155,-0.001044,0.022333,0.077242,-2.473800,-7.098507,-4.880715,2.249289,6.960831,11.176757
