# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403637133.088319,1.000000,0.534691,0.538155,-0.001733,0.021745,0.079818,0.032251,0.360233,0.205445,0.792732,9.412352,2.648739
1.000000,1403637134.088319,1.000000,0.530439,0.538155,-0.002027,0.022867,0.075213,-0.045107,1.607012,-0.539063,2.021878,9.451605,1.677869
2.000000,1403637135.088319,1.000000,0.515853,0.538155,-0.001669,0.020634,0.079392,-0.361560,1.527235,-1.816891,1.735253,9.647409,0.390512
3.000000,1403637136.088319,1.000000,0.510718,0.538155,-0.001369,0.021842,0.076190,-0.241467,2.164785,-1.753134,2.329553,9.521563,0.393614
4.000000,1403637137.088319,1.000000,0.561951,0.538155,-0.003629,0.024117,0.073993,1.175294,-3.528650,1.372046,-2.767831,8.313202,4.412016
5.000000,1403637138.088319,1.000000,0.528165,0.538155,-0.001963,0.021432,0.079284,-0.392725,0.189480,-1.328452,0.458697,9.742145,1.056550
6.000000,1403637139.088319,1.000000,0.524585,0.538155,-0.001845,0.019773,0.076790,-0.012591,-0.676020,0.068076,-0.234796,9.470181,2.548864
7.000000,1403637149.088319,1.000000,0.561647,0.538155,-0.002746,0.022296,0.075192,0.063442,1.093762,-0.080543,1.534847,9.420806,2.264553
8.000000,1403637149.088319,1.000000,0.561647,0.538155,-0.002746,0.022296,0.075192,0.063442,1.093762,-0.080543,1.534847,9.420806,2.264553
9.000000,1403637149.088319,1.000000,0.561647,0.538155,-0.002746,0.022296,0.075192,0.063442,1.093762,-0.080543,1.534847,9.420806,2.264553
10.000000,1403637149.088319,1.000000,0.561647,0.538155,-0.002746,0.022296,0.075192,0.063442,1.093762,-0.080543,1.534847,9.420806,2.264553
11.000000,1403637149.088319,1.000000,0.561647,0.538155,-0.002746,0.022296,0.075192,0.063442,1.093762,-0.080543,1.534847,9.420806,2.264553
12.000000,1403637149.088319,1.000000,0.561647,0.538155,-0.002746,0.022296,0.075192,0.063442,1.093762,-0.080543,1.534847,9.420806,2.264553
13.000000,1403637149.088319,1.000000,0.561647,0.538155,-0.002746,0.022296,0.075192,0.063442,1.093762,-0.080543,1.534847,9.420806,2.264553
14.000000,1403637149.088319,1.000000,0.561647,0.538155,-0.002746,0.022296,0.075192,0.063442,1.093762,-0.080543,1.534847,9.420806,2.264553
15.000000,1403637149.088319,1.000000,0.561647,0.538155,-0.002746,0.022296,0.075192,0.063442,1.093762,-0.080543,1.534847,9.420806,2.264553
16.000000,1403637149.088319,1.000000,0.561647,0.538155,-0.002746,0.022296,0.075192,0.063442,1.093762,-0.080543,1.534847,9.420806,2.264553
17.000000,1403637152.088319,1.000000,0.522271,0.538155,-0.001821,0.020797,0.076505,16.255348,-2.251729,3.050058,-1.527747,-6.454549,7.225874
18.000000,1403637152.088319,1.000000,0.522271,0.538155,-0.001821,0.020797,0.076505,16.255348,-2.251729,3.050058,-1.527747,-6.454549,7.225874
19.000000,1403637152.088319,1.000000,0.522271,0.538155,-0.001821,0.020797,0.076505,16.255348,-2.251729,3.050058,-1.527747,-6.454549,7.225874
