# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403637133.088319,1.000000,1.015915,1.024728,-0.001547,0.021762,0.079925,0.010496,0.360361,0.155425,0.794779,9.434693,2.596525
1.000000,1403637134.088319,1.000000,1.000836,1.024728,-0.002119,0.021284,0.075108,-0.184391,1.906743,-0.493706,2.319231,9.587842,1.684014
2.000000,1403637135.088319,1.000000,0.967430,1.024728,-0.001578,0.023246,0.079827,-0.657280,1.196380,-1.772505,1.408072,9.952427,0.451780
3.000000,1403637136.088319,1.000000,0.959785,1.024728,-0.001743,0.020786,0.075488,-0.947718,6.081958,-2.645252,6.069023,10.150817,-1.108263
4.000000,1403637137.088319,1.000000,1.030515,1.024728,-0.003490,0.023319,0.074334,0.118488,-1.132824,0.639642,-0.558338,9.335264,3.235997
5.000000,1403637138.088319,1.000000,1.003392,1.024728,-0.002022,0.021597,0.079149,-0.494880,0.466507,-1.285643,0.733244,9.834134,1.044208
6.000000,1403637139.088319,1.000000,0.999971,1.024728,-0.001761,0.019339,0.076855,-0.047272,-0.755146,0.049997,-0.316065,9.499396,2.544034
7.000000,1403637149.088319,1.000000,1.075563,1.024728,-0.002897,0.022361,0.075204,0.024552,1.171666,-0.015320,1.616991,9.462765,2.331965
8.000000,1403637149.088319,1.000000,1.075563,1.024728,-0.002897,0.022361,0.075204,0.024552,1.171666,-0.015320,1.616991,9.462765,2.331965
9.000000,1403637149.088319,1.000000,1.075563,1.024728,-0.002897,0.022361,0.075204,0.024552,1.171666,-0.015320,1.616991,9.462765,2.331965
10.000000,1403637149.088319,1.000000,1.075563,1.024728,-0.002897,0.022361,0.075204,0.024552,1.171666,-0.015320,1.616991,9.462765,2.331965
11.000000,1403637149.088319,1.000000,1.075563,1.024728,-0.002897,0.022361,0.075204,0.024552,1.171666,-0.015320,1.616991,9.462765,2.331965
12.000000,1403637149.088319,1.000000,1.075563,1.024728,-0.002897,0.022361,0.075204,0.024552,1.171666,-0.015320,1.616991,9.462765,2.331965
13.000000,1403637149.088319,1.000000,1.075563,1.024728,-0.002897,0.022361,0.075204,0.024552,1.171666,-0.015320,1.616991,9.462765,2.331965
14.000000,1403637149.088319,1.000000,1.075563,1.024728,-0.002897,0.022361,0.075204,0.024552,1.171666,-0.015320,1.616991,9.462765,2.331965
15.000000,1403637149.088319,1.000000,1.075563,1.024728,-0.002897,0.022361,0.075204,0.024552,1.171666,-0.015320,1.616991,9.462765,2.331965
16.000000,1403637149.088319,1.000000,1.075563,1.024728,-0.002897,0.022361,0.075204,0.024552,1.171666,-0.015320,1.616991,9.462765,2.331965
