# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403638128.395097,1.000000,0.937774,0.781972,-0.001908,0.019358,0.076198,0.958495,2.607999,2.188687,2.431239,8.067039,6.144140
1.000000,1403638129.395097,1.000000,0.956844,0.781972,-0.001803,0.022573,0.076520,0.108076,0.433563,0.255994,0.268117,8.887070,4.177165
2.000000,1403638130.395097,1.000000,0.715956,0.781972,-0.002026,0.021487,0.077208,-0.113036,8.094532,-2.395138,8.046070,9.824320,2.414214
3.000000,1403638131.395097,1.000000,0.938673,0.781972,-0.003286,0.020825,0.075544,0.520849,1.766524,1.214053,1.531296,8.448918,5.231952
4.000000,1403638132.395097,1.000000,0.976639,0.781972,0.000275,0.022011,0.078649,2.377933,6.387071,6.546197,5.420836,6.053584,10.919868
5.000000,1403638133.395097,1.000000,0.911112,0.781972,-0.001072,0.019823,0.076837,-0.206241,-2.956686,0.263269,-3.016695,8.753093,4.352236
6.000000,1403638134.395097,1.000000,0.948574,0.781972,-0.003116,0.021725,0.076114,-0.875116,1.246002,-2.306340,0.597016,10.036348,1.643912
7.000000,1403638136.395097,1.000000,0.706365,0.781972,-0.002097,0.022068,0.076013,-4.114652,-1.100790,-10.444329,-3.703352,13.252654,-5.806486
8.000000,1403638136.395097,1.000000,0.706365,0.781972,-0.002097,0.022068,0.076013,-4.114652,-1.100790,-10.444329,-3.703352,13.252654,-5.806486
9.000000,1403638137.395097,1.000000,1.043570,0.781972,-0.003574,0.020682,0.075308,0.543272,1.600586,1.282865,1.645787,8.572850,4.955014
10.000000,1403638142.395097,1.000000,0.138565,0.781972,-0.000922,0.020266,0.077691,0.265590,9.328769,0.776414,9.153474,9.459699,3.264461
11.000000,1403638142.395097,1.000000,0.138565,0.781972,-0.000922,0.020266,0.077691,0.265590,9.328769,0.776414,9.153474,9.459699,3.264461
12.000000,1403638142.395097,1.000000,0.138565,0.781972,-0.000922,0.020266,0.077691,0.265590,9.328769,0.776414,9.153474,9.459699,3.264461
13.000000,1403638142.395097,1.000000,0.138565,0.781972,-0.000922,0.020266,0.077691,0.265590,9.328769,0.776414,9.153474,9.459699,3.264461
14.000000,1403638142.395097,1.000000,0.138565,0.781972,-0.000922,0.020266,0.077691,0.265590,9.328769,0.776414,9.153474,9.459699,3.264461
15.000000,1403638147.395097,1.000000,1.017241,0.781972,-0.002144,0.021173,0.078166,-0.060167,11.642878,-0.036299,11.289068,9.998354,2.091983
16.000000,1403638147.395097,1.000000,1.017241,0.781972,-0.002144,0.021173,0.078166,-0.060167,11.642878,-0.036299,11.289068,9.998354,2.091983
17.000000,1403638147.395097,1.000000,1.017241,0.781972,-0.002144,0.021173,0.078166,-0.060167,11.642878,-0.036299,11.289068,9.998354,2.091983
18.000000,1403638147.395097,1.000000,1.017241,0.781972,-0.002144,0.021173,0.078166,-0.060167,11.642878,-0.036299,11.289068,9.998354,2.091983
19.000000,1403638147.395097,1.000000,1.017241,0.781972,-0.002144,0.021173,0.078166,-0.060167,11.642878,-0.036299,11.289068,9.998354,2.091983
20.000000,1403638148.395097,1.000000,1.034997,0.781972,-0.000993,0.020559,0.076637,1.854626,-4.353238,4.874817,-3.705225,6.553578,9.265528
21.000000,1403638149.395097,1.000000,0.552671,0.781972,-0.002820,0.022703,0.075667,0.635923,0.761814,2.755974,0.992895,7.891236,6.442637
22.000000,1403638150.395097,1.000000,0.707384,0.781972,-0.003457,0.022374,0.075795,-0.457796,-2.886638,-1.121957,-2.947831,9.484108,2.709499
23.000000,1403638153.395097,1.000000,1.008391,0.781972,-0.002726,0.019806,0.076469,-0.032251,0.026346,0.123907,-0.203081,8.981060,3.942979
24.000000,1403638153.395097,1.000000,1.008391,0.781972,-0.002726,0.019806,0.076469,-0.032251,0.026346,0.123907,-0.203081,8.981060,3.942979
25.000000,1403638153.395097,1.000000,1.008391,0.781972,-0.002726,0.019806,0.076469,-0.032251,0.026346,0.123907,-0.203081,8.981060,3.942979
26.000000,1403638154.395097,1.000000,0.928188,0.781972,-0.002764,0.020901,0.076281,0.584036,0.058840,1.719664,-1.354666,8.444278,5.135844
27.000000,1403638157.395097,1.000000,0.801615,0.781972,-0.001286,0.021841,0.074969,-0.082679,-0.289997,-0.134305,0.093217,9.168285,3.503843
28.000000,1403638157.395097,1.000000,0.801615,0.781972,-0.001286,0.021841,0.074969,-0.082679,-0.289997,-0.134305,0.093217,9.168285,3.503843
29.000000,1403638157.395097,1.000000,0.801615,0.781972,-0.001286,0.021841,0.074969,-0.082679,-0.289997,-0.134305,0.093217,9.168285,3.503843
30.000000,1403638159.395097,1.000000,0.593628,0.781972,-0.001349,0.021563,0.077268,1.849774,2.670065,4.486369,-5.076062,7.978505,6.135369
31.000000,1403638159.395097,1.000000,0.593628,0.781972,-0.001349,0.021563,0.077268,1.849774,2.670065,4.486369,-5.076062,7.978505,6.135369
32.000000,1403638160.395097,1.000000,0.949178,0.781972,-0.002055,0.021403,0.078864,0.090158,1.235228,0.480528,-0.499074,8.575812,4.912590
33.000000,1403638161.395097,1.000000,0.642204,0.781972,-0.002453,0.017095,0.078379,0.474190,-1.329879,1.712983,-2.209380,9.283209,3.176405
34.000000,1403638162.395097,1.000000,1.016985,0.781972,0.001377,0.019959,0.079695,0.481296,-0.818243,1.809520,-2.172690,8.982943,3.866035
35.000000,1403638163.395097,1.000000,0.751117,0.781972,-0.000147,0.020334,0.077396,-0.107925,6.837972,-1.267349,4.778074,7.208241,8.333923
36.000000,1403638164.395097,1.000000,0.975471,0.781972,0.000593,0.021604,0.077574,-0.588603,1.237402,-1.770060,2.078789,9.084480,3.735728
37.000000,1403638165.395097,1.000000,1.084767,0.781972,-0.001756,0.022204,0.077649,-0.233059,-3.848901,-0.236185,-2.477565,10.196200,1.051684
38.000000,1403638166.395097,1.000000,1.148804,0.781972,-0.000412,0.018706,0.075544,2.276884,-9.537709,6.255995,-11.392700,10.051516,1.170879
39.000000,1403638168.395097,1.000000,0.930040,0.781972,-0.000501,0.019320,0.077193,1.096275,5.889648,3.043348,3.177607,6.603223,9.339717
40.000000,1403638168.395097,1.000000,0.930040,0.781972,-0.000501,0.019320,0.077193,1.096275,5.889648,3.043348,3.177607,6.603223,9.339717
41.000000,1403638169.395097,1.000000,0.636156,0.781972,0.001761,0.021527,0.081278,-0.617817,0.111253,-2.285152,0.606874,9.786886,2.251912
42.000000,1403638171.395097,1.000000,1.083469,0.781972,-0.000391,0.020382,0.078658,-0.228954,0.044481,-0.413174,-0.252574,9.111212,3.655161
43.000000,1403638171.395097,1.000000,1.083469,0.781972,-0.000391,0.020382,0.078658,-0.228954,0.044481,-0.413174,-0.252574,9.111212,3.655161
44.000000,1403638172.395097,1.000000,0.786789,0.781972,0.002940,0.021315,0.078128,-0.000673,1.471982,0.353795,1.214140,8.946727,4.114415
45.000000,1403638173.395097,1.000000,0.535480,0.781972,0.003432,0.025175,0.075829,7.579936,25.839386,20.521854,32.120174,4.221059,13.891117
46.000000,1403638174.395097,1.000000,0.053315,0.781972,0.002793,0.025256,0.076789,-4.572073,-21.024296,-12.626371,-24.477545,10.862038,-0.995451
47.000000,1403638175.395097,1.000000,0.799198,0.781972,-0.000002,0.023179,0.077514,2.403566,-4.648884,4.500761,-2.324438,6.523851,9.633596
48.000000,1403638177.395097,1.000000,0.887458,0.781972,-0.001278,0.022325,0.076460,0.486355,-0.598433,1.426678,-0.028977,8.294749,5.486690
