# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403638523.127830,1.000000,0.573294,0.549512,-0.003679,0.022133,0.074905,-1.612278,-6.709830,-3.226195,-6.570220,10.540751,-0.171736
1.000000,1403638523.127830,1.000000,0.573294,0.549512,-0.003679,0.022133,0.074905,-1.612278,-6.709830,-3.226195,-6.570220,10.540751,-0.171736
2.000000,1403638524.127830,1.000000,0.160874,0.549512,0.000039,0.019510,0.080047,-6.401784,12.206903,-15.817997,13.777884,15.348445,-10.522756
3.000000,1403638525.127830,1.000000,0.462147,0.549512,-0.003853,0.021540,0.074195,-0.025791,2.164555,-0.249534,1.858751,9.119530,3.789520
4.000000,1403638526.127830,1.000000,0.557157,0.549512,-0.002254,0.020886,0.078176,0.072825,0.854706,0.194422,0.622109,8.978541,4.002270
5.000000,1403638528.127830,1.000000,0.528345,0.549512,-0.001439,0.019631,0.076293,0.312118,4.561778,0.430353,4.335063,9.092516,3.958069
6.000000,1403638528.127830,1.000000,0.528345,0.549512,-0.001439,0.019631,0.076293,0.312118,4.561778,0.430353,4.335063,9.092516,3.958069
7.000000,1403638529.127830,1.000000,0.544183,0.549512,-0.002372,0.021602,0.075994,-0.478260,1.472873,-0.933166,1.140876,9.546729,2.664636
8.000000,1403638530.127830,1.000000,0.584647,0.549512,-0.002821,0.019379,0.078265,0.052268,0.260856,0.211845,0.080829,8.993059,3.932833
9.000000,1403638531.127830,1.000000,0.733616,0.549512,-0.002045,0.020391,0.077917,1.463044,17.887346,3.607510,18.063752,9.060140,4.799807
10.000000,1403638538.127830,1.000000,0.204333,0.549512,-0.002266,0.021150,0.076858,5.393076,23.058463,12.538069,24.745948,5.753229,12.958192
11.000000,1403638538.127830,1.000000,0.204333,0.549512,-0.002266,0.021150,0.076858,5.393076,23.058463,12.538069,24.745948,5.753229,12.958192
12.000000,1403638538.127830,1.000000,0.204333,0.549512,-0.002266,0.021150,0.076858,5.393076,23.058463,12.538069,24.745948,5.753229,12.958192
13.000000,1403638538.127830,1.000000,0.204333,0.549512,-0.002266,0.021150,0.076858,5.393076,23.058463,12.538069,24.745948,5.753229,12.958192
14.000000,1403638538.127830,1.000000,0.204333,0.549512,-0.002266,0.021150,0.076858,5.393076,23.058463,12.538069,24.745948,5.753229,12.958192
15.000000,1403638538.127830,1.000000,0.204333,0.549512,-0.002266,0.021150,0.076858,5.393076,23.058463,12.538069,24.745948,5.753229,12.958192
16.000000,1403638538.127830,1.000000,0.204333,0.549512,-0.002266,0.021150,0.076858,5.393076,23.058463,12.538069,24.745948,5.753229,12.958192
17.000000,1403638540.127830,1.000000,0.081863,0.549512,-0.003085,0.023802,0.076784,0.439512,-1.055043,1.526471,-0.953718,8.520401,5.116550
18.000000,1403638540.127830,1.000000,0.081863,0.549512,-0.003085,0.023802,0.076784,0.439512,-1.055043,1.526471,-0.953718,8.520401,5.116550
19.000000,1403638541.127830,1.000000,0.526149,0.549512,-0.002655,0.022719,0.077236,0.262382,-0.486406,0.677031,-0.811770,8.850522,4.244395
20.000000,1403638543.127830,1.000000,0.514647,0.549512,-0.003299,0.020542,0.074258,-0.110408,0.575480,-0.141032,0.389041,9.010621,3.905760
21.000000,1403638543.127830,1.000000,0.514647,0.549512,-0.003299,0.020542,0.074258,-0.110408,0.575480,-0.141032,0.389041,9.010621,3.905760
22.000000,1403638544.127830,1.000000,0.429082,0.549512,-0.001436,0.020964,0.077023,0.288600,0.282545,0.952430,-0.779515,8.793106,4.401859
23.000000,1403638545.127830,1.000000,0.541827,0.549512,-0.003222,0.021798,0.075583,-0.261397,-0.060332,-0.643974,0.416247,9.255799,3.297939
24.000000,1403638546.127830,1.000000,0.564039,0.549512,-0.001888,0.021841,0.075552,-0.232161,-0.680254,-0.695087,0.461838,9.437532,2.820367
25.000000,1403638547.127830,1.000000,0.505140,0.549512,-0.002791,0.020395,0.076202,-2.094798,1.608394,-5.102361,5.678996,9.049681,3.880869
26.000000,1403638548.127830,1.000000,0.387516,0.549512,-0.001612,0.020981,0.075275,-0.170172,-0.344020,-0.555307,0.419704,9.257940,3.286818
27.000000,1403638549.127830,1.000000,0.508110,0.549512,-0.000862,0.020059,0.076400,5.779659,-7.535214,15.377828,-16.822763,11.541943,-2.576960
28.000000,1403638550.127830,1.000000,0.451150,0.549512,-0.001359,0.017196,0.078059,1.988016,13.065301,4.865064,-4.658603,4.190897,15.974938
29.000000,1403638552.127830,1.000000,0.405399,0.549512,-0.001374,0.020300,0.076980,-1.144601,-2.282475,-2.568362,1.366770,10.344464,0.664175
30.000000,1403638552.127830,1.000000,0.405399,0.549512,-0.001374,0.020300,0.076980,-1.144601,-2.282475,-2.568362,1.366770,10.344464,0.664175
31.000000,1403638553.127830,1.000000,0.613155,0.549512,0.000853,0.022201,0.077642,-0.737926,1.856772,-2.281056,2.645960,8.828243,4.553642
