# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403638523.127830,1.000000,0.994980,0.850247,-0.003603,0.022062,0.075074,-0.000101,0.000005,0.000036,-0.224871,9.055059,3.767153
1.000000,1403638523.127830,1.000000,0.994980,0.850247,-0.003603,0.022062,0.075074,-0.000101,0.000005,0.000036,-0.224871,9.055059,3.767153
2.000000,1403638524.127830,1.000000,0.965519,0.850247,-0.000043,0.020857,0.078958,-0.000033,0.000003,0.000014,-0.286856,9.058991,3.753464
3.000000,1403638525.127830,1.000000,0.836956,0.850247,-0.003698,0.019935,0.075120,0.000074,0.000001,-0.000031,-0.358059,9.059477,3.746167
4.000000,1403638526.127830,1.000000,0.989936,0.850247,-0.002905,0.021039,0.077953,-0.000047,0.000002,0.000018,-0.233556,9.043349,3.794653
5.000000,1403638528.127830,1.000000,0.939521,0.850247,-0.001332,0.019856,0.076193,0.000004,0.000005,-0.000001,-0.285989,9.000391,3.891949
6.000000,1403638528.127830,1.000000,0.939521,0.850247,-0.001332,0.019856,0.076193,0.000004,0.000005,-0.000001,-0.285989,9.000391,3.891949
7.000000,1403638529.127830,1.000000,1.019830,0.850247,-0.002040,0.021082,0.076225,-0.000070,-0.000000,0.000029,-0.176396,9.047806,3.787109
8.000000,1403638530.127830,1.000000,0.884874,0.850247,-0.002773,0.019244,0.078473,-0.000042,0.000000,0.000019,-0.201368,9.046102,3.789932
9.000000,1403638531.127830,1.000000,0.773292,0.850247,-0.002025,0.020386,0.077897,-0.000066,-0.000000,0.000029,-0.216545,9.046230,3.788791
10.000000,1403638538.127830,1.000000,0.854444,0.850247,-0.002278,0.021160,0.076736,0.000011,-0.000000,-0.000004,-0.210212,9.027324,3.833971
11.000000,1403638538.127830,1.000000,0.854444,0.850247,-0.002278,0.021160,0.076736,0.000011,-0.000000,-0.000004,-0.210212,9.027324,3.833971
12.000000,1403638538.127830,1.000000,0.854444,0.850247,-0.002278,0.021160,0.076736,0.000011,-0.000000,-0.000004,-0.210212,9.027324,3.833971
13.000000,1403638538.127830,1.000000,0.854444,0.850247,-0.002278,0.021160,0.076736,0.000011,-0.000000,-0.000004,-0.210212,9.027324,3.833971
14.000000,1403638538.127830,1.000000,0.854444,0.850247,-0.002278,0.021160,0.076736,0.000011,-0.000000,-0.000004,-0.210212,9.027324,3.833971
15.000000,1403638538.127830,1.000000,0.854444,0.850247,-0.002278,0.021160,0.076736,0.000011,-0.000000,-0.000004,-0.210212,9.027324,3.833971
16.000000,1403638538.127830,1.000000,0.854444,0.850247,-0.002278,0.021160,0.076736,0.000011,-0.000000,-0.000004,-0.210212,9.027324,3.833971
17.000000,1403638540.127830,1.000000,0.409310,0.850247,-0.003235,0.024029,0.077417,-0.000139,-0.000007,0.000067,-0.029197,9.109819,3.639567
18.000000,1403638540.127830,1.000000,0.409310,0.850247,-0.003235,0.024029,0.077417,-0.000139,-0.000007,0.000067,-0.029197,9.109819,3.639567
19.000000,1403638541.127830,1.000000,0.894123,0.850247,-0.002071,0.022277,0.077060,0.000046,-0.000004,-0.000021,-0.171069,9.070224,3.733345
20.000000,1403638543.127830,1.000000,0.786207,0.850247,-0.003348,0.020278,0.074184,-0.000024,0.000016,0.000026,-0.093005,9.094583,3.676413
21.000000,1403638543.127830,1.000000,0.786207,0.850247,-0.003348,0.020278,0.074184,-0.000024,0.000016,0.000026,-0.093005,9.094583,3.676413
22.000000,1403638544.127830,1.000000,1.034469,0.850247,-0.001553,0.021262,0.077075,-0.000053,-0.000002,0.000021,-0.084651,9.140316,3.561398
23.000000,1403638545.127830,1.000000,0.984871,0.850247,-0.003252,0.021587,0.075719,-0.000018,-0.000001,-0.000000,-0.148300,9.095759,3.671685
24.000000,1403638546.127830,1.000000,1.060686,0.850247,-0.001760,0.022018,0.075485,0.000028,-0.000000,-0.000011,-0.051097,9.117043,3.621191
25.000000,1403638547.127830,1.000000,0.779299,0.850247,-0.002693,0.020403,0.076210,-0.000173,-0.000003,0.000065,-0.003871,9.085936,3.698900
26.000000,1403638548.127830,1.000000,0.821278,0.850247,-0.002099,0.021079,0.075335,0.000055,0.000003,-0.000021,-0.166975,9.112055,3.630244
27.000000,1403638549.127830,1.000000,0.753642,0.850247,-0.001582,0.021127,0.076558,0.000071,-0.000001,-0.000025,0.045510,9.100263,3.663229
28.000000,1403638550.127830,1.000000,0.628290,0.850247,-0.000469,0.019212,0.077568,-0.000334,0.000008,0.000122,-0.103147,9.122798,3.605553
29.000000,1403638552.127830,1.000000,0.982766,0.850247,-0.001240,0.020148,0.076963,-0.000108,0.000006,0.000033,-0.229728,9.120237,3.606189
30.000000,1403638552.127830,1.000000,0.982766,0.850247,-0.001240,0.020148,0.076963,-0.000108,0.000006,0.000033,-0.229728,9.120237,3.606189
31.000000,1403638553.127830,1.000000,0.960296,0.850247,0.000808,0.022230,0.077624,-0.000129,0.000002,0.000037,-0.334185,9.085842,3.684006
32.000000,1403638554.127830,1.000000,0.882792,0.850247,0.001081,0.021321,0.076470,-0.000192,0.000003,0.000065,-0.112837,9.093775,3.677856
33.000000,1403638555.127830,1.000000,0.999922,0.850247,0.000075,0.020926,0.076997,-0.000015,-0.000001,0.000006,-0.203215,9.088822,3.686206
34.000000,1403638556.127830,1.000000,0.676100,0.850247,0.000155,0.020589,0.076760,0.000059,-0.000005,-0.000022,-0.100974,9.121940,3.607785
35.000000,1403638557.127830,1.000000,0.947070,0.850247,-0.001244,0.020905,0.076965,-0.000151,0.000002,0.000055,-0.135191,9.077602,3.716849
36.000000,1403638558.127830,1.000000,0.993042,0.850247,0.001566,0.019048,0.077521,-0.000052,0.000003,0.000021,-0.086888,9.088608,3.691309
37.000000,1403638559.127830,1.000000,0.863502,0.850247,0.000214,0.020148,0.077167,-0.000131,-0.000000,0.000051,-0.171932,9.039452,3.807210
38.000000,1403638560.127830,1.000000,0.861399,0.850247,-0.000903,0.020187,0.081072,-0.000111,0.000017,0.000059,-0.294639,9.034216,3.812117
39.000000,1403638561.127830,1.000000,0.762376,0.850247,-0.001764,0.023211,0.076322,-0.000191,-0.000003,0.000062,-0.356432,8.994658,3.899383
40.000000,1403638564.127830,1.000000,1.030840,0.850247,-0.000206,0.021774,0.075560,-0.000162,0.000012,0.000046,-0.282519,8.991852,3.911891
