# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403715528.462143,1.000000,0.496805,0.591527,-0.005925,0.017030,0.075029,-0.000032,-0.000001,0.000011,-0.542099,9.271187,3.160272
1.000000,1403715529.462143,1.000000,0.500638,0.591527,-0.003176,0.017060,0.075767,-0.000081,-0.000002,0.000030,-0.574735,9.275043,3.143145
2.000000,1403715530.462143,1.000000,0.553487,0.591527,-0.001472,0.019320,0.074815,-0.000005,-0.000002,-0.000000,-0.575310,9.263499,3.176900
3.000000,1403715531.462143,1.000000,0.538690,0.591527,-0.005272,0.021746,0.077471,-0.000087,0.000001,0.000027,-0.543445,9.282074,3.127917
4.000000,1403715532.462143,1.000000,0.469260,0.591527,0.003480,0.020787,0.077108,-0.000125,0.000007,0.000045,-0.697120,9.259375,3.164505
5.000000,1403715533.462143,1.000000,0.503250,0.591527,-0.001656,0.022056,0.076038,-0.000073,0.000009,0.000026,-0.614818,9.268877,3.153730
6.000000,1403715535.462143,1.000000,0.486384,0.591527,-0.003003,0.019784,0.078128,-0.000001,0.000007,-0.000002,-0.520585,9.273441,3.157274
7.000000,1403715535.462143,1.000000,0.486384,0.591527,-0.003003,0.019784,0.078128,-0.000001,0.000007,-0.000002,-0.520585,9.273441,3.157274
8.000000,1403715536.462143,1.000000,0.493691,0.591527,-0.003625,0.024748,0.076328,-0.000013,-0.000001,0.000015,-0.466276,9.244686,3.248764
9.000000,1403715537.462143,1.000000,0.461718,0.591527,0.002789,0.016035,0.076115,-0.000147,0.000007,0.000039,-0.583901,9.245001,3.228796
10.000000,1403715538.462143,1.000000,0.453312,0.591527,0.001412,0.021461,0.076030,-0.000072,0.000009,0.000025,-0.527774,9.219975,3.309020
11.000000,1403715539.462143,1.000000,0.474206,0.591527,-0.000757,0.020256,0.077108,0.000002,0.000004,-0.000003,-0.571646,9.212707,3.321950
12.000000,1403715540.462143,1.000000,0.527489,0.591527,-0.001498,0.021123,0.077555,-0.000072,0.000007,0.000032,-0.436962,9.215169,3.335540
13.000000,1403715541.462143,1.000000,0.514762,0.591527,-0.006838,0.020228,0.076059,0.000000,-0.000015,-0.000006,-0.422064,9.219407,3.325733
14.000000,1403715542.462143,1.000000,0.458286,0.591527,0.000637,0.019920,0.076727,-0.000110,0.000004,0.000029,-0.426952,9.201834,3.373436
