# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403715528.462143,1.000000,0.533774,0.591527,-0.005989,0.017008,0.074941,-0.015527,-0.775398,0.054276,-1.327540,9.217744,3.180070
1.000000,1403715529.462143,1.000000,0.521668,0.591527,-0.003192,0.017091,0.075765,0.011684,0.078160,0.236799,-0.560864,9.199349,3.369244
2.000000,1403715530.462143,1.000000,0.509004,0.591527,-0.001725,0.019287,0.074943,-0.237599,0.246525,-0.489484,-0.157617,9.432453,2.757560
3.000000,1403715531.462143,1.000000,0.546794,0.591527,-0.005345,0.021717,0.077514,0.850055,-3.456886,3.046992,-4.962161,8.553313,4.500016
4.000000,1403715532.462143,1.000000,0.495243,0.591527,0.003492,0.020424,0.076808,0.189878,-1.010450,1.280189,-2.052991,8.913528,3.891373
5.000000,1403715533.462143,1.000000,0.498676,0.591527,-0.001539,0.021786,0.076124,0.834339,0.521336,2.430909,-0.425788,8.432618,5.640291
6.000000,1403715535.462143,1.000000,0.476948,0.591527,-0.002844,0.019942,0.078085,0.091387,0.743537,0.243399,0.251441,9.274706,3.286770
7.000000,1403715535.462143,1.000000,0.476948,0.591527,-0.002844,0.019942,0.078085,0.091387,0.743537,0.243399,0.251441,9.274706,3.286770
8.000000,1403715536.462143,1.000000,0.488336,0.591527,-0.003840,0.024772,0.076416,0.355755,-1.128738,0.677589,-1.591772,8.939973,3.947666
9.000000,1403715537.462143,1.000000,0.449490,0.591527,0.002923,0.015984,0.076025,-0.356727,0.691290,-1.020518,0.070665,9.639940,2.233668
10.000000,1403715538.462143,1.000000,0.433013,0.591527,0.001168,0.021311,0.076294,-0.038013,0.070664,0.168526,-0.390219,9.184498,3.428247
11.000000,1403715539.462143,1.000000,0.482855,0.591527,-0.001007,0.020370,0.076989,-1.552115,9.076087,-4.848134,0.391617,12.782359,-6.397000
12.000000,1403715540.462143,1.000000,0.483172,0.591527,-0.001443,0.021089,0.077510,0.216305,3.556019,0.181384,1.680448,10.271999,0.696348
13.000000,1403715541.462143,1.000000,0.508945,0.591527,-0.006318,0.020104,0.075810,0.185257,-1.225630,0.161872,-0.947837,8.822943,4.351364
14.000000,1403715542.462143,1.000000,0.405363,0.591527,0.000576,0.019865,0.076688,-0.708197,2.246232,-2.129645,0.086936,10.288594,0.493502
15.000000,1403715543.462143,1.000000,0.482655,0.591527,0.002592,0.023337,0.076019,-0.307407,0.202891,-1.032157,-1.026198,9.505997,2.448436
16.000000,1403715544.462143,1.000000,0.505289,0.591527,-0.002413,0.018222,0.076712,-0.079149,1.102906,0.007951,-0.187002,9.597171,2.302935
17.000000,1403715545.462143,1.000000,0.557638,0.591527,-0.006163,0.020859,0.075246,0.047551,-0.259437,0.310742,-0.143945,9.146023,3.569656
18.000000,1403715546.462143,1.000000,0.499975,0.591527,-0.003894,0.023836,0.069465,-0.036528,0.183577,0.043571,-0.342660,9.254985,3.240140
19.000000,1403715547.462143,1.000000,0.452942,0.591527,-0.003317,0.019375,0.074035,-0.170173,-0.445840,-0.172210,-0.842240,9.390110,2.759958
20.000000,1403715548.462143,1.000000,0.397607,0.591527,-0.006014,0.016017,0.075483,-0.819724,-6.152728,-2.745129,-5.234918,10.573327,-1.503735
21.000000,1403715549.462143,1.000000,0.512450,0.591527,-0.001482,0.013926,0.078410,0.236039,1.231577,0.355200,0.555584,9.064530,3.943859
22.000000,1403715550.462143,1.000000,0.482923,0.591527,-0.000631,0.015953,0.080440,-0.092487,0.176262,-0.120444,-0.510077,9.269074,3.179826
23.000000,1403715552.462143,1.000000,0.116613,0.591527,0.000303,0.018568,0.085524,-0.035869,-0.321912,0.558430,1.750609,9.055891,3.519895
24.000000,1403715552.462143,1.000000,0.116613,0.591527,0.000303,0.018568,0.085524,-0.035869,-0.321912,0.558430,1.750609,9.055891,3.519895
25.000000,1403715554.462143,1.000000,0.496826,0.591527,-0.003563,0.017499,0.072221,0.376209,-0.241218,1.067064,0.207811,9.573062,2.424964
26.000000,1403715554.462143,1.000000,0.496826,0.591527,-0.003563,0.017499,0.072221,0.376209,-0.241218,1.067064,0.207811,9.573062,2.424964
27.000000,1403715555.462143,1.000000,0.484828,0.591527,-0.003526,0.019732,0.076308,-0.707674,0.998387,-2.096359,-1.922155,8.578590,4.982746
28.000000,1403715556.462143,1.000000,0.522849,0.591527,-0.001937,0.021951,0.073217,-0.244891,-1.249722,-0.533612,0.634297,8.911696,4.277441
29.000000,1403715557.462143,1.000000,0.480575,0.591527,-0.002538,0.018916,0.079841,-1.041533,0.730449,-2.448426,-1.908278,8.408929,5.418804
30.000000,1403715558.462143,1.000000,0.646668,0.591527,-0.003202,0.023177,0.076994,-0.446723,0.758354,-1.486154,-1.594924,8.647972,4.716626
31.000000,1403715559.462143,1.000000,0.457988,0.591527,-0.005553,0.020725,0.070647,0.124951,0.314621,0.467994,-0.250526,9.403840,2.840977
32.000000,1403715560.462143,1.000000,0.347475,0.591527,-0.003868,0.022595,0.072374,0.038447,-0.162285,0.243935,-0.254672,9.177693,3.468496
33.000000,1403715561.462143,1.000000,0.577718,0.591527,-0.005472,0.022222,0.075665,-0.132737,0.247892,-0.190979,-0.767500,9.266273,3.147747
34.000000,1403715563.462143,1.000000,0.508296,0.591527,-0.005690,0.022716,0.068357,0.007987,0.285221,-0.084778,-0.403427,9.272819,3.189349
35.000000,1403715563.462143,1.000000,0.508296,0.591527,-0.005690,0.022716,0.068357,0.007987,0.285221,-0.084778,-0.403427,9.272819,3.189349
36.000000,1403715564.462143,1.000000,0.493256,0.591527,-0.000800,0.020894,0.071132,-0.131270,0.572086,-0.113319,-0.040360,9.192925,3.472185
37.000000,1403715565.462143,1.000000,0.284450,0.591527,-0.003549,0.024214,0.071004,-0.147691,0.381534,-0.529764,-0.373488,9.153587,3.540376
38.000000,1403715566.462143,1.000000,0.382414,0.591527,0.001399,0.026016,0.067712,-0.283360,0.394712,-0.495933,-0.600900,9.068422,3.734679
39.000000,1403715567.462143,1.000000,0.477041,0.591527,-0.002778,0.019237,0.066683,-0.122702,0.037469,0.067381,-0.339708,9.209532,3.362550
40.000000,1403715568.462143,1.000000,0.150512,0.591527,-0.004375,0.018895,0.070362,-0.162752,0.708182,-0.778838,-0.233417,9.538854,2.492428
41.000000,1403715570.462143,1.000000,0.446213,0.591527,-0.001635,0.022429,0.072536,-0.150037,0.420515,-0.230750,-0.105564,9.166474,3.524367
42.000000,1403715570.462143,1.000000,0.446213,0.591527,-0.001635,0.022429,0.072536,-0.150037,0.420515,-0.230750,-0.105564,9.166474,3.524367
43.000000,1403715572.462143,1.000000,0.644866,0.591527,-0.004950,0.023540,0.071567,0.023487,0.318400,0.461070,-0.766163,9.165375,3.446695
44.000000,1403715572.462143,1.000000,0.644866,0.591527,-0.004950,0.023540,0.071567,0.023487,0.318400,0.461070,-0.766163,9.165375,3.446695
45.000000,1403715575.462143,1.000000,0.691808,0.591527,-0.004287,0.018185,0.075652,-0.233531,0.442004,-0.444094,-0.290868,9.028519,3.882662
46.000000,1403715575.462143,1.000000,0.691808,0.591527,-0.004287,0.018185,0.075652,-0.233531,0.442004,-0.444094,-0.290868,9.028519,3.882662
47.000000,1403715575.462143,1.000000,0.691808,0.591527,-0.004287,0.018185,0.075652,-0.233531,0.442004,-0.444094,-0.290868,9.028519,3.882662
48.000000,1403715576.462143,1.000000,0.616206,0.591527,-0.003752,0.020752,0.076271,-0.332857,1.910897,-1.166172,-1.349875,8.562504,5.130412
49.000000,1403715577.462143,1.000000,0.602635,0.591527,0.004286,0.020170,0.075213,-0.043650,0.411739,-0.074183,-0.610954,9.153612,3.500084
50.000000,1403715578.462143,1.000000,0.608978,0.591527,-0.003165,0.023376,0.079164,0.023080,-0.576818,0.088866,-0.221720,9.479771,2.582851
51.000000,1403715580.462143,1.000000,0.627145,0.591527,-0.005944,0.020312,0.076610,0.155009,0.400548,0.391006,-0.881556,9.102213,3.599363
52.000000,1403715580.462143,1.000000,0.627145,0.591527,-0.005944,0.020312,0.076610,0.155009,0.400548,0.391006,-0.881556,9.102213,3.599363
53.000000,1403715581.462143,1.000000,0.586270,0.591527,-0.001358,0.025629,0.075444,0.051031,-0.311002,0.299231,-0.542257,9.402822,2.776647
54.000000,1403715582.462143,1.000000,0.609962,0.591527,-0.003934,0.014590,0.077627,-0.281581,-0.783002,-0.549152,0.550734,9.437851,2.800423
55.000000,1403715583.462143,1.000000,0.591039,0.591527,0.000594,0.026136,0.073955,-0.312103,-4.708033,0.487058,1.541543,10.729854,-0.926664
56.000000,1403715584.462143,1.000000,0.613200,0.591527,-0.002335,0.022680,0.073696,-0.554412,-1.103307,-0.954908,1.159933,9.470478,2.768808
57.000000,1403715585.462143,1.000000,0.648260,0.591527,-0.002681,0.017736,0.080165,-0.296361,2.155515,-0.454473,-0.982629,8.610660,5.099714
58.000000,1403715586.462143,1.000000,0.523600,0.591527,-0.003364,0.020698,0.074335,2.064554,-12.078066,5.996083,-0.000486,13.666184,-9.767234
59.000000,1403715587.462143,1.000000,0.594586,0.591527,0.003354,0.019832,0.080216,-0.156224,0.177249,-0.590329,0.104729,9.193300,3.473388
60.000000,1403715588.462143,1.000000,0.539079,0.591527,-0.000956,0.021271,0.075623,-0.111506,-0.518186,-0.320587,-0.360114,9.478184,2.584266
61.000000,1403715589.462143,1.000000,0.607822,0.591527,-0.005558,0.021291,0.079969,-0.330283,7.200676,0.165458,4.522571,7.882810,8.081992
62.000000,1403715590.462143,1.000000,0.514476,0.591527,-0.006087,0.024093,0.072580,-0.014497,-0.006400,0.190622,-0.599241,9.233718,3.262918
63.000000,1403715591.462143,1.000000,0.569856,0.591527,-0.004297,0.016631,0.075078,0.242496,0.050139,0.584107,-0.895165,9.368260,2.838892
64.000000,1403715592.462143,1.000000,0.533054,0.591527,-0.006306,0.020665,0.074923,-0.154698,0.141279,-0.245818,-0.503159,9.138198,3.548317
65.000000,1403715594.462143,1.000000,0.581937,0.591527,-0.006517,0.022274,0.071663,-0.121781,0.239866,-0.072114,-0.627823,9.286000,3.115798
66.000000,1403715594.462143,1.000000,0.581937,0.591527,-0.006517,0.022274,0.071663,-0.121781,0.239866,-0.072114,-0.627823,9.286000,3.115798
67.000000,1403715595.462143,1.000000,0.583036,0.591527,-0.002188,0.026828,0.073463,0.020294,-0.251281,0.114362,-0.620591,9.101100,3.618063
68.000000,1403715596.462143,1.000000,0.598308,0.591527,-0.003672,0.016094,0.075669,0.121579,0.006385,0.244583,-0.526308,9.151485,3.506875
69.000000,1403715597.462143,1.000000,0.484726,0.591527,-0.003333,0.018783,0.076472,-0.006214,-0.215640,0.368733,-0.917251,9.061544,3.668039
70.000000,1403715598.462143,1.000000,0.609683,0.591527,-0.000774,0.023046,0.073828,0.101311,6.248418,0.431820,5.557237,9.338512,4.155940
71.000000,1403715600.462143,1.000000,0.534122,0.591527,-0.002476,0.020423,0.073314,0.037995,0.138314,-0.159239,-0.373027,9.281886,3.158027
72.000000,1403715600.462143,1.000000,0.534122,0.591527,-0.002476,0.020423,0.073314,0.037995,0.138314,-0.159239,-0.373027,9.281886,3.158027
