# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403715528.462143,1.000000,0.490139,0.591527,-0.005989,0.017008,0.074941,-0.000009,-0.000000,0.000003,-0.536742,9.270430,3.163407
1.000000,1403715529.462143,1.000000,0.494372,0.591527,-0.003192,0.017091,0.075765,-0.000021,-0.000001,0.000008,-0.570979,9.274314,3.145980
2.000000,1403715530.462143,1.000000,0.545010,0.591527,-0.001725,0.019287,0.074943,-0.000009,-0.000000,0.000003,-0.570715,9.264151,3.175828
3.000000,1403715531.462143,1.000000,0.545799,0.591527,-0.005345,0.021717,0.077514,-0.000026,0.000000,0.000008,-0.541322,9.283373,3.124428
4.000000,1403715532.462143,1.000000,0.475201,0.591527,0.003492,0.020424,0.076808,-0.000037,0.000002,0.000015,-0.677354,9.262869,3.158569
5.000000,1403715533.462143,1.000000,0.503563,0.591527,-0.001539,0.021786,0.076124,-0.000031,0.000003,0.000011,-0.613706,9.266751,3.160188
6.000000,1403715535.462143,1.000000,0.525847,0.591527,-0.002844,0.019942,0.078085,-0.000007,0.000001,0.000003,-0.549232,9.258831,3.195073
7.000000,1403715535.462143,1.000000,0.525847,0.591527,-0.002844,0.019942,0.078085,-0.000007,0.000001,0.000003,-0.549232,9.258831,3.195073
8.000000,1403715536.462143,1.000000,0.496693,0.591527,-0.003840,0.024772,0.076416,-0.000005,-0.000000,0.000004,-0.487780,9.248220,3.235521
9.000000,1403715537.462143,1.000000,0.462058,0.591527,0.002923,0.015984,0.076025,-0.000047,0.000002,0.000012,-0.575149,9.243133,3.235706
10.000000,1403715538.462143,1.000000,0.460690,0.591527,0.001168,0.021311,0.076294,-0.000026,0.000003,0.000013,-0.520106,9.218135,3.315355
11.000000,1403715539.462143,1.000000,0.470947,0.591527,-0.001007,0.020370,0.076989,-0.000005,0.000001,0.000002,-0.561853,9.212069,3.325388
12.000000,1403715540.462143,1.000000,0.523993,0.591527,-0.001443,0.021089,0.077510,-0.000022,0.000002,0.000010,-0.443467,9.218197,3.326300
13.000000,1403715541.462143,1.000000,0.533285,0.591527,-0.006318,0.020104,0.075810,-0.000010,-0.000005,0.000002,-0.443298,9.210192,3.348424
14.000000,1403715542.462143,1.000000,0.476603,0.591527,0.000576,0.019865,0.076688,-0.000024,0.000001,0.000006,-0.453675,9.209545,3.348815
15.000000,1403715543.462143,1.000000,0.502622,0.591527,0.002592,0.023337,0.076019,-0.000014,0.000001,-0.000010,-0.469688,9.228284,3.294582
16.000000,1403715544.462143,1.000000,0.489534,0.591527,-0.002413,0.018222,0.076712,-0.000031,0.000001,0.000010,-0.363114,9.225873,3.314743
17.000000,1403715545.462143,1.000000,0.586651,0.591527,-0.006163,0.020859,0.075246,-0.000023,-0.000000,0.000009,-0.411279,9.243254,3.260246
18.000000,1403715546.462143,1.000000,0.532689,0.591527,-0.003894,0.023836,0.069465,-0.000023,0.000002,0.000009,-0.481854,9.206491,3.353274
19.000000,1403715547.462143,1.000000,0.499892,0.591527,-0.003317,0.019375,0.074035,-0.000040,-0.000003,0.000016,-0.502475,9.276163,3.152208
20.000000,1403715548.462143,1.000000,0.539461,0.591527,-0.006014,0.016017,0.075483,-0.000005,-0.000000,0.000000,-0.550376,9.273624,3.151679
21.000000,1403715549.462143,1.000000,0.482078,0.591527,-0.001482,0.013926,0.078410,-0.000015,0.000013,0.000013,-0.596855,9.252445,3.205016
22.000000,1403715550.462143,1.000000,0.482203,0.591527,-0.000631,0.015953,0.080440,-0.000035,0.000007,0.000011,-0.602428,9.195339,3.364360
23.000000,1403715552.462143,1.000000,0.308089,0.591527,0.000303,0.018568,0.085524,-0.000068,0.000003,0.000031,0.402982,9.164327,3.476897
24.000000,1403715552.462143,1.000000,0.308089,0.591527,0.000303,0.018568,0.085524,-0.000068,0.000003,0.000031,0.402982,9.164327,3.476897
25.000000,1403715554.462143,1.000000,0.497183,0.591527,-0.003563,0.017499,0.072221,-0.000016,-0.000010,0.000006,-0.383700,9.212041,3.350698
26.000000,1403715554.462143,1.000000,0.497183,0.591527,-0.003563,0.017499,0.072221,-0.000016,-0.000010,0.000006,-0.383700,9.212041,3.350698
27.000000,1403715555.462143,1.000000,0.469857,0.591527,-0.003526,0.019732,0.076308,-0.000040,0.000008,0.000015,-0.210826,9.214541,3.359150
28.000000,1403715556.462143,1.000000,0.511355,0.591527,-0.001937,0.021951,0.073217,0.000000,-0.000000,-0.000000,-0.303705,9.224576,3.324313
29.000000,1403715557.462143,1.000000,0.444956,0.591527,-0.002538,0.018916,0.079841,0.000001,0.000000,-0.000001,-0.334501,9.216063,3.344904
30.000000,1403715558.462143,1.000000,0.612656,0.591527,-0.003202,0.023177,0.076994,-0.000045,-0.000001,0.000003,-0.289895,9.114295,3.616862
