# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1403715528.462143,1.000000,0.530633,0.591527,-0.005989,0.017008,0.074941,0.023069,-0.747840,0.072671,-1.298186,9.181746,3.201032
1.000000,1403715529.462143,1.000000,0.524977,0.591527,-0.003192,0.017091,0.075765,0.001623,0.007502,0.206859,-0.625054,9.208562,3.323819
2.000000,1403715530.462143,1.000000,0.508263,0.591527,-0.001725,0.019287,0.074943,-0.231698,0.234339,-0.523345,-0.159485,9.423250,2.722688
3.000000,1403715531.462143,1.000000,0.525937,0.591527,-0.005345,0.021717,0.077514,0.877646,-2.015915,1.735897,-3.132825,8.447813,3.878052
4.000000,1403715532.462143,1.000000,0.486215,0.591527,0.003492,0.020424,0.076808,0.350757,-1.095109,1.313204,-2.155200,8.748772,3.879459
5.000000,1403715533.462143,1.000000,0.467108,0.591527,-0.001539,0.021786,0.076124,2.380250,-0.082190,3.881729,-1.132850,6.801918,6.977582
6.000000,1403715535.462143,1.000000,0.468564,0.591527,-0.002844,0.019942,0.078085,0.159718,0.832792,0.297704,0.359176,9.222689,3.324019
7.000000,1403715535.462143,1.000000,0.468564,0.591527,-0.002844,0.019942,0.078085,0.159718,0.832792,0.297704,0.359176,9.222689,3.324019
8.000000,1403715536.462143,1.000000,0.479173,0.591527,-0.003840,0.024772,0.076416,0.510473,-1.284321,0.681473,-1.729268,8.803135,3.968693
9.000000,1403715537.462143,1.000000,0.439497,0.591527,0.002923,0.015984,0.076025,-0.267888,0.738902,-0.986147,0.116266,9.542870,2.270733
10.000000,1403715538.462143,1.000000,0.423252,0.591527,0.001168,0.021311,0.076294,-0.066499,0.004021,0.129701,-0.467800,9.181208,3.423841
11.000000,1403715539.462143,1.000000,0.361452,0.591527,-0.001007,0.020370,0.076989,3.322552,7.131887,-1.922577,3.152083,8.519792,-3.703192
12.000000,1403715540.462143,1.000000,0.447924,0.591527,-0.001443,0.021089,0.077510,0.858888,3.676578,-0.130045,1.734113,9.649325,0.307401
13.000000,1403715541.462143,1.000000,0.517924,0.591527,-0.006318,0.020104,0.075810,0.221211,-1.244524,0.052622,-1.040275,8.748644,4.314528
14.000000,1403715542.462143,1.000000,0.398249,0.591527,0.000576,0.019865,0.076688,-0.236547,2.124640,-2.102806,0.107376,9.795088,0.529940
15.000000,1403715543.462143,1.000000,0.470749,0.591527,0.002592,0.023337,0.076019,-0.268301,0.137441,-1.074592,-1.070260,9.436799,2.457127
16.000000,1403715544.462143,1.000000,0.504326,0.591527,-0.002413,0.018222,0.076712,-0.004776,1.026014,0.053691,-0.129669,9.519342,2.366729
17.000000,1403715545.462143,1.000000,0.234372,0.591527,-0.006163,0.020859,0.075246,16.484526,-0.899022,-9.870651,-3.569143,-8.360601,-3.687512
18.000000,1403715546.462143,1.000000,0.479346,0.591527,-0.003894,0.023836,0.069465,-0.019170,0.253929,0.083975,-0.277543,9.265492,3.210875
