# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1413393216.805761,1.000000,2.236792,-1.000000,-0.003292,0.024406,0.083096,-0.000108,-0.000002,0.000034,-0.097969,9.433739,2.689067
1.000000,1413393216.805761,1.000000,2.236792,-1.000000,-0.003292,0.024406,0.083096,-0.000108,-0.000002,0.000034,-0.097969,9.433739,2.689067
2.000000,1413393217.805761,1.000000,2.704891,-1.000000,-0.003642,0.026904,0.081791,-0.000111,-0.000000,0.000035,-0.155262,9.443517,2.651787
3.000000,1413393218.805761,1.000000,2.363995,-1.000000,-0.003147,0.024335,0.082571,-0.000017,0.000000,0.000006,-0.186759,9.473261,2.541368
4.000000,1413393219.805761,1.000000,3.218502,-1.000000,-0.002536,0.024733,0.082617,-0.000024,-0.000000,0.000008,-0.147363,9.445233,2.646122
5.000000,1413393220.805761,1.000000,2.836523,-1.000000,-0.002895,0.024717,0.083268,-0.000111,0.000003,0.000038,-0.145084,9.455358,2.609839
6.000000,1413393221.805761,1.000000,2.666459,-1.000000,-0.001916,0.027044,0.081468,-0.000075,-0.000000,0.000026,-0.126373,9.456917,2.605160
7.000000,1413393222.805761,1.000000,2.775491,-1.000000,-0.002700,0.026329,0.083044,-0.000135,-0.000001,0.000049,-0.155439,9.440475,2.662586
8.000000,1413393223.805761,1.000000,2.729638,-1.000000,0.000248,0.023339,0.081997,-0.000110,0.000002,0.000036,-0.142820,9.438036,2.671924
9.000000,1413393224.805761,1.000000,2.890686,-1.000000,-0.000189,0.024220,0.083086,-0.000086,0.000012,0.000033,-0.072451,9.452640,2.622679
10.000000,1413393225.805761,1.000000,2.485504,-1.000000,-0.001734,0.022974,0.083352,-0.000202,-0.000005,0.000068,-0.106324,9.425117,2.718818
11.000000,1413393226.805761,1.000000,2.403792,-1.000000,-0.000451,0.024588,0.079788,-0.000028,0.000001,0.000010,-0.080453,9.416873,2.748114
12.000000,1413393228.805761,1.000000,2.782327,-1.000000,-0.001167,0.023873,0.081344,-0.000083,-0.000001,0.000030,0.005980,9.397939,2.813328
13.000000,1413393228.805761,1.000000,2.782327,-1.000000,-0.001167,0.023873,0.081344,-0.000083,-0.000001,0.000030,0.005980,9.397939,2.813328
14.000000,1413393229.805761,1.000000,2.885779,-1.000000,-0.000640,0.022587,0.080719,-0.000016,-0.000001,0.000006,-0.019203,9.397719,2.814004
15.000000,1413393230.805761,1.000000,3.042833,-1.000000,-0.001001,0.020179,0.084494,0.000058,0.000002,-0.000028,0.046940,9.417088,2.748155
16.000000,1413393231.805761,1.000000,2.649638,-1.000000,-0.002556,0.022824,0.082437,-0.000045,0.000015,0.000017,0.120358,9.401804,2.797802
17.000000,1413393232.805761,1.000000,2.375017,-1.000000,-0.003870,0.014017,0.085486,0.000055,-0.000001,-0.000031,0.173337,9.400739,2.798601
18.000000,1413393233.805761,1.000000,2.946555,-1.000000,-0.001935,0.022279,0.090555,-0.000022,-0.000008,-0.000001,0.226782,9.420288,2.728157
19.000000,1413393234.805761,1.000000,2.844433,-1.000000,-0.003501,0.023557,0.082241,-0.000097,-0.000013,0.000030,0.365556,9.441996,2.636509
20.000000,1413393236.805761,1.000000,2.845464,-1.000000,-0.003371,0.025766,0.083815,-0.000117,-0.000005,0.000039,0.348953,9.479130,2.502085
21.000000,1413393236.805761,1.000000,2.845464,-1.000000,-0.003371,0.025766,0.083815,-0.000117,-0.000005,0.000039,0.348953,9.479130,2.502085
22.000000,1413393237.805761,1.000000,2.435304,-1.000000,-0.002412,0.024699,0.081129,-0.000251,0.000001,0.000091,0.324918,9.454421,2.597009
23.000000,1413393238.805761,1.000000,2.348668,-1.000000,-0.002894,0.025989,0.082279,-0.000043,-0.000002,0.000015,0.297044,9.477662,2.514316
24.000000,1413393240.805761,1.000000,3.326307,-1.000000,-0.003334,0.025659,0.081712,-0.000154,0.000005,0.000047,0.325622,9.461959,2.569320
25.000000,1413393240.805761,1.000000,3.326307,-1.000000,-0.003334,0.025659,0.081712,-0.000154,0.000005,0.000047,0.325622,9.461959,2.569320
26.000000,1413393241.805761,1.000000,2.680537,-1.000000,-0.002323,0.022335,0.079908,-0.000157,0.000003,0.000049,0.340356,9.478136,2.507030
27.000000,1413393242.805761,1.000000,2.537099,-1.000000,-0.003096,0.026609,0.080935,-0.000148,0.000002,0.000048,0.342526,9.473993,2.522347
28.000000,1413393243.805761,1.000000,2.462018,-1.000000,-0.002761,0.025566,0.081038,-0.000186,-0.000006,0.000058,0.347080,9.478128,2.506138
29.000000,1413393244.805761,1.000000,2.723211,-1.000000,-0.002207,0.024320,0.082417,-0.000056,-0.000001,0.000019,0.365734,9.452958,2.596906
30.000000,1413393245.805761,1.000000,2.748020,-1.000000,-0.003366,0.024521,0.080864,-0.000038,-0.000001,0.000011,0.316223,9.452647,2.604530
31.000000,1413393246.805761,1.000000,2.723718,-1.000000,-0.002552,0.023732,0.078341,-0.000150,0.000003,0.000057,0.351757,9.457852,2.580968
32.000000,1413393247.805761,1.000000,1.165109,-1.000000,-0.000947,0.026781,0.085512,-0.000201,0.000009,0.000073,0.610806,9.497815,2.377923
33.000000,1413393248.805761,1.000000,2.758495,-1.000000,-0.002698,0.026235,0.080960,-0.000053,-0.000001,0.000021,0.325226,9.454943,2.595069
34.000000,1413393250.805761,1.000000,2.520873,-1.000000,0.001943,0.024848,0.085397,-0.000118,0.000013,0.000030,0.361073,9.460200,2.571060
35.000000,1413393250.805761,1.000000,2.520873,-1.000000,0.001943,0.024848,0.085397,-0.000118,0.000013,0.000030,0.361073,9.460200,2.571060
36.000000,1413393251.805761,1.000000,2.641765,-1.000000,-0.000986,0.023462,0.085172,-0.000073,0.000001,0.000024,0.322966,9.480516,2.500320
37.000000,1413393252.805761,1.000000,2.554182,-1.000000,-0.003220,0.024462,0.082423,-0.000075,-0.000001,0.000029,0.301689,9.488514,2.472487
38.000000,1413393253.805761,1.000000,2.562740,-1.000000,-0.002017,0.023826,0.084244,-0.000017,0.000002,0.000004,0.298376,9.490154,2.466588
39.000000,1413393254.805761,1.000000,2.980247,-1.000000,-0.002023,0.024458,0.082345,-0.000050,0.000003,0.000016,0.259262,9.493530,2.458002
40.000000,1413393255.805761,1.000000,2.595664,-1.000000,-0.003762,0.024397,0.081968,-0.000034,-0.000000,0.000012,0.265676,9.499326,2.434815
41.000000,1413393256.805761,1.000000,2.548205,-1.000000,-0.002596,0.025739,0.083125,-0.000047,0.000001,0.000016,0.272918,9.502916,2.419958
42.000000,1413393257.805761,1.000000,2.678059,-1.000000,-0.008514,0.022266,0.079980,0.000020,0.000003,-0.000008,0.279175,9.501468,2.424926
43.000000,1413393258.805761,1.000000,0.800557,-1.000000,-0.003535,0.023160,0.074530,0.000079,0.000017,-0.000024,0.348070,9.479942,2.499128
44.000000,1413393259.805761,1.000000,2.653462,-1.000000,-0.001002,0.024073,0.079809,-0.000129,-0.000012,0.000032,0.360348,9.459793,2.572659
45.000000,1413393260.805761,1.000000,3.693960,-1.000000,-0.005906,0.023669,0.079522,-0.000075,-0.000002,0.000027,0.426990,9.475439,2.503964
46.000000,1413393261.805761,1.000000,2.612161,-1.000000,-0.000229,0.023111,0.082098,-0.000064,-0.000001,0.000021,0.278497,9.461435,2.576777
47.000000,1413393262.805761,1.000000,2.275924,-1.000000,-0.002690,0.023119,0.083580,-0.000081,0.000002,0.000028,0.286794,9.448093,2.624382
48.000000,1413393263.805761,1.000000,1.753184,-1.000000,-0.001721,0.028351,0.079667,0.000068,0.000001,-0.000022,0.234734,9.473952,2.534806
49.000000,1413393264.805761,1.000000,2.252064,-1.000000,-0.003192,0.023928,0.080230,-0.000025,-0.000000,0.000005,0.281359,9.461708,2.575466
50.000000,1413393265.805761,1.000000,2.777207,-1.000000,-0.005768,0.023308,0.076851,-0.000083,0.000007,0.000023,0.200073,9.456852,2.600774
51.000000,1413393266.805761,1.000000,2.631804,-1.000000,-0.004537,0.024984,0.080161,-0.000017,0.000002,0.000007,0.202836,9.434803,2.679450
52.000000,1413393267.805761,1.000000,2.497177,-1.000000,-0.001366,0.023553,0.080894,-0.000023,0.000000,0.000008,0.186437,9.458313,2.596471
53.000000,1413393268.805761,1.000000,2.541378,-1.000000,-0.003693,0.021615,0.083290,0.000059,-0.000000,-0.000017,0.184879,9.459131,2.593599
54.000000,1413393269.805761,1.000000,1.985447,-1.000000,-0.000444,0.027377,0.080241,0.000065,0.000004,-0.000024,0.233128,9.432791,2.684064
55.000000,1413393271.805761,1.000000,2.506840,-1.000000,0.001461,0.027070,0.083334,-0.000062,0.000003,0.000025,0.206657,9.451503,2.619633
56.000000,1413393271.805761,1.000000,2.506840,-1.000000,0.001461,0.027070,0.083334,-0.000062,0.000003,0.000025,0.206657,9.451503,2.619633
57.000000,1413393273.805761,1.000000,2.929962,-1.000000,-0.004689,0.024327,0.084214,-0.000043,0.000011,0.000026,0.315316,9.466948,2.552171
58.000000,1413393273.805761,1.000000,2.929962,-1.000000,-0.004689,0.024327,0.084214,-0.000043,0.000011,0.000026,0.315316,9.466948,2.552171
59.000000,1413393274.805761,1.000000,1.023599,-1.000000,-0.001578,0.027055,0.083340,0.000077,0.000001,-0.000017,0.422901,9.499461,2.411949
60.000000,1413393275.805761,1.000000,2.977773,-1.000000,-0.002294,0.025553,0.081096,-0.000049,0.000003,0.000019,0.344085,9.499671,2.423626
61.000000,1413393277.805761,1.000000,1.790827,-1.000000,-0.002814,0.020943,0.083309,-0.000002,-0.000007,0.000003,0.528910,9.504060,2.372593
62.000000,1413393277.805761,1.000000,1.790827,-1.000000,-0.002814,0.020943,0.083309,-0.000002,-0.000007,0.000003,0.528910,9.504060,2.372593
63.000000,1413393278.805761,1.000000,2.833830,-1.000000,-0.003303,0.025818,0.081056,-0.000034,-0.000002,0.000011,0.337741,9.507838,2.392288
64.000000,1413393279.805761,1.000000,2.758606,-1.000000,-0.001854,0.025202,0.080678,-0.000109,0.000000,0.000033,0.323432,9.508294,2.392453
65.000000,1413393280.805761,1.000000,2.708023,-1.000000,-0.001512,0.027760,0.082799,0.000106,-0.000008,-0.000036,0.364669,9.482765,2.486019
66.000000,1413393281.805761,1.000000,2.562069,-1.000000,-0.002568,0.026465,0.082710,-0.000054,-0.000001,0.000015,0.323625,9.488424,2.470057
67.000000,1413393282.805761,1.000000,2.708039,-1.000000,-0.007294,0.020790,0.078398,-0.000019,0.000010,0.000005,0.317887,9.484065,2.487480
68.000000,1413393283.805761,1.000000,2.136073,-1.000000,-0.007249,0.026837,0.074044,-0.000025,-0.000004,0.000006,0.272596,9.487104,2.481258
69.000000,1413393284.805761,1.000000,1.226658,-1.000000,-0.003680,0.026418,0.077100,-0.000009,0.000007,0.000010,0.254093,9.400312,2.793861
70.000000,1413393285.805761,1.000000,2.661900,-1.000000,-0.000588,0.024637,0.081136,-0.000170,-0.000000,0.000057,0.204212,9.441937,2.654096
71.000000,1413393286.805761,1.000000,2.716886,-1.000000,-0.007320,0.024968,0.077494,0.000011,-0.000003,-0.000003,0.119618,9.451507,2.625036
72.000000,1413393287.805761,1.000000,2.820145,-1.000000,-0.000692,0.025242,0.079465,-0.000008,-0.000003,0.000006,0.098368,9.455229,2.612484
73.000000,1413393288.805761,1.000000,2.447227,-1.000000,-0.001975,0.025476,0.080634,-0.000062,-0.000000,0.000021,0.049591,9.461134,2.592410
74.000000,1413393289.805761,1.000000,2.563534,-1.000000,-0.002322,0.024933,0.081777,-0.000047,0.000000,0.000015,0.077877,9.455779,2.611184
75.000000,1413393290.805761,1.000000,2.910477,-1.000000,-0.001903,0.025629,0.080399,-0.000065,0.000002,0.000022,0.079601,9.459169,2.598825
76.000000,1413393291.805761,1.000000,2.562203,-1.000000,-0.001661,0.025044,0.080721,-0.000237,-0.000006,0.000071,0.055282,9.463240,2.584597
77.000000,1413393292.805761,1.000000,2.498364,-1.000000,-0.002051,0.024381,0.080241,-0.000073,-0.000000,0.000022,0.027698,9.468244,2.566650
78.000000,1413393293.805761,1.000000,2.579300,-1.000000,-0.003639,0.023650,0.079583,-0.000033,-0.000000,0.000010,0.038749,9.469410,2.562200
79.000000,1413393294.805761,1.000000,2.554404,-1.000000,-0.003191,0.025297,0.080465,-0.000054,0.000000,0.000019,0.020625,9.462071,2.589378
80.000000,1413393295.805761,1.000000,3.064500,-1.000000,-0.003323,0.024724,0.079441,-0.000059,-0.000001,0.000022,0.051536,9.451569,2.627029
81.000000,1413393296.805761,1.000000,0.000000,-1.000000,-0.002590,0.022969,0.081947,0.000142,0.000004,-0.000050,-0.278132,9.452119,2.610784
82.000000,1413393298.805761,1.000000,2.648231,-1.000000,-0.002801,0.023284,0.081168,-0.000080,-0.000000,0.000023,0.050400,9.462296,2.588150
83.000000,1413393298.805761,1.000000,2.648231,-1.000000,-0.002801,0.023284,0.081168,-0.000080,-0.000000,0.000023,0.050400,9.462296,2.588150
84.000000,1413393300.805761,1.000000,2.677819,-1.000000,-0.003582,0.026246,0.074986,-0.000107,-0.000008,0.000036,-0.019819,9.488383,2.491243
85.000000,1413393300.805761,1.000000,2.677819,-1.000000,-0.003582,0.026246,0.074986,-0.000107,-0.000008,0.000036,-0.019819,9.488383,2.491243
86.000000,1413393301.805761,1.000000,2.073390,-1.000000,-0.003627,0.025268,0.080262,-0.000038,-0.000001,0.000013,0.012961,9.491737,2.478481
87.000000,1413393302.805761,1.000000,2.207870,-1.000000,-0.004170,0.023080,0.081633,-0.000070,0.000000,0.000023,-0.049290,9.485528,2.501685
88.000000,1413393303.805761,1.000000,3.210267,-1.000000,-0.004091,0.025471,0.080349,-0.000114,-0.000001,0.000040,-0.006206,9.467333,2.570148
89.000000,1413393304.805761,1.000000,2.041447,-1.000000,-0.001211,0.024244,0.083062,-0.000023,-0.000001,0.000008,-0.021622,9.481683,2.516608
90.000000,1413393305.805761,1.000000,2.665918,-1.000000,-0.001087,0.022588,0.080470,-0.000091,-0.000001,0.000035,-0.030663,9.471969,2.552833
91.000000,1413393306.805761,1.000000,2.116583,-1.000000,0.000289,0.024268,0.083667,-0.000018,0.000002,-0.000002,-0.099733,9.459690,2.596233
92.000000,1413393307.805761,1.000000,2.304788,-1.000000,0.001459,0.022130,0.085105,-0.000032,0.000006,0.000015,0.112256,9.460444,2.592971
93.000000,1413393308.805761,1.000000,2.612022,-1.000000,-0.002082,0.025895,0.083167,0.000005,-0.000001,-0.000007,0.172369,9.450386,2.626136
94.000000,1413393310.805761,1.000000,2.723548,-1.000000,-0.002137,0.024566,0.081534,-0.000093,0.000000,0.000034,0.188540,9.447202,2.636460
95.000000,1413393310.805761,1.000000,2.723548,-1.000000,-0.002137,0.024566,0.081534,-0.000093,0.000000,0.000034,0.188540,9.447202,2.636460
96.000000,1413393314.805761,1.000000,2.639792,-1.000000,-0.001265,0.024749,0.079063,-0.000092,-0.000008,0.000037,0.111481,9.447928,2.638242
97.000000,1413393314.805761,1.000000,2.639792,-1.000000,-0.001265,0.024749,0.079063,-0.000092,-0.000008,0.000037,0.111481,9.447928,2.638242
98.000000,1413393314.805761,1.000000,2.639792,-1.000000,-0.001265,0.024749,0.079063,-0.000092,-0.000008,0.000037,0.111481,9.447928,2.638242
99.000000,1413393314.805761,1.000000,2.639792,-1.000000,-0.001265,0.024749,0.079063,-0.000092,-0.000008,0.000037,0.111481,9.447928,2.638242
100.000000,1413393315.805761,1.000000,2.445148,-1.000000,-0.002432,0.023810,0.080876,-0.000041,0.000000,0.000013,0.156782,9.450892,2.625293
101.000000,1413393316.805761,1.000000,2.852616,-1.000000,-0.003878,0.025379,0.081100,-0.000112,-0.000002,0.000031,0.125589,9.444289,2.650609
102.000000,1413393318.805761,1.000000,2.539990,-1.000000,-0.003811,0.026400,0.079105,-0.000104,0.000003,0.000031,0.084714,9.430508,2.700824
103.000000,1413393318.805761,1.000000,2.539990,-1.000000,-0.003811,0.026400,0.079105,-0.000104,0.000003,0.000031,0.084714,9.430508,2.700824
104.000000,1413393319.805761,1.000000,2.670247,-1.000000,-0.003252,0.024161,0.081199,-0.000088,-0.000001,0.000030,0.091623,9.437004,2.677810
105.000000,1413393320.805761,1.000000,2.611806,-1.000000,-0.002465,0.023547,0.082114,-0.000009,0.000001,0.000002,0.053042,9.444339,2.652875
