# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1413393216.805761,1.000000,2.277468,-1.000000,-0.003273,0.024396,0.083082,0.770676,-1.823802,2.590022,-1.901605,8.670527,5.297674
1.000000,1413393216.805761,1.000000,2.277468,-1.000000,-0.003273,0.024396,0.083082,0.770676,-1.823802,2.590022,-1.901605,8.670527,5.297674
2.000000,1413393217.805761,1.000000,2.575792,-1.000000,-0.003666,0.026904,0.081801,-7.554675,1.941011,-23.743189,1.480225,16.229894,-21.336101
3.000000,1413393218.805761,1.000000,2.416839,-1.000000,-0.003171,0.024337,0.082599,-0.960416,1.395818,-2.655760,1.182340,10.233684,-0.191244
4.000000,1413393219.805761,1.000000,2.468707,-1.000000,-0.002598,0.024736,0.082636,11.422786,-38.291950,36.082254,-38.311648,-1.347222,39.070702
5.000000,1413393220.805761,1.000000,3.597614,-1.000000,-0.002815,0.024693,0.083242,-0.866198,7.151895,-2.543946,6.997982,10.287179,-0.001887
6.000000,1413393221.805761,1.000000,2.519344,-1.000000,-0.001897,0.027037,0.081468,-0.765255,1.259518,-2.054279,1.131817,10.055744,0.497502
7.000000,1413393222.805761,1.000000,2.530935,-1.000000,-0.002671,0.026350,0.083057,-0.959796,-3.005425,-2.260413,-3.092185,10.085966,0.189492
8.000000,1413393223.805761,1.000000,2.604903,-1.000000,0.000396,0.023335,0.082133,0.144330,1.722163,0.780312,1.598415,9.257692,3.400380
9.000000,1413393224.805761,1.000000,3.520840,-1.000000,-0.000124,0.024145,0.083344,-0.097787,1.855947,-0.052534,1.787322,9.593287,2.131726
10.000000,1413393225.805761,1.000000,2.371029,-1.000000,-0.001724,0.023124,0.083433,-0.102660,-0.558864,0.117305,-0.495718,9.309024,3.106603
11.000000,1413393226.805761,1.000000,2.359064,-1.000000,-0.000368,0.024488,0.079847,1.837272,2.316199,5.266153,5.438757,8.770462,5.113566
12.000000,1413393228.805761,1.000000,2.646784,-1.000000,-0.001196,0.023874,0.081362,0.108789,-0.756378,0.455731,0.179846,9.151432,3.638625
13.000000,1413393228.805761,1.000000,2.646784,-1.000000,-0.001196,0.023874,0.081362,0.108789,-0.756378,0.455731,0.179846,9.151432,3.638625
14.000000,1413393229.805761,1.000000,2.643660,-1.000000,-0.000516,0.022554,0.080546,0.602709,-2.329500,1.633779,0.760184,8.601543,5.479725
15.000000,1413393230.805761,1.000000,3.178588,-1.000000,-0.000950,0.019757,0.084385,-0.502184,0.283478,-1.620561,-1.597519,9.563415,2.273324
16.000000,1413393231.805761,1.000000,3.186587,-1.000000,-0.002770,0.022696,0.082485,0.142126,0.925187,0.242672,0.269921,9.696023,1.785372
17.000000,1413393232.805761,1.000000,1.394602,-1.000000,-0.004013,0.014375,0.085661,-0.570643,2.261985,-2.607997,-3.033564,9.835684,1.547861
