# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1413393216.805761,1.000000,0.903915,-1.000000,-0.003123,0.024530,0.083429,-0.000102,-0.000002,0.000032,-0.120440,9.439146,2.669105
1.000000,1413393216.805761,1.000000,0.903915,-1.000000,-0.003123,0.024530,0.083429,-0.000102,-0.000002,0.000032,-0.120440,9.439146,2.669105
2.000000,1413393217.805761,1.000000,0.949343,-1.000000,-0.003248,0.026931,0.081627,-0.000128,0.000001,0.000040,-0.167822,9.442567,2.654406
3.000000,1413393218.805761,1.000000,0.880742,-1.000000,-0.003386,0.024569,0.082504,-0.000014,0.000000,0.000004,-0.184392,9.473037,2.542377
4.000000,1413393219.805761,1.000000,1.187062,-1.000000,-0.002517,0.024735,0.082529,-0.000025,-0.000000,0.000008,-0.144658,9.446528,2.641646
5.000000,1413393220.805761,1.000000,1.026038,-1.000000,-0.002877,0.024817,0.083239,-0.000112,0.000002,0.000039,-0.148444,9.457583,2.601574
6.000000,1413393221.805761,1.000000,0.970759,-1.000000,-0.001855,0.027136,0.081498,-0.000081,-0.000000,0.000028,-0.125557,9.458330,2.600062
7.000000,1413393222.805761,1.000000,1.012084,-1.000000,-0.002734,0.026544,0.082980,-0.000143,-0.000001,0.000052,-0.156991,9.442523,2.655225
8.000000,1413393223.805761,1.000000,0.995337,-1.000000,0.000186,0.023441,0.082161,-0.000119,0.000001,0.000039,-0.145367,9.438529,2.670046
9.000000,1413393224.805761,1.000000,1.077695,-1.000000,-0.000302,0.024144,0.082852,-0.000090,0.000013,0.000035,-0.069310,9.456387,2.609223
10.000000,1413393225.805761,1.000000,0.933621,-1.000000,-0.001542,0.023021,0.083307,-0.000206,-0.000004,0.000069,-0.107018,9.428545,2.706878
11.000000,1413393226.805761,1.000000,0.791566,-1.000000,-0.000016,0.024837,0.079797,-0.000008,0.000001,0.000004,-0.088797,9.420678,2.734782
12.000000,1413393228.805761,1.000000,0.939004,-1.000000,-0.000689,0.023840,0.081326,-0.000093,-0.000002,0.000033,-0.004958,9.402645,2.797560
13.000000,1413393228.805761,1.000000,0.939004,-1.000000,-0.000689,0.023840,0.081326,-0.000093,-0.000002,0.000033,-0.004958,9.402645,2.797560
14.000000,1413393229.805761,1.000000,0.804169,-1.000000,-0.002899,0.022447,0.080518,-0.000019,-0.000001,0.000009,-0.068096,9.400599,2.803604
15.000000,1413393230.805761,1.000000,1.064625,-1.000000,0.000533,0.023267,0.084147,0.000097,-0.000006,-0.000028,0.041549,9.402190,2.798784
16.000000,1413393231.805761,1.000000,0.754251,-1.000000,0.000862,0.024455,0.081880,-0.000150,0.000007,0.000045,0.109104,9.367511,2.911001
17.000000,1413393232.805761,1.000000,0.867218,-1.000000,0.002375,0.018637,0.082420,0.000035,0.000003,-0.000015,0.108849,9.410065,2.770366
18.000000,1413393233.805761,1.000000,1.190684,-1.000000,0.002528,0.024960,0.087408,0.000008,-0.000004,-0.000003,-0.028584,9.418128,2.744841
19.000000,1413393234.805761,1.000000,1.053038,-1.000000,-0.003515,0.023869,0.082939,-0.000104,-0.000011,0.000034,0.234902,9.434345,2.678443
20.000000,1413393236.805761,1.000000,1.072806,-1.000000,-0.003832,0.025659,0.083549,-0.000113,-0.000004,0.000038,0.237258,9.471432,2.543970
21.000000,1413393236.805761,1.000000,1.072806,-1.000000,-0.003832,0.025659,0.083549,-0.000113,-0.000004,0.000038,0.237258,9.471432,2.543970
22.000000,1413393237.805761,1.000000,0.915668,-1.000000,-0.002159,0.024778,0.080945,-0.000253,0.000001,0.000092,0.209181,9.447534,2.633715
23.000000,1413393238.805761,1.000000,0.866925,-1.000000,-0.003006,0.026029,0.082360,-0.000041,-0.000001,0.000014,0.172087,9.470385,2.553094
24.000000,1413393240.805761,1.000000,1.225184,-1.000000,-0.003046,0.025644,0.081534,-0.000171,0.000005,0.000052,0.216412,9.456531,2.600632
25.000000,1413393240.805761,1.000000,1.225184,-1.000000,-0.003046,0.025644,0.081534,-0.000171,0.000005,0.000052,0.216412,9.456531,2.600632
26.000000,1413393241.805761,1.000000,0.999023,-1.000000,-0.001903,0.022344,0.080670,-0.000131,0.000002,0.000039,0.223273,9.472599,2.540888
27.000000,1413393242.805761,1.000000,0.924344,-1.000000,-0.002411,0.026745,0.080688,-0.000159,-0.000000,0.000052,0.221657,9.466107,2.565109
28.000000,1413393243.805761,1.000000,1.065908,-1.000000,-0.003890,0.025243,0.080649,-0.000156,-0.000005,0.000049,0.241096,9.459975,2.585893
29.000000,1413393244.805761,1.000000,1.041151,-1.000000,-0.002185,0.024291,0.082587,-0.000044,-0.000000,0.000015,0.243566,9.445052,2.639653
30.000000,1413393245.805761,1.000000,1.020210,-1.000000,-0.002973,0.024630,0.080762,-0.000038,-0.000001,0.000013,0.190652,9.443519,2.649472
31.000000,1413393246.805761,1.000000,1.014582,-1.000000,-0.002836,0.023681,0.078225,-0.000152,0.000003,0.000058,0.237992,9.448334,2.628391
32.000000,1413393247.805761,1.000000,0.435245,-1.000000,-0.000985,0.026724,0.085535,-0.000201,0.000009,0.000073,0.488992,9.493992,2.420971
33.000000,1413393248.805761,1.000000,1.026909,-1.000000,-0.002533,0.026321,0.080966,-0.000055,-0.000001,0.000021,0.206871,9.445813,2.640059
34.000000,1413393250.805761,1.000000,0.943814,-1.000000,0.001973,0.024764,0.085293,-0.000120,0.000014,0.000031,0.243140,9.451728,2.615687
35.000000,1413393250.805761,1.000000,0.943814,-1.000000,0.001973,0.024764,0.085293,-0.000120,0.000014,0.000031,0.243140,9.451728,2.615687
36.000000,1413393251.805761,1.000000,0.971266,-1.000000,-0.000982,0.023567,0.085233,-0.000080,0.000001,0.000026,0.201812,9.470442,2.550705
