# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1413393216.805761,1.000000,0.904551,-1.000000,-0.003101,0.024530,0.083408,2.415651,1.274751,3.997901,1.184743,7.055909,6.701337
1.000000,1413393216.805761,1.000000,0.904551,-1.000000,-0.003101,0.024530,0.083408,2.415651,1.274751,3.997901,1.184743,7.055909,6.701337
2.000000,1413393217.805761,1.000000,0.833627,-1.000000,-0.003284,0.026917,0.081640,-0.252787,2.080097,-4.221858,1.884857,9.493126,-1.601467
3.000000,1413393218.805761,1.000000,0.827946,-1.000000,-0.003401,0.024572,0.082528,5.180473,8.711816,-2.287541,8.713450,4.453916,0.695659
4.000000,1413393219.805761,1.000000,1.158485,-1.000000,-0.002578,0.024737,0.082547,2.584534,-5.230361,1.861067,-5.343800,6.835893,4.578571
5.000000,1413393220.805761,1.000000,1.072990,-1.000000,-0.002794,0.024792,0.083213,5.248788,6.096621,3.248871,6.137429,4.563900,6.142640
6.000000,1413393221.805761,1.000000,0.911520,-1.000000,-0.001831,0.027128,0.081497,1.484749,-5.889099,-2.034740,-5.994317,7.736056,0.631111
7.000000,1413393222.805761,1.000000,0.922897,-1.000000,-0.002701,0.026566,0.082995,1.077275,4.820433,-6.466322,4.843542,7.720291,-3.629446
8.000000,1413393223.805761,1.000000,0.955499,-1.000000,0.000343,0.023438,0.082298,0.259673,1.727124,0.582022,1.596910,9.134570,3.200865
9.000000,1413393224.805761,1.000000,1.300060,-1.000000,-0.000252,0.024059,0.083098,0.069499,1.960437,-0.216633,1.875381,9.430814,1.943910
10.000000,1413393225.805761,1.000000,0.894594,-1.000000,-0.001513,0.023139,0.083404,-0.076801,-0.568272,0.158113,-0.474052,9.284069,3.133278
11.000000,1413393226.805761,1.000000,0.181521,-1.000000,0.000067,0.024674,0.079858,10.339563,6.791121,3.772212,9.700721,1.329166,0.732540
12.000000,1413393228.805761,1.000000,0.928759,-1.000000,-0.000627,0.023853,0.081297,-0.132741,-1.536539,-0.620064,-1.117934,8.916658,3.934373
13.000000,1413393228.805761,1.000000,0.928759,-1.000000,-0.000627,0.023853,0.081297,-0.132741,-1.536539,-0.620064,-1.117934,8.916658,3.934373
14.000000,1413393229.805761,1.000000,0.363487,-1.000000,-0.002809,0.022336,0.080371,7.702900,-8.615048,1.166461,0.301427,0.217434,9.802978
15.000000,1413393230.805761,1.000000,1.282228,-1.000000,0.000405,0.023244,0.084127,0.807502,-2.389918,0.900775,0.844307,8.344476,5.088513
16.000000,1413393231.805761,1.000000,0.757868,-1.000000,0.000801,0.024364,0.081940,-0.307222,-0.010945,-0.642958,-0.590495,9.322744,2.995662
17.000000,1413393232.805761,1.000000,0.461637,-1.000000,0.002345,0.018696,0.082667,0.300443,2.647584,-1.604300,-2.069822,9.564608,0.685727
18.000000,1413393233.805761,1.000000,1.226366,-1.000000,0.002575,0.025002,0.087404,-0.090604,-0.398645,-0.393201,-0.146746,9.245349,3.276903
19.000000,1413393234.805761,1.000000,1.015052,-1.000000,-0.003483,0.023977,0.082947,-0.190644,-0.397054,-0.418536,0.340086,9.254549,3.236320
20.000000,1413393236.805761,1.000000,0.978859,-1.000000,-0.003481,0.025715,0.083565,0.741883,-3.122477,0.642293,3.312750,9.113233,1.486868
21.000000,1413393236.805761,1.000000,0.978859,-1.000000,-0.003481,0.025715,0.083565,0.741883,-3.122477,0.642293,3.312750,9.113233,1.486868
22.000000,1413393237.805761,1.000000,0.932407,-1.000000,-0.002238,0.024779,0.080881,0.849904,0.270731,2.049938,-0.097456,9.799675,0.439503
23.000000,1413393238.805761,1.000000,0.038238,-1.000000,-0.003030,0.026011,0.082369,5.837218,0.798996,-12.291656,-0.417029,-2.170718,9.559018
24.000000,1413393240.805761,1.000000,1.114588,-1.000000,-0.003378,0.025640,0.081657,-0.409396,-0.363226,-1.156237,0.667368,9.056132,3.711763
25.000000,1413393240.805761,1.000000,1.114588,-1.000000,-0.003378,0.025640,0.081657,-0.409396,-0.363226,-1.156237,0.667368,9.056132,3.711763
26.000000,1413393241.805761,1.000000,1.059728,-1.000000,-0.001818,0.022338,0.080646,-0.064090,0.439183,0.060262,-0.214308,9.472663,2.540373
27.000000,1413393242.805761,1.000000,0.869091,-1.000000,-0.002367,0.026809,0.080754,-0.052972,-0.332743,0.165746,0.563418,9.479825,2.459997
28.000000,1413393243.805761,1.000000,1.054519,-1.000000,-0.003816,0.025244,0.080554,0.097054,-0.901095,0.402969,1.213953,9.434260,2.399406
29.000000,1413393244.805761,1.000000,0.958204,-1.000000,-0.002259,0.024284,0.082628,1.022343,1.217422,2.098928,-0.141565,9.808827,0.055095
30.000000,1413393245.805761,1.000000,0.996506,-1.000000,-0.002881,0.024643,0.080800,0.003410,-0.447243,0.052673,0.629348,9.395381,2.750790
31.000000,1413393246.805761,1.000000,0.824566,-1.000000,-0.002913,0.023681,0.078244,-0.090763,3.236254,-2.676620,-3.823612,8.407518,3.305377
32.000000,1413393247.805761,1.000000,0.583333,-1.000000,-0.001389,0.026904,0.085841,6.182045,-3.166590,5.929416,6.542281,6.316575,-3.679252
33.000000,1413393248.805761,1.000000,1.030621,-1.000000,-0.002625,0.026311,0.080999,1.971108,-0.583433,3.268938,2.302429,9.516190,-0.614100
34.000000,1413393250.805761,1.000000,0.747849,-1.000000,0.002276,0.024870,0.085641,-0.103476,1.044942,-0.489749,-0.849533,9.363087,2.801249
35.000000,1413393250.805761,1.000000,0.747849,-1.000000,0.002276,0.024870,0.085641,-0.103476,1.044942,-0.489749,-0.849533,9.363087,2.801249
36.000000,1413393251.805761,1.000000,0.935642,-1.000000,-0.000985,0.023532,0.085232,-0.082806,-0.053577,-0.047661,0.273515,9.453786,2.605230
37.000000,1413393252.805761,1.000000,1.005489,-1.000000,-0.003277,0.024600,0.082602,0.591822,-1.087173,1.288432,0.418744,9.773481,0.741491
38.000000,1413393253.805761,1.000000,1.018434,-1.000000,-0.002070,0.023895,0.084212,-0.066994,0.295282,-0.148427,0.035668,9.402099,2.799178
39.000000,1413393254.805761,0.000000,0.014967,-1.000000,-0.002377,0.024253,0.082197,0.999661,0.000002,0.000012,0.157237,9.496478,2.455254
40.000000,1413393255.805761,1.000000,0.871458,-1.000000,-0.003286,0.024426,0.081907,1.642847,-3.594908,1.834145,1.201291,9.582002,-1.725798
41.000000,1413393256.805761,0.000000,0.014967,-1.000000,-0.002607,0.025969,0.083067,0.999661,0.000000,0.000006,0.157259,9.490815,2.477053
42.000000,1413393257.805761,1.000000,0.864236,-1.000000,-0.007998,0.022031,0.079928,-0.046855,-0.634026,-0.349659,0.814073,9.495370,2.326222
43.000000,1413393258.805761,0.000000,0.014967,-1.000000,-0.002963,0.023139,0.074664,0.999661,0.000007,-0.000008,0.236416,9.466716,2.561540
44.000000,1413393259.805761,1.000000,0.781378,-1.000000,-0.001355,0.021823,0.081567,0.061491,-0.996745,0.511404,1.366325,9.382197,2.518657
45.000000,1413393260.805761,1.000000,0.836234,-1.000000,-0.007067,0.020687,0.079542,-0.042306,-1.137531,-0.419592,0.760094,9.102733,3.577513
46.000000,1413393261.805761,1.000000,1.000688,-1.000000,-0.000710,0.025330,0.081794,0.306295,-0.299004,0.841226,1.070129,9.465557,2.344047
47.000000,1413393262.805761,1.000000,0.780151,-1.000000,-0.001890,0.023539,0.083256,-0.076517,2.894434,-2.690088,-3.577675,9.020590,1.437148
48.000000,1413393263.805761,0.000000,0.014967,-1.000000,-0.000520,0.027987,0.079124,0.999661,0.000000,-0.000004,0.119703,9.466317,2.571113
49.000000,1413393264.805761,1.000000,0.853518,-1.000000,-0.003090,0.024036,0.080310,-0.031830,-2.788547,-1.833556,-0.145866,8.053605,5.599478
50.000000,1413393265.805761,1.000000,1.051257,-1.000000,-0.006709,0.022487,0.077220,18.822572,0.289151,-5.334227,0.802377,-9.329562,-2.924274
51.000000,1413393266.805761,1.000000,0.968503,-1.000000,-0.004486,0.025511,0.080283,0.924014,3.115837,0.854275,2.518171,9.473774,0.377496
52.000000,1413393267.805761,0.000000,0.014967,-1.000000,-0.001419,0.023520,0.081084,0.999661,-0.000000,0.000002,0.063234,9.454533,2.616088
53.000000,1413393268.805761,1.000000,1.016860,-1.000000,-0.004190,0.022573,0.082877,0.229885,-0.407383,0.436584,0.296911,9.281570,3.162343
54.000000,1413393269.805761,1.000000,0.668956,-1.000000,-0.000213,0.026622,0.081249,1.999316,6.109578,-0.910381,3.202932,8.791731,-2.946655
55.000000,1413393271.805761,1.000000,0.974197,-1.000000,0.001421,0.025926,0.083345,0.296271,0.331962,0.863332,1.029864,9.448289,2.430081
56.000000,1413393271.805761,1.000000,0.974197,-1.000000,0.001421,0.025926,0.083345,0.296271,0.331962,0.863332,1.029864,9.448289,2.430081
57.000000,1413393273.805761,1.000000,1.095600,-1.000000,-0.005275,0.024035,0.084278,0.369456,0.688143,0.914291,0.385233,9.700460,1.410238
58.000000,1413393273.805761,1.000000,1.095600,-1.000000,-0.005275,0.024035,0.084278,0.369456,0.688143,0.914291,0.385233,9.700460,1.410238
59.000000,1413393274.805761,1.000000,0.033151,-1.000000,-0.001264,0.027869,0.083041,0.364112,-0.232439,0.631966,0.781331,9.612750,1.794546
60.000000,1413393275.805761,1.000000,1.055166,-1.000000,-0.003105,0.025810,0.081381,-0.123970,2.496549,-1.580253,-2.312069,8.749655,3.786011
61.000000,1413393277.805761,1.000000,0.282729,-1.000000,-0.003128,0.021216,0.083457,16.096953,3.175986,-9.395179,-3.422773,-8.886431,2.356285
62.000000,1413393277.805761,1.000000,0.282729,-1.000000,-0.003128,0.021216,0.083457,16.096953,3.175986,-9.395179,-3.422773,-8.886431,2.356285
63.000000,1413393278.805761,1.000000,0.980586,-1.000000,-0.003334,0.025918,0.081018,-0.085820,-2.054332,-1.198367,2.497979,9.035147,2.891782
