# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1413393889.055760,1.000000,0.984033,1.157850,-0.001825,0.025301,0.079204,-0.000018,0.000000,0.000006,-0.153771,9.360178,2.932495
1.000000,1413393890.055760,1.000000,0.996474,1.157850,-0.002163,0.023340,0.079514,0.000003,-0.000000,-0.000001,-0.134400,9.370875,2.899092
2.000000,1413393892.055760,1.000000,0.977461,1.157850,-0.002788,0.027008,0.075426,-0.000010,-0.000000,0.000005,-0.133305,9.369176,2.904631
3.000000,1413393892.055760,1.000000,0.977461,1.157850,-0.002788,0.027008,0.075426,-0.000010,-0.000000,0.000005,-0.133305,9.369176,2.904631
4.000000,1413393893.055760,1.000000,0.942454,1.157850,-0.001506,0.020421,0.080498,-0.000018,0.000001,0.000009,-0.173664,9.390796,2.831764
5.000000,1413393894.055760,1.000000,0.964795,1.157850,-0.001407,0.021951,0.082174,-0.000002,0.000000,0.000001,-0.187285,9.372027,2.892428
6.000000,1413393896.055760,1.000000,0.880232,1.157850,0.003684,0.022385,0.083563,0.000010,0.000000,0.000004,-0.010350,9.261333,3.234766
7.000000,1413393896.055760,1.000000,0.880232,1.157850,0.003684,0.022385,0.083563,0.000010,0.000000,0.000004,-0.010350,9.261333,3.234766
8.000000,1413393897.055760,1.000000,0.914160,1.157850,-0.002617,0.023779,0.080985,-0.000014,-0.000001,0.000005,-0.026294,9.327303,3.039216
9.000000,1413393898.055760,1.000000,0.950576,1.157850,-0.000133,0.023827,0.074906,-0.000024,0.000006,0.000006,0.125194,9.316037,3.071137
10.000000,1413393899.055760,1.000000,0.868099,1.157850,0.003130,0.026829,0.079461,0.000006,-0.000000,-0.000039,0.306380,9.287859,3.142914
11.000000,1413393900.055760,1.000000,1.015747,1.157850,-0.004752,0.022947,0.083074,-0.000007,0.000000,0.000004,0.093846,9.313396,3.080251
12.000000,1413393901.055760,1.000000,0.970609,1.157850,-0.002668,0.022784,0.078513,-0.000008,-0.000000,0.000003,-0.023152,9.313228,3.082102
13.000000,1413393902.055760,1.000000,0.968959,1.157850,-0.000724,0.023816,0.077506,0.000012,0.000001,-0.000004,0.057023,9.323294,3.051073
14.000000,1413393903.055760,1.000000,0.923222,1.157850,0.003065,0.018983,0.081217,-0.000042,-0.000000,0.000017,0.091259,9.309027,3.093508
15.000000,1413393906.055760,1.000000,1.043602,1.157850,-0.001082,0.022082,0.082951,0.000002,0.000001,-0.000002,0.149511,9.351307,2.960878
16.000000,1413393906.055760,1.000000,1.043602,1.157850,-0.001082,0.022082,0.082951,0.000002,0.000001,-0.000002,0.149511,9.351307,2.960878
17.000000,1413393906.055760,1.000000,1.043602,1.157850,-0.001082,0.022082,0.082951,0.000002,0.000001,-0.000002,0.149511,9.351307,2.960878
18.000000,1413393907.055760,1.000000,0.965483,1.157850,-0.002268,0.025541,0.078231,0.000019,0.000001,-0.000006,0.155117,9.337198,3.004792
19.000000,1413393908.055760,1.000000,0.969800,1.157850,-0.001204,0.025962,0.079543,-0.000014,-0.000003,0.000005,0.205091,9.355668,2.943726
20.000000,1413393909.055760,1.000000,0.990420,1.157850,-0.003463,0.026179,0.075075,-0.000004,-0.000000,0.000002,0.188689,9.373297,2.888219
21.000000,1413393910.055760,1.000000,0.977995,1.157850,-0.001616,0.023037,0.081459,-0.000023,0.000001,0.000014,0.166770,9.374092,2.886986
22.000000,1413393911.055760,1.000000,0.904510,1.157850,-0.002097,0.027203,0.076811,-0.000037,0.000000,0.000011,0.145088,9.424216,2.720149
23.000000,1413393912.055760,1.000000,1.002721,1.157850,0.000334,0.020268,0.083609,-0.000006,-0.000000,0.000000,0.158444,9.370620,2.898704
24.000000,1413393913.055760,1.000000,1.002709,1.157850,0.001964,0.022660,0.089785,0.000047,-0.000012,-0.000008,0.176785,9.355863,2.944941
25.000000,1413393914.055760,1.000000,1.037013,1.157850,0.001117,0.026363,0.084405,-0.000020,0.000001,0.000002,0.039362,9.397012,2.816152
26.000000,1413393915.055760,1.000000,1.022246,1.157850,-0.003838,0.024950,0.080034,-0.000019,-0.000001,0.000007,-0.018738,9.421325,2.733933
27.000000,1413393916.055760,1.000000,0.778406,1.157850,0.001226,0.021668,0.078794,-0.000003,0.000007,0.000012,-0.098479,9.374466,2.888907
28.000000,1413393917.055760,1.000000,1.052730,1.157850,0.006204,0.019996,0.085380,-0.000014,0.000002,0.000011,-0.123777,9.339040,3.000520
29.000000,1413393918.055760,1.000000,0.757244,1.157850,0.008352,0.019565,0.090877,-0.000046,0.000018,0.000009,-0.350427,9.297018,3.111070
30.000000,1413393919.055760,1.000000,0.873808,1.157850,-0.000289,0.022221,0.091161,-0.000021,0.000005,0.000003,0.147434,9.282486,3.170146
31.000000,1413393922.055760,1.000000,1.023267,1.157850,-0.001087,0.027256,0.076864,-0.000034,0.000000,0.000015,0.066769,9.328250,3.035686
32.000000,1413393922.055760,1.000000,1.023267,1.157850,-0.001087,0.027256,0.076864,-0.000034,0.000000,0.000015,0.066769,9.328250,3.035686
33.000000,1413393922.055760,1.000000,1.023267,1.157850,-0.001087,0.027256,0.076864,-0.000034,0.000000,0.000015,0.066769,9.328250,3.035686
34.000000,1413393923.055760,1.000000,1.023655,1.157850,-0.006446,0.027183,0.076760,-0.000001,-0.000001,-0.000003,-0.017610,9.316840,3.071202
35.000000,1413393924.055760,1.000000,1.019933,1.157850,0.000999,0.022366,0.075752,-0.000005,-0.000000,0.000003,-0.152305,9.264840,3.221125
36.000000,1413393925.055760,1.000000,0.956532,1.157850,-0.002702,0.018675,0.080372,-0.000003,0.000000,0.000004,-0.144409,9.331737,3.022241
37.000000,1413393926.055760,1.000000,0.886227,1.157850,-0.002022,0.026361,0.078817,-0.000007,0.000000,0.000003,-0.042696,9.297250,3.129763
38.000000,1413393927.055760,1.000000,1.022514,1.157850,-0.008312,0.023384,0.082238,0.000007,0.000001,-0.000002,-0.087462,9.340943,2.995871
39.000000,1413393928.055760,1.000000,0.989677,1.157850,0.002754,0.021539,0.078651,-0.000026,-0.000000,0.000006,-0.065529,9.321503,3.056369
40.000000,1413393929.055760,1.000000,0.502715,1.157850,0.001832,0.018948,0.081540,0.000041,-0.000011,-0.000011,0.071097,9.287157,3.159075
41.000000,1413393930.055760,1.000000,0.906501,1.157850,-0.002259,0.027399,0.080009,-0.000026,0.000001,0.000007,-0.054086,9.279354,3.182259
42.000000,1413393931.055760,1.000000,1.095727,1.157850,0.001912,0.025680,0.078907,-0.000004,0.000001,0.000002,0.097265,9.306343,3.101389
43.000000,1413393932.055760,1.000000,0.937130,1.157850,-0.002917,0.025973,0.079754,-0.000004,0.000000,0.000001,-0.041773,9.327805,3.037499
44.000000,1413393933.055760,1.000000,0.992885,1.157850,0.000119,0.024089,0.078929,0.000004,-0.000002,-0.000001,-0.055917,9.323006,3.051972
45.000000,1413393934.055760,1.000000,1.002326,1.157850,-0.004733,0.026664,0.078323,-0.000001,-0.000001,-0.000001,0.002103,9.318133,3.067327
46.000000,1413393935.055760,1.000000,0.973409,1.157850,-0.010412,0.026912,0.071915,-0.000002,-0.000000,-0.000000,-0.107824,9.319679,3.060730
47.000000,1413393936.055760,1.000000,0.932768,1.157850,-0.007233,0.026532,0.074831,-0.000021,-0.000002,0.000002,-0.162531,9.375433,2.882871
