# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1413394886.605761,1.000000,2.200115,3.607802,-0.001730,0.023550,0.081848,-1.860086,5.614469,-6.447062,5.589363,11.288380,-3.735340
1.000000,1413394886.605761,1.000000,2.200115,3.607802,-0.001730,0.023550,0.081848,-1.860086,5.614469,-6.447062,5.589363,11.288380,-3.735340
2.000000,1413394886.605761,1.000000,2.200115,3.607802,-0.001730,0.023550,0.081848,-1.860086,5.614469,-6.447062,5.589363,11.288380,-3.735340
3.000000,1413394886.605761,1.000000,2.200115,3.607802,-0.001730,0.023550,0.081848,-1.860086,5.614469,-6.447062,5.589363,11.288380,-3.735340
4.000000,1413394887.605761,1.000000,3.639520,3.607802,-0.002350,0.024256,0.080805,0.677764,-5.688952,1.387639,-5.790569,8.950780,4.153352
5.000000,1413394888.605761,1.000000,3.452544,3.607802,-0.002093,0.026052,0.084881,0.106651,3.479593,0.318552,3.350269,9.404088,2.967980
6.000000,1413394889.605761,1.000000,3.377427,3.607802,-0.001997,0.017978,0.080832,0.016187,-7.015108,0.275950,-7.090964,9.342723,2.787046
7.000000,1413394890.605761,1.000000,3.503880,3.607802,-0.001431,0.030872,0.076440,1.034638,28.685691,1.714414,28.629199,9.076773,4.577893
8.000000,1413394892.605761,1.000000,2.590248,3.607802,-0.005730,0.024467,0.074644,-0.089771,0.759088,-0.211006,0.714003,9.393816,2.853974
9.000000,1413394892.605761,1.000000,2.590248,3.607802,-0.005730,0.024467,0.074644,-0.089771,0.759088,-0.211006,0.714003,9.393816,2.853974
10.000000,1413394893.605761,1.000000,1.043553,3.607802,-0.009784,0.024229,0.075872,-2.045764,-0.320527,-7.492290,6.106431,10.451985,-1.049986
11.000000,1413394894.605761,1.000000,2.549152,3.607802,-0.005653,0.024078,0.077810,-1.082495,-0.038536,-3.596349,3.512214,9.778313,1.489039
12.000000,1413394895.605761,1.000000,2.837300,3.607802,-0.004011,0.021220,0.078426,-4.945403,-0.776144,-13.281743,13.425331,10.706905,-1.833155
13.000000,1413394896.605761,1.000000,3.723595,3.607802,-0.000074,0.025980,0.082975,1.007978,-0.213432,3.553281,-3.682501,9.301176,3.133212
14.000000,1413394897.605761,1.000000,3.372516,3.607802,-0.001285,0.025731,0.082359,0.532826,-1.816326,1.714960,-2.240638,9.804605,1.238840
15.000000,1413394898.605761,1.000000,2.804713,3.607802,-0.000899,0.021677,0.076558,1.519955,-1.875019,2.967455,-3.209099,9.888004,1.166883
16.000000,1413394899.605761,1.000000,3.512452,3.607802,-0.007286,0.025120,0.079471,-0.064470,0.041227,-0.041524,0.115697,9.480588,2.519209
17.000000,1413394900.605761,1.000000,3.536417,3.607802,-0.005428,0.025552,0.076956,-0.235375,-0.086632,-0.526010,0.580022,9.360651,2.925009
