# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1413394886.705761,1.000000,0.841976,-1.000000,-0.001897,0.024499,0.081295,-0.369948,0.799597,-1.247209,0.700831,9.803927,1.398937
1.000000,1413394886.705761,1.000000,0.841976,-1.000000,-0.001897,0.024499,0.081295,-0.369948,0.799597,-1.247209,0.700831,9.803927,1.398937
2.000000,1413394886.705761,1.000000,0.841976,-1.000000,-0.001897,0.024499,0.081295,-0.369948,0.799597,-1.247209,0.700831,9.803927,1.398937
3.000000,1413394886.705761,1.000000,0.841976,-1.000000,-0.001897,0.024499,0.081295,-0.369948,0.799597,-1.247209,0.700831,9.803927,1.398937
4.000000,1413394886.705761,1.000000,0.841976,-1.000000,-0.001897,0.024499,0.081295,-0.369948,0.799597,-1.247209,0.700831,9.803927,1.398937
5.000000,1413394886.705761,1.000000,0.841976,-1.000000,-0.001897,0.024499,0.081295,-0.369948,0.799597,-1.247209,0.700831,9.803927,1.398937
6.000000,1413394887.705761,1.000000,1.079240,-1.000000,-0.002740,0.023937,0.080887,0.757861,-1.912352,1.827429,-2.005460,8.883882,4.563908
7.000000,1413394888.705761,1.000000,1.099931,-1.000000,-0.001381,0.027585,0.083459,-0.398804,-4.535435,-0.576963,-4.624312,9.606472,1.895667
8.000000,1413394889.705761,1.000000,1.014172,-1.000000,-0.002349,0.014655,0.083192,-0.588244,-8.549984,-0.845393,-8.681095,9.596766,1.635816
9.000000,1413394890.705761,1.000000,0.955440,-1.000000,-0.000168,0.031203,0.075973,0.811478,8.697309,1.611332,8.582152,9.105855,4.305537
10.000000,1413394892.705761,1.000000,0.836848,-1.000000,-0.007445,0.022412,0.075150,0.029029,0.240117,0.189663,-0.002584,9.394143,2.842367
11.000000,1413394892.705761,1.000000,0.836848,-1.000000,-0.007445,0.022412,0.075150,0.029029,0.240117,0.189663,-0.002584,9.394143,2.842367
12.000000,1413394893.705761,1.000000,0.768344,-1.000000,-0.008133,0.021806,0.074569,-0.566018,0.009206,-2.110119,1.693597,9.732329,1.633683
13.000000,1413394894.705761,1.000000,0.438309,-1.000000,-0.005555,0.023889,0.077231,-3.369973,5.350494,-11.255902,12.437977,9.036212,4.887544
14.000000,1413394895.705761,1.000000,0.923434,-1.000000,-0.003908,0.022912,0.078758,-1.680801,0.424397,-4.346051,4.508214,9.737850,1.722032
15.000000,1413394896.705761,1.000000,1.027519,-1.000000,0.001949,0.023996,0.083471,3.697205,-0.726588,12.066841,-12.477042,8.729086,4.895297
16.000000,1413394897.705761,1.000000,0.815205,-1.000000,-0.002938,0.025927,0.080804,1.092196,0.724911,4.038016,-3.991218,8.983086,4.315635
17.000000,1413394898.705761,1.000000,0.979215,-1.000000,-0.000553,0.020566,0.078594,-0.317151,-1.441507,-1.603298,1.488213,9.891329,1.007744
18.000000,1413394899.705761,1.000000,0.893982,-1.000000,-0.007501,0.026364,0.077701,-0.135048,0.112896,-0.289476,0.275696,9.425017,2.727518
19.000000,1413394901.705761,1.000000,0.703708,-1.000000,-0.005730,0.024297,0.073974,-0.017413,-0.367465,-0.335707,0.349388,9.428212,2.721240
20.000000,1413394901.705761,1.000000,0.703708,-1.000000,-0.005730,0.024297,0.073974,-0.017413,-0.367465,-0.335707,0.349388,9.428212,2.721240
21.000000,1413394902.705761,1.000000,0.932905,-1.000000,-0.001176,0.022849,0.083331,-0.247740,0.381447,-0.425750,-0.326045,9.366569,2.957408
22.000000,1413394903.705761,1.000000,0.955425,-1.000000,0.002019,0.023442,0.083948,-0.296672,-0.420351,-0.579363,0.543861,9.295339,3.179433
23.000000,1413394904.705761,1.000000,1.063203,-1.000000,-0.002396,0.022349,0.083181,0.011994,0.518435,0.037559,-0.363253,9.384535,2.882964
24.000000,1413394905.705761,1.000000,0.887508,-1.000000,0.000123,0.026033,0.081703,0.008003,-2.704421,0.265348,1.243547,10.105487,0.014117
25.000000,1413394907.705761,1.000000,0.979694,-1.000000,-0.005588,0.025803,0.082232,-0.485715,3.697890,-0.452617,0.158928,8.570437,6.079634
26.000000,1413394907.705761,1.000000,0.979694,-1.000000,-0.005588,0.025803,0.082232,-0.485715,3.697890,-0.452617,0.158928,8.570437,6.079634
27.000000,1413394908.705761,1.000000,0.920699,-1.000000,0.000740,0.022714,0.082955,0.300452,-1.094826,0.886222,-0.832211,9.790316,1.341794
28.000000,1413394909.705761,1.000000,0.978686,-1.000000,-0.001571,0.023915,0.081115,-0.256954,-5.980718,-0.700690,-0.161234,10.994018,-3.408615
29.000000,1413394910.705761,1.000000,1.048092,-1.000000,-0.000038,0.025873,0.079305,-0.352817,-0.000527,-0.960374,0.894230,9.527038,2.383042
30.000000,1413394911.705761,1.000000,1.256494,-1.000000,0.000292,0.026556,0.081886,-0.575971,4.295124,-0.338536,1.179278,8.504873,6.358576
31.000000,1413394912.705761,1.000000,0.865900,-1.000000,-0.005091,0.026058,0.080298,-0.253559,-0.891460,-0.796236,0.104876,9.783798,1.397321
32.000000,1413394913.705761,1.000000,0.975078,-1.000000,-0.007102,0.021890,0.074041,-0.002960,0.360699,0.064174,-0.116279,9.411195,2.787827
