# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1413394886.705761,1.000000,0.886962,-1.000000,-0.001897,0.024499,0.081295,-0.000001,0.000000,0.000000,-0.112218,9.447233,2.640701
1.000000,1413394886.705761,1.000000,0.886962,-1.000000,-0.001897,0.024499,0.081295,-0.000001,0.000000,0.000000,-0.112218,9.447233,2.640701
2.000000,1413394886.705761,1.000000,0.886962,-1.000000,-0.001897,0.024499,0.081295,-0.000001,0.000000,0.000000,-0.112218,9.447233,2.640701
3.000000,1413394886.705761,1.000000,0.886962,-1.000000,-0.001897,0.024499,0.081295,-0.000001,0.000000,0.000000,-0.112218,9.447233,2.640701
4.000000,1413394886.705761,1.000000,0.886962,-1.000000,-0.001897,0.024499,0.081295,-0.000001,0.000000,0.000000,-0.112218,9.447233,2.640701
5.000000,1413394886.705761,1.000000,0.886962,-1.000000,-0.001897,0.024499,0.081295,-0.000001,0.000000,0.000000,-0.112218,9.447233,2.640701
6.000000,1413394887.705761,1.000000,1.090733,-1.000000,-0.002740,0.023937,0.080887,0.000002,0.000000,-0.000000,-0.112225,9.443090,2.655476
7.000000,1413394888.705761,1.000000,1.044129,-1.000000,-0.001381,0.027585,0.083459,-0.000067,0.000001,0.000011,-0.096330,9.457679,2.603675
8.000000,1413394889.705761,1.000000,0.972792,-1.000000,-0.002349,0.014655,0.083192,0.000076,-0.000006,-0.000027,-0.137425,9.492342,2.472379
9.000000,1413394890.705761,1.000000,0.941499,-1.000000,-0.000168,0.031203,0.075973,0.000052,-0.000000,-0.000012,-0.118259,9.471765,2.551035
10.000000,1413394892.705761,1.000000,0.839198,-1.000000,-0.007445,0.022412,0.075150,-0.000010,0.000002,0.000007,-0.046799,9.470961,2.556326
11.000000,1413394892.705761,1.000000,0.839198,-1.000000,-0.007445,0.022412,0.075150,-0.000010,0.000002,0.000007,-0.046799,9.470961,2.556326
12.000000,1413394893.705761,1.000000,0.984814,-1.000000,-0.008133,0.021806,0.074569,0.000019,-0.000001,-0.000007,-0.101735,9.484237,2.504997
13.000000,1413394894.705761,1.000000,0.880136,-1.000000,-0.005555,0.023889,0.077231,0.000015,-0.000000,-0.000005,-0.122358,9.487714,2.490865
14.000000,1413394895.705761,1.000000,1.036061,-1.000000,-0.003908,0.022912,0.078758,-0.000051,0.000005,0.000018,-0.101011,9.474618,2.541163
15.000000,1413394896.705761,1.000000,0.968144,-1.000000,0.001949,0.023996,0.083471,-0.000052,0.000014,0.000017,-0.116029,9.502008,2.436079
16.000000,1413394897.705761,1.000000,0.974312,-1.000000,-0.002938,0.025927,0.080804,-0.000009,0.000000,0.000003,-0.054234,9.482611,2.512619
17.000000,1413394898.705761,1.000000,0.910361,-1.000000,-0.000553,0.020566,0.078594,0.000014,0.000001,-0.000007,0.001775,9.459155,2.600093
18.000000,1413394899.705761,1.000000,0.892500,-1.000000,-0.007501,0.026364,0.077701,-0.000023,0.000000,0.000003,0.041652,9.484564,2.505477
19.000000,1413394901.705761,1.000000,0.774904,-1.000000,-0.005730,0.024297,0.073974,0.000013,-0.000002,-0.000006,0.051310,9.498793,2.450796
20.000000,1413394901.705761,1.000000,0.774904,-1.000000,-0.005730,0.024297,0.073974,0.000013,-0.000002,-0.000006,0.051310,9.498793,2.450796
21.000000,1413394902.705761,1.000000,0.967095,-1.000000,-0.001996,0.022729,0.083533,-0.000075,0.000013,0.000023,0.148534,9.462302,2.584354
22.000000,1413394903.705761,1.000000,0.970092,-1.000000,0.002019,0.023442,0.083948,-0.000035,-0.000005,0.000002,0.112105,9.466422,2.571069
23.000000,1413394904.705761,1.000000,1.030591,-1.000000,-0.002396,0.022349,0.083181,-0.000012,0.000005,0.000007,0.022660,9.476758,2.535082
24.000000,1413394905.705761,1.000000,0.886273,-1.000000,0.000123,0.026033,0.081703,0.000030,-0.000005,-0.000009,-0.032177,9.530144,2.326245
25.000000,1413394907.705761,1.000000,0.979699,-1.000000,-0.005588,0.025803,0.082232,-0.000081,-0.000001,0.000028,-0.158552,9.491388,2.474778
26.000000,1413394907.705761,1.000000,0.979699,-1.000000,-0.005588,0.025803,0.082232,-0.000081,-0.000001,0.000028,-0.158552,9.491388,2.474778
27.000000,1413394908.705761,1.000000,0.945665,-1.000000,0.000740,0.022714,0.082955,0.000054,-0.000001,-0.000007,-0.027826,9.488399,2.491108
28.000000,1413394909.705761,1.000000,0.999093,-1.000000,-0.001571,0.023915,0.081115,0.000012,-0.000002,-0.000005,-0.068427,9.503804,2.430868
29.000000,1413394910.705761,1.000000,1.051648,-1.000000,-0.000038,0.025873,0.079305,-0.000034,0.000003,-0.000009,-0.101450,9.491827,2.476092
30.000000,1413394911.705761,1.000000,1.013774,-1.000000,0.000292,0.026556,0.081886,-0.000043,-0.000001,0.000014,-0.174614,9.486363,2.492895
31.000000,1413394912.705761,1.000000,0.878975,-1.000000,-0.005091,0.026058,0.080298,-0.000002,-0.000003,-0.000003,-0.206940,9.476642,2.527158
32.000000,1413394913.705761,1.000000,0.964180,-1.000000,-0.007102,0.021890,0.074041,0.000005,0.000007,0.000001,0.010982,9.493314,2.472443
33.000000,1413394914.705761,1.000000,1.009081,-1.000000,-0.009635,0.025322,0.076635,-0.000022,0.000005,0.000012,0.060113,9.490682,2.481824
34.000000,1413394915.705761,1.000000,1.015286,-1.000000,-0.005952,0.019438,0.076877,0.000011,0.000007,0.000005,0.164763,9.445679,2.643501
35.000000,1413394916.705761,1.000000,0.999313,-1.000000,-0.007292,0.023472,0.077416,-0.000036,0.000013,0.000013,0.058891,9.427089,2.713416
36.000000,1413394917.755760,1.000000,0.978878,-1.000000,-0.001649,0.018597,0.074527,-0.000017,-0.000003,0.000001,0.029889,9.412304,2.764732
37.000000,1413394919.755760,1.000000,0.930157,-1.000000,-0.002125,0.023192,0.080297,-0.000012,0.000000,0.000006,-0.019445,9.428003,2.710809
38.000000,1413394919.755760,1.000000,0.930157,-1.000000,-0.002125,0.023192,0.080297,-0.000012,0.000000,0.000006,-0.019445,9.428003,2.710809
39.000000,1413394920.755760,1.000000,0.966065,-1.000000,-0.001566,0.025017,0.078105,0.000015,0.000001,-0.000004,-0.056586,9.449879,2.632998
40.000000,1413394921.755760,1.000000,0.970970,-1.000000,-0.007210,0.022939,0.078646,0.000015,0.000000,-0.000007,-0.049910,9.455867,2.611548
41.000000,1413394922.755760,1.000000,0.955447,-1.000000,-0.011580,0.019388,0.080777,-0.000015,-0.000006,0.000003,-0.063735,9.442378,2.659613
42.000000,1413394924.755760,1.000000,0.824661,-1.000000,-0.005916,0.031346,0.072722,-0.000022,-0.000002,0.000008,0.009608,9.414054,2.758912
43.000000,1413394924.755760,1.000000,0.824661,-1.000000,-0.005916,0.031346,0.072722,-0.000022,-0.000002,0.000008,0.009608,9.414054,2.758912
44.000000,1413394925.755760,1.000000,0.671080,-1.000000,-0.001298,0.025084,0.077072,0.000002,-0.000000,-0.000001,0.155636,9.470477,2.553811
45.000000,1413394926.755760,1.000000,0.941022,-1.000000,-0.000945,0.021754,0.078622,-0.000017,-0.000001,0.000007,0.083707,9.521671,2.359423
46.000000,1413394927.755760,1.000000,1.048395,-1.000000,-0.000206,0.020959,0.082817,-0.000033,-0.000001,0.000010,0.058503,9.496065,2.461185
47.000000,1413394928.755760,1.000000,0.709491,-1.000000,-0.000417,0.024704,0.080435,-0.000024,-0.000000,0.000008,-0.132026,9.495140,2.461909
48.000000,1413394929.755760,1.000000,0.802496,-1.000000,-0.002933,0.022599,0.079003,-0.000061,0.000003,0.000025,-0.112193,9.490564,2.480465
49.000000,1413394930.755760,1.000000,0.824917,-1.000000,-0.001267,0.028764,0.084085,0.000044,0.000002,-0.000004,0.043193,9.474915,2.541697
50.000000,1413394931.755760,1.000000,0.908887,-1.000000,-0.006042,0.026881,0.074897,0.000001,0.000003,0.000004,0.139936,9.498726,2.447595
51.000000,1413394932.755760,1.000000,0.918132,-1.000000,-0.004246,0.026389,0.073378,-0.000002,-0.000002,-0.000005,0.247841,9.463545,2.572158
52.000000,1413394933.755760,1.000000,0.920188,-1.000000,-0.004268,0.027402,0.076090,-0.000009,-0.000002,0.000000,0.308004,9.445175,2.632471
53.000000,1413394934.755760,1.000000,0.937739,-1.000000,-0.000417,0.023973,0.082542,-0.000015,0.000001,0.000004,0.307364,9.431802,2.680065
54.000000,1413394936.705761,1.000000,0.929490,-1.000000,0.001190,0.023218,0.078129,-0.000054,0.000002,0.000023,0.220954,9.408659,2.768469
55.000000,1413394936.705761,1.000000,0.929490,-1.000000,0.001190,0.023218,0.078129,-0.000054,0.000002,0.000023,0.220954,9.408659,2.768469
56.000000,1413394937.755760,1.000000,0.926953,-1.000000,0.001479,0.022598,0.081527,-0.000008,0.000013,0.000003,0.300955,9.411971,2.749604
57.000000,1413394938.755760,1.000000,0.935690,-1.000000,0.001968,0.023354,0.084087,-0.000039,0.000004,0.000015,0.329714,9.441140,2.644290
58.000000,1413394940.755760,1.000000,0.894485,-1.000000,-0.000336,0.022685,0.076158,0.000002,-0.000002,-0.000005,0.296188,9.459083,2.583432
59.000000,1413394940.755760,1.000000,0.894485,-1.000000,-0.000336,0.022685,0.076158,0.000002,-0.000002,-0.000005,0.296188,9.459083,2.583432
60.000000,1413394941.755760,1.000000,0.983927,-1.000000,0.000407,0.024164,0.084208,-0.000007,0.000003,0.000008,0.226763,9.435645,2.674561
61.000000,1413394942.755760,1.000000,1.010346,-1.000000,0.000126,0.029446,0.088612,-0.000049,0.000014,0.000003,0.338177,9.492195,2.453562
62.000000,1413394943.755760,1.000000,1.038425,-1.000000,0.003038,0.021580,0.077274,0.000015,-0.000000,-0.000006,0.157049,9.471468,2.550045
63.000000,1413394944.755760,1.000000,1.006854,-1.000000,0.009992,0.018628,0.084935,-0.000017,0.000001,0.000003,0.042318,9.449634,2.634146
64.000000,1413394945.755760,1.000000,1.052606,-1.000000,0.007459,0.021216,0.094247,-0.000007,0.000008,0.000008,0.213291,9.414104,2.750500
65.000000,1413394946.755760,1.000000,0.953391,-1.000000,0.001154,0.017647,0.085221,-0.000018,0.000001,-0.000000,0.273763,9.378466,2.864530
66.000000,1413394947.755760,1.000000,0.966252,-1.000000,-0.002265,0.019215,0.081549,-0.000019,-0.000000,-0.000001,0.348627,9.386846,2.828724
67.000000,1413394948.755760,1.000000,0.902300,-1.000000,-0.005863,0.025703,0.075954,-0.000005,-0.000001,0.000007,0.395493,9.388004,2.818700
68.000000,1413394949.755760,1.000000,0.892942,-1.000000,-0.003566,0.030799,0.076551,-0.000009,-0.000005,0.000005,0.332650,9.390491,2.818533
69.000000,1413394951.755760,1.000000,0.892150,-1.000000,-0.002436,0.024642,0.080069,-0.000022,0.000001,0.000013,0.264584,9.383059,2.850315
70.000000,1413394951.755760,1.000000,0.892150,-1.000000,-0.002436,0.024642,0.080069,-0.000022,0.000001,0.000013,0.264584,9.383059,2.850315
71.000000,1413394952.755760,1.000000,0.978263,-1.000000,-0.005094,0.032462,0.075172,-0.000033,-0.000001,0.000012,0.172045,9.404462,2.786142
72.000000,1413394953.755760,1.000000,1.138831,-1.000000,-0.006535,0.029047,0.077330,-0.000017,-0.000001,0.000011,0.152325,9.390172,2.835060
73.000000,1413394954.755760,1.000000,1.036759,-1.000000,-0.003972,0.023594,0.078903,-0.000016,0.000000,0.000003,0.041169,9.396327,2.818413
74.000000,1413394955.755760,1.000000,1.016848,-1.000000,-0.005337,0.023649,0.075964,-0.000008,-0.000000,-0.000003,-0.072414,9.396742,2.816397
75.000000,1413394956.755760,1.000000,0.990305,-1.000000,-0.002122,0.024570,0.078755,-0.000033,0.000000,0.000009,-0.034221,9.395820,2.820194
76.000000,1413394958.755760,1.000000,0.943269,-1.000000,-0.003506,0.032489,0.080022,-0.000038,-0.000001,0.000018,0.003289,9.452841,2.622955
77.000000,1413394958.755760,1.000000,0.943269,-1.000000,-0.003506,0.032489,0.080022,-0.000038,-0.000001,0.000018,0.003289,9.452841,2.622955
78.000000,1413394959.755760,1.000000,1.114288,-1.000000,-0.002806,0.022631,0.073246,0.000037,-0.000008,-0.000044,0.038621,9.509854,2.407757
79.000000,1413394960.755760,1.000000,1.158400,-1.000000,-0.002111,0.019833,0.080324,-0.000044,-0.000001,0.000010,0.052032,9.506594,2.420342
80.000000,1413394961.755760,1.000000,0.956031,-1.000000,-0.003663,0.028207,0.080887,-0.000014,-0.000001,0.000005,0.079473,9.482135,2.513741
81.000000,1413394962.755760,1.000000,0.945552,-1.000000,-0.005151,0.023172,0.076744,-0.000019,-0.000000,-0.000000,0.096042,9.478447,2.527036
82.000000,1413394963.755760,1.000000,1.049775,-1.000000,-0.003530,0.031966,0.077361,-0.000041,-0.000001,0.000013,0.113838,9.500492,2.442086
83.000000,1413394964.755760,1.000000,0.995829,-1.000000,-0.004282,0.021125,0.080854,-0.000016,0.000004,0.000012,0.272066,9.484995,2.489368
84.000000,1413394965.755760,1.000000,0.996895,-1.000000,-0.003525,0.019495,0.072986,0.000015,0.000003,0.000006,0.233386,9.481388,2.506974
85.000000,1413394966.755760,1.000000,0.777476,-1.000000,0.001128,0.029127,0.074903,0.000070,-0.000007,-0.000028,0.306227,9.485563,2.483229
86.000000,1413394967.755760,1.000000,0.936854,-1.000000,-0.004171,0.019743,0.076573,-0.000030,-0.000002,0.000013,0.316463,9.478457,2.508945
87.000000,1413394968.755760,1.000000,0.915195,-1.000000,-0.002370,0.026809,0.076750,-0.000016,-0.000001,0.000004,0.343447,9.465054,2.555560
88.000000,1413394969.755760,1.000000,0.957194,-1.000000,-0.001866,0.023862,0.075893,-0.000017,0.000002,0.000002,0.353682,9.457018,2.583761
89.000000,1413394971.755760,1.000000,0.991327,-1.000000,0.004377,0.017864,0.087989,-0.000031,0.000023,0.000016,0.270354,9.500496,2.429728
90.000000,1413394971.755760,1.000000,0.991327,-1.000000,0.004377,0.017864,0.087989,-0.000031,0.000023,0.000016,0.270354,9.500496,2.429728
91.000000,1413394972.755760,1.000000,0.797309,-1.000000,0.005603,0.017283,0.084599,0.000014,-0.000008,0.000007,0.143343,9.518534,2.369189
92.000000,1413394973.755760,1.000000,1.069175,-1.000000,0.002880,0.020480,0.085763,0.000005,0.000002,0.000001,0.125328,9.516385,2.378824
93.000000,1413394974.755760,1.000000,0.954731,-1.000000,-0.002111,0.026980,0.083171,-0.000029,0.000001,0.000009,-0.015839,9.482818,2.512372
94.000000,1413394975.755760,1.000000,0.933949,-1.000000,-0.000301,0.026384,0.077027,-0.000020,0.000000,0.000006,-0.012910,9.476840,2.534844
95.000000,1413394976.755760,1.000000,0.898046,-1.000000,-0.003015,0.023865,0.079991,-0.000004,0.000000,0.000004,-0.030674,9.505668,2.424342
96.000000,1413394977.705761,1.000000,0.860929,-1.000000,-0.001637,0.022066,0.083141,-0.000036,-0.000002,0.000012,0.085080,9.481741,2.515044
97.000000,1413394978.705761,1.000000,0.943945,-1.000000,-0.002268,0.018850,0.086035,-0.000031,0.000001,0.000008,0.015315,9.490804,2.482035
98.000000,1413394980.705761,1.000000,0.920871,-1.000000,-0.000844,0.026622,0.078489,-0.000012,0.000001,0.000004,-0.009690,9.498066,2.454128
99.000000,1413394980.705761,1.000000,0.920871,-1.000000,-0.000844,0.026622,0.078489,-0.000012,0.000001,0.000004,-0.009690,9.498066,2.454128
100.000000,1413394981.705761,1.000000,0.951828,-1.000000,0.004494,0.020209,0.083514,-0.000022,0.000005,0.000012,-0.018013,9.468315,2.566474
101.000000,1413394982.705761,1.000000,1.026214,-1.000000,-0.002935,0.026050,0.081568,0.000003,-0.000003,-0.000001,0.072094,9.449883,2.632606
102.000000,1413394983.705761,1.000000,0.949769,-1.000000,-0.003722,0.026100,0.077978,-0.000014,0.000003,0.000006,0.061574,9.467856,2.567491
103.000000,1413394984.705761,1.000000,0.982309,-1.000000,-0.002626,0.024266,0.078741,-0.000004,-0.000001,0.000001,0.027240,9.469531,2.561900
104.000000,1413394985.705761,1.000000,1.011305,-1.000000,-0.005472,0.022375,0.079422,-0.000039,-0.000000,0.000014,0.043372,9.458375,2.602567
105.000000,1413394986.705761,1.000000,1.015324,-1.000000,-0.006218,0.019727,0.081598,-0.000036,-0.000001,0.000011,0.025907,9.467467,2.569533
106.000000,1413394987.705761,1.000000,1.007087,-1.000000,0.000857,0.023229,0.077092,-0.000041,0.000007,0.000015,0.018737,9.437927,2.676057
107.000000,1413394988.705761,1.000000,0.895986,-1.000000,0.003092,0.033213,0.069270,-0.000055,0.000005,0.000001,-0.014688,9.443871,2.655029
108.000000,1413394990.705761,1.000000,0.871161,-1.000000,-0.002776,0.023137,0.078949,0.000003,0.000001,-0.000001,-0.161710,9.496003,2.456801
109.000000,1413394990.705761,1.000000,0.871161,-1.000000,-0.002776,0.023137,0.078949,0.000003,0.000001,-0.000001,-0.161710,9.496003,2.456801
110.000000,1413394991.705761,1.000000,0.922562,-1.000000,-0.001585,0.023702,0.081803,-0.000020,0.000003,0.000007,-0.142120,9.456654,2.605303
111.000000,1413394992.705761,1.000000,0.975382,-1.000000,-0.003721,0.024656,0.078993,-0.000010,-0.000000,0.000003,-0.075798,9.449335,2.634466
112.000000,1413394993.705761,1.000000,0.894488,-1.000000,0.000839,0.023790,0.081752,-0.000054,0.000003,0.000011,0.041005,9.439023,2.671939
113.000000,1413394994.705761,1.000000,0.983748,-1.000000,-0.001696,0.023101,0.079474,-0.000006,0.000000,0.000002,0.020484,9.448939,2.636897
