# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,1.000000,0.710095,0.692800,-0.003936,0.024106,0.077192,-0.000010,0.000001,0.000004,0.170508,9.349086,2.966753
1.000000,0.000000,1.000000,0.759516,0.692800,-0.003218,0.021414,0.081600,0.000005,-0.000000,-0.000002,0.241487,9.340121,2.989972
2.000000,0.000000,1.000000,0.712101,0.692800,-0.002138,0.020480,0.080129,-0.000003,0.000000,0.000001,0.186194,9.347999,2.969232
3.000000,0.000000,1.000000,0.766599,0.692800,-0.004726,0.025371,0.076563,-0.000007,-0.000000,0.000002,0.231524,9.334714,3.007593
4.000000,0.000000,1.000000,0.707539,0.692800,-0.002500,0.017952,0.083230,-0.000004,-0.000000,0.000001,0.191605,9.351027,2.959337
5.000000,0.000000,1.000000,0.769959,0.692800,-0.005184,0.024955,0.076112,-0.000035,-0.000001,0.000012,0.248020,9.335194,3.004786
6.000000,0.000000,1.000000,0.717003,0.692800,-0.001840,0.020507,0.080025,-0.000035,0.000002,0.000030,0.181029,9.339392,2.996512
7.000000,0.000000,1.000000,0.717003,0.692800,-0.001840,0.020507,0.080025,-0.000035,0.000002,0.000030,0.181029,9.339392,2.996512
8.000000,0.000000,1.000000,0.608653,0.692800,-0.002989,0.021533,0.079781,-0.000031,0.000002,0.000027,0.322190,9.321519,3.039998
9.000000,0.000000,1.000000,0.803071,0.692800,-0.005537,0.023105,0.077883,-0.000037,0.000003,0.000032,0.162679,9.337096,3.004710
10.000000,0.000000,1.000000,0.797903,0.692800,-0.000552,0.017516,0.082634,-0.000037,0.000002,0.000032,0.123251,9.336768,3.007602
11.000000,0.000000,1.000000,0.797903,0.692800,-0.000552,0.017516,0.082634,-0.000037,0.000002,0.000032,0.123251,9.336768,3.007602
12.000000,0.000000,1.000000,0.728771,0.692800,-0.006649,0.023944,0.077861,-0.000037,0.000002,0.000027,0.195319,9.335976,3.006243
13.000000,0.000000,1.000000,0.731018,0.692800,-0.004247,0.022197,0.077736,-0.000035,0.000001,0.000026,0.148192,9.350888,2.962268
14.000000,0.000000,1.000000,0.731018,0.692800,-0.004247,0.022197,0.077736,-0.000035,0.000001,0.000026,0.148192,9.350888,2.962268
15.000000,0.000000,1.000000,0.731018,0.692800,-0.004247,0.022197,0.077736,-0.000035,0.000001,0.000026,0.148192,9.350888,2.962268
16.000000,0.000000,1.000000,0.731018,0.692800,-0.004247,0.022197,0.077736,-0.000035,0.000001,0.000026,0.148192,9.350888,2.962268
17.000000,0.000000,1.000000,0.731018,0.692800,-0.004247,0.022197,0.077736,-0.000035,0.000001,0.000026,0.148192,9.350888,2.962268
18.000000,0.000000,1.000000,0.757706,0.692800,-0.004573,0.021214,0.078135,-0.000034,0.000001,0.000025,0.173325,9.351888,2.957745
19.000000,0.000000,1.000000,0.642857,0.692800,-0.002221,0.021840,0.083312,-0.000009,0.000001,0.000004,0.164205,9.347269,2.972828
20.000000,0.000000,1.000000,0.546254,0.692800,-0.002911,0.021635,0.080280,-0.000020,0.000001,0.000006,0.171625,9.356047,2.944662
21.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.998440,-2.763718,-2.895627,-1.956991,10.452361,-0.416203
22.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
23.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
24.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
25.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
26.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
27.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
28.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
29.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
30.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
31.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
