# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,0.000000,0.710095,0.692800,-0.003936,0.024106,0.077192,-0.000010,0.000001,0.000004,0.170508,9.349086,2.966753
1.000000,0.000000,1.000000,0.765288,0.692800,-0.003218,0.021414,0.081600,0.393189,-3.215798,-0.559220,-2.986775,9.004113,2.498176
2.000000,0.000000,1.000000,0.706556,0.692800,-0.002138,0.020480,0.080129,0.286494,3.685642,-1.688616,3.848666,8.925790,1.263092
3.000000,0.000000,1.000000,0.756269,0.692800,-0.004726,0.025371,0.076563,0.414801,-3.801804,-1.273421,-3.635280,8.903658,1.935210
4.000000,0.000000,1.000000,0.673443,0.692800,-0.002500,0.017952,0.083230,-0.616655,1.447434,-2.898912,1.563174,9.684727,-0.016319
5.000000,0.000000,1.000000,0.766242,0.692800,-0.005184,0.024955,0.076112,0.189882,-1.985150,0.073523,-1.730732,9.104542,3.216819
6.000000,0.000000,1.000000,0.742263,0.692800,-0.001840,0.020507,0.080025,-0.012708,0.443888,0.063894,0.627345,9.314427,3.013648
7.000000,0.000000,1.000000,0.742263,0.692800,-0.001840,0.020507,0.080025,-0.012708,0.443888,0.063894,0.627345,9.314427,3.013648
8.000000,0.000000,0.000000,0.608653,0.692800,-0.002989,0.021533,0.079781,-0.000031,0.000002,0.000027,0.322190,9.321519,3.039998
9.000000,0.000000,1.000000,0.748664,0.692800,-0.005537,0.023105,0.077883,0.017812,0.154389,0.132659,0.315614,9.299026,3.107577
10.000000,0.000000,1.000000,0.768154,0.692800,-0.000552,0.017516,0.082634,0.033613,-0.016250,0.162591,0.117500,9.289432,3.150990
11.000000,0.000000,1.000000,0.768154,0.692800,-0.000552,0.017516,0.082634,0.033613,-0.016250,0.162591,0.117500,9.289432,3.150990
12.000000,0.000000,1.000000,0.723640,0.692800,-0.006649,0.023944,0.077861,-0.166272,-0.008759,-0.098653,0.145710,9.386569,2.847311
13.000000,0.000000,1.000000,0.746411,0.692800,-0.004247,0.022197,0.077736,-0.171865,0.358396,-0.124186,0.480993,9.402820,2.755310
14.000000,0.000000,1.000000,0.746411,0.692800,-0.004247,0.022197,0.077736,-0.171865,0.358396,-0.124186,0.480993,9.402820,2.755310
15.000000,0.000000,1.000000,0.746411,0.692800,-0.004247,0.022197,0.077736,-0.171865,0.358396,-0.124186,0.480993,9.402820,2.755310
16.000000,0.000000,1.000000,0.746411,0.692800,-0.004247,0.022197,0.077736,-0.171865,0.358396,-0.124186,0.480993,9.402820,2.755310
17.000000,0.000000,1.000000,0.746411,0.692800,-0.004247,0.022197,0.077736,-0.171865,0.358396,-0.124186,0.480993,9.402820,2.755310
18.000000,0.000000,1.000000,0.747791,0.692800,-0.004573,0.021214,0.078135,-0.416407,-0.594858,-0.471834,-0.316352,9.542835,2.251867
19.000000,0.000000,1.000000,0.698633,0.692800,-0.002221,0.021840,0.083312,0.048102,0.711276,0.067437,0.833339,9.248993,3.161925
20.000000,0.000000,0.000000,0.546254,0.692800,-0.002911,0.021635,0.080280,-0.000020,0.000001,0.000006,0.171625,9.356047,2.944662
21.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.998440,-2.763718,-2.895627,-1.956991,10.452361,-0.416203
22.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
23.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
24.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
25.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
26.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
27.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
28.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
29.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
30.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
31.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
32.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
33.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
34.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
35.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
36.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
37.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
38.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
39.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
40.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
41.000000,0.000000,0.000000,0.998732,0.692800,-0.002932,0.020316,0.079485,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
42.000000,0.000000,0.000000,0.998718,0.692800,-0.003064,0.020254,0.080352,-0.052970,-0.022447,0.003433,0.153426,9.361523,2.928347
43.000000,0.000000,0.000000,0.998718,0.692800,-0.003064,0.020254,0.080352,15.089802,-8.416138,-4.191772,-7.384125,-5.510632,-3.368046
44.000000,0.000000,1.000000,0.721959,0.692800,-0.003572,0.019894,0.076980,0.763956,0.988642,1.601991,0.829134,8.593312,4.660246
45.000000,0.000000,1.000000,0.721959,0.692800,-0.003572,0.019894,0.076980,0.763956,0.988642,1.601991,0.829134,8.593312,4.660246
46.000000,0.000000,1.000000,0.581216,0.692800,-0.002177,0.020592,0.080234,1.227803,5.465519,-1.935510,5.809159,7.634003,2.056296
47.000000,0.000000,1.000000,0.753262,0.692800,-0.001287,0.021533,0.078267,0.137230,3.239711,-1.543235,3.642013,8.886404,2.007717
48.000000,0.000000,1.000000,0.762326,0.692800,-0.001587,0.020993,0.079321,0.219720,-2.071459,0.036014,-1.864030,9.088797,3.186732
49.000000,0.000000,1.000000,0.762326,0.692800,-0.001587,0.020993,0.079321,0.219720,-2.071459,0.036014,-1.864030,9.088797,3.186732
50.000000,0.000000,1.000000,0.585524,0.692800,-0.004518,0.021196,0.080801,1.702467,-5.510052,-0.178465,-4.944607,7.221731,4.431011
51.000000,0.000000,1.000000,0.546497,0.692800,-0.002675,0.021525,0.079727,3.142017,1.392040,4.419890,2.944985,6.301554,6.913522
52.000000,0.000000,1.000000,0.550579,0.692800,-0.002895,0.020460,0.078316,1.456298,1.846612,-9.160700,-0.194550,7.516642,-6.299869
53.000000,0.000000,1.000000,0.597527,0.692800,-0.002691,0.020197,0.076846,-0.520559,0.624096,-1.702969,0.887372,9.686621,1.275069
54.000000,0.000000,1.000000,0.597527,0.692800,-0.002691,0.020197,0.076846,-0.520559,0.624096,-1.702969,0.887372,9.686621,1.275069
55.000000,0.000000,1.000000,0.597527,0.692800,-0.002691,0.020197,0.076846,-0.520559,0.624096,-1.702969,0.887372,9.686621,1.275069
56.000000,0.000000,1.000000,0.616418,0.692800,-0.004525,0.021570,0.079222,0.345729,3.560051,-5.538886,3.904143,8.663614,-2.436312
57.000000,0.000000,1.000000,0.797529,0.692800,-0.002327,0.020389,0.076648,2.900507,-2.518739,3.895512,-2.636925,6.643101,6.719469
58.000000,0.000000,1.000000,0.707631,0.692800,-0.002573,0.020961,0.078457,-0.332796,-1.994238,-1.793653,-1.682851,9.603711,1.082985
59.000000,0.000000,1.000000,0.691593,0.692800,-0.003094,0.020875,0.077775,-0.669568,0.511951,-3.819336,1.004363,9.719324,-0.870022
60.000000,0.000000,0.000000,0.735295,0.692800,-0.002304,0.021448,0.079193,0.000033,-0.000001,-0.000011,0.227857,9.365221,2.911499
61.000000,0.000000,1.000000,0.710990,0.692800,-0.003273,0.020844,0.078545,0.706035,4.681407,-1.533769,4.983494,8.174208,2.141166
62.000000,0.000000,1.000000,0.708046,0.692800,-0.003584,0.021206,0.078966,0.205410,2.671070,-0.204229,2.863538,8.923312,2.900146
63.000000,0.000000,1.000000,0.614216,0.692800,-0.002885,0.020839,0.078246,5.540892,-9.043732,-1.800080,-8.940244,3.877115,1.124359
64.000000,0.000000,1.000000,0.528747,0.692800,-0.001753,0.020166,0.079977,3.317776,5.653919,2.045436,5.712559,5.986856,5.271856
