# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,1.000000,0.983390,1.025517,-0.003591,0.020918,0.077872,-0.000011,0.000001,0.000004,0.178831,9.336437,3.005837
1.000000,0.000000,1.000000,1.050788,1.025517,-0.003572,0.023191,0.081115,0.000003,-0.000000,-0.000001,0.232515,9.340716,2.988823
2.000000,0.000000,1.000000,0.989107,1.025517,-0.002320,0.021908,0.079489,-0.000005,0.000000,0.000002,0.189747,9.336495,3.004987
3.000000,0.000000,1.000000,1.059099,1.025517,-0.004599,0.022172,0.077641,-0.000010,-0.000000,0.000003,0.220431,9.335986,3.004477
4.000000,0.000000,1.000000,0.984295,1.025517,-0.002997,0.020778,0.081588,-0.000002,-0.000000,0.000001,0.197035,9.341926,2.987591
5.000000,0.000000,1.000000,1.056005,1.025517,-0.004937,0.023255,0.077295,-0.000036,-0.000001,0.000012,0.239304,9.330407,3.020322
6.000000,0.000000,1.000000,1.004406,1.025517,-0.002322,0.020659,0.080064,-0.000035,0.000002,0.000030,0.178388,9.332781,3.017198
7.000000,0.000000,1.000000,1.004406,1.025517,-0.002322,0.020659,0.080064,-0.000035,0.000002,0.000030,0.178388,9.332781,3.017198
8.000000,0.000000,1.000000,0.848282,1.025517,-0.003284,0.021547,0.079858,-0.000031,0.000002,0.000027,0.318220,9.315156,3.059854
9.000000,0.000000,1.000000,1.119572,1.025517,-0.003739,0.022774,0.077495,-0.000036,0.000003,0.000032,0.160289,9.330055,3.026629
10.000000,0.000000,1.000000,1.108629,1.025517,-0.001923,0.017619,0.083020,-0.000037,0.000002,0.000032,0.122634,9.330073,3.028334
11.000000,0.000000,1.000000,1.108629,1.025517,-0.001923,0.017619,0.083020,-0.000037,0.000002,0.000032,0.122634,9.330073,3.028334
12.000000,0.000000,1.000000,1.019684,1.025517,-0.006447,0.024183,0.077555,-0.000037,0.000002,0.000027,0.190154,9.329735,3.025886
13.000000,0.000000,1.000000,1.019700,1.025517,-0.004231,0.022845,0.077819,-0.000035,0.000001,0.000026,0.149479,9.342285,2.989225
14.000000,0.000000,1.000000,1.019700,1.025517,-0.004231,0.022845,0.077819,-0.000035,0.000001,0.000026,0.149479,9.342285,2.989225
15.000000,0.000000,1.000000,1.019700,1.025517,-0.004231,0.022845,0.077819,-0.000035,0.000001,0.000026,0.149479,9.342285,2.989225
16.000000,0.000000,1.000000,1.019700,1.025517,-0.004231,0.022845,0.077819,-0.000035,0.000001,0.000026,0.149479,9.342285,2.989225
17.000000,0.000000,1.000000,1.019700,1.025517,-0.004231,0.022845,0.077819,-0.000035,0.000001,0.000026,0.149479,9.342285,2.989225
18.000000,0.000000,1.000000,1.053718,1.025517,-0.004502,0.020061,0.078429,-0.000034,0.000001,0.000025,0.178798,9.343957,2.982381
19.000000,0.000000,1.000000,0.894750,1.025517,-0.002412,0.020838,0.083488,-0.000009,0.000001,0.000004,0.166762,9.334413,3.012809
20.000000,0.000000,1.000000,0.763325,1.025517,-0.002984,0.021652,0.080350,-0.000020,0.000001,0.000006,0.174141,9.342421,2.987464
21.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-1.195999,-3.215245,-3.518615,-2.277552,10.680821,-1.056876
22.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
23.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
24.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
25.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
26.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
27.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
28.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
29.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
30.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
31.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
32.000000,0.000000,0.000000,0.998544,1.025517,-0.002929,0.020316,0.079495,-0.055006,-0.036345,-0.000978,0.143663,9.350400,2.964333
