# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.014866,1.000000,0.987875,1.037378,-0.003286,0.021332,0.080453,-0.107794,0.246991,-0.256765,0.662545,9.445237,2.592811
1.000000,0.014866,1.000000,1.039610,1.037378,-0.003674,0.021801,0.075202,0.218926,-0.509902,0.717054,0.031697,9.163506,3.616730
2.000000,0.014866,1.000000,0.993393,1.037378,-0.002242,0.024389,0.080168,-0.317686,5.199072,-0.806629,5.537272,9.547191,1.483195
3.000000,0.014866,1.000000,0.981374,1.037378,-0.001805,0.021197,0.076103,-0.246285,1.495657,-0.610016,1.870012,9.543016,2.082912
4.000000,0.014866,1.000000,0.970721,1.037378,-0.003213,0.022144,0.075666,-2.267738,4.835090,-5.438723,4.538791,11.055088,-3.374498
5.000000,0.014866,1.000000,0.974501,1.037378,-0.001666,0.023686,0.079722,-0.734106,-2.573376,-1.385347,-2.296775,9.862302,1.665679
6.000000,0.014866,1.000000,0.940367,1.037378,-0.003468,0.020548,0.073766,-1.074324,0.933989,-2.456096,1.005832,10.161145,0.189528
7.000000,0.014866,1.000000,1.004283,1.037378,-0.002840,0.024217,0.079746,-0.279075,-0.941324,-0.498045,-0.555347,9.551487,2.429980
8.000000,0.014866,1.000000,1.083603,1.037378,-0.002639,0.024297,0.072015,-0.400169,-0.367545,-0.557879,-0.009892,9.583011,2.236946
9.000000,0.014866,1.000000,0.979222,1.037378,-0.002030,0.021447,0.077249,-1.390279,-1.112689,-1.115166,-0.926913,9.900662,1.345719
10.000000,0.014866,1.000000,0.979222,1.037378,-0.002030,0.021447,0.077249,-1.390279,-1.112689,-1.115166,-0.926913,9.900662,1.345719
11.000000,0.014866,1.000000,1.008031,1.037378,-0.003397,0.020245,0.079481,-0.359694,0.461322,-0.251857,0.791765,9.500462,2.397522
12.000000,0.014866,1.000000,1.044153,1.037378,-0.002284,0.021158,0.075110,-0.073668,0.264037,0.013676,0.680252,9.382363,2.795169
13.000000,0.014866,1.000000,1.044153,1.037378,-0.002284,0.021158,0.075110,-0.073668,0.264037,0.013676,0.680252,9.382363,2.795169
14.000000,0.014866,1.000000,0.989274,1.037378,-0.003034,0.018475,0.078529,-0.511681,0.381669,-0.408468,0.662988,9.563198,2.213653
15.000000,0.014866,1.000000,1.044085,1.037378,0.004404,0.018380,0.078684,0.020090,0.170746,0.118258,0.601453,9.335182,2.963292
16.000000,0.014866,1.000000,1.044085,1.037378,0.004404,0.018380,0.078684,0.020090,0.170746,0.118258,0.601453,9.335182,2.963292
17.000000,0.014866,1.000000,1.044085,1.037378,0.004404,0.018380,0.078684,0.020090,0.170746,0.118258,0.601453,9.335182,2.963292
18.000000,0.014866,1.000000,1.044085,1.037378,0.004404,0.018380,0.078684,0.020090,0.170746,0.118258,0.601453,9.335182,2.963292
19.000000,0.014866,1.000000,1.044085,1.037378,0.004404,0.018380,0.078684,0.020090,0.170746,0.118258,0.601453,9.335182,2.963292
20.000000,0.014866,1.000000,1.022032,1.037378,-0.003561,0.022251,0.077977,-0.125925,0.101890,-0.053549,0.494966,9.415502,2.713750
21.000000,0.014866,1.000000,1.022032,1.037378,-0.003561,0.022251,0.077977,-0.125925,0.101890,-0.053549,0.494966,9.415502,2.713750
22.000000,0.014866,1.000000,1.022032,1.037378,-0.003561,0.022251,0.077977,-0.125925,0.101890,-0.053549,0.494966,9.415502,2.713750
23.000000,0.014866,1.000000,1.036892,1.037378,-0.004608,0.017710,0.077728,0.085356,0.619871,0.224790,1.058169,9.308780,2.981152
24.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
25.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
26.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
27.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
28.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
29.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
30.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
31.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
32.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
33.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
34.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
35.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
36.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
37.000000,0.014866,1.000000,0.325075,1.037378,-0.002318,0.020585,0.077409,-2.178136,51.483272,-17.494349,54.478290,8.740105,-3.637705
38.000000,0.014866,1.000000,1.001039,1.037378,-0.002717,0.022809,0.076745,-0.713748,-4.141087,-1.768004,-3.211447,10.327203,0.212434
39.000000,0.014866,1.000000,1.064977,1.037378,-0.003037,0.021314,0.076320,0.008937,1.910979,0.222013,2.270419,9.128927,3.380239
40.000000,0.014866,1.000000,0.869263,1.037378,-0.000420,0.020029,0.078567,-0.082568,1.073721,-0.094549,1.491161,9.317795,2.875215
41.000000,0.014866,1.000000,0.899467,1.037378,-0.002453,0.018927,0.077133,0.493083,2.625494,1.302829,3.017564,8.897072,4.102199
42.000000,0.014866,1.000000,0.899467,1.037378,-0.002453,0.018927,0.077133,0.493083,2.625494,1.302829,3.017564,8.897072,4.102199
43.000000,0.014866,1.000000,0.922204,1.037378,-0.001866,0.022218,0.077162,-1.747854,8.297325,-5.237073,8.725568,10.606514,-2.631278
44.000000,0.014866,1.000000,1.102715,1.037378,-0.002304,0.022181,0.076771,-0.621749,-7.979399,-1.703683,-7.552199,10.223742,1.283859
45.000000,0.014866,1.000000,0.851792,1.037378,-0.002069,0.021148,0.078114,-3.048036,9.076825,-8.972869,9.517363,11.720125,-6.328310
46.000000,0.014866,1.000000,0.967044,1.037378,-0.003181,0.021095,0.076717,1.793320,1.859650,5.225109,2.448754,7.704189,8.053451
47.000000,0.014866,1.000000,0.968266,1.037378,-0.001447,0.021375,0.078021,0.874355,1.885377,2.487799,2.281159,8.508902,5.398200
48.000000,0.014866,1.000000,1.115368,1.037378,-0.002973,0.021850,0.075006,-0.189146,-0.539243,-0.338191,-0.062884,9.510567,2.494126
49.000000,0.014866,1.000000,0.964943,1.037378,-0.002763,0.021726,0.077110,1.752262,-3.414590,5.354702,-3.262610,8.006438,8.054711
50.000000,0.014866,1.000000,0.917305,1.037378,-0.002823,0.020843,0.076994,-0.522134,0.428609,-1.167361,0.962487,9.728218,1.576605
51.000000,0.014866,1.000000,1.223765,1.037378,-0.001702,0.020598,0.077571,-4.037323,-8.795257,-10.771536,-7.373182,13.288334,-8.701086
52.000000,0.014866,1.000000,1.223765,1.037378,-0.001702,0.020598,0.077571,-4.037323,-8.795257,-10.771536,-7.373182,13.288334,-8.701086
53.000000,0.014866,1.000000,1.012691,1.037378,-0.002093,0.021308,0.077384,-3.622751,12.041873,-10.890822,13.245433,11.828002,-7.583307
54.000000,0.014866,1.000000,0.745572,1.037378,-0.002788,0.020822,0.077639,-13.261047,20.179653,-39.088601,23.014615,19.792920,-35.834251
55.000000,0.014866,1.000000,0.745572,1.037378,-0.002788,0.020822,0.077639,-13.261047,20.179653,-39.088601,23.014615,19.792920,-35.834251
56.000000,0.014866,1.000000,0.058163,1.037378,-0.002034,0.021847,0.076563,-4.488876,-76.441659,-13.705796,-74.981472,17.792197,-13.746703
57.000000,0.014866,1.000000,0.920466,1.037378,-0.003055,0.021057,0.077973,0.202232,-3.093758,0.757808,-2.655692,9.335636,3.495828
58.000000,0.014866,1.000000,1.024909,1.037378,-0.003053,0.020726,0.078596,0.165250,-0.233068,0.669237,0.279436,9.187695,3.502740
59.000000,0.014866,1.000000,0.863283,1.037378,-0.004430,0.021565,0.077763,-0.381106,-0.287873,-1.169038,-0.150386,9.720421,1.819869
60.000000,0.014866,1.000000,1.003010,1.037378,-0.002299,0.022130,0.078628,-0.514845,1.979022,-1.791590,1.756367,10.002340,0.544499
61.000000,0.014866,1.000000,0.963295,1.037378,-0.003179,0.021653,0.077106,8.609672,10.284264,27.763321,19.909580,1.357337,25.501184
62.000000,0.014866,1.000000,1.156701,1.037378,-0.002320,0.020718,0.076702,-1.789560,-7.124545,-5.228001,-8.113996,10.560296,0.410172
63.000000,0.014866,1.000000,1.004694,1.037378,-0.002804,0.020846,0.077097,1.588919,2.620006,4.046986,5.053945,8.558458,4.805800
64.000000,0.014866,1.000000,1.004694,1.037378,-0.002804,0.020846,0.077097,1.588919,2.620006,4.046986,5.053945,8.558458,4.805800
65.000000,0.014866,1.000000,1.004694,1.037378,-0.002804,0.020846,0.077097,1.588919,2.620006,4.046986,5.053945,8.558458,4.805800
66.000000,0.014866,1.000000,0.986929,1.037378,-0.001997,0.022501,0.077402,-0.829911,0.305762,-2.078787,-0.567291,9.994118,1.061809
67.000000,0.014866,1.000000,1.074656,1.037378,-0.001352,0.019515,0.076947,-0.252786,0.564104,-0.673953,0.359366,9.639163,2.001900
68.000000,0.014866,1.000000,1.074656,1.037378,-0.001352,0.019515,0.076947,-0.252786,0.564104,-0.673953,0.359366,9.639163,2.001900
69.000000,0.014866,1.000000,0.946320,1.037378,-0.001925,0.021490,0.078004,-1.150100,-1.618588,-3.165698,-3.122757,9.759351,2.274265
70.000000,0.014866,1.000000,0.946320,1.037378,-0.001925,0.021490,0.078004,-1.150100,-1.618588,-3.165698,-3.122757,9.759351,2.274265
71.000000,0.014866,1.000000,1.088821,1.037378,-0.001685,0.020226,0.077186,-0.065445,-0.322076,0.065506,0.398691,9.261414,3.226208
