# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,1.000000,0.987671,1.037378,-0.003286,0.021332,0.080453,-0.098007,0.260538,-0.252082,0.676400,9.435874,2.597447
1.000000,0.000000,1.000000,1.040255,1.037378,-0.003674,0.021801,0.075202,0.221919,-0.238315,0.642142,0.293275,9.155507,3.510956
2.000000,0.000000,1.000000,0.964671,1.037378,-0.002242,0.024389,0.080168,-0.389600,1.667320,-1.524941,1.953027,9.549549,1.108025
3.000000,0.000000,1.000000,0.976958,1.037378,-0.001805,0.021197,0.076103,-0.218991,1.014070,-0.734911,1.380968,9.502961,2.005653
4.000000,0.000000,1.000000,1.017478,1.037378,-0.003213,0.022144,0.075666,-0.621965,1.354419,-3.449670,1.347118,9.683020,-0.812685
5.000000,0.000000,1.000000,0.977435,1.037378,-0.001666,0.023686,0.079722,-0.271849,-2.577740,-1.465926,-2.298037,9.392492,1.654172
6.000000,0.000000,1.000000,0.942571,1.037378,-0.003468,0.020548,0.073766,-0.689784,0.783041,-2.508089,0.861142,9.770058,0.202169
7.000000,0.000000,1.000000,1.091607,1.037378,-0.002840,0.024217,0.079746,1.462877,-4.171703,1.182405,-3.486752,7.932416,4.599506
8.000000,0.000000,1.000000,1.081536,1.037378,-0.002639,0.024297,0.072015,-0.354734,-0.451173,-0.534741,-0.088887,9.541750,2.276666
9.000000,0.000000,0.000000,1.046721,1.037378,-0.002030,0.021447,0.077249,-0.000033,0.000002,0.000036,0.431869,9.369513,2.874336
10.000000,0.000000,0.000000,1.046721,1.037378,-0.002030,0.021447,0.077249,-0.000033,0.000002,0.000036,0.431869,9.369513,2.874336
11.000000,0.000000,1.000000,1.004262,1.037378,-0.003397,0.020245,0.079481,-0.400518,0.474658,-0.310423,0.791606,9.507449,2.325329
12.000000,0.000000,1.000000,1.030240,1.037378,-0.002284,0.021158,0.075110,-0.244057,0.249700,-0.158341,0.617335,9.447650,2.568397
13.000000,0.000000,1.000000,1.030240,1.037378,-0.002284,0.021158,0.075110,-0.244057,0.249700,-0.158341,0.617335,9.447650,2.568397
14.000000,0.000000,0.000000,1.033170,1.037378,-0.003034,0.018475,0.078529,-0.000033,0.000003,0.000035,0.428930,9.368068,2.879482
15.000000,0.000000,1.000000,1.044859,1.037378,0.004404,0.018380,0.078684,0.023546,0.173069,0.117511,0.605165,9.331865,2.964146
16.000000,0.000000,1.000000,1.044859,1.037378,0.004404,0.018380,0.078684,0.023546,0.173069,0.117511,0.605165,9.331865,2.964146
17.000000,0.000000,1.000000,1.044859,1.037378,0.004404,0.018380,0.078684,0.023546,0.173069,0.117511,0.605165,9.331865,2.964146
18.000000,0.000000,1.000000,1.044859,1.037378,0.004404,0.018380,0.078684,0.023546,0.173069,0.117511,0.605165,9.331865,2.964146
19.000000,0.000000,1.000000,1.044859,1.037378,0.004404,0.018380,0.078684,0.023546,0.173069,0.117511,0.605165,9.331865,2.964146
20.000000,0.000000,1.000000,1.025705,1.037378,-0.003561,0.022251,0.077977,-0.112027,0.105385,-0.038185,0.506588,9.407592,2.734354
21.000000,0.000000,1.000000,1.025705,1.037378,-0.003561,0.022251,0.077977,-0.112027,0.105385,-0.038185,0.506588,9.407592,2.734354
22.000000,0.000000,1.000000,1.025705,1.037378,-0.003561,0.022251,0.077977,-0.112027,0.105385,-0.038185,0.506588,9.407592,2.734354
23.000000,0.000000,1.000000,1.037702,1.037378,-0.004608,0.017710,0.077728,0.113188,0.641634,0.222725,1.080915,9.282464,2.983888
24.000000,0.000000,0.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
25.000000,0.000000,0.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
26.000000,0.000000,0.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
27.000000,0.000000,0.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
28.000000,0.000000,0.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
29.000000,0.000000,0.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
30.000000,0.000000,0.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
31.000000,0.000000,0.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
32.000000,0.000000,0.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
33.000000,0.000000,0.000000,0.333376,1.037378,-0.002318,0.020585,0.077409,-0.000024,0.000001,0.000007,0.450392,9.386173,2.816559
