# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,1.000000,0.510196,0.538155,-0.001733,0.021745,0.079818,-0.000013,0.000001,0.000004,0.433532,9.487008,2.458624
1.000000,0.000000,1.000000,0.546196,0.538155,-0.002027,0.022867,0.075213,-0.000016,0.000001,0.000005,0.496135,9.493614,2.420999
2.000000,0.000000,1.000000,0.539592,0.538155,-0.001669,0.020634,0.079392,-0.000012,0.000001,0.000004,0.465777,9.492734,2.430464
3.000000,0.000000,1.000000,0.525637,0.538155,-0.001369,0.021842,0.076190,-0.000005,0.000000,0.000001,0.423930,9.495309,2.428062
4.000000,0.000000,1.000000,0.538911,0.538155,-0.003629,0.024117,0.073993,-0.000042,0.000001,0.000016,0.471747,9.489744,2.440967
5.000000,0.000000,1.000000,0.545934,0.538155,-0.001963,0.021432,0.079284,0.000006,0.000000,-0.000004,0.492485,9.490266,2.434831
6.000000,0.000000,1.000000,0.515781,0.538155,-0.001845,0.019773,0.076790,-0.000006,0.000000,0.000002,0.433912,9.494210,2.430595
7.000000,0.000000,1.000000,0.543577,0.538155,-0.002746,0.022296,0.075192,-0.000028,0.000002,0.000008,0.447505,9.492269,2.435708
8.000000,0.000000,1.000000,0.543577,0.538155,-0.002746,0.022296,0.075192,-0.000028,0.000002,0.000008,0.447505,9.492269,2.435708
9.000000,0.000000,1.000000,0.543577,0.538155,-0.002746,0.022296,0.075192,-0.000028,0.000002,0.000008,0.447505,9.492269,2.435708
10.000000,0.000000,1.000000,0.543577,0.538155,-0.002746,0.022296,0.075192,-0.000028,0.000002,0.000008,0.447505,9.492269,2.435708
11.000000,0.000000,1.000000,0.543577,0.538155,-0.002746,0.022296,0.075192,-0.000028,0.000002,0.000008,0.447505,9.492269,2.435708
12.000000,0.000000,1.000000,0.543577,0.538155,-0.002746,0.022296,0.075192,-0.000028,0.000002,0.000008,0.447505,9.492269,2.435708
13.000000,0.000000,1.000000,0.543577,0.538155,-0.002746,0.022296,0.075192,-0.000028,0.000002,0.000008,0.447505,9.492269,2.435708
14.000000,0.000000,1.000000,0.543577,0.538155,-0.002746,0.022296,0.075192,-0.000028,0.000002,0.000008,0.447505,9.492269,2.435708
