# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1.000000,1.000000,0.976484,1.024728,-0.001560,0.021765,0.079917,-0.000044,0.000003,0.000012,0.435558,9.487362,2.456898
1.000000,1.000000,1.000000,1.027380,1.024728,-0.002247,0.021270,0.075172,-0.000066,0.000002,0.000022,0.488271,9.494208,2.420271
2.000000,1.000000,1.000000,1.008002,1.024728,-0.001646,0.023261,0.079840,-0.000035,0.000001,0.000012,0.458220,9.494919,2.423356
3.000000,1.000000,1.000000,0.997086,1.024728,-0.001683,0.020794,0.075496,-0.000009,-0.000000,0.000002,0.426043,9.492077,2.440299
4.000000,1.000000,1.000000,1.015004,1.024728,-0.003381,0.023324,0.074296,-0.000135,0.000003,0.000051,0.459044,9.490958,2.438668
5.000000,1.000000,1.000000,1.040464,1.024728,-0.001881,0.021641,0.079103,0.000020,0.000001,-0.000012,0.484982,9.491193,2.432725
6.000000,1.000000,1.000000,0.986120,1.024728,-0.001774,0.019338,0.076835,-0.000021,0.000001,0.000007,0.431906,9.492036,2.439428
7.000000,1.000000,1.000000,1.035817,1.024728,-0.002940,0.022364,0.075206,-0.000086,0.000007,0.000025,0.447142,9.489764,2.445514
8.000000,1.000000,1.000000,1.035817,1.024728,-0.002940,0.022364,0.075206,-0.000086,0.000007,0.000025,0.447142,9.489764,2.445514
9.000000,1.000000,1.000000,1.035817,1.024728,-0.002940,0.022364,0.075206,-0.000086,0.000007,0.000025,0.447142,9.489764,2.445514
10.000000,1.000000,1.000000,1.035817,1.024728,-0.002940,0.022364,0.075206,-0.000086,0.000007,0.000025,0.447142,9.489764,2.445514
11.000000,1.000000,1.000000,1.035817,1.024728,-0.002940,0.022364,0.075206,-0.000086,0.000007,0.000025,0.447142,9.489764,2.445514
12.000000,1.000000,1.000000,1.035817,1.024728,-0.002940,0.022364,0.075206,-0.000086,0.000007,0.000025,0.447142,9.489764,2.445514
13.000000,1.000000,1.000000,1.035817,1.024728,-0.002940,0.022364,0.075206,-0.000086,0.000007,0.000025,0.447142,9.489764,2.445514
14.000000,1.000000,1.000000,1.035817,1.024728,-0.002940,0.022364,0.075206,-0.000086,0.000007,0.000025,0.447142,9.489764,2.445514
15.000000,1.000000,1.000000,1.035817,1.024728,-0.002940,0.022364,0.075206,-0.000086,0.000007,0.000025,0.447142,9.489764,2.445514
16.000000,1.000000,1.000000,1.035817,1.024728,-0.002940,0.022364,0.075206,-0.000086,0.000007,0.000025,0.447142,9.489764,2.445514
17.000000,1.000000,1.000000,1.099981,1.024728,-0.002174,0.021325,0.076631,-0.000099,0.000001,0.000038,0.469347,9.471992,2.509418
