# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1.000000,1.000000,1.012217,1.024728,-0.001548,0.021764,0.079925,-0.011637,0.355431,0.047089,0.788104,9.456437,2.488129
1.000000,1.000000,1.000000,1.005980,1.024728,-0.002248,0.021267,0.075166,-0.058818,1.161482,-0.303595,1.602279,9.476543,1.965689
2.000000,1.000000,1.000000,0.960027,1.024728,-0.001661,0.023208,0.079833,-0.521120,0.345322,-1.982954,0.536138,9.788594,0.363431
3.000000,1.000000,1.000000,0.976442,1.024728,-0.001737,0.020791,0.075522,0.591332,-3.786101,-0.364493,-3.348192,8.815503,2.704186
4.000000,1.000000,1.000000,1.049383,1.024728,-0.003546,0.023334,0.074363,1.009975,-3.968619,0.725709,-3.314600,8.402160,3.827954
5.000000,1.000000,1.000000,1.006189,1.024728,-0.002034,0.021605,0.079167,-0.375983,0.140338,-1.216138,0.423280,9.729864,1.177573
6.000000,1.000000,1.000000,0.998438,1.024728,-0.001769,0.019339,0.076856,-0.023849,-0.688333,0.030975,-0.251730,9.476839,2.522351
7.000000,1.000000,1.000000,0.986005,1.024728,-0.002916,0.022365,0.075135,4.468492,-9.092101,-4.125921,-8.708662,4.432241,-0.866343
8.000000,1.000000,1.000000,0.986005,1.024728,-0.002916,0.022365,0.075135,4.468492,-9.092101,-4.125921,-8.708662,4.432241,-0.866343
9.000000,1.000000,1.000000,0.986005,1.024728,-0.002916,0.022365,0.075135,4.468492,-9.092101,-4.125921,-8.708662,4.432241,-0.866343
10.000000,1.000000,1.000000,0.986005,1.024728,-0.002916,0.022365,0.075135,4.468492,-9.092101,-4.125921,-8.708662,4.432241,-0.866343
11.000000,1.000000,1.000000,0.986005,1.024728,-0.002916,0.022365,0.075135,4.468492,-9.092101,-4.125921,-8.708662,4.432241,-0.866343
12.000000,1.000000,1.000000,0.986005,1.024728,-0.002916,0.022365,0.075135,4.468492,-9.092101,-4.125921,-8.708662,4.432241,-0.866343
13.000000,1.000000,1.000000,0.986005,1.024728,-0.002916,0.022365,0.075135,4.468492,-9.092101,-4.125921,-8.708662,4.432241,-0.866343
14.000000,1.000000,1.000000,0.986005,1.024728,-0.002916,0.022365,0.075135,4.468492,-9.092101,-4.125921,-8.708662,4.432241,-0.866343
15.000000,1.000000,1.000000,0.986005,1.024728,-0.002916,0.022365,0.075135,4.468492,-9.092101,-4.125921,-8.708662,4.432241,-0.866343
16.000000,1.000000,1.000000,0.986005,1.024728,-0.002916,0.022365,0.075135,4.468492,-9.092101,-4.125921,-8.708662,4.432241,-0.866343
17.000000,1.000000,1.000000,0.959342,1.024728,-0.002159,0.021313,0.076641,15.985364,-4.183846,2.367622,-3.507074,-6.254371,6.694727
18.000000,1.000000,1.000000,0.959342,1.024728,-0.002159,0.021313,0.076641,15.985364,-4.183846,2.367622,-3.507074,-6.254371,6.694727
19.000000,1.000000,1.000000,0.959342,1.024728,-0.002159,0.021313,0.076641,15.985364,-4.183846,2.367622,-3.507074,-6.254371,6.694727
20.000000,1.000000,1.000000,0.926796,1.024728,-0.001824,0.021756,0.076968,1.699536,-2.893148,-8.831722,-3.334596,7.059956,-5.939157
21.000000,1.000000,1.000000,1.018085,1.024728,-0.001973,0.020982,0.076442,1.294656,-0.426434,2.387987,0.258412,8.437082,4.998496
22.000000,1.000000,1.000000,0.786370,1.024728,-0.001139,0.019914,0.079296,-0.156772,0.281547,0.072301,0.691730,9.494314,2.369726
23.000000,1.000000,1.000000,0.888761,1.024728,-0.001466,0.021550,0.079969,-0.348776,0.161729,-0.950016,-0.044642,9.637567,1.830684
24.000000,1.000000,1.000000,1.108390,1.024728,-0.001982,0.020732,0.077843,13.826268,1.680346,4.836286,8.959972,-2.644233,2.993833
25.000000,1.000000,1.000000,0.628375,1.024728,-0.001447,0.021581,0.077788,2.708630,5.522433,-7.760333,-3.446000,6.792776,-6.182182
26.000000,1.000000,1.000000,0.628375,1.024728,-0.001447,0.021581,0.077788,2.708630,5.522433,-7.760333,-3.446000,6.792776,-6.182182
27.000000,1.000000,1.000000,0.922801,1.024728,0.000089,0.020631,0.079441,0.016688,-0.384746,0.188426,0.852191,9.334313,2.894903
28.000000,1.000000,1.000000,0.456282,1.024728,0.004330,0.021479,0.077914,9.005466,-5.301408,-11.386979,-6.839294,-3.532057,6.081507
29.000000,1.000000,1.000000,0.456282,1.024728,0.004330,0.021479,0.077914,9.005466,-5.301408,-11.386979,-6.839294,-3.532057,6.081507
