# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,0.000000,0.318438,0.438504,-0.002295,0.018809,0.075998,-0.000018,0.000000,0.000008,-0.137939,8.998047,3.905411
1.000000,0.000000,0.000000,0.318438,0.438504,-0.002295,0.018809,0.075998,-0.000018,0.000000,0.000008,-0.137939,8.998047,3.905411
2.000000,0.000000,1.000000,0.360404,0.438504,-0.001410,0.023108,0.076809,0.496891,1.241480,0.731542,1.077762,8.546321,4.694104
3.000000,0.000000,1.000000,0.331388,0.438504,-0.001576,0.022303,0.078475,1.152654,4.651149,-2.124997,4.743679,8.302910,2.189809
4.000000,0.000000,1.000000,0.335938,0.438504,-0.003116,0.019894,0.075442,0.284908,3.378207,-2.145959,3.386864,8.977555,2.042772
5.000000,0.000000,1.000000,0.347457,0.438504,-0.000608,0.021700,0.077692,5.160594,6.181903,2.762730,6.029396,3.785633,6.749183
6.000000,0.000000,1.000000,0.390958,0.438504,-0.000127,0.019657,0.076779,0.896631,-2.429944,1.794073,-2.382811,7.590446,5.739638
7.000000,0.000000,1.000000,0.404902,0.438504,-0.003785,0.021694,0.075411,1.354354,-6.372996,-6.045145,-6.821088,6.872073,-1.575901
8.000000,0.000000,1.000000,0.111991,0.438504,-0.004766,0.021355,0.075592,7.722889,5.746896,-9.984473,5.221980,2.757409,-7.833500
9.000000,0.000000,1.000000,0.111991,0.438504,-0.004766,0.021355,0.075592,7.722889,5.746896,-9.984473,5.221980,2.757409,-7.833500
10.000000,0.000000,0.000000,0.066067,0.438504,-0.002984,0.025721,0.076331,0.000180,0.000000,-0.000083,-0.368434,8.981918,3.927532
11.000000,0.000000,0.000000,0.053719,0.438504,-0.001852,0.020125,0.077927,-0.000027,-0.000000,0.000012,-0.159913,8.973277,3.961164
12.000000,0.000000,0.000000,0.053719,0.438504,-0.001852,0.020125,0.077927,-0.000027,-0.000000,0.000012,-0.159913,8.973277,3.961164
13.000000,0.000000,0.000000,0.053719,0.438504,-0.001852,0.020125,0.077927,-0.000027,-0.000000,0.000012,-0.159913,8.973277,3.961164
14.000000,0.000000,0.000000,0.053719,0.438504,-0.001852,0.020125,0.077927,-0.000027,-0.000000,0.000012,-0.159913,8.973277,3.961164
15.000000,0.000000,0.000000,0.053719,0.438504,-0.001852,0.020125,0.077927,-0.000027,-0.000000,0.000012,-0.159913,8.973277,3.961164
16.000000,0.000000,0.000000,0.998040,0.438504,-0.004395,0.024912,0.079405,-0.000085,-0.000000,0.000038,-0.160904,8.972101,3.963788
17.000000,0.000000,0.000000,0.998040,0.438504,-0.004395,0.024912,0.079405,-0.000077,-0.000000,0.000034,-0.165942,8.975399,3.956106
18.000000,0.000000,0.000000,0.998040,0.438504,-0.004395,0.024912,0.079405,-0.000077,-0.000000,0.000034,-0.165942,8.975399,3.956106
19.000000,0.000000,1.000000,0.301955,0.438504,-0.002305,0.021072,0.077571,3.074720,-5.492687,1.705858,-5.028147,5.473251,6.401830
20.000000,0.000000,1.000000,0.301955,0.438504,-0.002305,0.021072,0.077571,3.074720,-5.492687,1.705858,-5.028147,5.473251,6.401830
21.000000,0.000000,1.000000,0.371418,0.438504,-0.000812,0.021089,0.077162,8.298041,-8.855836,0.538964,-8.319976,-0.016031,5.197443
22.000000,0.000000,1.000000,0.067320,0.438504,-0.002450,0.021634,0.076376,15.094231,1.277225,-10.509020,0.749793,-5.756894,-7.908029
23.000000,0.000000,1.000000,0.395836,0.438504,-0.004262,0.022523,0.075340,-0.329624,0.166132,-0.646940,0.010422,9.255814,3.250522
24.000000,0.000000,1.000000,0.355039,0.438504,-0.002067,0.020588,0.076435,0.473706,-0.046760,1.080858,-0.525349,8.503345,4.863461
25.000000,0.000000,1.000000,0.348559,0.438504,-0.003724,0.020008,0.075366,0.080209,-1.476420,0.040426,-1.360056,9.206616,3.102348
