# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1.000000,1.000000,0.537330,0.549512,-0.003662,0.022131,0.074900,-0.500697,-1.954538,-2.250286,-1.918854,9.530966,1.309500
1.000000,1.000000,1.000000,0.537330,0.549512,-0.003662,0.022131,0.074900,-0.500697,-1.954538,-2.250286,-1.918854,9.530966,1.309500
2.000000,1.000000,1.000000,0.239509,0.549512,-0.000559,0.019767,0.080269,1.915343,0.485875,-10.305963,1.413260,7.115990,-6.603142
3.000000,1.000000,1.000000,0.453072,0.549512,-0.003775,0.021402,0.074200,0.156371,2.055857,-0.399633,1.739180,8.943862,3.635750
4.000000,1.000000,1.000000,0.406215,0.549512,-0.002323,0.020958,0.078130,10.933943,-8.907786,-7.509003,-8.688793,-2.125176,-4.027978
5.000000,1.000000,1.000000,0.526672,0.549512,-0.001369,0.019480,0.076285,1.515441,5.346478,-1.067287,5.111109,8.033804,2.360223
6.000000,1.000000,1.000000,0.526672,0.549512,-0.001369,0.019480,0.076285,1.515441,5.346478,-1.067287,5.111109,8.033804,2.360223
7.000000,1.000000,1.000000,0.546198,0.549512,-0.002360,0.021597,0.075992,-0.094501,-3.356212,-2.163322,-3.755870,8.844558,1.975685
8.000000,1.000000,1.000000,0.580104,0.549512,-0.002818,0.019380,0.078264,0.068274,0.244775,0.230022,0.068886,8.976780,3.955854
9.000000,1.000000,1.000000,0.689015,0.549512,-0.002038,0.020392,0.077913,2.242180,0.692748,3.213876,1.110750,6.898894,6.885317
10.000000,1.000000,1.000000,0.598580,0.549512,-0.002274,0.021149,0.076860,11.648128,5.482345,3.772433,6.680893,-2.091102,6.872341
11.000000,1.000000,1.000000,0.598580,0.549512,-0.002274,0.021149,0.076860,11.648128,5.482345,3.772433,6.680893,-2.091102,6.872341
12.000000,1.000000,1.000000,0.598580,0.549512,-0.002274,0.021149,0.076860,11.648128,5.482345,3.772433,6.680893,-2.091102,6.872341
13.000000,1.000000,1.000000,0.598580,0.549512,-0.002274,0.021149,0.076860,11.648128,5.482345,3.772433,6.680893,-2.091102,6.872341
14.000000,1.000000,1.000000,0.598580,0.549512,-0.002274,0.021149,0.076860,11.648128,5.482345,3.772433,6.680893,-2.091102,6.872341
15.000000,1.000000,1.000000,0.598580,0.549512,-0.002274,0.021149,0.076860,11.648128,5.482345,3.772433,6.680893,-2.091102,6.872341
16.000000,1.000000,1.000000,0.598580,0.549512,-0.002274,0.021149,0.076860,11.648128,5.482345,3.772433,6.680893,-2.091102,6.872341
17.000000,1.000000,1.000000,0.060515,0.549512,-0.002997,0.023828,0.076904,0.602777,-1.068956,1.468015,-0.962221,8.363893,5.035428
18.000000,1.000000,1.000000,0.060515,0.549512,-0.002997,0.023828,0.076904,0.602777,-1.068956,1.468015,-0.962221,8.363893,5.035428
19.000000,1.000000,1.000000,0.525017,0.549512,-0.002603,0.022803,0.077413,-0.048190,-0.178410,-0.134595,-0.317968,9.141985,3.543884
20.000000,1.000000,1.000000,0.499705,0.549512,-0.003353,0.020517,0.074252,-0.135551,0.640806,-0.288443,0.538995,9.012697,3.836258
21.000000,1.000000,1.000000,0.499705,0.549512,-0.003353,0.020517,0.074252,-0.135551,0.640806,-0.288443,0.538995,9.012697,3.836258
22.000000,1.000000,1.000000,0.421638,0.549512,-0.001507,0.020911,0.077027,0.701483,-0.118961,1.622913,-1.635784,8.581319,4.463326
23.000000,1.000000,1.000000,0.539257,0.549512,-0.003217,0.021783,0.075635,-0.240893,-0.048397,-0.677172,0.447384,9.232569,3.285668
24.000000,1.000000,1.000000,0.558239,0.549512,-0.001877,0.021867,0.075470,-0.193359,-1.440573,-1.080699,0.574523,9.586218,2.002612
25.000000,1.000000,1.000000,0.498087,0.549512,-0.002777,0.020436,0.076199,-0.605704,1.331775,-2.333595,2.585313,8.494466,4.170887
26.000000,1.000000,1.000000,0.379482,0.549512,-0.001631,0.020874,0.075228,-0.315992,-0.532302,-1.202352,1.046337,9.274388,3.021093
27.000000,1.000000,1.000000,0.521913,0.549512,-0.000929,0.020048,0.076425,7.506479,-4.619432,5.042251,-7.623659,5.759923,-2.222434
28.000000,1.000000,1.000000,0.301240,0.549512,-0.001299,0.017199,0.078038,5.480356,7.860766,1.092021,-2.582425,1.705537,9.309045
29.000000,1.000000,1.000000,0.289584,0.549512,-0.001282,0.020329,0.077002,0.610813,-1.721740,-7.890977,5.843013,7.743977,-1.458124
30.000000,1.000000,1.000000,0.289584,0.549512,-0.001282,0.020329,0.077002,0.610813,-1.721740,-7.890977,5.843013,7.743977,-1.458124
31.000000,1.000000,1.000000,0.420721,0.549512,0.000876,0.022218,0.077648,6.781612,-2.739007,6.333495,-8.667126,4.183357,1.901722
32.000000,1.000000,1.000000,0.373151,0.549512,0.001319,0.021113,0.076574,0.494037,0.874748,-7.609841,6.842478,6.926898,1.197776
33.000000,1.000000,1.000000,0.561410,0.549512,0.000361,0.021048,0.077004,0.632402,-0.705865,1.429428,-1.934760,8.890943,3.666599
34.000000,1.000000,1.000000,0.359675,0.549512,0.000516,0.020531,0.076721,0.786177,-5.316707,-2.569362,-0.526365,9.524156,-2.291178
35.000000,1.000000,1.000000,0.453324,0.549512,-0.000427,0.021057,0.076953,4.335952,-1.749138,5.114937,-6.512055,6.213683,3.901203
36.000000,1.000000,1.000000,0.468737,0.549512,0.001868,0.018757,0.077409,3.767007,7.126332,0.090312,1.787937,3.376959,9.035238
37.000000,1.000000,1.000000,0.556235,0.549512,0.000997,0.019996,0.077098,6.164842,-3.077436,5.370237,-7.953698,5.083599,2.670547
38.000000,1.000000,1.000000,0.489896,0.549512,-0.000158,0.020398,0.080481,0.173254,-0.017192,0.626568,-0.766718,8.793206,4.281094
39.000000,1.000000,1.000000,0.315812,0.549512,-0.000768,0.022745,0.076556,1.287306,-5.525444,-5.639627,-3.351866,8.524180,-3.512755
40.000000,1.000000,1.000000,0.546977,0.549512,0.000142,0.021455,0.075549,5.067388,-7.515021,3.032160,-6.778492,2.443832,6.657014
41.000000,1.000000,1.000000,0.546977,0.549512,0.000142,0.021455,0.075549,5.067388,-7.515021,3.032160,-6.778492,2.443832,6.657014
42.000000,1.000000,1.000000,0.546977,0.549512,0.000142,0.021455,0.075549,5.067388,-7.515021,3.032160,-6.778492,2.443832,6.657014
43.000000,1.000000,1.000000,0.398008,0.549512,0.002195,0.023323,0.077786,8.446092,1.193322,6.737674,2.495093,0.046369,9.487279
44.000000,1.000000,1.000000,0.057278,0.549512,0.002243,0.024503,0.075904,6.154682,-8.634680,-7.406923,-8.925374,2.266379,-3.381911
45.000000,1.000000,1.000000,0.187187,0.549512,0.000834,0.026338,0.078542,2.987336,-5.782160,-7.938244,-6.495064,6.413027,-3.594905
46.000000,1.000000,1.000000,0.408274,0.549512,0.001414,0.024114,0.076221,1.808819,1.957873,-9.669281,0.548979,7.558644,-6.229095
47.000000,1.000000,1.000000,0.389449,0.549512,0.001841,0.019454,0.079180,0.556562,1.167304,1.489854,1.094032,8.407180,4.935436
48.000000,1.000000,1.000000,0.389449,0.549512,0.001841,0.019454,0.079180,0.556562,1.167304,1.489854,1.094032,8.407180,4.935436
49.000000,1.000000,1.000000,0.563156,0.549512,0.001424,0.022570,0.077837,0.645477,0.718771,1.475169,1.367146,8.568767,4.576379
50.000000,1.000000,1.000000,0.730408,0.549512,-0.001573,0.021730,0.079168,-0.261928,0.202564,-0.492839,-0.454468,9.179342,3.430634
