# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,1.000000,1.003533,0.850247,-0.003663,0.022059,0.075104,-0.000032,0.000002,0.000012,-0.218581,9.056471,3.764127
1.000000,0.000000,1.000000,1.003533,0.850247,-0.003663,0.022059,0.075104,-0.000032,0.000002,0.000012,-0.218581,9.056471,3.764127
2.000000,0.000000,1.000000,0.972709,0.850247,-0.000018,0.020822,0.079014,-0.000016,0.000001,0.000007,-0.280783,9.059185,3.753456
3.000000,0.000000,1.000000,0.829968,0.850247,-0.003752,0.020162,0.075107,0.000022,0.000000,-0.000009,-0.338565,9.063249,3.738848
4.000000,0.000000,1.000000,0.997395,0.850247,-0.002934,0.021036,0.077966,-0.000014,0.000001,0.000006,-0.232380,9.042764,3.796118
5.000000,0.000000,1.000000,0.947916,0.850247,-0.001332,0.020114,0.076066,0.000003,0.000001,-0.000001,-0.270517,9.010541,3.869505
6.000000,0.000000,1.000000,0.947916,0.850247,-0.001332,0.020114,0.076066,0.000003,0.000001,-0.000001,-0.270517,9.010541,3.869505
7.000000,0.000000,1.000000,1.032005,0.850247,-0.002025,0.021084,0.076213,-0.000020,-0.000000,0.000009,-0.173709,9.046035,3.791460
8.000000,0.000000,1.000000,0.885046,0.850247,-0.002771,0.019230,0.078476,-0.000014,0.000000,0.000006,-0.198616,9.046254,3.789714
9.000000,0.000000,1.000000,0.909346,0.850247,-0.002041,0.020383,0.077905,-0.000021,-0.000000,0.000009,-0.211533,9.047885,3.785121
10.000000,0.000000,1.000000,0.809387,0.850247,-0.002250,0.021161,0.076736,0.000001,-0.000000,-0.000000,-0.212383,9.030520,3.826316
11.000000,0.000000,1.000000,0.809387,0.850247,-0.002250,0.021161,0.076736,0.000001,-0.000000,-0.000000,-0.212383,9.030520,3.826316
12.000000,0.000000,1.000000,0.809387,0.850247,-0.002250,0.021161,0.076736,0.000001,-0.000000,-0.000000,-0.212383,9.030520,3.826316
13.000000,0.000000,1.000000,0.809387,0.850247,-0.002250,0.021161,0.076736,0.000001,-0.000000,-0.000000,-0.212383,9.030520,3.826316
14.000000,0.000000,1.000000,0.809387,0.850247,-0.002250,0.021161,0.076736,0.000001,-0.000000,-0.000000,-0.212383,9.030520,3.826316
15.000000,0.000000,1.000000,0.809387,0.850247,-0.002250,0.021161,0.076736,0.000001,-0.000000,-0.000000,-0.212383,9.030520,3.826316
16.000000,0.000000,1.000000,0.809387,0.850247,-0.002250,0.021161,0.076736,0.000001,-0.000000,-0.000000,-0.212383,9.030520,3.826316
17.000000,0.000000,1.000000,0.509478,0.850247,-0.003512,0.023519,0.077223,-0.000043,-0.000002,0.000022,-0.044901,9.101292,3.660679
18.000000,0.000000,1.000000,0.509478,0.850247,-0.003512,0.023519,0.077223,-0.000043,-0.000002,0.000022,-0.044901,9.101292,3.660679
19.000000,0.000000,1.000000,0.899588,0.850247,-0.002143,0.022503,0.076640,0.000013,-0.000001,-0.000006,-0.153904,9.075916,3.720237
20.000000,0.000000,1.000000,0.784704,0.850247,-0.003452,0.020134,0.074590,-0.000012,0.000005,0.000011,-0.115024,9.094415,3.676206
21.000000,0.000000,1.000000,0.784704,0.850247,-0.003452,0.020134,0.074590,-0.000012,0.000005,0.000011,-0.115024,9.094415,3.676206
22.000000,0.000000,1.000000,1.028279,0.850247,-0.001501,0.021319,0.077152,-0.000017,-0.000000,0.000007,-0.091420,9.134327,3.576565
23.000000,0.000000,1.000000,0.986882,0.850247,-0.003251,0.021774,0.075582,-0.000008,-0.000001,0.000000,-0.150461,9.094395,3.674974
24.000000,0.000000,1.000000,1.086598,0.850247,-0.001771,0.022048,0.075537,0.000012,0.000000,-0.000004,-0.056255,9.122095,3.608367
25.000000,0.000000,1.000000,0.769266,0.850247,-0.002681,0.020305,0.076273,-0.000061,-0.000001,0.000023,-0.011909,9.087114,3.695987
26.000000,0.000000,1.000000,0.779088,0.850247,-0.002017,0.021119,0.075399,0.000020,0.000001,-0.000007,-0.140468,9.109732,3.637189
27.000000,0.000000,1.000000,0.668730,0.850247,-0.001564,0.021091,0.076565,0.000020,-0.000000,-0.000007,0.035694,9.111975,3.634108
28.000000,0.000000,1.000000,0.616833,0.850247,-0.000736,0.019107,0.077727,-0.000109,0.000002,0.000040,-0.110402,9.129732,3.587744
29.000000,0.000000,1.000000,0.998442,0.850247,-0.001226,0.020074,0.076924,-0.000031,0.000002,0.000010,-0.209400,9.115477,3.619438
30.000000,0.000000,1.000000,0.998442,0.850247,-0.001226,0.020074,0.076924,-0.000031,0.000002,0.000010,-0.209400,9.115477,3.619438
31.000000,0.000000,1.000000,0.944656,0.850247,0.000593,0.022240,0.077713,-0.000034,0.000000,0.000010,-0.362498,9.078467,3.699477
32.000000,0.000000,1.000000,0.896360,0.850247,0.001033,0.021301,0.076478,-0.000059,0.000001,0.000020,-0.112620,9.092550,3.680889
33.000000,0.000000,1.000000,0.991032,0.850247,0.000126,0.020914,0.077027,-0.000004,0.000000,0.000002,-0.214624,9.091581,3.678748
34.000000,0.000000,1.000000,0.735064,0.850247,0.000216,0.020590,0.076746,0.000017,-0.000001,-0.000006,-0.130276,9.113825,3.627302
35.000000,0.000000,1.000000,0.990119,0.850247,-0.001335,0.020903,0.076999,-0.000046,0.000001,0.000017,-0.137998,9.078721,3.714013
36.000000,0.000000,1.000000,1.041437,0.850247,0.001760,0.019055,0.077458,-0.000020,0.000001,0.000008,-0.122320,9.079282,3.713191
37.000000,0.000000,1.000000,0.926436,0.850247,0.000219,0.019973,0.077094,-0.000038,-0.000000,0.000015,-0.163041,9.039498,3.807491
38.000000,0.000000,1.000000,0.916106,0.850247,-0.000906,0.020013,0.080993,-0.000040,0.000005,0.000022,-0.287309,9.032069,3.817760
39.000000,0.000000,1.000000,0.887832,0.850247,-0.001615,0.022878,0.076706,-0.000048,-0.000000,0.000015,-0.298455,9.019448,3.846633
40.000000,0.000000,1.000000,1.040122,0.850247,-0.000166,0.021775,0.075573,-0.000047,0.000003,0.000013,-0.272828,8.993703,3.908320
41.000000,0.000000,1.000000,1.040122,0.850247,-0.000166,0.021775,0.075573,-0.000047,0.000003,0.000013,-0.272828,8.993703,3.908320
42.000000,0.000000,1.000000,1.040122,0.850247,-0.000166,0.021775,0.075573,-0.000047,0.000003,0.000013,-0.272828,8.993703,3.908320
43.000000,0.000000,1.000000,0.754444,0.850247,0.000767,0.020998,0.078190,0.000069,-0.000001,-0.000022,-0.301214,8.961940,3.978569
44.000000,0.000000,1.000000,0.902944,0.850247,0.001690,0.024641,0.075477,-0.000065,0.000001,0.000024,-0.180810,9.059089,3.759830
45.000000,0.000000,1.000000,0.693605,0.850247,0.000473,0.026247,0.078059,0.000018,-0.000000,-0.000006,-0.066007,9.065167,3.748932
46.000000,0.000000,1.000000,0.862703,0.850247,0.001510,0.023900,0.076029,0.000002,0.000000,-0.000001,-0.095055,9.090814,3.685671
47.000000,0.000000,1.000000,1.061748,0.850247,0.001753,0.019451,0.079166,-0.000069,0.000010,0.000026,-0.253393,9.051518,3.773846
48.000000,0.000000,1.000000,1.061748,0.850247,0.001753,0.019451,0.079166,-0.000069,0.000010,0.000026,-0.253393,9.051518,3.773846
49.000000,0.000000,1.000000,0.739651,0.850247,0.001561,0.022417,0.077957,-0.000015,0.000000,0.000008,-0.279841,8.985548,3.926539
