# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,0.000000,0.999997,2.833639,-0.002632,0.020187,0.077927,0.000000,-2676322232076764960222321279244629747341876820576999755241379850973524470530048.000000,0.000000,-nan,-nan,0.000000
1.000000,0.000000,0.000000,0.999997,2.833639,-0.002632,0.020187,0.077927,-0.000071,-0.000001,0.000029,-0.370286,9.090555,3.668896
2.000000,0.000000,1.000000,2.993238,2.833639,-0.002658,0.021324,0.077033,0.941105,-2.563586,1.123996,-2.915999,8.104194,4.696370
3.000000,0.000000,1.000000,3.309397,2.833639,-0.002733,0.021230,0.077292,0.911001,4.102488,-0.093612,3.790049,8.320848,3.560908
4.000000,0.000000,1.000000,3.271753,2.833639,0.000088,0.020520,0.077556,0.135379,-0.080946,0.504511,-0.458604,8.874012,4.156645
5.000000,0.000000,1.000000,1.444650,2.833639,0.003161,0.020257,0.079233,0.049156,-0.498634,0.414696,-0.719517,8.860307,4.148722
6.000000,0.000000,1.000000,0.264803,2.833639,-0.000809,0.018575,0.079385,18.410150,-0.083760,-6.415909,0.433911,-9.185984,-3.415706
7.000000,0.000000,1.000000,2.686992,2.833639,-0.001658,0.019303,0.077432,-0.027198,-0.057608,-0.156158,-0.336448,9.010326,3.864833
8.000000,0.000000,1.000000,2.686992,2.833639,-0.001658,0.019303,0.077432,-0.027198,-0.057608,-0.156158,-0.336448,9.010326,3.864833
9.000000,0.000000,1.000000,2.686992,2.833639,-0.001658,0.019303,0.077432,-0.027198,-0.057608,-0.156158,-0.336448,9.010326,3.864833
10.000000,0.000000,0.000000,3.558352,2.833639,-0.001990,0.022037,0.077400,-0.000006,0.000000,0.000003,-0.139920,9.034209,3.820942
11.000000,0.000000,1.000000,3.481811,2.833639,-0.002875,0.020109,0.079094,-0.002245,-0.017392,0.398762,0.168579,9.103850,3.650702
12.000000,0.000000,1.000000,3.481811,2.833639,-0.002875,0.020109,0.079094,-0.002245,-0.017392,0.398762,0.168579,9.103850,3.650702
13.000000,0.000000,1.000000,3.169801,2.833639,-0.001638,0.021077,0.077166,-0.011760,0.130954,0.175112,-0.024157,9.132034,3.583500
14.000000,0.000000,1.000000,3.058444,2.833639,-0.001889,0.020522,0.076755,-0.169920,0.807989,-0.378683,-0.960963,9.079185,3.588986
15.000000,0.000000,1.000000,3.186741,2.833639,-0.002044,0.020508,0.077408,-0.113824,0.661739,-0.322127,-0.771573,9.101136,3.579118
16.000000,0.000000,1.000000,2.926369,2.833639,-0.005507,0.022061,0.076577,0.000435,0.219922,0.146097,-0.170437,9.162635,3.500453
17.000000,0.000000,1.000000,2.760393,2.833639,-0.001707,0.025083,0.073933,0.041704,0.372635,0.125792,-0.116402,9.192438,3.423687
18.000000,0.000000,1.000000,3.132845,2.833639,-0.002835,0.021702,0.073977,-0.006642,0.102120,0.117679,-0.096480,9.065953,3.746369
19.000000,0.000000,1.000000,2.884340,2.833639,0.000322,0.021127,0.075575,-0.262077,0.883811,-0.945363,-0.215385,9.479457,2.515871
20.000000,0.000000,1.000000,2.884340,2.833639,0.000322,0.021127,0.075575,-0.262077,0.883811,-0.945363,-0.215385,9.479457,2.515871
21.000000,0.000000,1.000000,1.920201,2.833639,-0.003615,0.021375,0.073242,18.254762,-2.988235,-5.591901,-1.638669,-9.583365,-1.307504
22.000000,0.000000,1.000000,3.428527,2.833639,-0.001464,0.024255,0.075780,-0.251441,0.583865,-0.661473,0.236375,9.344806,2.975709
23.000000,0.000000,1.000000,3.202776,2.833639,-0.004191,0.019142,0.075511,0.004610,-0.138106,0.145757,-0.489865,9.067915,3.710667
24.000000,0.000000,1.000000,2.938370,2.833639,-0.002637,0.021240,0.075218,0.058109,0.005670,0.401913,-0.573100,9.010053,3.837413
25.000000,0.000000,0.000000,3.202841,2.833639,-0.001750,0.020950,0.077598,-0.000030,-0.000001,0.000009,-0.292022,9.139435,3.552681
26.000000,0.000000,1.000000,2.752500,2.833639,-0.002118,0.021076,0.075716,0.097183,-0.243868,0.568100,-0.885588,9.145740,3.436161
27.000000,0.000000,1.000000,2.752500,2.833639,-0.002118,0.021076,0.075716,0.097183,-0.243868,0.568100,-0.885588,9.145740,3.436161
28.000000,0.000000,1.000000,2.752500,2.833639,-0.002118,0.021076,0.075716,0.097183,-0.243868,0.568100,-0.885588,9.145740,3.436161
29.000000,0.000000,1.000000,2.823701,2.833639,-0.002022,0.019952,0.077373,0.060042,-1.649996,-0.112931,-0.763491,9.575778,1.990392
30.000000,0.000000,1.000000,2.907502,2.833639,0.000833,0.019638,0.079973,0.214000,0.374382,0.726999,-0.803980,8.902122,4.042514
31.000000,0.000000,1.000000,3.137437,2.833639,0.001000,0.021609,0.076627,-0.058974,-0.008441,-0.010337,-0.285002,9.154072,3.515372
32.000000,0.000000,1.000000,2.832981,2.833639,-0.001001,0.019180,0.077731,-0.123189,0.793048,-0.211799,0.558059,9.134166,3.534356
33.000000,0.000000,1.000000,3.204464,2.833639,-0.002664,0.019732,0.076951,-0.062074,-0.824536,-0.071011,-1.101069,9.136294,3.398809
34.000000,0.000000,1.000000,3.621087,2.833639,-0.001139,0.020202,0.078664,0.265551,0.078570,0.951280,-0.378661,8.732037,4.454689
35.000000,0.000000,1.000000,2.944306,2.833639,-0.001746,0.019755,0.078641,-0.403219,1.196264,-1.451801,0.872430,9.524280,2.182359
36.000000,0.000000,1.000000,2.944306,2.833639,-0.001746,0.019755,0.078641,-0.403219,1.196264,-1.451801,0.872430,9.524280,2.182359
37.000000,0.000000,1.000000,2.980855,2.833639,0.000524,0.022957,0.077151,-0.294512,-0.244197,-1.160724,-0.538056,9.457180,2.549799
38.000000,0.000000,1.000000,1.533818,2.833639,0.003490,0.021417,0.078592,-0.425687,-0.288715,-1.175341,-0.604825,9.475054,2.468492
39.000000,0.000000,1.000000,1.116891,2.833639,-0.002935,0.018705,0.080216,18.281081,3.348124,-3.185733,4.875136,-8.139170,-2.494597
40.000000,0.000000,1.000000,1.116891,2.833639,-0.002935,0.018705,0.080216,18.281081,3.348124,-3.185733,4.875136,-8.139170,-2.494597
41.000000,0.000000,1.000000,3.008511,2.833639,-0.003818,0.018482,0.080268,-0.253105,0.863183,-0.592900,-0.878729,9.235005,3.190390
42.000000,0.000000,1.000000,3.008511,2.833639,-0.003818,0.018482,0.080268,-0.253105,0.863183,-0.592900,-0.878729,9.235005,3.190390
43.000000,0.000000,1.000000,3.008511,2.833639,-0.003818,0.018482,0.080268,-0.253105,0.863183,-0.592900,-0.878729,9.235005,3.190390
