# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,0.000000,0.999998,0.933621,-0.002606,0.019992,0.077962,0.000000,6103767303994082854838380041072504213633540200269025388885846674638946925090383235518266359009697847207381940866622397871249806165768436348385312918959373664685273178407579493562180693959316055395449285863951645865333041328641329519938400650728592805462301212672.000000,0.000000,-nan,-nan,0.000000
1.000000,0.000000,0.000000,0.999998,0.933621,-0.002606,0.019992,0.077962,6.941988,-8.157766,1.255039,-8.394416,1.924543,4.697448
2.000000,0.000000,0.000000,1.043276,0.933621,-0.002801,0.020843,0.076975,0.000000,-0.000000,0.000000,-0.356306,9.100612,3.645272
3.000000,0.000000,0.000000,1.098481,0.933621,-0.003023,0.020555,0.077225,-0.000021,0.000000,0.000007,-0.348699,9.102589,3.641068
4.000000,0.000000,1.000000,1.118707,0.933621,-0.000076,0.019542,0.077279,0.395023,0.329744,1.047700,-0.058706,8.595305,4.727937
5.000000,0.000000,1.000000,0.294038,0.933621,0.002620,0.020414,0.078771,0.070094,-0.583276,0.538487,-0.780845,8.786132,4.292989
6.000000,0.000000,0.000000,0.607366,0.933621,0.000365,0.019235,0.079418,-0.000047,0.000002,0.000018,-0.334158,9.086773,3.681711
7.000000,0.000000,1.000000,0.915034,0.933621,-0.001579,0.020337,0.076954,-0.081911,-0.060134,-0.225407,-0.441361,9.011449,3.851635
8.000000,0.000000,1.000000,0.915034,0.933621,-0.001579,0.020337,0.076954,-0.081911,-0.060134,-0.225407,-0.441361,9.011449,3.851635
9.000000,0.000000,1.000000,0.915034,0.933621,-0.001579,0.020337,0.076954,-0.081911,-0.060134,-0.225407,-0.441361,9.011449,3.851635
10.000000,0.000000,0.000000,1.144513,0.933621,-0.003368,0.022792,0.076369,-0.000008,0.000000,0.000003,-0.164964,9.030672,3.828295
11.000000,0.000000,1.000000,1.152970,0.933621,-0.002428,0.020607,0.079372,-0.057337,-0.056759,0.235860,0.019387,9.055793,3.772049
12.000000,0.000000,1.000000,1.152970,0.933621,-0.002428,0.020607,0.079372,-0.057337,-0.056759,0.235860,0.019387,9.055793,3.772049
13.000000,0.000000,1.000000,1.045174,0.933621,-0.001960,0.019393,0.076493,0.028209,0.419881,0.161201,-0.240766,9.199626,3.397793
14.000000,0.000000,1.000000,0.921676,0.933621,-0.002564,0.021976,0.076695,-0.038006,0.844253,-0.079261,-0.828462,9.178773,3.361529
15.000000,0.000000,1.000000,1.095145,0.933621,-0.002277,0.020261,0.077550,0.022346,0.836440,-0.002183,-0.748442,9.232026,3.231975
