# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1.000000,1.000000,0.517481,0.591527,-0.005942,0.017043,0.074992,-0.043773,-0.428925,-0.072374,-0.974341,9.268336,3.063447
1.000000,1.000000,1.000000,0.533968,0.591527,-0.003182,0.017075,0.075800,-0.105857,-0.132973,-0.069293,-0.701235,9.308483,3.016043
2.000000,1.000000,1.000000,0.445865,0.591527,-0.002128,0.019181,0.074893,14.360469,-7.765433,-0.855898,-8.604209,-4.711105,0.095837
3.000000,1.000000,1.000000,0.518199,0.591527,-0.005262,0.021740,0.077472,1.216771,-2.361527,2.172544,-3.640210,8.118420,4.132340
4.000000,1.000000,1.000000,0.480973,0.591527,0.003479,0.020418,0.076799,0.195678,-0.843355,0.948696,-1.804489,8.920225,3.661899
5.000000,1.000000,1.000000,0.467912,0.591527,-0.001697,0.022119,0.076071,2.965271,0.261746,4.343315,-0.818905,6.273404,7.497326
6.000000,1.000000,1.000000,0.431843,0.591527,-0.002808,0.019833,0.078158,0.162905,0.951998,0.237621,0.492348,9.255048,3.215241
7.000000,1.000000,1.000000,0.431843,0.591527,-0.002808,0.019833,0.078158,0.162905,0.951998,0.237621,0.492348,9.255048,3.215241
8.000000,1.000000,1.000000,0.471027,0.591527,-0.003708,0.024762,0.076340,0.663895,-1.659029,0.759371,-2.073030,8.679243,4.075461
9.000000,1.000000,1.000000,0.433842,0.591527,0.002892,0.016038,0.076211,-0.100522,1.067236,-0.361472,0.444746,9.366366,2.882618
10.000000,1.000000,1.000000,0.417667,0.591527,0.001452,0.021301,0.076085,-0.081746,0.001999,0.044499,-0.511444,9.206124,3.349896
11.000000,1.000000,1.000000,0.327421,0.591527,-0.000811,0.020273,0.076904,4.323199,7.672230,-1.453342,4.134507,7.983565,-3.924874
12.000000,1.000000,1.000000,0.426303,0.591527,-0.001475,0.021110,0.077535,1.351044,4.504989,-0.080254,2.403118,9.504779,-0.346841
13.000000,1.000000,1.000000,0.489320,0.591527,-0.006535,0.020173,0.075753,0.375232,-1.281193,0.353469,-0.759190,8.693957,4.480497
14.000000,1.000000,1.000000,0.073221,0.591527,0.000429,0.019794,0.076941,15.396011,-5.677561,1.666592,-0.507580,-7.513652,6.286771
15.000000,1.000000,1.000000,0.473311,0.591527,0.002507,0.023282,0.075958,-0.280424,0.168282,-1.170487,-1.124901,9.454616,2.362402
16.000000,1.000000,1.000000,0.503032,0.591527,-0.002321,0.017685,0.076911,-0.003279,0.873782,0.079686,-0.138913,9.486040,2.496367
17.000000,1.000000,1.000000,0.597629,0.591527,-0.006531,0.021149,0.074973,-0.092744,-0.387830,-0.076767,-0.563735,9.105316,3.607150
18.000000,1.000000,1.000000,0.502320,0.591527,-0.004088,0.023856,0.069484,-0.069972,0.145124,-0.029226,-0.418004,9.262784,3.203468
19.000000,1.000000,1.000000,0.452857,0.591527,-0.003474,0.019407,0.074153,-0.175231,-0.376657,-0.196267,-0.774765,9.385611,2.747025
20.000000,1.000000,1.000000,0.137118,0.591527,-0.005982,0.016068,0.075554,3.051447,-7.475474,-3.979984,-6.349962,6.827395,-3.049715
