# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1.000000,1.000000,2.483611,3.714294,0.004098,0.023969,0.078257,-0.000148,0.000002,0.000043,-0.718468,9.058118,3.697350
1.000000,1.000000,1.000000,2.483611,3.714294,0.004098,0.023969,0.078257,-0.000148,0.000002,0.000043,-0.718468,9.058118,3.697350
2.000000,1.000000,1.000000,2.483611,3.714294,0.004098,0.023969,0.078257,-0.000148,0.000002,0.000043,-0.718468,9.058118,3.697350
3.000000,1.000000,1.000000,2.483611,3.714294,0.004098,0.023969,0.078257,-0.000148,0.000002,0.000043,-0.718468,9.058118,3.697350
4.000000,1.000000,1.000000,2.483611,3.714294,0.004098,0.023969,0.078257,-0.000148,0.000002,0.000043,-0.718468,9.058118,3.697350
5.000000,1.000000,1.000000,2.968284,3.714294,0.001005,0.023392,0.075846,-0.000159,-0.000003,0.000062,-0.637971,9.042884,3.749046
6.000000,1.000000,1.000000,2.517028,3.714294,-0.002713,0.017699,0.077826,0.000078,0.000005,-0.000033,-0.441533,9.131347,3.558041
7.000000,1.000000,1.000000,2.139632,3.714294,-0.003957,0.020062,0.080542,0.000014,0.000002,-0.000002,-0.508797,8.893188,4.109554
8.000000,1.000000,1.000000,1.517301,3.714294,-0.000684,0.022406,0.072610,-0.000169,0.000000,0.000052,-0.401027,9.021519,3.832423
9.000000,1.000000,1.000000,2.512851,3.714294,-0.005663,0.021743,0.074065,-0.000049,-0.000007,0.000025,-0.633655,9.138597,3.510075
10.000000,1.000000,1.000000,2.794654,3.714294,-0.004528,0.022952,0.076212,-0.000202,0.000031,0.000051,-0.675783,9.155354,3.458165
11.000000,1.000000,1.000000,2.262079,3.714294,-0.006684,0.019022,0.069393,-0.000339,-0.000038,0.000115,-0.647827,9.080358,3.655615
12.000000,1.000000,1.000000,2.737138,3.714294,-0.007407,0.023778,0.070359,-0.000067,0.000015,0.000053,-0.426753,9.155209,3.498017
13.000000,1.000000,1.000000,2.793463,3.714294,-0.007727,0.021334,0.073216,-0.000049,0.000034,0.000028,-0.393309,9.114397,3.606822
14.000000,1.000000,1.000000,1.983816,3.714294,-0.006326,0.019098,0.072802,-0.000168,-0.000015,0.000015,-0.293591,9.130534,3.575366
15.000000,1.000000,1.000000,3.287255,3.714294,-0.003146,0.021896,0.068063,-0.000114,0.000002,0.000038,-0.569151,9.015349,3.825657
16.000000,1.000000,1.000000,1.631175,3.714294,-0.002924,0.014832,0.070641,-0.000021,-0.000010,-0.000015,-0.887427,8.906830,4.014592
17.000000,1.000000,1.000000,1.631175,3.714294,-0.002924,0.014832,0.070641,-0.000021,-0.000010,-0.000015,-0.887427,8.906830,4.014592
18.000000,1.000000,1.000000,2.800888,3.714294,-0.007630,0.017408,0.072217,0.000031,0.000010,0.000003,-0.661115,9.113680,3.569295
19.000000,1.000000,1.000000,3.933070,3.714294,-0.006531,0.023302,0.073427,-0.000070,0.000004,0.000021,-0.542013,9.126054,3.557733
20.000000,1.000000,1.000000,2.894064,3.714294,-0.000660,0.020933,0.071670,-0.000003,0.000007,0.000014,-0.551809,9.109970,3.597229
21.000000,1.000000,1.000000,3.485350,3.714294,-0.003406,0.017217,0.078688,-0.000044,0.000003,0.000025,-0.557819,9.145923,3.503860
22.000000,1.000000,1.000000,3.350875,3.714294,-0.003085,0.020399,0.078858,-0.000014,0.000000,0.000010,-0.640462,9.145894,3.489776
23.000000,1.000000,1.000000,3.350875,3.714294,-0.003085,0.020399,0.078858,-0.000014,0.000000,0.000010,-0.640462,9.145894,3.489776
24.000000,1.000000,1.000000,3.432188,3.714294,-0.001296,0.017501,0.076677,0.000019,-0.000003,-0.000010,-0.621109,9.119787,3.560871
25.000000,1.000000,1.000000,3.563231,3.714294,-0.001291,0.024486,0.076634,-0.000114,-0.000004,0.000043,-0.734268,9.137351,3.493675
26.000000,1.000000,1.000000,3.406378,3.714294,-0.003075,0.019243,0.078108,-0.000124,-0.000005,0.000047,-0.680317,9.124420,3.538111
27.000000,1.000000,1.000000,3.169597,3.714294,-0.002181,0.022431,0.077868,-0.000121,0.000009,0.000034,-0.685789,9.137209,3.503885
28.000000,1.000000,1.000000,3.248814,3.714294,0.001075,0.018474,0.075186,-0.000043,-0.000002,0.000007,-0.556145,9.152274,3.487504
29.000000,1.000000,1.000000,3.248814,3.714294,0.001075,0.018474,0.075186,-0.000043,-0.000002,0.000007,-0.556145,9.152274,3.487504
30.000000,1.000000,1.000000,3.204567,3.714294,-0.005161,0.022231,0.075857,-0.000105,0.000011,0.000037,-0.635695,9.117636,3.563806
31.000000,1.000000,1.000000,3.250513,3.714294,0.003358,0.022625,0.082196,-0.000111,0.000020,0.000022,-0.667175,9.142076,3.494771
32.000000,1.000000,1.000000,3.614150,3.714294,0.004242,0.018844,0.085142,-0.000035,0.000020,0.000033,-0.604541,9.094007,3.629003
33.000000,1.000000,1.000000,3.060937,3.714294,-0.000737,0.021441,0.080776,-0.000007,0.000003,-0.000007,-0.553488,9.063994,3.711301
34.000000,1.000000,1.000000,3.230450,3.714294,0.004301,0.020147,0.079517,-0.000219,0.000024,0.000027,-0.594846,9.020786,3.808894
35.000000,1.000000,1.000000,3.017574,3.714294,-0.003529,0.025056,0.078218,-0.000044,0.000013,0.000022,-0.595600,9.031216,3.783980
36.000000,1.000000,1.000000,3.497531,3.714294,-0.001637,0.016170,0.073500,-0.000064,0.000028,0.000016,-0.545778,9.037411,3.776696
37.000000,1.000000,1.000000,3.114911,3.714294,-0.003114,0.021013,0.079238,0.000029,-0.000001,-0.000014,-0.547323,9.034927,3.782410
38.000000,1.000000,1.000000,3.070403,3.714294,-0.003260,0.014826,0.081600,-0.000004,-0.000000,0.000007,-0.485626,9.038392,3.782557
39.000000,1.000000,1.000000,3.350096,3.714294,-0.002322,0.031237,0.069786,-0.000175,-0.000005,0.000006,-0.581657,9.030566,3.787698
40.000000,1.000000,1.000000,3.229350,3.714294,-0.001014,0.010641,0.087815,-0.000120,-0.000003,-0.000013,-0.467688,9.033283,3.796993
41.000000,1.000000,1.000000,3.335482,3.714294,-0.001881,0.014468,0.081657,-0.000125,-0.000002,0.000048,-0.481807,9.041050,3.776688
42.000000,1.000000,1.000000,3.335482,3.714294,-0.001881,0.014468,0.081657,-0.000125,-0.000002,0.000048,-0.481807,9.041050,3.776688
43.000000,1.000000,1.000000,3.515014,3.714294,-0.004662,0.026186,0.071101,-0.000064,-0.000004,0.000022,-0.639432,9.031605,3.775888
44.000000,1.000000,1.000000,3.341189,3.714294,-0.002167,0.022080,0.074485,-0.000074,-0.000004,0.000040,-0.570491,9.018226,3.818670
45.000000,1.000000,1.000000,3.286726,3.714294,0.000049,0.016550,0.080588,-0.000030,0.000001,0.000009,-0.663593,9.029429,3.776925
46.000000,1.000000,1.000000,3.225363,3.714294,-0.006086,0.029384,0.069038,-0.000034,-0.000001,-0.000002,-0.571842,9.037932,3.771588
47.000000,1.000000,1.000000,2.984475,3.714294,-0.003763,0.008546,0.088475,-0.000129,0.000010,0.000148,-0.707651,9.033754,3.758540
48.000000,1.000000,1.000000,3.178188,3.714294,-0.004897,0.032781,0.065224,-0.000161,0.000011,-0.000010,-0.622087,9.005678,3.840165
49.000000,1.000000,1.000000,3.328126,3.714294,-0.000679,0.018766,0.083843,-0.000099,-0.000003,0.000042,-0.709254,9.017803,3.796352
50.000000,1.000000,1.000000,3.249364,3.714294,-0.004939,0.028528,0.068768,-0.000148,0.000005,0.000059,-0.639815,9.012722,3.820678
51.000000,1.000000,1.000000,3.281411,3.714294,0.000036,0.021695,0.081859,-0.000166,-0.000020,0.000039,-0.710541,9.054479,3.707781
52.000000,1.000000,1.000000,3.409977,3.714294,-0.005833,0.014948,0.073650,-0.000116,-0.000000,0.000046,-0.728803,9.025610,3.774032
53.000000,1.000000,1.000000,3.353637,3.714294,-0.000435,0.030660,0.076697,-0.000101,0.000001,0.000014,-0.586976,9.094622,3.630345
54.000000,1.000000,1.000000,2.987703,3.714294,-0.003156,0.015418,0.076086,-0.000010,0.000002,0.000008,-0.724775,9.162344,3.429613
55.000000,1.000000,1.000000,2.634455,3.714294,-0.007329,0.026668,0.071906,-0.000145,0.000014,0.000049,-0.667195,8.970874,3.913359
56.000000,1.000000,1.000000,3.290779,3.714294,-0.001961,0.016168,0.081841,-0.000072,-0.000002,0.000009,-0.666417,9.118591,3.555741
57.000000,1.000000,1.000000,3.381683,3.714294,-0.003868,0.032115,0.068111,0.000025,0.000001,-0.000005,-0.630993,9.101715,3.605099
