# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.014866,1.000000,2.116048,3.714294,0.003949,0.023885,0.078483,-0.666280,-0.218137,-1.649906,-1.015458,9.693241,2.091094
1.000000,0.014866,1.000000,2.116048,3.714294,0.003949,0.023885,0.078483,-0.666280,-0.218137,-1.649906,-1.015458,9.693241,2.091094
2.000000,0.014866,1.000000,2.116048,3.714294,0.003949,0.023885,0.078483,-0.666280,-0.218137,-1.649906,-1.015458,9.693241,2.091094
3.000000,0.014866,1.000000,2.116048,3.714294,0.003949,0.023885,0.078483,-0.666280,-0.218137,-1.649906,-1.015458,9.693241,2.091094
4.000000,0.014866,1.000000,2.116048,3.714294,0.003949,0.023885,0.078483,-0.666280,-0.218137,-1.649906,-1.015458,9.693241,2.091094
5.000000,0.014866,1.000000,2.885967,3.714294,0.000905,0.023368,0.075892,-0.415054,0.069208,-0.762945,-0.812929,9.360856,2.952426
6.000000,0.014866,1.000000,1.389066,3.714294,-0.002640,0.017655,0.077827,6.896914,-9.150843,14.246489,-3.984824,2.557545,19.830908
7.000000,0.014866,1.000000,1.989658,3.714294,-0.003452,0.019986,0.080393,-0.195457,11.269366,-0.141860,10.224082,10.856901,1.101532
8.000000,0.014866,1.000000,1.730341,3.714294,-0.000782,0.022335,0.072703,0.086387,3.472707,0.741264,3.089794,9.333034,3.504583
9.000000,0.014866,1.000000,2.631549,3.714294,-0.005948,0.021789,0.074003,0.163902,-0.458007,0.465762,-1.017547,8.901950,4.052041
10.000000,0.014866,1.000000,2.888823,3.714294,-0.004316,0.023174,0.075778,-0.213778,0.638081,-0.320989,0.053472,9.224047,3.420302
11.000000,0.014866,1.000000,2.189577,3.714294,-0.007120,0.018635,0.069475,-0.173923,-0.581062,0.149547,-0.967829,9.241290,3.197398
12.000000,0.014866,1.000000,2.506841,3.714294,-0.006689,0.023792,0.070651,0.116934,0.193709,0.391017,-0.851270,9.128235,3.517053
13.000000,0.014866,1.000000,2.763287,3.714294,-0.007432,0.021754,0.073436,0.020471,0.375613,0.158606,-0.774556,9.138621,3.504035
14.000000,0.014866,1.000000,0.967029,3.714294,-0.006089,0.019144,0.072030,-0.488017,-0.352042,-0.982034,-0.737263,8.831385,4.294176
15.000000,0.014866,1.000000,1.390741,3.714294,-0.003310,0.021937,0.068037,-0.178220,0.791055,0.302281,0.109673,9.377826,3.050103
16.000000,0.014866,1.000000,1.089526,3.714294,-0.002796,0.014742,0.070353,-0.255707,-0.193684,-0.917046,-0.665647,9.237748,3.312766
17.000000,0.014866,1.000000,1.089526,3.714294,-0.002796,0.014742,0.070353,-0.255707,-0.193684,-0.917046,-0.665647,9.237748,3.312766
18.000000,0.014866,1.000000,2.833228,3.714294,-0.007762,0.017463,0.072265,0.124572,0.438039,0.363807,-0.853116,8.905888,4.065375
19.000000,0.014866,1.000000,3.676310,3.714294,-0.006515,0.023333,0.073560,-0.069056,0.081452,0.045546,-0.600158,9.101737,3.611265
20.000000,0.014866,1.000000,2.267496,3.714294,-0.000622,0.020695,0.071593,1.420202,-2.546211,3.556818,-2.616146,10.487992,-0.214508
21.000000,0.014866,1.000000,3.490931,3.714294,-0.003445,0.017313,0.078666,0.128653,-0.597133,0.469566,-0.881718,9.376657,2.850815
22.000000,0.014866,1.000000,3.762579,3.714294,-0.003792,0.020347,0.079324,0.220648,-0.314235,0.906285,-1.536775,9.110341,3.426146
23.000000,0.014866,1.000000,3.762579,3.714294,-0.003792,0.020347,0.079324,0.220648,-0.314235,0.906285,-1.536775,9.110341,3.426146
24.000000,0.014866,1.000000,3.559662,3.714294,-0.001484,0.017603,0.076854,-0.296303,-0.043605,-1.345978,0.659938,9.403517,3.054152
25.000000,0.014866,1.000000,3.683587,3.714294,-0.001175,0.024471,0.076609,-0.913291,0.111288,-1.932653,1.098270,9.642309,2.560354
26.000000,0.014866,1.000000,3.793460,3.714294,-0.003172,0.019254,0.078158,0.419666,-0.073639,1.469038,-2.062370,8.771196,4.172473
27.000000,0.014866,1.000000,3.667130,3.714294,-0.002070,0.022409,0.077765,-0.573990,-0.201805,-1.265920,0.541716,9.470764,2.868882
28.000000,0.014866,1.000000,2.441818,3.714294,0.001003,0.018506,0.075348,-4.142861,16.094943,-12.192855,16.787936,6.155338,14.169734
29.000000,0.014866,1.000000,2.441818,3.714294,0.001003,0.018506,0.075348,-4.142861,16.094943,-12.192855,16.787936,6.155338,14.169734
30.000000,0.014866,1.000000,2.448815,3.714294,-0.005007,0.022201,0.075823,1.405963,6.667075,3.884820,-2.482841,6.254540,10.571667
31.000000,0.014866,1.000000,3.391598,3.714294,0.003732,0.022776,0.082456,-0.190409,0.442148,-0.398432,-0.043595,9.121267,3.656860
32.000000,0.014866,1.000000,3.321313,3.714294,0.003984,0.018512,0.085000,0.064418,0.583375,0.277108,-0.189997,8.943464,4.074813
33.000000,0.014866,1.000000,2.951619,3.714294,-0.000436,0.021401,0.080779,-0.124205,0.016458,-0.477644,-0.706435,9.224739,3.294390
34.000000,0.014866,1.000000,2.730160,3.714294,0.004581,0.019876,0.080201,-0.247588,0.084296,-0.209960,-0.562958,9.075371,3.690453
35.000000,0.014866,1.000000,3.171760,3.714294,-0.002680,0.025318,0.078166,-0.313383,1.119655,-0.375274,-0.900365,9.447360,2.748635
36.000000,0.014866,1.000000,3.415384,3.714294,-0.002339,0.016086,0.073747,0.572445,1.092869,1.844621,1.539324,9.428480,3.143954
37.000000,0.014866,1.000000,3.393901,3.714294,-0.002948,0.020924,0.079277,3.070759,5.299619,5.893864,6.737117,11.140901,-0.253382
38.000000,0.014866,1.000000,3.080444,3.714294,-0.003004,0.014838,0.081503,0.067653,-0.286304,0.273188,-0.263640,8.927506,4.077602
39.000000,0.014866,1.000000,3.380141,3.714294,-0.001305,0.031096,0.069487,-0.137466,-0.610865,-0.170391,-0.847913,8.789580,4.320848
40.000000,0.014866,1.000000,3.264990,3.714294,0.000141,0.010750,0.087487,-0.113741,-3.112596,-0.118125,-0.863755,7.826185,6.629010
41.000000,0.014866,1.000000,3.420044,3.714294,-0.001993,0.014470,0.081718,-0.029991,-9.145027,-0.080083,-1.256846,5.494195,12.171978
42.000000,0.014866,1.000000,3.420044,3.714294,-0.001993,0.014470,0.081718,-0.029991,-9.145027,-0.080083,-1.256846,5.494195,12.171978
43.000000,0.014866,1.000000,3.491869,3.714294,-0.004851,0.026140,0.070950,0.022013,-0.487168,0.308955,-0.390224,8.847945,4.256313
44.000000,0.014866,1.000000,3.475697,3.714294,-0.002149,0.022038,0.074641,-0.115207,-0.043113,-0.026654,-0.617831,9.010871,3.829605
45.000000,0.014866,1.000000,3.403301,3.714294,-0.000056,0.016506,0.080598,-0.160803,4.309075,-0.174964,2.485069,10.359512,1.141687
46.000000,0.014866,1.000000,3.264752,3.714294,-0.005271,0.029479,0.068825,-0.065102,1.006633,-0.087475,0.126824,9.361003,3.100848
47.000000,0.014866,1.000000,3.213843,3.714294,0.000839,0.008419,0.086252,0.183345,26.480900,0.438994,19.123470,17.050541,-11.882395
48.000000,0.014866,1.000000,3.339480,3.714294,-0.005681,0.032730,0.065608,0.822333,24.147524,0.775137,17.949342,16.145029,-9.905126
49.000000,0.014866,1.000000,3.360204,3.714294,-0.001007,0.018860,0.083939,-0.227250,-0.769098,-0.247300,-1.487279,8.874141,3.996608
50.000000,0.014866,1.000000,3.289759,3.714294,-0.004631,0.028326,0.068765,-0.049982,0.014045,0.218788,-0.526666,8.963992,3.954940
51.000000,0.014866,1.000000,2.817706,3.714294,-0.000335,0.021418,0.082173,0.387445,-4.596597,0.808904,-4.989288,8.088652,5.238050
52.000000,0.014866,1.000000,3.413718,3.714294,-0.005996,0.014910,0.073807,-0.311804,0.952557,-0.369111,0.178602,9.306492,3.278379
53.000000,0.014866,1.000000,3.197097,3.714294,-0.000938,0.030515,0.076901,-0.056135,6.179315,0.669584,5.500058,9.008333,4.842619
54.000000,0.014866,1.000000,2.905261,3.714294,-0.003117,0.015406,0.076049,0.455269,6.013513,0.486667,5.234295,9.253439,4.431519
55.000000,0.014866,1.000000,2.380295,3.714294,-0.004979,0.027177,0.071566,-0.102258,3.752884,-0.109343,3.043008,9.043505,4.392269
56.000000,0.014866,1.000000,3.396746,3.714294,-0.002334,0.015729,0.082072,-0.213260,0.542415,-0.285088,-0.045532,9.169688,3.540953
57.000000,0.014866,1.000000,3.093469,3.714294,-0.003211,0.032173,0.067772,-0.184030,6.749758,-0.473306,5.142363,8.161939,7.002654
58.000000,0.014866,1.000000,2.246333,3.714294,-0.006904,0.018236,0.082876,-0.468025,-8.808996,-0.196222,-5.715928,11.504643,-3.423037
59.000000,0.014866,1.000000,3.264614,3.714294,-0.000107,0.028248,0.067925,0.059773,0.896863,0.403591,-0.608777,8.761757,4.477760
60.000000,0.014866,1.000000,3.045708,3.714294,-0.002182,0.014175,0.085126,0.518467,-3.525270,0.527600,-1.713151,10.273334,0.490675
61.000000,0.014866,1.000000,3.280194,3.714294,-0.000967,0.025786,0.066269,-0.133706,-1.144630,-0.188456,-0.604070,9.546807,2.466082
62.000000,0.014866,1.000000,2.884006,3.714294,-0.004935,0.016715,0.084940,0.241293,-1.358698,0.818639,-1.355508,9.605607,2.175738
63.000000,0.014866,1.000000,3.256731,3.714294,-0.001988,0.026413,0.063435,0.267679,-7.762041,0.626061,2.472004,11.876872,-3.118949
64.000000,0.014866,1.000000,2.476852,3.714294,-0.002551,0.019209,0.084764,-0.011564,-8.988281,0.122857,4.080572,12.175744,-3.442446
65.000000,0.014866,1.000000,3.694961,3.714294,-0.002136,0.021493,0.063212,-0.316755,-1.875803,-0.019267,1.207077,9.522037,2.727918
