# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,0.000000,1.000000,0.815212,0.890209,0.003852,0.021059,0.078363,-0.000061,0.000002,0.000019,-0.704889,9.072695,3.664074
1.000000,0.000000,1.000000,0.815212,0.890209,0.003852,0.021059,0.078363,-0.000061,0.000002,0.000019,-0.704889,9.072695,3.664074
2.000000,0.000000,1.000000,0.815212,0.890209,0.003852,0.021059,0.078363,-0.000061,0.000002,0.000019,-0.704889,9.072695,3.664074
3.000000,0.000000,1.000000,0.815212,0.890209,0.003852,0.021059,0.078363,-0.000061,0.000002,0.000019,-0.704889,9.072695,3.664074
4.000000,0.000000,1.000000,0.815212,0.890209,0.003852,0.021059,0.078363,-0.000061,0.000002,0.000019,-0.704889,9.072695,3.664074
5.000000,0.000000,1.000000,0.981716,0.890209,0.000456,0.023139,0.075915,-0.000055,-0.000001,0.000021,-0.616689,9.058910,3.713751
6.000000,0.000000,1.000000,0.849943,0.890209,-0.002945,0.017495,0.077916,0.000017,0.000001,-0.000007,-0.447867,9.136894,3.542976
7.000000,0.000000,1.000000,0.839588,0.890209,-0.005880,0.019413,0.080031,-0.000001,0.000000,0.000000,-0.521296,9.001376,3.865177
8.000000,0.000000,1.000000,0.869727,0.890209,0.002093,0.023147,0.072788,-0.000038,-0.000001,0.000012,-0.528834,9.079568,3.676666
9.000000,0.000000,1.000000,0.857039,0.890209,-0.005582,0.021495,0.074323,-0.000014,0.000000,0.000010,-0.624368,9.146701,3.490576
10.000000,0.000000,1.000000,0.897438,0.890209,-0.003381,0.024251,0.076188,-0.000071,0.000011,0.000021,-0.670058,9.156560,3.456085
11.000000,0.000000,1.000000,0.901973,0.890209,-0.006383,0.018713,0.069222,-0.000070,-0.000011,0.000018,-0.510208,9.137347,3.533367
12.000000,0.000000,1.000000,0.922678,0.890209,-0.006158,0.023408,0.069699,-0.000021,0.000007,0.000020,-0.411277,9.166629,3.469851
13.000000,0.000000,1.000000,0.903632,0.890209,-0.005264,0.022746,0.072457,-0.000009,0.000012,0.000012,-0.378650,9.136951,3.550894
14.000000,0.000000,1.000000,0.809355,0.890209,-0.001954,0.022538,0.071489,-0.000045,-0.000004,0.000000,-0.332755,9.104997,3.636536
15.000000,0.000000,1.000000,1.030445,0.890209,0.001689,0.024610,0.067438,-0.000039,0.000006,0.000010,-0.597029,9.008636,3.837204
16.000000,0.000000,1.000000,0.581050,0.890209,-0.002624,0.016405,0.070302,-0.000009,-0.000005,-0.000006,-0.808802,8.970716,3.886925
17.000000,0.000000,1.000000,0.581050,0.890209,-0.002624,0.016405,0.070302,-0.000009,-0.000005,-0.000006,-0.808802,8.970716,3.886925
18.000000,0.000000,1.000000,0.815783,0.890209,-0.006837,0.018614,0.071599,0.000006,0.000004,0.000001,-0.639643,9.142557,3.498659
19.000000,0.000000,1.000000,1.159492,0.890209,-0.006725,0.022800,0.073337,-0.000025,0.000004,0.000008,-0.499334,9.147371,3.508899
20.000000,0.000000,1.000000,0.896321,0.890209,-0.001110,0.021239,0.071348,-0.000014,0.000001,0.000008,-0.486906,9.147210,3.511065
21.000000,0.000000,1.000000,1.012801,0.890209,-0.003044,0.018101,0.078503,-0.000011,0.000000,0.000005,-0.522966,9.163254,3.463724
22.000000,0.000000,1.000000,0.988571,0.890209,-0.003860,0.020187,0.079302,-0.000006,0.000002,0.000005,-0.576521,9.168301,3.441800
23.000000,0.000000,1.000000,0.988571,0.890209,-0.003860,0.020187,0.079302,-0.000006,0.000002,0.000005,-0.576521,9.168301,3.441800
24.000000,0.000000,1.000000,0.971107,0.890209,-0.001639,0.017768,0.076887,0.000002,-0.000001,-0.000003,-0.607796,9.145008,3.497931
25.000000,0.000000,1.000000,1.022002,0.890209,-0.001254,0.024527,0.076621,-0.000031,-0.000001,0.000012,-0.680209,9.157738,3.450978
26.000000,0.000000,1.000000,0.953844,0.890209,-0.003288,0.019368,0.078298,-0.000029,-0.000001,0.000011,-0.615981,9.144016,3.499090
27.000000,0.000000,1.000000,0.883826,0.890209,-0.002105,0.022172,0.077635,-0.000035,0.000002,0.000009,-0.643582,9.162216,3.446114
28.000000,0.000000,1.000000,0.929569,0.890209,0.002102,0.018664,0.075952,-0.000015,-0.000001,0.000003,-0.546881,9.174529,3.430020
29.000000,0.000000,1.000000,0.929569,0.890209,0.002102,0.018664,0.075952,-0.000015,-0.000001,0.000003,-0.546881,9.174529,3.430020
30.000000,0.000000,1.000000,0.952909,0.890209,-0.006288,0.022847,0.075315,-0.000022,0.000002,0.000007,-0.583161,9.142999,3.507362
31.000000,0.000000,1.000000,0.914155,0.890209,-0.002655,0.021961,0.083380,-0.000023,0.000006,0.000002,-0.641062,9.157492,3.459116
32.000000,0.000000,1.000000,1.103952,0.890209,-0.003062,0.014963,0.087409,-0.000005,0.000006,0.000012,-0.648483,9.116032,3.565603
33.000000,0.000000,1.000000,0.949248,0.890209,-0.002609,0.020646,0.081222,-0.000008,-0.000001,-0.000002,-0.569063,9.074969,3.682012
34.000000,0.000000,1.000000,1.052738,0.890209,0.004080,0.019213,0.080887,-0.000051,0.000007,0.000006,-0.621179,9.032177,3.777566
35.000000,0.000000,1.000000,0.943652,0.890209,-0.003089,0.025519,0.078423,-0.000017,0.000003,0.000009,-0.570741,9.037038,3.773897
36.000000,0.000000,1.000000,1.103589,0.890209,-0.002275,0.015817,0.073706,-0.000017,0.000009,0.000004,-0.521206,9.048954,3.752449
37.000000,0.000000,1.000000,1.021801,0.890209,-0.002842,0.020713,0.079285,-0.000001,0.000000,0.000000,-0.465511,9.047868,3.762378
38.000000,0.000000,1.000000,0.972200,0.890209,-0.002814,0.013977,0.081572,-0.000007,-0.000000,0.000005,-0.468646,9.053541,3.748316
39.000000,0.000000,1.000000,1.058259,0.890209,-0.001883,0.031354,0.069749,-0.000036,-0.000001,0.000006,-0.539128,9.044597,3.760414
40.000000,0.000000,1.000000,1.017480,0.890209,0.000634,0.010730,0.087680,-0.000023,-0.000000,0.000002,-0.448203,9.051029,3.756873
41.000000,0.000000,1.000000,1.029964,0.890209,-0.002021,0.014207,0.081927,-0.000038,-0.000001,0.000016,-0.503546,9.053937,3.742828
42.000000,0.000000,1.000000,1.029964,0.890209,-0.002021,0.014207,0.081927,-0.000038,-0.000001,0.000016,-0.503546,9.053937,3.742828
43.000000,0.000000,1.000000,1.098341,0.890209,-0.004702,0.025350,0.070641,-0.000020,-0.000001,0.000007,-0.583622,9.045938,3.750533
44.000000,0.000000,1.000000,1.001182,0.890209,-0.001679,0.021976,0.074641,-0.000002,-0.000002,0.000002,-0.603769,9.043865,3.752343
45.000000,0.000000,1.000000,1.012274,0.890209,-0.000070,0.017127,0.080365,-0.000011,0.000000,0.000004,-0.626319,9.050737,3.732020
46.000000,0.000000,1.000000,1.001902,0.890209,-0.005127,0.029035,0.068815,-0.000018,-0.000000,0.000001,-0.508404,9.044203,3.765637
47.000000,0.000000,1.000000,0.954319,0.890209,0.001422,0.009298,0.086220,-0.000048,0.000002,0.000044,-0.658423,9.039673,3.753251
48.000000,0.000000,1.000000,1.010877,0.890209,-0.006195,0.032391,0.065698,-0.000031,0.000002,-0.000006,-0.591514,9.018116,3.815729
49.000000,0.000000,1.000000,1.037812,0.890209,-0.000979,0.018327,0.083832,-0.000029,-0.000001,0.000012,-0.663806,9.040993,3.749121
50.000000,0.000000,1.000000,1.026344,0.890209,-0.004918,0.028567,0.068875,-0.000049,0.000002,0.000019,-0.616999,9.026522,3.791742
51.000000,0.000000,1.000000,1.023968,0.890209,-0.000353,0.021407,0.081930,-0.000065,-0.000006,0.000017,-0.667050,9.067077,3.685004
52.000000,0.000000,1.000000,1.062476,0.890209,-0.005885,0.014787,0.073849,-0.000032,0.000000,0.000014,-0.680585,9.037767,3.753886
53.000000,0.000000,1.000000,1.033887,0.890209,-0.000738,0.030244,0.076986,-0.000032,-0.000000,0.000005,-0.554905,9.100262,3.621243
54.000000,0.000000,1.000000,0.938961,0.890209,-0.003179,0.015815,0.076116,-0.000007,0.000001,0.000004,-0.688292,9.157962,3.448779
55.000000,0.000000,1.000000,0.863605,0.890209,-0.005193,0.027453,0.071662,-0.000046,0.000003,0.000011,-0.634485,9.013045,3.820806
56.000000,0.000000,1.000000,1.027577,0.890209,-0.003499,0.016720,0.081866,-0.000025,-0.000002,0.000006,-0.631429,9.117944,3.563775
57.000000,0.000000,1.000000,1.038086,0.890209,-0.001351,0.031443,0.067821,0.000001,0.000000,0.000002,-0.615061,9.111157,3.583940
58.000000,0.000000,1.000000,1.007553,0.890209,-0.009725,0.020375,0.082880,-0.000054,0.000000,0.000018,-0.533284,9.119091,3.576855
59.000000,0.000000,1.000000,0.995197,0.890209,0.002172,0.025672,0.068346,-0.000063,0.000002,0.000019,-0.563872,9.110519,3.593967
60.000000,0.000000,1.000000,0.998266,0.890209,-0.003616,0.015219,0.086357,-0.000049,-0.000010,0.000019,-0.416436,9.120373,3.589078
61.000000,0.000000,1.000000,0.998859,0.890209,-0.000101,0.024666,0.064988,-0.000046,-0.000001,-0.000001,-0.599400,9.126401,3.547622
62.000000,0.000000,1.000000,0.961436,0.890209,-0.005128,0.017050,0.084726,-0.000016,0.000000,0.000021,-0.599183,9.135479,3.524215
63.000000,0.000000,1.000000,1.028079,0.890209,-0.000071,0.025932,0.062550,0.000005,-0.000002,-0.000016,-0.466851,9.148039,3.511627
64.000000,0.000000,1.000000,1.005341,0.890209,-0.003227,0.019396,0.084417,-0.000035,-0.000004,0.000010,-0.419220,9.108156,3.619647
65.000000,0.000000,1.000000,1.011609,0.890209,-0.001536,0.019586,0.062892,-0.000073,0.000006,0.000029,-0.338494,9.162308,3.489073
66.000000,0.000000,1.000000,1.044116,0.890209,-0.000674,0.022993,0.085149,-0.000017,0.000000,0.000011,-0.301644,9.103495,3.643005
67.000000,0.000000,1.000000,0.960363,0.890209,-0.007038,0.015600,0.072222,-0.000001,-0.000001,0.000008,-0.333683,9.057788,3.752496
68.000000,0.000000,1.000000,0.829121,0.890209,0.002017,0.026267,0.074169,-0.000090,-0.000015,0.000006,-0.449640,9.314482,3.045381
69.000000,0.000000,1.000000,1.066091,0.890209,-0.000910,0.019589,0.072768,-0.000052,0.000006,0.000033,-0.395599,9.111606,3.613618
70.000000,0.000000,1.000000,0.991055,0.890209,-0.001224,0.024729,0.075388,-0.000025,0.000000,0.000010,-0.362320,9.083455,3.687230
71.000000,0.000000,1.000000,0.047864,0.890209,-0.007380,0.005799,0.085451,0.000029,-0.000060,0.000081,1.164561,9.224066,3.129938
72.000000,0.000000,1.000000,0.047864,0.890209,-0.007380,0.005799,0.085451,0.000029,-0.000060,0.000081,1.164561,9.224066,3.129938
73.000000,0.000000,1.000000,0.047864,0.890209,-0.007380,0.005799,0.085451,0.000029,-0.000060,0.000081,1.164561,9.224066,3.129938
74.000000,0.000000,1.000000,1.024170,0.890209,-0.002249,0.016826,0.073625,-0.000033,0.000001,0.000022,-0.390424,9.057903,3.746740
75.000000,0.000000,1.000000,1.064002,0.890209,-0.001933,0.028637,0.072879,-0.000046,-0.000000,0.000002,-0.386764,9.064013,3.732315
76.000000,0.000000,1.000000,1.048350,0.890209,-0.001469,0.018721,0.079506,-0.000006,-0.000003,0.000008,-0.397933,9.062136,3.735699
77.000000,0.000000,1.000000,1.093421,0.890209,-0.008226,0.019396,0.076618,-0.000057,-0.000004,0.000035,-0.344119,9.095906,3.658165
78.000000,0.000000,1.000000,0.836096,0.890209,-0.000053,0.026683,0.075032,-0.000014,-0.000010,0.000008,-0.139031,9.082933,3.703661
79.000000,0.000000,1.000000,1.187867,0.890209,-0.003008,0.015993,0.073185,-0.000092,0.000005,0.000034,-0.385599,9.084380,3.682588
80.000000,0.000000,1.000000,0.937252,0.890209,-0.001704,0.019501,0.077520,-0.000021,0.000002,0.000011,-0.558618,9.039907,3.768837
81.000000,0.000000,1.000000,0.927946,0.890209,-0.002002,0.021690,0.077355,-0.000002,-0.000000,0.000001,-0.484307,9.056248,3.739776
82.000000,0.000000,1.000000,0.912836,0.890209,-0.004341,0.021517,0.076732,-0.000038,-0.000001,0.000014,-0.482099,9.073385,3.698292
83.000000,0.000000,1.000000,0.424536,0.890209,-0.007872,0.020663,0.074639,-0.000054,-0.000003,0.000021,-0.387893,9.181897,3.431969
84.000000,0.000000,1.000000,0.669372,0.890209,-0.000415,0.021959,0.071054,-0.000021,0.000001,0.000024,-0.296777,9.094692,3.665324
85.000000,0.000000,1.000000,0.629037,0.890209,-0.002083,0.021060,0.075711,0.000017,-0.000012,-0.000017,-0.597452,9.010068,3.833774
86.000000,0.000000,1.000000,0.433069,0.890209,0.008988,0.018433,0.068263,0.000001,-0.000005,-0.000042,-0.768430,9.333611,2.920502
87.000000,0.000000,1.000000,0.433069,0.890209,0.008988,0.018433,0.068263,0.000001,-0.000005,-0.000042,-0.768430,9.333611,2.920502
88.000000,0.000000,1.000000,0.557911,0.890209,0.004554,0.020505,0.070703,-0.000020,0.000007,-0.000007,-0.189688,9.095707,3.669909
89.000000,0.000000,1.000000,0.557911,0.890209,0.004554,0.020505,0.070703,-0.000020,0.000007,-0.000007,-0.189688,9.095707,3.669909
90.000000,0.000000,1.000000,0.995431,0.890209,0.006195,0.023726,0.070534,-0.000044,0.000004,-0.000001,-0.661816,9.106384,3.587738
91.000000,0.000000,1.000000,0.412640,0.890209,0.005514,0.023117,0.071086,-0.000042,-0.000003,0.000025,-0.906953,8.997577,3.802255
92.000000,0.000000,1.000000,1.132313,0.890209,-0.002417,0.025311,0.074939,-0.000034,0.000003,0.000015,-0.548539,9.082292,3.667040
93.000000,0.000000,1.000000,1.087977,0.890209,0.001596,0.023234,0.078257,-0.000051,0.000003,0.000022,-0.650218,9.122311,3.549191
94.000000,0.000000,1.000000,0.745142,0.890209,-0.003604,0.020181,0.075893,0.000027,-0.000000,-0.000010,-0.719148,9.149613,3.464607
95.000000,0.000000,1.000000,0.834706,0.890209,-0.005679,0.019139,0.076847,-0.000021,0.000001,0.000008,-0.726125,9.136667,3.497165
96.000000,0.000000,1.000000,0.941502,0.890209,-0.005020,0.018651,0.077528,-0.000006,0.000000,0.000002,-0.745119,9.127526,3.516982
97.000000,0.000000,1.000000,0.866498,0.890209,0.000312,0.017389,0.075823,-0.000028,-0.000001,0.000010,-0.721016,9.099067,3.594887
