# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1.000000,1.000000,2.211640,-1.000000,-0.003278,0.024413,0.083099,1.115180,-1.297384,2.301252,-1.372808,8.319085,5.014412
1.000000,1.000000,1.000000,2.211640,-1.000000,-0.003278,0.024413,0.083099,1.115180,-1.297384,2.301252,-1.372808,8.319085,5.014412
2.000000,1.000000,1.000000,2.378624,-1.000000,-0.003637,0.026907,0.081794,0.036351,1.294791,-6.000779,1.106474,9.147480,-3.366813
3.000000,1.000000,1.000000,2.276983,-1.000000,-0.003209,0.024340,0.082601,5.363810,8.855275,-3.194220,8.869205,4.188079,-0.182492
4.000000,1.000000,1.000000,3.033229,-1.000000,-0.002534,0.024735,0.082619,3.600499,-5.054543,3.192163,-5.153126,5.850382,5.954362
5.000000,1.000000,1.000000,3.052799,-1.000000,-0.002815,0.024687,0.083249,5.471912,6.710045,2.725103,6.760389,4.322535,5.643485
6.000000,1.000000,1.000000,2.562466,-1.000000,-0.001917,0.027041,0.081471,1.572788,-5.756995,-1.138041,-5.862889,7.713881,1.535799
7.000000,1.000000,1.000000,2.500048,-1.000000,-0.002721,0.026329,0.083054,0.136798,-3.921235,-2.519019,-3.998694,8.958043,-0.003400
8.000000,1.000000,1.000000,2.613309,-1.000000,0.000380,0.023289,0.082087,0.396224,2.121532,0.703899,2.000814,9.008371,3.328977
9.000000,1.000000,1.000000,3.537100,-1.000000,-0.000108,0.023963,0.083355,0.189102,2.081186,0.051711,2.070311,9.333943,2.197141
10.000000,1.000000,1.000000,2.432854,-1.000000,-0.001726,0.022986,0.083599,-0.122811,-0.727033,-0.022006,-0.714282,9.281366,3.095505
11.000000,1.000000,1.000000,0.841689,-1.000000,-0.000405,0.024471,0.079917,9.338777,6.083869,4.450775,9.394742,2.223444,1.741039
12.000000,1.000000,1.000000,2.614097,-1.000000,-0.001193,0.023877,0.081355,0.267266,-0.900384,0.691796,0.389737,9.019282,3.838848
13.000000,1.000000,1.000000,2.614097,-1.000000,-0.001193,0.023877,0.081355,0.267266,-0.900384,0.691796,0.389737,9.019282,3.838848
14.000000,1.000000,1.000000,0.924401,-1.000000,-0.000647,0.022581,0.080393,8.974720,-9.653960,-1.437644,-1.924569,-1.870083,9.435832
15.000000,1.000000,1.000000,3.116611,-1.000000,-0.000874,0.019917,0.084410,-0.346808,0.351292,-1.590636,-1.516892,9.441842,2.187864
16.000000,1.000000,1.000000,2.783202,-1.000000,-0.002627,0.022715,0.082407,0.136114,0.925887,0.144075,0.187052,9.630542,1.858431
17.000000,1.000000,1.000000,0.321194,-1.000000,-0.003714,0.014582,0.085614,18.193832,-4.920104,-4.799475,2.652315,-9.300632,1.643037
18.000000,1.000000,1.000000,3.410991,-1.000000,-0.001754,0.022432,0.090531,-0.210632,-1.726876,-2.136648,-0.629615,8.326282,5.149050
19.000000,1.000000,1.000000,2.746600,-1.000000,-0.003273,0.023631,0.082235,-0.177145,-0.575163,-0.428171,0.614427,9.223871,3.283105
20.000000,1.000000,1.000000,2.442082,-1.000000,-0.003145,0.025806,0.083744,0.845645,-4.213506,-0.310248,4.512357,8.429586,2.194726
21.000000,1.000000,1.000000,2.442082,-1.000000,-0.003145,0.025806,0.083744,0.845645,-4.213506,-0.310248,4.512357,8.429586,2.194726
22.000000,1.000000,1.000000,2.407236,-1.000000,-0.002440,0.024698,0.081117,1.197953,1.284387,2.405189,-0.966767,9.761870,-0.085796
