# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
0.000000,1.000000,1.000000,0.891896,-1.000000,-0.003106,0.024539,0.083430,2.126610,1.362832,3.691125,1.274728,7.338806,6.383815
1.000000,1.000000,1.000000,0.891896,-1.000000,-0.003106,0.024539,0.083430,2.126610,1.362832,3.691125,1.274728,7.338806,6.383815
2.000000,1.000000,1.000000,0.803225,-1.000000,-0.003256,0.026928,0.081635,-0.002416,2.481377,-5.076418,2.284950,9.219979,-2.450936
3.000000,1.000000,1.000000,0.848216,-1.000000,-0.003435,0.024574,0.082530,4.683420,8.521245,-2.889650,8.510071,4.879647,0.061948
4.000000,1.000000,1.000000,1.117864,-1.000000,-0.002515,0.024736,0.082531,3.330898,-4.820746,3.127856,-4.919603,6.121922,5.878407
5.000000,1.000000,1.000000,1.085040,-1.000000,-0.002795,0.024787,0.083219,5.870889,6.520724,3.171188,6.581198,3.954345,6.106315
6.000000,1.000000,1.000000,0.931860,-1.000000,-0.001853,0.027133,0.081500,1.323737,-5.425945,-1.157606,-5.533380,7.960864,1.497481
7.000000,1.000000,1.000000,0.907028,-1.000000,-0.002755,0.026545,0.082992,0.183693,-4.070216,-2.688605,-4.144560,8.889638,-0.181801
8.000000,1.000000,1.000000,0.948881,-1.000000,0.000311,0.023397,0.082245,0.339352,1.950616,0.672547,1.826910,9.057312,3.295998
9.000000,1.000000,1.000000,1.350818,-1.000000,-0.000209,0.023875,0.083151,0.200088,2.279717,-0.042426,2.261484,9.324285,2.044384
10.000000,1.000000,1.000000,0.914411,-1.000000,-0.001535,0.023018,0.083551,-0.137751,-0.703854,-0.054883,-0.719006,9.298135,3.043651
11.000000,1.000000,1.000000,0.145144,-1.000000,0.000046,0.024662,0.079955,11.091535,6.915211,3.490917,9.783702,0.593284,0.404083
12.000000,1.000000,1.000000,0.855042,-1.000000,-0.000690,0.023844,0.081323,0.656765,-2.089801,1.094957,0.454083,8.432621,4.992076
